Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,US-Atq,70.4696,-157.4089,WET,Arctic,0.409871,0.0,-0.409871,0.0,-0.562662,0.815188,-2.65739,0.0,-24.618,1.0,1.18,1.0,177.205,0,0.212,1.0,101.415,0.0,,,0.0,1.0,2.681,1.0,,,0.0,,-25.582,,0.285,177.205,0.124,101.415,0.091,3.937,0.0
2,200302,US-Atq,70.4696,-157.4089,WET,Arctic,0.600082,0.0,-0.600081,0.0,-0.287361,0.535714,-4.19086,0.0,-28.306,1.0,17.79,1.0,174.487,0,0.169,1.0,102.078,0.0,,,0.0,1.0,2.497,1.0,,,0.138414934193548,,-27.978,-27.456,13.38,174.487,0.07,102.078,0.371,4.631,1.0000000000287557e-06
3,200303,US-Atq,70.4696,-157.4089,WET,Arctic,0.411183,0.0,-0.411183,0.0,-0.673514,0.885081,-18.3522,0.0,-25.793,1.0,88.646,1.0,166.642,0,0.205,1.0,102.23,0.0,,,0.0,1.0,2.913,1.0,,,0.0,,-25.923,-24.731,79.416,166.642,0.088,102.23,0.062,3.157,0.0
4,200304,US-Atq,70.4696,-157.4089,WET,Arctic,0.210048,0.00461282,-0.210048,0.861111,-1.65892,0.897222,-22.1737,0.0,-12.787,1.0,177.967,1.0,229.973,0,0.4,1.0,101.429,0.0,0.221138833303,0.561111111111,0.163,0.998611,3.566,0.970139,,,0.0,,-11.81,-11.051,150.992,229.973,0.334,101.429,0.168,3.609,0.0
5,200305,US-Atq,70.4696,-157.4089,WET,Arctic,-0.128842,0.0,0.151025,0.93414,18.7096,0.997312,-29.7381,0.0,-4.864,1.0,250.185,1.0,259.856,0,0.568,1.0,101.377,0.0,0.277330215662,0.719086021505,0.09,1.0,4.966,0.933468,,,0.0,,-3.646,-3.478,235.022,259.856,0.878,101.377,0.267,4.357,0.02218299999999998
6,200306,US-Atq,70.4696,-157.4089,WET,Arctic,-1.00409,0.00637035,1.17378,0.979861,75.4748,0.999306,-23.7805,0.0,4.7,1.0,288.165,1.0,292.618,0,2.191,1.0,101.237,0.0,0.34495352592,0.794444444444,0.02,1.0,4.196,0.990972,,,0.0,,6.038,6.173,301.821,292.618,2.729,101.237,0.039,3.237,0.16969000000000012
7,200307,US-Atq,70.4696,-157.4089,WET,Arctic,0.0652044,0.110294,0.275241,0.823253,46.2283,0.823253,-29.1723,0.0,7.923,0.827285,173.5,0.834677,325.911,0,2.623,0.827285,100.677,0.0,0.333189743375,0.926747311828,1.148,0.809812,4.045,0.807124,,,0.14999999,,7.12,7.19,176.633,325.911,2.502,100.677,0.709,3.516,0.3404454
8,200308,US-Atq,70.4696,-157.4089,WET,Arctic,0.0803621,0.186477,0.232074,0.817204,31.1353,0.820565,-25.6197,0.0,4.132,0.822581,118.559,0.833333,308.344,0,1.328,0.822581,101.019,0.0,0.280168749442,0.680779569892,2.099,0.763441,3.381,0.752016,,,0.108685948709677,,3.683,4.132,125.366,308.344,1.582,101.019,0.46,2.987,0.3124361
9,200309,US-Atq,70.4696,-157.4089,WET,Arctic,-0.0613535,0.0,0.18882,0.165278,5.76691,0.165278,-34.4678,0.0,-0.034,0.165278,63.668,0.470833,276.092,0,1.375,0.165278,101.223,0.0,,,0.468,0.0,3.036,0.0,,,0.278617839,0.0367729116097109,-0.582,0.061,63.71,276.092,1.412,101.223,0.468,3.036,0.12746649999999998
10,200310,US-Atq,70.4696,-157.4089,WET,Arctic,0.0218141,0.0,-0.0215912,0.337366,-6.86387,0.415323,-27.1258,0.0,-5.178,0.984543,21.86,0.985887,270.558,0,0.314,0.984543,101.055,0.0,,,0.794,0.968414,3.772,0.967742,,,0.507349739677419,0.0403335240728792,-4.389,-4.132,13.539,270.558,0.517,101.055,0.937,3.32,0.0002228999999999981
11,200311,US-Atq,70.4696,-157.4089,WET,Arctic,0.411144,0.0,-0.408064,0.907639,-12.8703,0.959722,-36.549,0.0,-17.587,1.0,2.461,1.0,208.219,0,0.212,1.0,100.469,0.0,,,0.023,1.0,3.406,0.930556,,,0.563340587096774,0.0747878754760432,-16.796,,0.868,208.219,0.253,100.469,0.317,3.317,0.003080000000000027
12,200312,US-Atq,70.4696,-157.4089,WET,Arctic,0.548114,0.0,-0.548114,0.877688,-1.98625,0.928091,-5.5818,0.224462,-23.546,1.0,0.033,1.0,182.337,0,0.18,1.0,100.528,0.0,,,0.025,0.741263,3.993,0.634409,,,0.210105952666667,,-23.396,,0.0,182.337,0.097,100.528,0.177,4.461,0.0
13,200401,US-Atq,70.4696,-157.4089,WET,Arctic,0.0739587,0.0285137,0.0184204,0.384409,-0.0431939,0.931452,-6.72645,0.907258,-26.484,1.0,0.824,1.0,171.22,0,0.156,1.0,103.007,0.0,,,0.0,0.999328,3.499,0.994624,,,0.0,,-23.796,,0.211,171.22,0.161,103.007,0.1,5.017,0.0923791
14,200402,US-Atq,70.4696,-157.4089,WET,Arctic,-0.182229,0.200079,0.183853,0.0,0.0109043,0.914511,-4.09631,0.75,-34.233,1.0,18.582,1.0,149.078,0,0.109,1.0,101.96,0.0,,,0.0,0.996408,3.931,0.992098,,,0.28588122,,-32.222,-31.582,14.708,149.078,0.044,101.96,0.191,4.662,0.0016239999999999866
15,200403,US-Atq,70.4696,-157.4089,WET,Arctic,-0.287457,0.315257,0.338096,0.462366,-0.139291,0.980511,-7.02934,0.950269,-28.162,0.989919,84.855,0.990591,169.175,0,0.14,0.989919,101.989,0.0,,,0.0,0.983871,3.99,0.969758,,,0.0,,-25.952,-24.755,70.961,169.175,0.114,101.989,0.269,4.621,0.05063899999999999
16,200404,US-Atq,70.4696,-157.4089,WET,Arctic,0.0549896,0.168801,0.0703655,0.929861,-0.325965,0.978472,-17.9226,0.993056,-18.034,1.0,198.038,1.0,209.079,0,0.281,1.0,101.83,0.0,,,0.017,0.998611,3.75,0.9875,,,0.0,,-14.784,-14.018,180.434,209.079,0.245,101.83,0.038,3.888,0.1253551
17,200405,US-Atq,70.4696,-157.4089,WET,Arctic,0.969432,0.357287,0.0420512,0.80914,16.0606,0.888441,9.31505,0.889113,-3.844,0.957661,240.652,0.959677,265.782,0,0.527,0.957661,101.669,0.0,0.331506828132,0.505376344086,0.345,0.949597,4.728,0.949597,,,0.0,,-2.737,-2.569,231.112,265.782,0.951,101.669,0.353,4.263,1.0114832
18,200406,US-Atq,70.4696,-157.4089,WET,Arctic,3.25724,1.92054,-1.07151,0.984722,69.6125,0.999306,77.9141,0.995833,7.612,0.952083,268.012,0.952778,304.989,0,2.263,0.952083,101.69,0.0,0.321165345089,0.748611111111,0.736,0.945139,4.014,0.945139,,,0.0,,7.133,7.244,285.84,304.989,2.288,101.69,0.171,3.27,2.18573
19,200407,US-Atq,70.4696,-157.4089,WET,Arctic,3.90744,3.65888,-1.57755,0.988575,56.6718,0.997312,40.379,0.997312,10.35,1.0,183.451,1.0,337.459,0,2.945,1.0,100.904,0.0,0.314902997186,0.71438172043,0.915,0.994624,3.649,0.994624,,,0.14999999,0.0360905495288764,9.059,9.218,200.371,337.459,3.177,100.904,0.597,3.119,2.32989
20,200408,US-Atq,70.4696,-157.4089,WET,Arctic,2.38407,2.18492,-0.587306,0.99664,37.1404,0.99664,27.7672,0.993952,8.947,1.0,127.913,1.0,337.663,0,1.89,1.0,101.442,0.0,0.278970145978,0.847446236559,0.956,0.99664,3.166,0.99664,,,0.164045812580645,0.121725298642159,9.087,9.629,133.202,337.663,2.522,101.442,0.63,2.954,1.796764
21,200409,US-Atq,70.4696,-157.4089,WET,Arctic,0.673095,0.701738,0.311412,0.946528,15.0089,0.957639,1.75293,0.952083,0.279,1.0,61.448,1.0,275.294,0,0.823,1.0,100.934,0.0,0.249475402007,0.547222222222,0.83,0.997917,3.447,0.99375,,,0.357860391,0.0185580024616009,-0.045,0.647,65.183,275.294,1.293,100.934,0.791,3.174,0.984507
22,200410,US-Atq,70.4696,-157.4089,WET,Arctic,0.035658,0.169067,0.322796,0.992608,2.52753,0.995296,-14.9649,0.999328,-6.757,1.0,24.571,1.0,246.067,0,0.366,1.0,100.508,0.0,0.226467653984,0.744623655914,0.059,0.99328,4.959,0.991935,,,0.845116936451613,0.0815368208467082,-6.938,-6.615,18.364,246.067,0.531,100.508,0.236,4.744,0.35845400000000005
23,200411,US-Atq,70.4696,-157.4089,WET,Arctic,0.0483446,0.00410231,0.197943,0.964583,-0.186178,0.993056,-3.31689,1.0,-17.482,1.0,1.831,1.0,200.861,0,0.213,1.0,100.467,0.0,0.309275504395,0.554166666667,0.0,0.999306,4.568,0.996528,,,0.628770030645161,0.0047107829999543,-18.181,,0.73,200.861,0.221,100.467,0.143,4.589,0.2462876
24,200412,US-Atq,70.4696,-157.4089,WET,Arctic,-0.118963,0.0,0.203949,0.495296,-0.262583,0.694892,-6.5138,0.696909,-25.202,1.0,0.019,1.0,171.564,0,0.158,1.0,101.464,0.0,,,0.062,0.540323,3.986,0.522849,,,0.267014517333333,0.0108339498995878,-25.496,,0.0,171.564,0.132,101.464,0.309,4.683,0.08498599999999999
25,200501,US-Atq,70.4696,-157.4089,WET,Arctic,0.035701,0.0,0.164447,0.447581,-0.272375,0.940188,-5.78634,0.99328,-24.182,1.0,0.657,1.0,180.046,0,0.183,1.0,101.984,0.0,,,0.004,0.998656,3.269,0.988575,368.136,0.752016,0.0,,-24.298,,0.268,180.046,0.2,101.984,0.262,3.956,0.200148
26,200502,US-Atq,70.4696,-157.4089,WET,Arctic,-0.117138,0.0,0.131671,0.570685,-0.624848,0.982887,-7.47152,0.831101,-27.125,1.0,15.031,1.0,179.337,0,0.15,1.0,101.529,0.0,,,0.0,0.997768,2.975,0.990327,373.241,0.761905,0.103555155806452,,-27.147,-26.704,11.695,179.337,0.067,101.529,0.196,4.541,0.014533000000000004
27,200503,US-Atq,70.4696,-157.4089,WET,Arctic,-0.0781617,0.0399391,0.130307,0.583333,-0.364515,0.999328,-17.0046,0.949597,-23.687,1.0,76.631,1.0,179.638,0,0.174,1.0,101.892,0.0,,,0.004,0.991263,2.871,0.980511,380.403,0.823925,0.0,,-22.617,-21.749,71.441,179.638,0.133,101.892,0.131,4.85,0.052145300000000006
28,200504,US-Atq,70.4696,-157.4089,WET,Arctic,-0.172422,0.0153808,0.396785,0.948611,0.912741,0.998611,-2.74441,0.997917,-17.266,1.0,185.062,1.0,217.59,0,0.301,1.0,101.936,0.0,0.196084847945,0.725694444444,0.053,0.995833,3.843,0.995833,396.721,0.940278,0.0,,-15.732,-15.065,155.619,217.59,0.246,101.936,0.211,3.683,0.224363
29,200505,US-Atq,70.4696,-157.4089,WET,Arctic,-0.23579,0.00145249,0.421689,0.948253,1.14251,0.96707,0.420625,0.96707,-5.052,0.935484,263.025,0.938172,277.573,0,0.409,0.935484,101.695,0.0,0.263374334586,0.743951612903,0.165,0.923387,4.821,0.922715,393.234,0.963038,0.0,,-4.101,-4.034,209.473,277.573,0.472,101.695,0.402,4.311,0.18589899999999998
30,200506,US-Atq,70.4696,-157.4089,WET,Arctic,0.886227,1.27859,-0.108331,1.0,64.0594,1.0,48.1735,1.0,3.425,1.0,262.084,1.0,292.386,0,1.653,1.0,101.611,0.0,0.34173453346,0.872222222222,0.25,1.0,4.498,1.0,376.508,1.0,0.0,,3.688,3.792,291.681,292.386,1.842,101.611,0.102,3.607,0.777896
31,200507,US-Atq,70.4696,-157.4089,WET,Arctic,3.15757,3.14474,-1.57605,0.97043,47.7188,1.0,49.6371,1.0,7.618,0.872312,227.244,0.879032,310.283,0,2.954,0.872312,101.119,0.0,0.363756503906,0.99126344086,0.543,0.861559,4.153,0.861559,366.354,0.978495,0.14999999,0.0409699555716398,6.344,6.49,238.676,310.283,2.354,101.119,0.247,3.609,1.5815200000000003
