Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199701,US-Blo,38.8953,-120.6328,ENF,Temperate,2.55462,2.78318,-1.18636,0.0,47.7573,0.0,19.2358,0.0,4.169,0.0,79.988,0.0,291.518,0,4.211,0.0,86.843,0.0,,,18.138,0.0,1.971,0.0,,,,,4.169,5.794,79.988,291.518,4.211,86.843,18.138,1.971,1.3682599999999998
2,199702,US-Blo,38.8953,-120.6328,ENF,Temperate,2.60414,4.61131,-1.18856,0.0,51.269,0.0,20.6595,0.0,4.893,0.0,153.583,0.0,266.785,0,5.261,0.0,86.961,0.0,,,1.176,0.0,1.682,0.0,,,,,4.893,7.107,153.583,266.785,5.261,86.961,1.176,1.682,1.41558
3,199703,US-Blo,38.8953,-120.6328,ENF,Temperate,2.9188,5.85536,-1.23387,0.0,61.0562,0.0,25.3081,0.0,8.029,0.0,219.178,0.0,276.955,0,6.481,0.0,86.91,0.0,,,1.702,0.0,1.499,0.0,,,,,8.029,10.448,219.178,276.955,6.481,86.91,1.702,1.499,1.68493
4,199704,US-Blo,38.8953,-120.6328,ENF,Temperate,2.98683,6.79412,-1.20341,0.0,60.5619,0.0,24.6432,0.0,9.328,0.0,267.899,0.0,281.54,0,6.961,0.0,86.713,0.0,,,0.989,0.0,1.661,0.0,,,,,9.328,11.168,267.899,281.54,6.961,86.713,0.989,1.661,1.7834199999999998
5,199705,US-Blo,38.8953,-120.6328,ENF,Temperate,3.50768,7.61017,-1.21796,0.0,63.1133,0.0,25.7719,0.0,15.206,0.0,311.992,0.0,304.184,0,10.494,0.0,86.673,0.0,,,0.389,0.0,1.249,0.0,,,,,15.206,17.285,311.992,304.184,10.494,86.673,0.389,1.249,2.28972
6,199706,US-Blo,38.8953,-120.6328,ENF,Temperate,4.28054,5.19627,-2.76744,0.8625,127.026,0.896528,45.1423,0.895833,15.869,0.896528,317.319,0.856944,315.406,0,8.763,0.896528,86.339,0.832639,0.236313631573,0.748611111111,1.862,0.797917,1.48,0.805556,358.841,0.878472,,,16.293,18.02,315.506,315.406,10.803,86.402,1.909,1.399,1.5131000000000001
7,199707,US-Blo,38.8953,-120.6328,ENF,Temperate,5.11669,6.42083,-4.33861,0.898522,121.906,0.905914,45.1503,0.906586,20.07,0.906586,330.885,0.911962,323.475,0,14.115,0.905914,86.588,0.668683,0.213435368255,0.820564516129,0.0,0.817876,1.353,0.854839,361.208,0.905914,,,19.617,21.675,331.642,323.475,14.2,86.599,0.066,1.279,0.7780800000000001
8,199708,US-Blo,38.8953,-120.6328,ENF,Temperate,3.84556,4.58242,-3.31048,0.936828,86.5224,0.951613,65.5348,0.954301,19.336,0.959005,294.069,0.935484,322.536,0,12.469,0.952285,86.681,0.581317,0.208921829113,0.893817204301,0.377,0.889113,1.369,0.924059,357.467,0.954973,,,18.414,20.568,296.114,322.536,12.355,86.681,0.204,1.197,0.5350799999999998
9,199709,US-Blo,38.8953,-120.6328,ENF,Temperate,2.68288,3.31436,-2.3783,0.30625,59.9699,0.307639,63.0938,0.307639,17.14,0.307639,237.63,0.308333,316.821,0,11.525,0.307639,86.526,0.0,,,0.288,0.282639,1.416,0.29375,358.347,0.307639,,,16.643,19.036,241.049,316.821,11.197,86.526,0.423,1.389,0.3045800000000001
10,199710,US-Blo,38.8953,-120.6328,ENF,Temperate,2.61966,2.77181,-2.30133,0.0,52.4999,0.0,56.8269,0.0,11.028,0.0,175.324,0.0,287.397,0,8.055,0.0,86.735,0.0,,,1.926,0.0,1.441,0.0,358.584,0.0,,,11.028,13.393,175.324,287.397,8.055,86.735,1.926,1.441,0.31833
11,199711,US-Blo,38.8953,-120.6328,ENF,Temperate,2.57757,1.72199,-2.30183,0.0,51.1707,0.0,55.3296,0.0,7.633,0.0,89.903,0.0,305.415,0,5.402,0.0,86.612,0.0,,,7.074,0.0,1.629,0.0,358.575,0.0,,,7.633,9.214,89.903,305.415,5.402,86.612,7.074,1.629,0.2757400000000003
12,199712,US-Blo,38.8953,-120.6328,ENF,Temperate,2.52975,1.69863,-2.30134,0.0,69.7963,0.0,75.4499,0.0,3.678,0.0,89.993,0.0,269.679,0,5.005,0.0,86.944,0.0,,,4.736,0.0,2.038,0.0,358.592,0.0,,,3.678,5.46,89.993,269.679,5.005,86.944,4.736,2.038,0.22840999999999978
13,199801,US-Blo,38.8953,-120.6328,ENF,Temperate,1.65419,1.60212,-0.646116,0.0,38.3513,0.0,37.3901,0.0,4.461,0.0,64.848,0.0,306.835,0,4.085,0.0,86.632,0.0,,,14.73,0.0,2.044,0.0,375.966,0.0,,,4.461,5.499,64.848,306.835,4.085,86.632,14.73,2.044,1.0080740000000001
14,199802,US-Blo,38.8953,-120.6328,ENF,Temperate,1.30673,1.89193,-0.386616,0.0,34.4281,0.0,32.1808,0.0,3.436,0.0,85.586,0.0,301.05,0,3.79,0.0,86.325,0.0,,,19.868,0.0,2.273,0.0,378.432,0.0,,,3.436,4.327,85.586,301.05,3.79,86.325,19.868,2.273,0.9201139999999999
15,199803,US-Blo,38.8953,-120.6328,ENF,Temperate,1.49914,3.54449,-0.384663,0.0,32.1223,0.0,29.7658,0.0,5.919,0.0,186.332,0.0,289.815,0,5.004,0.0,86.53,0.0,,,5.794,0.0,1.486,0.0,378.446,0.0,,,5.919,7.856,186.332,289.815,5.004,86.53,5.794,1.486,1.114477
16,199804,US-Blo,38.8953,-120.6328,ENF,Temperate,1.62418,4.10553,-0.382674,0.0,32.2532,0.0,30.2015,0.0,7.503,0.0,227.69,0.0,298.914,0,5.629,0.0,86.678,0.0,,,5.741,0.0,1.48,0.0,378.455,0.0,,,7.503,9.012,227.69,298.914,5.629,86.678,5.741,1.48,1.241506
17,199805,US-Blo,38.8953,-120.6328,ENF,Temperate,3.23116,4.16348,-1.4225,0.961694,54.8665,0.965726,58.4861,0.972446,5.963,0.972446,192.663,0.975134,312.269,0,2.605,0.965726,86.48,0.945565,,,6.693,0.945565,1.652,0.539651,377.251,0.967742,,,8.332,9.406,218.472,312.269,4.971,86.599,7.665,1.483,1.80866
18,199806,US-Blo,38.8953,-120.6328,ENF,Temperate,3.49162,5.04863,-2.02841,0.998611,84.3687,1.0,64.3868,0.999306,13.386,1.0,297.37,1.0,318.233,0,6.467,1.0,86.635,0.998611,0.233244261531,0.921527777778,1.327,0.998611,1.651,0.932639,374.637,1.0,,,14.056,15.678,292.847,318.233,7.781,86.588,4.012,1.235,1.4632100000000001
