Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200101,US-Cop,38.09,-109.39,GRA,Arid,0.393159,0.492844,-0.309638,0.0,16.2539,0.0,26.6045,0.0,-0.926,1.0,113.931,0.0,226.238,0,2.054,0.932796,85.168,0.0,,,0.316,1.0,1.49,1.0,,,0.18271887483871,0.0984895628838515,0.395,2.078,113.931,226.238,3.726,85.168,0.656,1.607,0.08352099999999996
2,200102,US-Cop,38.09,-109.39,GRA,Arid,0.4348,0.561809,-0.31591,0.0,24.4736,0.0,24.3251,0.0,3.793,1.0,149.943,0.0,237.476,0,3.683,0.980655,84.883,0.0,,,0.311,1.0,2.127,1.0,,,0.212040518387097,0.131307643684237,3.475,5.367,149.943,237.476,4.291,84.883,0.585,2.209,0.11889
3,200103,US-Cop,38.09,-109.39,GRA,Arid,0.572752,0.651747,-0.414604,0.0645161,32.3329,0.075269,51.1013,0.075269,8.443,1.0,203.663,0.0,256.532,0,5.715,0.967742,84.899,0.0,,,0.771,1.0,1.961,1.0,,,0.200856019,0.109120895566521,7.249,9.156,203.663,256.532,5.112,84.899,0.722,1.71,0.15814800000000007
4,200104,US-Cop,38.09,-109.39,GRA,Arid,0.654468,0.642083,-0.369197,0.958333,31.3241,0.991667,72.5401,0.993056,13.462,1.0,272.205,0.0,258.16,0,11.297,1.0,84.741,0.933333,0.263838297572,0.908333333333,0.43,1.0,3.114,1.0,,,0.204466461612903,0.0095618622112931,12.35,14.152,272.205,258.16,9.894,84.807,0.605,2.835,0.28527100000000005
5,200105,US-Cop,38.09,-109.39,GRA,Arid,0.652552,0.429429,-0.127849,0.94086,33.963,0.998656,91.6871,1.0,19.632,1.0,312.03,0.0,289.065,0,17.941,1.0,84.954,0.995968,0.212275652741,0.986559139785,0.953,0.998656,2.447,1.0,,,0.197052821785714,0.0994305496246055,19.256,21.259,312.03,289.065,16.204,85.09,0.327,2.228,0.524703
6,200106,US-Cop,38.09,-109.39,GRA,Arid,0.35278,0.393856,-0.0914662,0.983333,14.8593,0.995833,114.72,0.997222,25.518,1.0,339.701,0.0,307.218,0,28.292,1.0,84.893,1.0,0.245668900966,0.998611111111,0.163,1.0,2.78,1.0,,,0.260344090645161,0.112768452163636,25.276,27.339,339.701,307.218,26.945,85.11,0.054,2.433,0.2613138
7,200107,US-Cop,38.09,-109.39,GRA,Arid,0.244268,0.50099,-0.00596224,0.627688,28.871,0.645161,94.6066,0.658602,26.937,1.0,297.715,0.0,340.025,0,25.529,1.0,85.075,0.998656,,,1.029,1.0,2.462,1.0,,,0.333244513666667,0.140375592532666,27.074,28.757,297.715,340.025,25.412,85.319,0.45,2.045,0.23830576
8,200108,US-Cop,38.09,-109.39,GRA,Arid,0.271795,0.480646,0.0150595,0.962366,40.3658,0.997312,76.1058,0.997312,25.254,1.0,258.329,0.0,330.358,0,20.376,0.991935,85.265,1.0,0.194831112669,0.995967741935,0.935,1.0,2.123,1.0,,,0.36675999483871,0.168119803951525,23.533,25.091,258.329,330.358,14.883,85.521,1.695,1.431,0.2868545
9,200109,US-Cop,38.09,-109.39,GRA,Arid,0.096182,0.0742273,-0.0222102,0.966667,14.5079,0.998611,83.7568,0.998611,23.077,1.0,242.032,0.0,298.587,0,22.116,1.0,85.109,1.0,0.199656763285,0.997222222222,0.28,0.998611,2.22,1.0,,,0.311522603333333,0.136503784862237,21.554,24.005,242.032,298.587,17.833,85.324,0.511,1.863,0.0739718
10,200110,US-Cop,38.09,-109.39,GRA,Arid,0.0467486,0.056129,-0.0400683,0.982527,7.28797,0.998656,48.7391,1.0,15.219,1.0,178.034,0.0,269.772,0,12.944,1.0,85.189,1.0,0.189747125887,0.995967741935,0.216,1.0,1.953,1.0,,,0.353728223548387,0.136870144406496,14.809,16.845,178.034,269.772,11.477,85.316,0.237,2.014,0.0066803
