Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199901,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,10.3428,0.0,8.94052,0.0,-7.672,0.0,87.816,0.0,208.367,0.0,1.642,0.0,68.532,0.0,,,2.311,0,7.092,0.0,,,,,-7.672,-6.224,87.816,208.367,1.642,68.532,2.311,7.092,
2,199902,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,11.1061,0.0,9.54078,0.0,-7.279,0.0,142.249,0.0,195.377,0.0,1.831,0.0,68.595,0.0,,,1.166,0,8.35,0.0,,,,,-7.279,-5.44,142.249,195.377,1.831,68.595,1.166,8.35,
3,199903,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,12.6064,0.0,11.2291,0.0,-4.004,0.0,200.212,0.0,205.277,0.0,2.45,0.0,68.461,0.0,,,1.119,0,6.179,0.0,,,,,-4.004,-1.389,200.212,205.277,2.45,68.461,1.119,6.179,
4,199904,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,16.4528,0.0,14.3426,0.0,-3.431,0.0,217.302,0.0,235.55,0.0,2.17,0.0,68.403,0.0,,,3.899,0,6.991,0.0,,,,,-3.431,-1.683,217.302,235.55,2.17,68.403,3.899,6.991,
5,199905,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,21.2149,0.0,18.3385,0.0,1.591,0.0,265.724,0.0,244.766,0.0,3.033,0.0,68.701,0.0,,,2.853,0,5.956,0.0,,,,,1.591,3.239,265.724,244.766,3.033,68.701,2.853,5.956,
6,199906,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,21.4794,0.0,18.7245,0.0,7.311,0.0,290.423,0.0,262.814,0.0,5.293,0.0,69.08,0.0,,,1.124,0,5.877,0.0,,,,,7.311,8.992,290.423,262.814,5.293,69.08,1.124,5.877,
7,199907,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,20.6452,0.0,17.7607,0.0,11.553,0.0,272.588,0.0,278.643,0.0,7.345,0.0,69.538,0.0,,,0.833,0,4.482,0.0,,,,,11.553,13.196,272.588,278.643,7.345,69.538,0.833,4.482,
8,199908,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,16.8882,0.0,15.0431,0.0,10.204,0.0,242.005,0.0,277.268,0.0,6.343,0.0,69.684,0.0,,,0.669,0,4.563,0.0,,,,,10.204,12.174,242.005,277.268,6.343,69.684,0.669,4.563,
9,199909,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,17.0224,0.0,14.8392,0.0,4.632,0.0,212.345,0.0,239.593,0.0,4.652,0.0,69.315,0.0,,,1.109,0,4.894,0.0,,,,,4.632,6.69,212.345,239.593,4.652,69.315,1.109,4.894,
10,199910,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,15.3092,0.0,13.2335,0.0,1.14,0.0,160.423,0.0,217.742,0.0,3.927,0.0,69.431,0.0,,,0.364,0,4.98,0.0,,,,,1.14,3.518,160.423,217.742,3.927,69.431,0.364,4.98,
11,199911,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,32.9725,0.601389,7.89307,0.602083,-1.704,0.647917,116.202,0.649306,195.21,0.645833,3.263,0.647917,69.33,0.0326389,,,0.546,0,6.229,0.602083,,,,,-2.744,-0.25,111.413,204.53,2.746,69.334,0.546,5.07,
12,199912,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,25.7722,1.0,-5.60533,1.0,-8.12,0.979839,91.117,0.980511,175.253,0.979839,1.591,0.979839,68.924,0.0389785,1.07326252686,0.979838709677,1.535,0,7.556,0.952957,,,,,-8.946,-6.796,83.529,195.623,1.599,68.938,1.535,5.479,
13,200001,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,24.9716,0.987903,-10.2283,1.0,-9.254,1.0,80.754,0.998656,191.354,1.0,0.93,1.0,68.616,0.0,1.23820055911,0.9375,1.814,0,8.547,1.0,,,,,-8.075,-6.53,86.989,203.662,1.635,68.616,1.814,6.977,
14,200002,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,24.9421,0.988506,7.68287,0.999282,-6.207,1.0,124.766,1.0,191.918,1.0,1.49,1.0,68.636,0.0,1.13155143422,0.989942528736,1.724,0,8.131,0.999282,,,,0.20511454214301,-5.626,-3.851,126.874,213.338,1.883,68.636,1.724,6.801,
15,200003,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,23.7448,0.903226,39.5871,0.932124,-6.048,0.935484,182.843,0.926747,210.357,0.935484,1.523,0.935484,68.541,0.0,1.00496274791,0.872311827957,2.251,0,6.961,0.916667,,,,0.199960647546979,-4.827,-2.87,187.277,217.789,2.03,68.541,2.251,6.163,
16,200004,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,40.7125,0.993056,76.5676,0.995833,-0.265,1.0,242.572,0.992361,225.142,1.0,3.193,1.0,68.866,0.0,0.962032153213,0.895138888889,2.196,0,6.702,1.0,,,,0.249361025621002,-0.415,1.63,241.445,227.146,2.941,68.866,2.196,6.307,
17,200005,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,75.3117,0.999328,78.019,0.999328,4.856,0.84543,280.049,0.847446,247.186,0.84543,5.071,0.84543,68.817,0.0,0.947986248834,0.875,2.03,0,6.536,0.827285,,,,,4.673,6.28,272.213,251.197,4.547,68.817,2.03,6.708,
18,200006,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,119.526,0.993056,90.4386,0.993056,8.769,1.0,315.828,0.999306,253.382,1.0,6.772,1.0,69.263,0.0,0.832596915994,0.744444444444,0.519,0,5.518,1.0,,,,0.0026632192440813,8.512,10.268,304.749,252.43,6.585,69.263,0.519,5.947,
19,200007,US-GBT,41.36579,-106.2397,ENF,Continental,,,,,98.152,0.990591,80.6442,0.990591,13.927,1.0,282.36,1.0,277.22,1.0,9.961,1.0,69.642,0.22043,0.52876800258,0.639112903226,0.592,0,3.982,0.997984,,,,0.0771909108218383,12.106,13.971,287.067,271.387,8.458,69.606,0.592,4.478,
