Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,US-Goo,34.2547,-89.8735,GRA,Temperate,4.58937,2.51674,-3.9242,0.0,67.0134,0.0,5.96862,0.0,6.113,0.0,108.265,0.0,288.162,0.0,1.306,0.0,101.125,0.0,,,4.29,0.0,1.956,0.0,,,0.6832156,0.208280687390358,6.113,7.444,108.265,288.162,1.306,101.125,4.29,1.956,0.6651699999999998
2,200202,US-Goo,34.2547,-89.8735,GRA,Temperate,4.53163,3.36883,-3.95862,0.0,67.1883,0.0,5.98118,0.0,5.135,0.0,158.134,0.0,268.645,0.0,1.961,0.0,101.412,0.0,,,2.138,0.0,1.881,0.0,,,1.8697535516129,0.358875626824999,5.135,6.556,158.134,268.645,1.961,101.412,2.138,1.881,0.57301
3,200203,US-Goo,34.2547,-89.8735,GRA,Temperate,4.80173,3.44248,-3.89648,0.0,87.2771,0.0,7.9759,0.0,9.91,0.0,162.326,0.0,307.829,0.0,2.42,0.0,101.073,0.0,,,6.26,0.0,2.11,0.0,,,0.975724753333333,0.269283509371746,9.91,11.133,162.326,307.829,2.42,101.073,6.26,2.11,0.9052500000000001
4,200204,US-Goo,34.2547,-89.8735,GRA,Temperate,5.45866,4.52441,-3.92536,0.0,89.3467,0.0,8.02763,0.0,17.684,0.0,225.467,0.0,341.935,0.0,4.832,0.0,100.959,0.0,,,3.604,0.0,1.992,0.0,,,0.683461258064516,0.221661300218425,17.684,18.902,225.467,341.935,4.832,100.959,3.604,1.992,1.5333
5,200205,US-Goo,34.2547,-89.8735,GRA,Temperate,5.36922,4.96971,-2.15529,0.784946,102.903,0.844758,27.0605,0.84543,19.899,0.84543,248.737,0.846102,351.0,0.84543,3.658,0.84543,100.819,0.83871,0.244355130985,0.711693548387,5.396,0.83871,1.799,0.83871,,,0.814445154285714,0.221029361098158,19.933,21.185,242.024,355.09,5.625,100.828,3.726,1.84,3.2139300000000004
6,200206,US-Goo,34.2547,-89.8735,GRA,Temperate,7.58851,7.23547,-1.43423,0.975,113.407,0.998611,48.2091,0.998611,24.398,1.0,275.21,1.0,384.107,1.0,7.037,1.0,100.722,1.0,0.173054038199,0.716666666667,1.4,1.0,1.261,1.0,,,0.906783437096774,0.25637725858211,24.265,25.453,253.425,384.83,6.619,100.687,4.114,1.243,6.15428
7,200207,US-Goo,34.2547,-89.8735,GRA,Temperate,6.04454,5.15967,0.34513,0.99328,94.2737,0.997312,47.1483,0.999328,26.17,1.0,254.682,1.0,403.564,1.0,6.269,1.0,100.837,1.0,0.170019992354,0.84811827957,6.955,1.0,1.196,1.0,,,0.954010354,0.322039345152703,24.833,25.926,224.31,401.96,4.068,100.78,7.019,1.045,6.38967
8,200208,US-Goo,34.2547,-89.8735,GRA,Temperate,9.77399,8.481,-2.13011,0.999328,112.873,1.0,28.2168,1.0,25.504,1.0,242.913,1.0,395.71,1.0,6.095,1.0,100.839,1.0,0.164446751678,0.83938172043,1.935,1.0,1.162,1.0,,,2.65969430322581,0.504365560479518,24.831,25.948,216.452,397.13,4.629,100.783,5.269,1.313,7.643879999999999
9,200209,US-Goo,34.2547,-89.8735,GRA,Temperate,4.70045,4.35557,-0.454666,0.910417,75.947,0.94375,31.4762,0.945833,23.588,0.982639,190.708,0.984028,384.941,0.982639,6.405,0.982639,100.598,0.966667,0.178331579613,0.627083333333,8.02,0.966667,1.471,0.966667,,,2.85434376666667,0.524229875666575,23.023,24.359,183.977,382.098,5.023,100.584,7.959,1.49,4.2457840000000004
10,200210,US-Goo,34.2547,-89.8735,GRA,Temperate,2.57201,2.2943,0.620867,0.997312,47.0824,0.997984,25.5063,0.997312,16.944,1.0,125.194,1.0,358.253,1.0,2.366,1.0,100.834,1.0,0.201056389323,0.850134408602,6.929,1.0,1.458,1.0,,,2.79411593548387,0.53411616210146,16.479,17.314,127.726,354.128,2.542,100.844,4.622,1.567,3.192877
11,200211,US-Goo,34.2547,-89.8735,GRA,Temperate,0.824633,0.732648,0.146296,0.7375,33.1814,0.765972,20.0616,1.0,8.432,1.0,120.22,1.0,293.31,1.0,3.094,1.0,101.09,1.0,0.254844342215,0.827083333333,3.453,1.0,1.816,1.0,,,3.59831510967742,0.563964475600838,8.689,9.919,114.807,293.059,2.028,101.107,2.136,1.882,0.9709289999999999
12,200212,US-Goo,34.2547,-89.8735,GRA,Temperate,0.61871,0.633065,-0.055372,0.965054,32.0838,0.984543,10.3182,1.0,6.242,1.0,85.357,0.997984,290.018,1.0,2.24,1.0,101.006,1.0,0.265952117145,0.826612903226,7.69,1.0,2.093,1.0,,,2.52612473333333,0.44029834555371,5.528,6.581,82.994,289.136,1.086,101.037,6.264,1.989,0.563338
13,200301,US-Goo,34.2547,-89.8735,GRA,Temperate,1.27686,0.806543,-1.1071,0.974462,24.5053,1.0,15.6353,1.0,2.348,1.0,106.823,1.0,262.181,1.0,2.181,1.0,101.462,1.0,0.276646969001,0.853494623656,0.632,1.0,2.256,1.0,,,0.692452406451613,0.197226719481396,1.911,3.256,113.695,262.034,1.238,101.465,1.047,1.892,0.16976000000000013
14,200302,US-Goo,34.2547,-89.8735,GRA,Temperate,3.13115,1.69909,-2.9367,0.965774,25.7689,0.990327,11.6713,0.997024,5.628,1.0,88.939,1.0,303.523,1.0,1.662,1.0,100.885,1.0,0.268561772438,0.63318452381,8.207,1.0,2.188,1.0,,,1.72801463225806,0.377611672873026,4.884,5.92,100.815,300.0,1.038,100.912,6.814,1.831,0.1944499999999998
15,200303,US-Goo,34.2547,-89.8735,GRA,Temperate,2.77362,4.90874,-1.75164,0.403898,54.539,0.415995,31.6837,0.422715,11.782,0.604839,181.547,0.606855,309.034,0.604839,3.75,0.604839,100.549,0.580645,,,1.232,0.580645,1.98,0.580645,,,0.949001103333333,0.277013323555736,11.407,13.104,193.155,307.481,3.018,100.558,1.291,1.718,1.02198
16,200304,US-Goo,34.2547,-89.8735,GRA,Temperate,3.55424,4.19556,-0.907377,0.536806,86.5173,0.531944,37.5015,0.540278,16.942,0.530556,233.412,0.529861,328.332,0.530556,5.767,0.530556,100.601,0.521528,,,4.657,0.521528,2.092,0.521528,,,0.706474339032258,0.226722085197697,17.342,18.78,245.117,328.198,5.82,100.604,4.239,2.095,2.646863
17,200305,US-Goo,34.2547,-89.8735,GRA,Temperate,5.18958,4.68509,-1.15129,0.988575,88.2826,1.0,33.0766,1.0,21.17,1.0,233.047,1.0,364.13,1.0,5.572,1.0,100.472,0.999328,0.262779707921,0.738575268817,8.142,0.999328,1.872,0.999328,,,0.773064289642857,0.189646388734918,21.38,22.599,243.834,364.638,5.787,100.47,4.179,1.839,4.03829
18,200306,US-Goo,34.2547,-89.8735,GRA,Temperate,2.46584,3.80287,-0.188045,0.336806,132.48,0.394444,74.9242,0.405556,22.493,0.380556,250.894,0.381944,375.777,0.380556,5.286,0.380556,100.493,0.370833,,,7.99,0.370833,1.374,0.370833,,,1.11307876,0.259302154811562,22.586,23.728,249.477,375.544,5.564,100.495,5.477,1.305,2.2777950000000002
