Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,US-IB2,41.84062,-88.24103,GRA,Continental,-0.590323,1.10476,1.39739,0.0,57.4585,0.0,25.8682,0.0,-7.014,0.0,64.901,0.0,224.188,0,0.85,0.0,99.26,0.0,,,1.251,0.0,3.288,0.0,,,0.135848460967742,0.10704016658408,-7.014,-5.831,64.901,224.188,0.85,99.26,1.251,3.288,0.8070669999999999
2,200402,US-IB2,41.84062,-88.24103,GRA,Continental,-0.294555,1.49735,1.36686,0.0,51.8033,0.0,23.0904,0.0,-3.024,0.0,113.345,0.0,238.791,0,1.097,0.0,99.437,0.0,,,0.766,0.0,3.005,0.0,,,0.644922103225806,0.27442093465995,-3.024,-0.993,113.345,238.791,1.097,99.437,0.766,3.005,1.072305
3,200403,US-IB2,41.84062,-88.24103,GRA,Continental,0.310845,1.74562,1.39739,0.0,48.1986,0.0,21.6993,0.0,4.48,0.0,140.123,0.0,291.668,0,2.125,0.0,99.229,0.0,,,3.39,0.0,3.411,0.0,,,0.403688309666667,0.173265293533787,4.48,5.83,140.123,291.668,2.125,99.229,3.39,3.411,1.708235
4,200404,US-IB2,41.84062,-88.24103,GRA,Continental,0.876763,2.16018,1.38263,0.0,41.7952,0.0,18.7263,0.0,10.32,0.0,215.878,0.0,308.558,0,5.019,0.0,98.939,0.0,,,1.745,0.0,3.327,0.0,,,0.266795426333333,0.114765008148959,10.32,11.935,215.878,308.558,5.019,98.939,1.745,3.327,2.259393
5,200405,US-IB2,41.84062,-88.24103,GRA,Continental,1.44526,2.21856,1.36572,0.0,41.5651,0.0,19.0251,0.0,15.901,0.0,211.958,0.0,366.645,0,4.938,0.0,98.771,0.0,,,5.904,0.0,2.97,0.0,,,0.199194534137931,0.0634310065422308,15.901,16.931,211.958,366.645,4.938,98.771,5.904,2.97,2.81098
6,200406,US-IB2,41.84062,-88.24103,GRA,Continental,1.69777,2.40423,1.38263,0.0,42.0949,0.0,18.8606,0.0,18.573,0.0,242.62,0.0,368.831,0,6.451,0.0,98.964,0.0,,,3.334,0.0,2.302,0.0,,,0.313673175483871,0.14897687293721,18.573,19.785,242.62,368.831,6.451,98.964,3.334,2.302,3.0804
7,200407,US-IB2,41.84062,-88.24103,GRA,Continental,1.89051,2.41047,1.38478,0.0,42.5861,0.0,18.576,0.0,20.475,0.0,241.915,0.0,377.369,0,7.19,0.0,98.836,0.0,,,2.414,0.0,2.144,0.0,,,0.71539502,0.241838393947586,20.475,21.814,241.915,377.369,7.19,98.836,2.414,2.144,3.27529
8,200408,US-IB2,41.84062,-88.24103,GRA,Continental,1.67393,2.16885,1.39739,0.0,44.819,0.0,20.1778,0.0,18.485,0.0,204.182,0.0,360.809,0,6.312,0.0,98.995,0.0,,,2.566,0.0,2.204,0.0,,,1.78310457741935,0.438722416506004,18.485,19.864,204.182,360.809,6.312,98.995,2.566,2.204,3.07132
9,200409,US-IB2,41.84062,-88.24103,GRA,Continental,1.61775,2.0354,1.38263,0.0,49.684,0.0,22.2609,0.0,17.789,0.0,187.499,0.0,338.9,0,6.634,0.0,99.301,0.0,,,0.571,0.0,2.272,0.0,,,2.48855322333333,0.558680210781262,17.789,19.566,187.499,338.9,6.634,99.301,0.571,2.272,3.00038
10,200410,US-IB2,41.84062,-88.24103,GRA,Continental,0.704287,1.02963,1.58218,0.815188,35.3209,0.815188,26.1257,0.815188,11.639,0.815188,109.52,0.81586,305.231,0,3.57,0.0,99.035,0.814516,0.32197107565,0.80376344086,1.265,0.814516,2.849,0.814516,412.049,0.815188,2.39249722258065,0.58944725305773,10.728,12.2,116.126,305.231,3.57,98.89,1.944,2.962,2.286467
11,200411,US-IB2,41.84062,-88.24103,GRA,Continental,0.150761,0.206122,1.11717,0.996528,21.9071,0.995139,15.8156,1.0,6.031,1.0,67.296,1.0,289.03,0,1.626,0.421528,99.56,1.0,0.272397585359,0.729861111111,1.727,1.0,2.653,1.0,410.085,1.0,2.07986420967742,0.531368218018875,5.18,6.147,64.409,289.03,1.755,99.379,4.023,2.769,1.267931
12,200412,US-IB2,41.84062,-88.24103,GRA,Continental,-0.00437846,0.0395624,0.576857,0.993952,15.6504,1.0,14.316,1.0,-2.073,1.0,63.88,1.0,242.963,0,1.164,1.0,99.2,1.0,0.351023072026,0.996639784946,1.155,1.0,3.502,1.0,402.009,1.0,1.56874857666667,0.421687518575126,-1.989,-0.913,60.146,242.963,1.233,99.119,1.63,3.296,0.57247854
13,200501,US-IB2,41.84062,-88.24103,GRA,Continental,0.0763404,0.0777407,0.386611,0.983871,13.107,0.984543,10.8185,1.0,-4.576,1.0,69.992,0.998656,241.86,0,0.81,1.0,99.757,1.0,0.307345405638,0.98185483871,2.71,1.0,3.166,1.0,409.016,1.0,0.130414614193548,0.140944452575746,-5.236,-4.102,66.09,241.86,0.731,99.645,4.131,2.972,0.4629514
14,200502,US-IB2,41.84062,-88.24103,GRA,Continental,-0.0877185,0.140672,0.364108,0.982887,23.1537,0.997768,17.8413,0.998512,-0.331,1.0,84.635,1.0,257.932,0,1.107,1.0,99.434,1.0,0.255326884921,0.997767857143,2.489,1.0,2.699,1.0,413.606,1.0,0.905936189032258,0.300375188427751,-0.776,0.825,99.011,257.932,1.148,99.274,2.521,2.572,0.27638949999999995
15,200503,US-IB2,41.84062,-88.24103,GRA,Continental,0.108742,0.103506,0.445373,0.935484,29.9783,0.999328,39.79,1.0,1.262,1.0,148.681,1.0,255.997,0,2.497,1.0,98.825,1.0,0.286623931624,0.83064516129,0.932,1.0,3.332,1.0,405.867,1.0,0.551602554333333,0.196324011494504,1.146,2.892,159.789,255.997,2.14,98.672,1.328,2.852,0.554115
16,200504,US-IB2,41.84062,-88.24103,GRA,Continental,1.28567,1.61057,0.749958,0.800694,57.9933,0.990972,53.1195,1.0,11.392,1.0,215.374,0.940972,314.639,0,7.333,1.0,99.007,1.0,0.250140625,0.655555555556,2.517,1.0,4.031,1.0,407.697,1.0,0.108988093032258,0.0688815564659596,10.798,12.31,206.592,314.639,5.277,98.795,2.418,2.972,2.035628
17,200505,US-IB2,41.84062,-88.24103,GRA,Continental,7.40314,7.57104,-3.63823,0.944892,98.0323,0.987903,21.2494,0.998656,13.939,0.99664,226.744,0.950269,332.292,0,6.861,0.99664,99.137,0.995296,0.251346927128,0.997983870968,2.259,0.995296,3.45,0.999328,404.05,0.99664,0.193159031428571,0.104153563173489,13.974,15.524,244.245,332.292,6.568,98.911,1.165,2.853,3.7649099999999995
18,200506,US-IB2,41.84062,-88.24103,GRA,Continental,9.50945,10.6959,-4.59572,0.982639,123.847,0.998611,20.5035,0.997917,23.195,1.0,265.824,1.0,394.131,0,11.158,1.0,99.033,1.0,0.254776785714,0.933333333333,0.417,1.0,2.735,0.999306,400.449,0.998611,0.231582617419355,0.124056770625497,22.809,24.118,267.535,394.131,11.196,98.723,1.294,2.47,4.913729999999999
19,200507,US-IB2,41.84062,-88.24103,GRA,Continental,8.73705,9.20004,-2.70763,0.957661,119.759,0.987231,42.6708,0.989919,23.785,0.989247,265.785,0.990591,384.41,0,10.214,0.989247,99.22,1.0,0.205697091887,0.987231182796,1.239,1.0,2.162,0.989919,396.913,0.989247,0.657926095,0.202207600184856,23.031,24.521,257.406,384.41,10.894,98.967,1.896,2.123,6.02942
20,200508,US-IB2,41.84062,-88.24103,GRA,Continental,6.69507,7.13545,-1.25641,0.894489,108.901,0.980511,30.0291,0.978495,22.643,0.897177,220.461,0.899866,376.482,0,9.561,0.897177,99.218,0.872312,0.21430823237,0.912634408602,1.187,0.872312,1.975,0.980511,391.812,0.885753,1.71457338225806,0.393836577910238,22.205,23.738,224.376,376.482,9.936,98.942,0.577,1.863,5.4386600000000005
21,200509,US-IB2,41.84062,-88.24103,GRA,Continental,3.9604,4.27424,-0.266583,0.9625,79.3866,0.998611,34.9117,1.0,20.148,1.0,178.397,1.0,357.976,0,8.969,1.0,99.421,1.0,0.236375,1.0,1.413,1.0,2.25,1.0,383.54,0.998611,2.12200100666667,0.541493603562964,19.458,21.132,177.396,357.976,8.073,99.163,1.867,2.355,3.693817
22,200510,US-IB2,41.84062,-88.24103,GRA,Continental,2.03418,2.26175,0.0238163,0.990591,43.8365,1.0,29.2849,1.0,12.065,1.0,122.273,1.0,311.844,0,4.731,1.0,99.412,1.0,0.260732526882,1.0,0.516,1.0,2.508,1.0,376.074,1.0,1.58164178709677,0.504249845123886,11.532,12.936,119.345,311.844,4.224,99.216,0.632,2.574,2.0579963
