Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,US-KS1,28.4583,-80.6709,ENF,Temperate,3.64477,4.1415,-0.471466,0.0,,0.0,,0.0,16.971,0.0,145.82,0.0,362.307,0,4.536,0.0,102.112,0.0,,,0.683,0.0,2.941,0.0,,,3.94298948709677,0.364086944035922,16.971,17.601,145.82,362.307,4.536,102.112,0.683,2.941,3.173304
2,200202,US-KS1,28.4583,-80.6709,ENF,Temperate,3.6124,4.37111,-0.475427,0.0,,0.0,,0.0,16.701,0.00818452,164.441,0.00892857,361.794,0,5.842,0.00818452,102.076,0.000744048,,,1.701,0.000744048,3.22,0.0,,,5.39255644516129,0.41641077221574,16.651,17.38,164.447,361.794,5.859,102.076,1.701,3.22,3.1369730000000002
3,200203,US-KS1,28.4583,-80.6709,ENF,Temperate,4.34151,4.89445,-0.642491,0.795027,,0.78629,,0.789651,21.467,1.0,232.427,1.0,369.088,0,6.68,1.0,102.004,1.0,0.353477270159,0.60685483871,1.484,1.0,3.605,0.622312,377.351,0.810484,4.87192893,0.406236348542486,20.879,21.668,221.71,369.088,7.216,102.033,0.78,3.317,3.6990190000000003
4,200204,US-KS1,28.4583,-80.6709,ENF,Temperate,6.54854,6.79097,-1.92051,0.990278,,0.997222,,0.997917,24.395,1.0,252.488,1.0,383.095,0,8.792,1.0,101.976,1.0,0.363552198699,0.935416666667,0.933,1.0,3.225,0.935417,374.754,1.0,4.29344842580645,0.393283418926194,23.748,24.318,258.068,383.095,8.146,101.995,1.413,2.904,4.62803
5,200205,US-KS1,28.4583,-80.6709,ENF,Temperate,6.70815,6.83052,-1.44935,0.998656,,0.988575,,0.989919,25.858,1.0,281.769,1.0,393.131,0,9.551,1.0,101.767,1.0,0.440743195638,0.891801075269,2.484,1.0,3.894,0.895161,384.781,1.0,4.42519845714286,0.37368475745335,25.5,26.111,273.224,393.131,8.361,101.782,2.301,3.336,5.2588
6,200206,US-KS1,28.4583,-80.6709,ENF,Temperate,6.00266,6.71979,-0.154138,0.586806,,0.827778,,0.838194,26.75,0.447222,222.865,0.446528,417.743,0,6.478,0.447222,101.665,0.675694,0.2938878281,0.984027777778,6.634,0.445139,2.7,0.984028,389.841,0.986806,5.43577147419355,0.401419684194662,26.598,26.997,221.793,417.743,5.777,101.68,6.776,2.665,5.848522
7,200207,US-KS1,28.4583,-80.6709,ENF,Temperate,7.31299,7.30648,-1.6042,0.69086,,0.750672,,0.768145,27.606,0.699597,247.149,0.700941,420.14,0,7.287,0.699597,101.877,0.998656,0.259758007747,0.690860215054,5.645,0.692204,2.223,0.69422,395.918,0.912634,5.76406194666667,0.482900008987039,27.802,28.228,247.643,420.14,6.332,101.861,4.701,1.959,5.7087900000000005
8,200208,US-KS1,28.4583,-80.6709,ENF,Temperate,6.08522,6.57365,-0.84577,0.99328,,0.989247,,0.991935,27.684,1.0,228.974,1.0,421.233,0,7.816,1.0,101.752,1.0,0.307166207401,0.791666666667,6.0,1.0,2.537,0.80578,384.093,0.991935,5.6888064483871,0.524346155304928,28.071,28.401,226.721,421.233,7.608,101.718,5.703,2.446,5.23945
9,200209,US-KS1,28.4583,-80.6709,ENF,Temperate,5.7555,6.09676,-0.533883,0.997917,,0.997917,,0.997917,28.234,1.0,210.084,1.0,424.959,0,7.623,1.0,101.46,1.0,0.328153783468,0.919444444444,2.267,1.0,2.971,0.920139,381.423,0.998611,3.41744377,0.490388462660869,27.966,28.432,189.357,424.959,6.918,101.433,7.092,2.602,5.221616999999999
10,200210,US-KS1,28.4583,-80.6709,ENF,Temperate,4.66558,4.93414,-0.143266,0.978495,89.2144,0.99664,36.8771,0.99664,25.993,1.0,173.259,1.0,407.917,0,6.802,1.0,101.6,1.0,0.237265382796,0.82123655914,2.839,1.0,2.516,0.856183,378.035,0.999328,3.6978793483871,0.463485459674099,26.408,26.975,189.454,407.917,7.521,101.586,3.079,2.274,4.522314000000001
11,200211,US-KS1,28.4583,-80.6709,ENF,Temperate,4.13904,3.63318,-0.932648,0.985417,67.3413,0.995139,26.6091,0.995833,19.896,1.0,153.463,1.0,380.287,0,5.882,1.0,101.866,1.0,0.304351525415,0.959027777778,1.5,1.0,2.883,0.975,402.671,1.0,5.11466695483871,0.460216963036437,20.767,21.292,152.332,380.287,7.847,101.889,1.381,3.135,3.2063919999999997
12,200212,US-KS1,28.4583,-80.6709,ENF,Temperate,3.723,3.56667,-0.773952,0.941532,62.7531,0.920027,17.5275,0.920027,16.778,1.0,125.646,1.0,361.02,0,4.28,1.0,102.023,0.997984,0.315040033594,0.774193548387,6.613,0.997984,3.031,0.78293,,,5.55162698666667,0.4363205140423,17.106,17.681,131.062,361.02,5.883,102.032,2.987,3.46,2.949048
