Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199701,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.427462,0.0,0.432566,0.607527,9.3048,0.678091,41.572,0.678763,3.153,0.94422,113.052,0.944892,262.684,0,3.342,0.94422,97.832,0.928763,,,0.119,0.928763,3.057,0.928763,,,,,3.327,4.566,112.555,262.684,2.518,97.761,0.389,2.946,0.005103999999999997
2,199702,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.684892,0.0,0.740661,0.987351,15.8383,1.0,44.8411,1.0,6.65,1.0,117.216,1.0,286.344,0,2.788,1.0,97.76,1.0,0.299464858057,0.938988095238,2.812,1.0,2.608,1.0,,,,,6.573,8.215,129.676,286.344,2.101,97.793,4.371,2.468,0.05576900000000007
3,199703,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.380482,0.0724178,0.88405,0.982527,25.8187,1.0,78.4118,1.0,11.92,1.0,202.186,1.0,290.82,0,5.928,1.0,97.583,1.0,0.371566544343,0.948252688172,0.18,1.0,3.383,1.0,,,,,12.201,14.391,207.72,290.82,5.828,97.558,0.427,3.051,0.503568
4,199704,US-LWW,34.9604,-97.9789,GRA,Temperate,1.54892,1.12442,-0.110335,0.679167,51.3892,0.681944,72.2685,0.681944,13.071,0.681944,211.42,0.683333,316.159,0,4.806,0.681944,97.241,0.666667,0.34363573052,0.634027777778,6.507,0.666667,3.316,0.666667,,,,,13.284,14.671,208.718,316.159,4.821,97.217,5.981,3.263,1.438585
5,199705,US-LWW,34.9604,-97.9789,GRA,Temperate,5.1359,4.71216,-1.46307,0.990591,88.4908,0.998656,53.5383,0.998656,19.382,1.0,255.158,1.0,349.211,0,5.939,1.0,97.332,1.0,0.317508466874,0.949596774194,6.817,1.0,2.75,1.0,,,,,19.836,21.37,258.308,349.211,8.597,97.312,1.765,2.926,3.6728300000000003
6,199706,US-LWW,34.9604,-97.9789,GRA,Temperate,7.07446,6.91508,-1.44708,0.98125,102.436,0.998611,46.3001,1.0,23.825,1.0,264.04,1.0,386.817,0,5.798,1.0,97.011,1.0,0.286839931509,0.877777777778,1.566,1.0,2.164,1.0,,,,,24.403,25.749,267.411,386.817,10.077,96.987,2.66,2.527,5.6273800000000005
7,199707,US-LWW,34.9604,-97.9789,GRA,Temperate,6.81192,7.29471,-1.86075,0.995968,96.7195,1.0,61.685,1.0,27.312,1.0,286.937,1.0,402.267,0,10.256,1.0,97.369,1.0,0.276119693395,0.928091397849,1.286,1.0,2.064,1.0,,,,,27.17,28.478,267.524,402.267,13.298,97.379,2.526,2.419,4.951169999999999
8,199708,US-LWW,34.9604,-97.9789,GRA,Temperate,3.49218,3.45139,0.860013,0.986559,72.8768,1.0,65.1863,0.999328,25.912,1.0,232.201,1.0,396.195,0,8.34,1.0,97.406,1.0,0.262598313669,0.934811827957,3.302,1.0,1.93,1.0,,,,,26.031,27.593,238.252,396.195,11.817,97.408,3.824,2.276,4.352193
9,199709,US-LWW,34.9604,-97.9789,GRA,Temperate,1.12194,1.34665,1.34977,0.973611,58.3678,1.0,63.1489,1.0,23.917,1.0,198.608,1.0,379.791,0,9.541,1.0,97.315,1.0,0.290957098206,0.910416666667,1.956,1.0,2.263,1.0,,,,,23.837,25.275,192.474,379.791,11.557,97.349,1.955,2.583,2.47171
10,199710,US-LWW,34.9604,-97.9789,GRA,Temperate,0.233359,0.274888,1.72393,0.770833,21.3692,1.0,54.8623,1.0,16.495,1.0,154.026,1.0,331.999,0,4.649,1.0,97.381,1.0,0.314770518965,0.920698924731,3.548,1.0,2.553,1.0,,,,,16.475,18.12,147.963,331.999,5.305,97.39,2.564,2.962,1.957289
11,199711,US-LWW,34.9604,-97.9789,GRA,Temperate,-1.20144,0.0,1.3045,0.984028,16.3229,1.0,41.3401,0.999306,8.053,1.0,117.285,1.0,280.074,0,4.027,1.0,97.592,1.0,0.296639962947,0.875694444444,0.787,1.0,2.548,1.0,,,,,7.733,9.284,115.526,280.074,2.505,97.548,1.416,2.576,0.10305999999999993
12,199712,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.755801,0.0,0.862104,0.975806,18.8802,0.997984,24.1356,0.999328,3.915,1.0,83.001,1.0,268.193,0,2.759,1.0,97.416,1.0,0.314123381856,0.760080645161,3.298,1.0,2.738,1.0,,,,,3.696,5.301,89.694,268.193,1.426,97.483,3.299,2.712,0.10630300000000004
13,199801,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.688908,0.0,0.843612,0.914651,12.7278,0.975134,30.4883,0.979839,5.574,1.0,84.299,0.995968,275.914,0,2.528,1.0,97.357,1.0,0.311586022101,0.696908602151,3.605,1.0,2.948,1.0,,,,,5.224,7.085,106.663,275.914,1.107,97.341,2.644,2.717,0.15470400000000006
14,199802,US-LWW,34.9604,-97.9789,GRA,Temperate,-1.06074,0.0,1.10396,0.872024,23.6875,0.970982,49.4767,1.0,7.633,1.0,133.978,1.0,279.339,0,3.756,1.0,97.111,0.999256,0.265542413075,0.828125,0.572,1.0,2.5,1.0,,,,,6.793,8.721,138.965,279.339,2.01,97.065,0.666,2.356,0.043220000000000036
15,199803,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.92651,0.0,1.16569,0.198925,32.6992,0.686828,56.1675,0.700269,8.75,1.0,161.399,1.0,292.587,0,4.349,1.0,97.311,1.0,0.36374543408,0.532258064516,4.171,1.0,3.955,1.0,,,,,8.779,10.367,175.295,292.587,3.169,97.22,3.708,3.428,0.23917999999999995
16,199804,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.0300397,0.210079,1.08844,0.90625,50.6974,0.920139,71.8627,0.920139,14.459,1.0,244.42,1.0,302.542,0,7.517,1.0,97.18,1.0,0.320237710473,0.720833333333,4.293,1.0,3.198,1.0,,,,,14.696,16.646,243.931,302.542,7.339,97.079,3.328,3.096,1.0584003000000002
17,199805,US-LWW,34.9604,-97.9789,GRA,Temperate,3.84013,3.82123,-0.341933,0.992608,81.6053,1.0,43.0668,1.0,22.972,1.0,263.161,1.0,364.838,0,10.886,1.0,96.86,1.0,0.28917089601,0.929435483871,0.606,1.0,2.584,1.0,,,,,23.503,25.266,272.424,364.838,11.588,96.848,2.48,2.826,3.498197
18,199806,US-LWW,34.9604,-97.9789,GRA,Temperate,2.22304,2.10201,0.722438,0.992361,87.6785,1.0,56.7313,1.0,27.399,1.0,302.085,1.0,391.12,0,17.449,1.0,96.802,1.0,0.406225696147,0.970138888889,1.287,1.0,3.8,1.0,,,,,28.052,29.268,292.885,391.12,18.127,96.793,1.622,3.8,2.945478
19,199807,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.305107,0.24801,2.02589,0.959677,38.9859,0.992608,95.3317,0.992608,31.21,1.0,307.519,1.0,418.158,0,25.808,1.0,97.171,1.0,0.287512069247,0.772849462366,0.033,1.0,2.516,1.0,,,,,30.703,32.128,276.223,418.158,22.687,97.25,0.791,2.294,1.720783
20,199808,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.958764,0.0,2.75587,0.96371,33.0933,1.0,84.1923,1.0,28.567,1.0,249.198,1.0,400.44,0,20.203,1.0,97.349,1.0,0.236505625478,0.918682795699,0.869,1.0,1.951,1.0,,,,,28.744,30.323,250.477,400.44,20.106,97.424,0.356,2.033,1.7971059999999999
21,199809,US-LWW,34.9604,-97.9789,GRA,Temperate,-0.593483,0.000469237,2.20212,0.984028,31.4856,0.999306,77.7569,0.999306,26.994,1.0,215.323,1.0,391.409,0,17.274,1.0,96.991,1.0,0.261419205195,0.938888888889,1.118,1.0,2.255,1.0,,,,,26.339,27.969,199.38,391.409,14.843,97.097,1.254,2.302,1.6086369999999999
22,199810,US-LWW,34.9604,-97.9789,GRA,Temperate,0.962469,1.28304,0.719967,0.971774,34.6902,0.991935,32.1361,0.991935,18.078,1.0,150.533,1.0,336.83,0,6.097,1.0,97.587,1.0,0.284899539323,0.872983870968,3.114,1.0,2.636,1.0,,,,,17.676,19.068,143.352,336.83,5.369,97.634,3.811,2.931,1.682436
23,199811,US-LWW,34.9604,-97.9789,GRA,Temperate,0.852295,0.610205,0.0794077,0.988889,,0.999306,,0.999306,11.675,1.0,93.893,1.0,305.279,0,3.302,1.0,97.505,1.0,0.278400513506,0.979861111111,2.345,1.0,2.842,1.0,,,,,11.736,13.258,107.529,305.279,2.714,97.549,2.427,2.856,0.9317027
