Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,US-Lin,36.3566,-119.8423,CRO,Arid,1.2869,2.75599,-0.728762,0.0,24.4018,0.0,31.7189,0.0,10.891,0.0,117.825,0.0,283.065,0,5.991,0.0,100.575,0.0,,,0.646,0.0,1.089,0.0,,,0.647313633225806,0.323300876829619,10.891,14.093,117.825,283.065,5.991,100.575,0.646,1.089,0.5581379999999999
2,200902,US-Lin,36.3566,-119.8423,CRO,Arid,1.25815,2.79153,-0.732095,0.0,23.4471,0.0,30.4373,0.0,9.996,0.0,120.142,0.0,298.429,0,3.649,0.0,100.139,0.0,,,2.904,0.0,1.309,0.0,,,0.944785219032258,0.401307990032291,9.996,12.031,120.142,298.429,3.649,100.139,2.904,1.309,0.526055
3,200903,US-Lin,36.3566,-119.8423,CRO,Arid,1.34038,3.84747,-0.738971,0.0,23.3624,0.0,30.3307,0.0,12.248,0.0,221.448,0.0,283.39,0,5.872,0.0,100.083,0.0,,,0.656,0.0,1.34,0.0,,,0.390115099333333,0.236325924770423,12.248,14.704,221.448,283.39,5.872,100.083,0.656,1.34,0.6014089999999999
4,200904,US-Lin,36.3566,-119.8423,CRO,Arid,1.44464,4.39014,-0.733316,0.0,23.9105,0.0,31.0544,0.0,15.349,0.0,277.884,0.0,291.991,0,9.849,0.0,99.918,0.0,,,0.31,0.0,1.566,0.0,,,0.298597231612903,0.174462423776021,15.349,17.735,277.884,291.991,9.849,99.918,0.31,1.566,0.711324
5,200905,US-Lin,36.3566,-119.8423,CRO,Arid,1.69717,4.72145,-0.728762,0.0,24.0921,0.0,31.3164,0.0,22.257,0.0,305.766,0.0,331.41,0,15.601,0.0,99.657,0.0,,,0.162,0.0,1.463,0.0,,,1.20368006857143,0.455868871998172,22.257,24.584,305.766,331.41,15.601,99.657,0.162,1.463,0.968408
6,200906,US-Lin,36.3566,-119.8423,CRO,Arid,1.70266,4.81752,-0.733316,0.0,23.5363,0.0,30.5683,0.0,22.27,0.0,304.139,0.0,341.373,0,15.049,0.0,99.405,0.0,,,0.388,0.0,1.35,0.0,,,1.47493558387097,0.49600153634117,22.27,24.132,304.139,341.373,15.049,99.405,0.388,1.35,0.9693440000000001
7,200907,US-Lin,36.3566,-119.8423,CRO,Arid,1.91558,4.87487,-0.732214,0.0,23.3828,0.0,30.3553,0.0,27.551,0.0,320.769,0.0,355.182,0,24.366,0.0,99.584,0.0,,,0.0,0.0,1.301,0.0,,,1.07728516,0.405463698532567,27.551,29.965,320.769,355.182,24.366,99.584,0.0,1.301,1.183366
8,200908,US-Lin,36.3566,-119.8423,CRO,Arid,1.85327,4.53907,-0.738971,0.0,24.712,0.0,32.0829,0.0,25.888,0.0,290.375,0.0,343.967,0,21.022,0.0,99.636,0.0,,,0.002,0.0,1.247,0.0,,,1.11028452580645,0.395789795469704,25.888,28.472,290.375,343.967,21.022,99.636,0.002,1.247,1.114299
9,200909,US-Lin,36.3566,-119.8423,CRO,Arid,1.80374,4.08502,-0.733316,0.0,25.4127,0.0,33.0054,0.0,24.788,0.0,244.15,0.0,339.341,0,19.563,0.0,99.6,0.0,,,0.0,0.0,1.214,0.0,,,1.19777789333333,0.471204416444593,24.788,27.655,244.15,339.341,19.563,99.6,0.0,1.214,1.070424
10,200910,US-Lin,36.3566,-119.8423,CRO,Arid,1.47216,3.35981,-0.728762,0.0,24.309,0.0,31.5983,0.0,16.372,0.0,175.757,0.0,304.854,0,7.818,0.0,99.736,0.0,,,1.484,0.0,1.244,0.0,,,1.2550555483871,0.434772273230123,16.372,18.841,175.757,304.854,7.818,99.736,1.484,1.244,0.7433979999999999
