Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199901,US-MMS,39.3232,-86.4131,DBF,Continental,0.0827774,0.00714208,0.937418,0.956989,4.29121,0.96371,-9.65523,0.961022,-2.073,0.384409,59.319,0.966398,286.526,0.974462,1.702,0.384409,98.432,0.899194,,,4.361,0.951613,4.614,0.58871,372.603,0.965054,,,-0.773,0.263,75.11,285.067,1.822,98.496,6.384,4.219,1.0201954
2,199902,US-MMS,39.3232,-86.4131,DBF,Continental,0.00130024,0.0197692,1.06435,0.982143,13.3372,0.99256,21.5886,0.991071,0.931,0.995536,104.447,0.997024,281.277,0.997024,2.19,0.995536,98.368,0.970238,0.575071650225,0.854166666667,3.92,0.964286,4.122,0.886905,370.926,0.997024,,,3.693,4.804,114.308,287.467,2.542,98.421,3.155,4.009,1.0656502399999999
3,199903,US-MMS,39.3232,-86.4131,DBF,Continental,-0.16683,0.0298377,0.912842,0.896505,14.7599,0.913978,72.1903,0.915323,0.434,0.83871,173.134,0.913978,269.081,0.913978,2.699,0.83871,98.555,0.827957,0.506095122298,0.717741935484,1.326,1.0,3.786,0.770161,369.736,0.913978,,,3.619,5.018,182.049,276.787,3.1,98.6,1.819,3.602,0.746012
4,199904,US-MMS,39.3232,-86.4131,DBF,Continental,0.0239019,0.797362,2.06194,0.948611,31.168,0.95,66.0709,0.95,12.909,0.208333,175.942,0.95,331.663,0.168056,5.405,0.208333,98.018,0.715278,,,3.453,1.0,4.252,0.601389,371.152,0.95,,,13.119,14.159,185.461,334.676,4.395,98.032,5.564,4.201,2.0858418999999997
5,199905,US-MMS,39.3232,-86.4131,DBF,Continental,9.00197,8.39871,-3.72687,0.888441,102.354,0.923387,52.8223,0.923387,15.055,0.922043,245.116,0.923387,352.99,0.0,7.116,0.922043,98.152,0.849462,0.463013394822,0.784946236559,3.413,1.0,3.481,0.837366,365.722,0.918011,,,18.215,19.362,235.542,352.99,6.688,98.166,3.203,3.326,5.2751
6,199906,US-MMS,39.3232,-86.4131,DBF,Continental,12.4496,11.8046,-5.74334,0.861111,123.107,0.920833,26.6538,0.920833,16.102,0.922222,250.556,0.923611,382.582,0.0,5.205,0.922222,98.347,0.838889,0.319785644006,0.629166666667,3.55,1.0,2.887,0.747222,383.044,0.919444,,,22.036,23.1,245.537,382.582,7.022,98.32,3.709,2.645,6.70626
7,199907,US-MMS,39.3232,-86.4131,DBF,Continental,12.9122,10.4618,-5.39135,0.543011,121.579,0.706989,12.7618,0.705645,24.696,0.768817,268.011,0.729839,400.045,0.0,7.841,0.768817,98.33,0.354839,,,3.474,1.0,2.97,0.474462,367.698,0.696237,,,25.738,26.906,266.812,400.045,9.699,98.305,3.308,2.596,7.52085
8,199908,US-MMS,39.3232,-86.4131,DBF,Continental,9.33871,10.2009,-4.21879,0.866935,109.085,0.975806,26.2977,0.975806,21.938,1.0,246.869,0.978495,372.225,0.413978,8.734,1.0,98.225,0.0,0.318270496858,0.735215053763,1.28,0.822581,2.761,0.822581,373.046,0.96371,,,22.638,23.913,241.284,372.419,9.321,98.225,1.385,2.531,5.1199200000000005
9,199909,US-MMS,39.3232,-86.4131,DBF,Continental,4.9266,4.65968,-2.01792,0.908333,58.1025,0.951389,36.208,0.951389,21.035,0.95,212.087,0.95,333.46,0.8125,13.166,0.95,98.27,0.333333,0.374855412565,0.802777777778,1.127,0.966667,3.337,0.866667,384.195,0.948611,,,19.633,21.155,202.365,343.452,9.461,98.265,0.588,2.766,2.9086799999999995
10,199910,US-MMS,39.3232,-86.4131,DBF,Continental,2.23997,1.78487,0.318384,0.889785,31.9829,0.931452,29.8397,0.931452,14.537,0.93414,149.677,0.93414,302.65,0.920699,7.525,0.93414,98.628,0.204301,0.453460133807,0.793010752688,1.132,1.0,3.661,0.857527,391.899,0.931452,,,13.184,14.504,139.534,318.013,5.186,98.628,1.435,3.24,2.558354
11,199911,US-MMS,39.3232,-86.4131,DBF,Continental,-0.24668,0.129652,1.8303,0.811111,6.61607,0.858333,16.8088,0.859722,10.459,0.927778,101.168,0.9125,283.058,0.873611,5.212,0.927778,98.667,0.715278,0.472561368641,0.661111111111,0.893,0.922222,3.825,0.725,382.254,0.851389,,,9.612,10.773,102.636,300.435,4.167,98.723,0.851,3.404,1.58362
12,199912,US-MMS,39.3232,-86.4131,DBF,Continental,-0.102357,0.0654984,1.14035,0.936828,6.84647,0.951613,3.50756,0.951613,1.451,0.994624,69.69,0.944892,264.688,0.916667,1.979,0.806452,98.354,0.81586,0.527147201986,0.711021505376,2.963,0.727151,3.886,0.770161,385.388,0.943548,,,2.169,3.097,71.531,279.71,2.284,98.533,2.845,3.625,1.037993
13,200001,US-MMS,39.3232,-86.4131,DBF,Continental,-0.0105658,0.0371809,0.90923,0.952957,6.33667,0.931452,19.6271,0.954301,-1.388,1.0,76.084,0.958333,257.758,0.955645,1.969,0.0,98.499,0.825269,0.556570356974,0.842741935484,0.969,0.967742,4.025,0.891129,395.714,0.955645,,,-1.201,-0.361,87.897,269.526,1.969,98.689,2.525,3.894,0.8986642
14,200002,US-MMS,39.3232,-86.4131,DBF,Continental,-0.114153,0.00295433,1.34295,0.954023,14.3628,0.95977,35.4442,0.961207,4.125,1.0,107.787,0.958333,281.487,0.958333,2.41,0.0,98.335,0.928161,0.590360465932,0.738505747126,3.845,1.0,4.156,0.798851,395.935,0.95977,,0.399100425539738,3.508,4.441,119.798,289.229,2.41,98.665,3.311,3.806,1.2287970000000001
15,200003,US-MMS,39.3232,-86.4131,DBF,Continental,0.0370639,0.124138,1.59858,0.86828,12.7369,0.870968,67.1534,0.870968,8.473,0.961022,173.97,0.877688,288.697,0.876344,3.776,0.0,98.185,0.748656,0.554554200173,0.54435483871,1.409,0.877688,3.724,0.694892,395.464,0.875,,0.189619214639419,8.287,9.44,173.851,298.988,3.776,98.381,2.503,3.403,1.6356438999999998
16,200004,US-MMS,39.3232,-86.4131,DBF,Continental,0.493326,1.97163,1.62538,0.794444,28.349,0.819444,81.2681,0.819444,11.81,0.9125,184.23,0.815278,310.029,0.815278,4.957,0.0,97.949,0.7,0.48010478687,0.561111111111,3.822,0.852778,3.672,0.6625,394.545,0.819444,,0.172611786960352,11.803,13.108,205.854,317.951,4.957,98.147,2.022,3.415,2.118706
17,200005,US-MMS,39.3232,-86.4131,DBF,Continental,8.67382,9.10289,-2.52297,0.625,91.7462,0.837366,37.8456,0.83871,18.219,0.966398,219.901,0.833333,352.928,0.836022,7.21,0.0,97.939,0.719086,0.572450386344,0.543010752688,3.058,0.888441,3.828,0.674731,387.646,0.706989,,0.183638524760065,19.363,20.448,241.555,361.231,7.21,98.018,2.929,3.726,6.150849999999999
18,200006,US-MMS,39.3232,-86.4131,DBF,Continental,12.7524,12.4486,-5.84618,0.85,130.645,0.895833,25.5647,0.897222,21.173,1.0,255.575,0.888889,364.444,0.895833,7.379,0.545833,98.238,0.840278,0.43893420423,0.666666666667,4.543,1.0,3.377,0.772222,385.934,0.897222,,0.186461291774612,21.928,22.941,255.633,375.275,8.138,98.301,4.708,3.235,6.906219999999999
19,200007,US-MMS,39.3232,-86.4131,DBF,Continental,13.6704,11.7834,-5.87715,0.702957,123.689,0.861559,27.6795,0.860215,22.087,0.97043,248.077,0.857527,373.692,0.854839,5.872,0.97043,98.096,0.771505,0.310984693881,0.627688172043,4.595,0.91129,2.689,0.768817,374.517,0.861559,,0.316114164982292,22.371,23.409,244.164,384.812,7.012,98.192,5.131,2.386,7.7932500000000005
20,200008,US-MMS,39.3232,-86.4131,DBF,Continental,11.6079,11.5233,-4.2323,0.719086,109.219,0.817204,20.1959,0.818548,22.196,1.0,229.301,0.799731,372.599,0.798387,5.239,1.0,98.257,0.700269,,,2.781,1.0,3.062,0.737903,374.435,0.833333,,0.668221184802974,23.369,24.635,237.947,385.879,7.97,98.344,2.157,2.668,7.3756
21,200009,US-MMS,39.3232,-86.4131,DBF,Continental,5.9411,6.33676,-2.18702,0.619444,48.2975,0.95,22.6566,0.958333,17.564,0.994444,178.634,0.911111,342.987,0.925,4.237,0.994444,98.219,0.880556,0.424947926747,0.755555555556,6.0,0.95,3.377,0.851389,379.487,0.688889,,0.726824599884634,18.374,19.559,181.632,353.353,5.701,98.366,2.902,3.16,3.7540799999999996
22,200010,US-MMS,39.3232,-86.4131,DBF,Continental,2.34231,2.04786,0.813118,0.846774,33.9765,0.927419,25.2885,0.927419,15.47,0.982527,139.212,0.905914,319.399,0.91129,6.205,0.982527,98.65,0.817204,0.362362243907,0.822580645161,3.99,0.903226,3.223,0.841398,359.939,0.901882,,0.714067827748299,14.075,15.462,139.398,328.312,4.287,98.848,2.749,2.774,3.1554279999999997
