Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,US-Me2,44.4523,-121.5574,ENF,Temperate,0.542935,0.707902,0.924279,0.974462,26.105,1.0,-19.0407,1.0,-0.991,1.0,67.205,1.0,271.374,0.0,1.213,1.0,87.233,0.0,0.579048696988,0.943548387097,1.385,1.0,4.48,0.969758,368.024,1.0,1.40161856129032,0.379619488171236,-0.779,0.315,49.993,271.374,2.186,87.233,2.514,3.957,1.4672139999999998
2,200202,US-Me2,44.4523,-121.5574,ENF,Temperate,1.21599,1.24376,-0.405305,0.858631,16.2529,1.0,28.5929,1.0,0.982,1.0,131.051,1.0,254.926,0.0,2.322,1.0,87.488,0.0,0.463240225564,0.982142857143,0.517,1.0,3.767,1.0,371.982,1.0,2.27651496129032,0.316331248552923,0.196,2.381,115.009,254.926,2.85,87.488,0.97,3.386,0.8106849999999999
3,200203,US-Me2,44.4523,-121.5574,ENF,Temperate,2.22305,1.99801,-0.623687,0.975134,39.1347,1.0,48.1899,1.0,0.257,1.0,172.651,1.0,263.738,0.0,2.391,1.0,87.121,0.0,0.652497691169,0.971102150538,0.705,1.0,4.782,1.0,376.692,0.999328,2.33211320333333,0.338949286721683,0.591,2.478,159.392,263.738,2.865,87.121,1.526,3.529,1.5993630000000003
4,200204,US-Me2,44.4523,-121.5574,ENF,Temperate,5.21906,5.17045,-2.81407,0.974306,57.9081,1.0,95.133,0.999306,4.971,1.0,248.532,1.0,269.287,0.0,3.56,1.0,87.123,0.0,0.592764609314,0.995138888889,1.363,1.0,4.257,1.0,378.438,1.0,1.01812564419355,0.329153602799361,4.939,6.648,227.45,269.287,3.938,87.123,1.205,3.041,2.4049899999999997
5,200205,US-Me2,44.4523,-121.5574,ENF,Temperate,6.39975,6.96494,-3.46837,0.932796,64.1493,1.0,124.11,1.0,7.678,1.0,287.149,1.0,278.456,0.0,4.966,1.0,87.153,0.0,0.563114633379,0.999327956989,0.123,1.0,3.993,1.0,371.545,1.0,0.632407548928571,0.433430541433568,8.163,9.713,275.327,278.456,5.435,87.153,0.494,2.748,2.93138
6,200206,US-Me2,44.4523,-121.5574,ENF,Temperate,8.30421,7.92529,-3.09337,0.929167,92.2193,1.0,122.349,1.0,13.688,1.0,320.586,1.0,291.33,0.0,8.761,1.0,87.219,0.0,0.591809722222,1.0,0.152,1.0,4.224,1.0,363.097,1.0,1.11318462580645,0.340932357098068,13.54,15.145,311.104,291.33,8.369,87.219,0.398,2.873,5.210839999999999
7,200207,US-Me2,44.4523,-121.5574,ENF,Temperate,7.89102,6.70578,-0.572051,0.858871,92.7988,1.0,124.154,1.0,18.941,1.0,331.407,1.0,298.774,0.0,13.729,1.0,87.324,0.0,0.486126344086,1.0,0.164,1.0,3.495,1.0,364.722,1.0,1.37425801333333,0.274444960996679,17.838,19.936,335.627,298.774,12.246,87.324,0.048,2.577,7.318969
8,200208,US-Me2,44.4523,-121.5574,ENF,Temperate,5.78965,4.8734,-0.851157,0.910618,48.9713,1.0,127.672,1.0,16.733,1.0,282.672,1.0,289.231,0.0,12.408,1.0,87.346,0.0,0.440824596774,1.0,0.09,1.0,3.137,1.0,362.219,1.0,1.60131500967742,0.272697592283365,15.925,18.024,286.056,289.231,11.127,87.346,0.142,2.43,4.938493
9,200209,US-Me2,44.4523,-121.5574,ENF,Temperate,4.53589,3.36717,-1.18646,0.854861,26.939,0.999306,93.9955,1.0,14.157,1.0,213.187,1.0,282.757,0.0,10.494,1.0,87.129,0.0,0.421181944444,1.0,0.161,1.0,3.194,1.0,366.346,0.999306,1.83423101333333,0.294969787441098,13.212,15.516,215.943,282.757,8.974,87.129,0.386,2.379,3.34943
10,200210,US-Me2,44.4523,-121.5574,ENF,Temperate,3.18488,3.68115,-1.26458,0.822581,17.2352,1.0,49.9694,1.0,7.244,1.0,156.08,1.0,261.401,0.0,5.58,1.0,87.383,0.0,0.33884301562,0.983198924731,0.213,0.995968,2.843,0.995968,362.058,1.0,1.79892611290323,0.307758132912782,6.191,8.561,145.832,261.401,4.86,87.383,0.209,2.276,1.9203000000000001
11,200211,US-Me2,44.4523,-121.5574,ENF,Temperate,1.77556,1.92631,0.0752791,0.823611,17.353,0.999306,7.354,0.999306,4.503,1.0,86.115,1.0,270.235,0.0,3.659,1.0,87.349,0.0,0.343700736623,0.883333333333,0.72,1.0,3.047,1.0,363.429,0.999306,1.75122516774194,0.302647239763457,3.405,5.195,71.694,270.235,3.301,87.349,1.034,3.327,1.8508391
12,200212,US-Me2,44.4523,-121.5574,ENF,Temperate,0.0724079,1.38224,1.371,0.52957,18.1541,0.974462,-21.4828,0.977823,-1.781,1.0,46.188,1.0,275.172,0.0,0.839,0.999328,86.666,0.0,,,2.551,0.65457,3.401,0.65457,358.844,0.971774,1.84868519666667,0.296506208505878,0.954,2.087,39.135,275.172,2.286,86.666,2.902,4.044,1.4434079
13,200301,US-Me2,44.4523,-121.5574,ENF,Temperate,-0.0464454,2.28093,0.141688,0.0833333,21.1171,0.986559,-19.0699,0.989247,1.714,1.0,48.589,1.0,277.879,0.0,1.263,1.0,87.424,0.0,,,2.407,0.790995,3.066,0.790995,376.055,0.987231,1.34904894935484,0.335781344713123,2.396,3.923,50.977,277.879,2.309,87.424,2.286,3.399,0.09524260000000001
14,200302,US-Me2,44.4523,-121.5574,ENF,Temperate,1.76499,3.17381,-1.64534,0.784226,24.4717,0.99256,30.1765,0.997024,-0.201,1.0,123.361,1.0,255.053,0.0,1.708,1.0,87.14,0.0,0.41684046907,0.75818452381,0.472,1.0,3.673,1.0,379.012,0.99628,2.13555795483871,0.324870124616123,-0.704,1.457,111.517,255.053,2.483,87.14,1.157,3.035,0.11965000000000003
15,200303,US-Me2,44.4523,-121.5574,ENF,Temperate,2.07051,3.65289,-1.6666,0.22379,50.2813,0.672043,36.8797,0.672043,3.148,1.0,152.583,1.0,284.053,0.0,2.323,1.0,86.907,0.0,,,1.721,1.0,5.211,1.0,374.717,0.672043,2.64579721333333,0.342640070731954,3.031,4.25,122.458,284.053,2.848,86.907,2.362,4.035,0.40391
16,200304,US-Me2,44.4523,-121.5574,ENF,Temperate,2.70555,4.16844,-1.80313,0.222222,50.1732,0.736806,75.3875,0.7375,2.719,1.0,192.875,1.0,274.821,0.0,2.15,1.0,86.624,0.0,0.419536182632,0.566666666667,0.796,1.0,3.696,1.0,373.103,0.735417,1.99066402903226,,3.749,5.089,202.878,274.821,3.221,86.624,2.238,3.083,0.9024200000000002
17,200305,US-Me2,44.4523,-121.5574,ENF,Temperate,6.36055,4.69427,-4.2834,0.33871,69.7909,0.440188,82.9545,0.44086,8.16,1.0,245.216,1.0,282.855,0.0,4.877,1.0,87.127,0.0,,,1.049,1.0,3.618,1.0,370.581,0.442204,2.00968305714286,0.319127172654062,8.78,10.379,269.346,282.855,5.493,87.127,0.705,2.65,2.0771499999999996
18,200306,US-Me2,44.4523,-121.5574,ENF,Temperate,9.77104,7.68771,-4.84407,0.895833,97.319,0.992361,120.901,0.995139,14.551,1.0,334.695,1.0,286.08,0.0,10.245,1.0,87.124,0.0,0.574776043456,0.917361111111,0.0,1.0,3.818,1.0,367.986,0.994444,1.4773096516129,0.319013862273665,14.423,16.198,338.311,286.08,9.992,87.124,0.133,2.827,4.926969999999999
