Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201001,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.0,,0.0,10.499,0.0,86.403,0.0,310.526,0,2.818,0.0,101.559,0.0,,,4.99,0.0,3.167,0.0,,,0.38771923483871,0.165692387857596,10.499,11.886,86.403,310.526,2.818,101.559,4.99,3.167,
2,201002,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.0,,0.0,11.261,0.0,127.619,0.0,315.071,0,2.816,0.0,101.636,0.0,,,2.598,0.0,2.675,0.0,,,1.63043160967742,0.336426866906205,11.261,12.738,127.619,315.071,2.816,101.636,2.598,2.675,
3,201003,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.0,,0.0,11.754,0.0,215.35,0.0,296.315,0,4.112,0.0,101.922,0.0,,,1.69,0.0,2.986,0.0,,,0.815851164333333,0.264328428539378,11.754,13.48,215.35,296.315,4.112,101.922,1.69,2.986,
4,201004,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.0,,0.0,12.428,0.0,250.236,0.0,303.17,0,4.215,0.0,101.59,0.0,,,2.151,0.0,3.434,0.0,,,0.340215189354839,0.174085571046004,12.428,13.944,250.236,303.17,4.215,101.59,2.151,3.434,
5,201005,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.0,,0.0,14.903,0.0,313.7,0.0,310.185,0,6.124,0.0,101.738,0.0,,,0.772,0.0,3.424,0.0,,,0.802975559285714,0.201812079328271,14.903,16.445,313.7,310.185,6.124,101.738,0.772,3.424,
6,201006,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.0,,0.0,19.643,0.0,379.86,0.0,334.259,0,9.718,0.0,101.443,0.0,,,0.014,0.0,3.113,0.0,,,1.40198246354839,0.317108790467276,19.643,21.395,379.86,334.259,9.718,101.443,0.014,3.113,
7,201007,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.0,,0.0,20.234,0.0,385.232,0.0,333.322,0,10.272,0.0,101.251,0.0,,,0.0,0.0,2.551,0.0,,,2.48219825333333,0.45440977667298,20.234,22.367,385.232,333.322,10.272,101.251,0.0,2.551,
8,201008,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.0,,0.0,19.173,0.0,347.011,0.0,324.466,0,9.062,0.0,101.249,0.0,,,0.004,0.0,2.545,0.0,,,2.36410208709677,0.493045188547633,19.173,21.37,347.011,324.466,9.062,101.249,0.004,2.545,
9,201009,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.0,,0.0,19.705,0.0,279.486,0.0,328.554,0,10.07,0.0,101.243,0.0,,,0.032,0.0,2.477,0.0,,,2.50344462,0.483403485672794,19.705,22.131,279.486,328.554,10.07,101.243,0.032,2.477,
10,201010,US-Myb,38.049861,-121.76498,WET,Temperate,,,,,,0.518145,,0.56586,17.005,0.581317,176.901,0.0,328.957,0,6.817,0.581317,101.69,0.565188,0.26438478587,0.565188172043,0.78,0.580645,2.769,0.565188,403.015,0.543683,2.25826997096774,0.43895946965919,16.611,18.61,176.901,328.957,6.927,101.727,1.276,2.488,
