Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199801,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.620155,0.0,19.0055,0.0,25.5414,0.0,-5.87,0.0,99.554,0.62164,208.535,0.0,2.523,0.0,69.586,0.0,,,1.074,0.0,4.615,0.0,,,,,-5.87,-3.521,99.789,208.535,2.523,69.586,1.074,4.615,
2,199802,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.619091,0.0,16.9342,0.0,22.7852,0.0,-5.272,0.0,132.043,0.584077,221.378,0.0,2.551,0.0,69.291,0.0,,,1.587,0.0,3.756,0.0,,,,,-5.272,-3.302,132.257,221.378,2.551,69.291,1.587,3.756,
3,199803,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.617002,0.0,18.6409,0.0,24.8807,0.0,-3.419,0.0,193.504,0.531586,224.86,0.0,2.978,0.0,69.586,0.0,,,2.088,0.0,4.308,0.0,,,,,-3.419,-0.998,193.826,224.86,2.978,69.586,2.088,4.308,
4,199804,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.618738,0.0,20.0331,0.0,26.8694,0.0,-1.003,0.0,238.708,0.475694,239.608,0.0,3.321,0.0,69.871,0.0,,,3.982,0.0,4.153,0.0,,,,,-1.003,1.31,238.982,239.608,3.321,69.871,3.982,4.153,
5,199805,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.620155,0.0,21.3727,0.0,28.7226,0.0,4.854,0.0,268.616,0.428091,262.954,0.0,4.709,0.0,70.164,0.0,,,2.135,0.0,3.998,0.0,,,,,4.854,6.907,268.837,262.954,4.709,70.164,2.135,3.998,
6,199806,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.618738,0.0,24.1596,0.0,32.4039,0.0,7.578,0.0,278.515,0.415972,274.43,0.0,5.72,0.0,70.292,0.0,,,2.592,0.0,4.751,0.0,,,,,7.578,9.322,278.946,274.43,5.72,70.292,2.592,4.751,
7,199807,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.619057,0.0,22.5569,0.0,30.3412,0.0,12.839,0.0,246.198,0.419355,305.014,0.0,7.945,0.0,71.09,0.0,,,0.592,0.0,2.713,0.0,,,,,12.839,14.616,246.51,305.014,7.945,71.09,0.592,2.713,
8,199808,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.617002,0.0,21.5016,0.0,29.0965,0.0,11.815,0.0,234.723,0.452957,295.082,0.0,7.537,0.0,71.206,0.0,,,1.076,0.0,3.142,0.0,,,,,11.815,13.881,234.928,295.082,7.537,71.206,1.076,3.142,
9,199809,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.618738,0.0,20.7205,0.0,25.9243,0.0,9.781,0.0,202.971,0.508333,278.504,0.0,6.719,0.0,70.75,0.0,,,0.665,0.0,3.285,0.0,,,,,9.781,12.073,203.236,278.504,6.719,70.75,0.665,3.285,
10,199810,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.620155,0.0,19.794,0.061156,24.1839,0.063172,2.263,0.12164,141.01,0.5625,251.773,0.0,3.617,0.12164,70.411,0.0,,,2.005,0.0,3.909,0.0,,,,,2.404,4.421,141.23,251.773,3.808,70.411,2.005,3.909,
11,199811,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.618738,0.0,22.1161,0.894444,13.2842,0.896528,-1.127,1.0,90.62,0.997917,228.502,0.0,3.338,1.0,69.989,0.447222,1.0683381286,0.613194444444,1.083,0.0,6.028,0.6625,,,,,-2.003,0.04,103.365,228.502,2.997,70.053,1.083,5.023,
12,199812,US-NR1,40.0329,-105.5464,ENF,Continental,,,0.619057,0.0,29.0767,1.0,-1.03502,1.0,-6.715,1.0,71.636,1.0,210.988,0.0,2.53,1.0,69.967,0.350134,1.08377993918,0.947580645161,1.933,0.0,6.689,0.955645,,,,,-6.343,-4.014,85.773,210.988,2.563,70.049,1.933,4.746,
13,199901,US-NR1,40.0329,-105.5464,ENF,Continental,0.217972,0.125268,0.617002,0.0,48.4893,0.977151,8.46294,0.977151,-6.87,1.0,74.134,1.0,217.445,0.0,1.755,1.0,69.816,0.174731,1.12646464529,0.737231182796,1.572,0.0,6.535,0.765457,,,,,-5.249,-3.269,93.539,217.445,2.541,69.844,1.572,5.166,0.8349740000000001
14,199902,US-NR1,40.0329,-105.5464,ENF,Continental,0.240902,0.170355,0.651081,0.0,31.7988,1.0,38.5431,1.0,-5.975,1.0,130.942,1.0,208.399,0.0,2.375,1.0,69.858,0.240327,1.31073061951,0.988095238095,0.769,0.0,8.027,0.988095,,,,,-4.702,-2.243,146.826,208.399,2.799,69.911,0.769,5.879,0.891983
15,199903,US-NR1,40.0329,-105.5464,ENF,Continental,0.982082,0.212257,0.108118,0.0,30.8264,1.0,63.2942,1.0,-2.278,1.0,191.483,1.0,223.027,0.0,3.34,1.0,69.83,0.358199,0.717139695341,0.997983870968,1.273,0.0,4.333,0.997984,,,,,-1.758,1.099,199.852,223.027,3.365,69.843,1.273,4.689,1.0902
16,199904,US-NR1,40.0329,-105.5464,ENF,Continental,0.666976,0.198482,0.362757,0.0715278,35.0716,0.992361,60.5834,0.970139,-3.29,1.0,168.262,0.986111,250.898,0.0,2.032,1.0,69.754,0.479861,0.697726758266,0.791666666667,6.87,0.0,4.862,0.801389,,,,,-1.293,0.691,212.17,250.898,3.026,69.781,6.87,5.538,1.029733
17,199905,US-NR1,40.0329,-105.5464,ENF,Continental,2.69448,2.29226,-1.11433,0.86828,55.2326,0.991935,78.3048,0.991935,3.063,1.0,234.052,0.997984,260.056,0.0,3.614,1.0,70.095,0.586694,0.630821000999,0.831317204301,3.193,0.0,4.131,0.875672,,,,,3.57,5.374,260.605,260.056,4.055,70.085,3.193,4.749,1.58015
18,199906,US-NR1,40.0329,-105.5464,ENF,Continental,5.22272,6.09506,-2.52656,0.91875,85.3981,0.999306,74.9386,0.999306,8.856,1.0,258.439,1.0,278.124,0.0,6.022,1.0,70.562,0.920833,0.628149854652,0.9125,2.086,0.0,4.066,0.927778,,,,,8.475,10.315,280.031,278.124,5.775,70.493,2.086,4.227,2.69616
19,199907,US-NR1,40.0329,-105.5464,ENF,Continental,6.07504,6.03633,-1.6991,0.620296,91.0231,0.999328,63.288,0.99664,13.551,1.0,247.089,1.0,309.178,0.805108,7.669,1.0,71.035,1.0,0.562322901936,0.710349462366,1.713,0.0100806,3.505,0.733871,,,,,12.329,14.04,255.32,301.939,7.269,70.957,1.809,3.165,4.37594
20,199908,US-NR1,40.0329,-105.5464,ENF,Continental,5.31775,6.07026,-1.03554,0.783602,82.5867,0.987903,26.2824,0.991263,11.866,1.0,208.34,1.0,310.401,1.0,5.703,1.0,71.115,1.0,0.429338081063,0.798387096774,2.614,1.0,3.338,0.867608,,,,,11.149,13.057,227.045,297.861,6.453,71.085,1.561,3.137,4.28221
21,199909,US-NR1,40.0329,-105.5464,ENF,Continental,4.31606,4.80174,-1.30115,0.909722,59.5216,0.998611,31.4437,0.998611,6.562,1.0,200.991,1.0,272.23,0.998611,4.936,1.0,70.679,0.979167,0.54945227333,0.786805555556,1.5,1.0,3.632,0.804167,,,,,6.481,8.656,205.235,260.0,5.453,70.684,1.389,3.589,3.0149100000000004
