Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200101,US-Ne3,41.17967,-96.43965,CRO,Continental,1.01205,1.66516,-0.36218,0.0,126.893,0.0,21.6348,0.0,-5.128,0.0,94.994,0.0,247.015,0.0,0.566,0.0,97.741,0.0,,,1.364,0.0,4.383,0.0,,,0.133529932580645,0.0184692275157093,-5.128,-4.369,94.994,247.015,0.566,97.741,1.364,4.383,0.64987
2,200102,US-Ne3,41.17967,-96.43965,CRO,Continental,0.882252,1.98176,-0.366237,0.0,131.432,0.0,23.0059,0.0,-7.87,0.0,128.115,0.0,247.497,0.0,0.413,0.0,97.935,0.0,,,3.464,0.0,4.466,0.0,,,0.663218469677419,0.23853347063536,-7.87,-7.121,128.115,247.497,0.413,97.935,3.464,4.466,0.5160150000000001
3,200103,US-Ne3,41.17967,-96.43965,CRO,Continental,1.41628,2.43639,-0.368843,0.0,130.208,0.0,22.0901,0.0,0.419,0.0,178.788,0.0,264.268,0.0,1.489,0.0,97.577,0.0,,,1.456,0.0,2.934,0.0,,,0.331876089,0.194846032571587,0.419,2.0,178.788,264.268,1.489,97.577,1.456,2.934,1.047437
4,200104,US-Ne3,41.17967,-96.43965,CRO,Continental,2.61454,2.74947,-0.365737,0.0,131.535,0.0,22.5736,0.0,12.101,0.0,215.768,0.0,312.138,0.0,4.678,0.0,97.109,0.0,,,3.947,0.0,4.113,0.0,,,0.278528559354839,0.157382699107009,12.101,13.541,215.768,312.138,4.678,97.109,3.947,4.113,2.2488029999999997
5,200105,US-Ne3,41.17967,-96.43965,CRO,Continental,3.14154,2.77073,-0.36218,0.0,127.68,0.0,21.769,0.0,16.49,0.0,218.415,0.0,340.803,0.0,6.102,0.0,97.054,0.0,,,6.594,0.0,4.094,0.0,,,0.100635008571429,0.0242242556317112,16.49,17.723,218.415,340.803,6.102,97.054,6.594,4.094,2.77936
6,200106,US-Ne3,41.17967,-96.43965,CRO,Continental,7.12116,6.43478,-3.22229,0.551389,116.82,0.580556,30.6548,0.580556,21.443,0.581944,272.089,0.581944,361.602,0.581944,8.761,0.581944,97.066,0.575,0.308126044884,0.552777777778,2.263,0.6,3.455,0.6,357.31,0.6,0.183159965451613,0.0998121650056428,21.161,22.374,275.346,361.439,8.946,97.211,1.764,3.537,3.8988699999999996
7,200107,US-Ne3,41.17967,-96.43965,CRO,Continental,19.7026,19.8304,-11.8628,0.966398,141.676,0.994624,4.72341,0.994624,25.696,1.0,242.205,1.0,395.56,1.0,8.928,1.0,96.935,0.998656,0.316607695287,0.963709677419,0.797,1.0,2.715,1.0,361.297,1.0,0.575431606333333,0.180100220847133,26.097,27.385,266.4,400.501,11.799,97.221,1.171,2.871,7.8398
8,200108,US-Ne3,41.17967,-96.43965,CRO,Continental,16.3239,15.7889,-8.37945,0.986559,135.745,1.0,18.1687,1.0,23.929,1.0,255.003,1.0,373.592,1.0,9.688,1.0,97.075,1.0,0.304822908508,0.966397849462,2.296,1.0,2.371,1.0,374.336,1.0,1.10602672774194,0.214773401531453,24.091,25.374,244.247,377.257,11.18,97.379,2.023,2.778,7.944449999999998
9,200109,US-Ne3,41.17967,-96.43965,CRO,Continental,8.52201,8.26052,-3.31967,0.952778,80.5291,0.994444,28.3137,1.0,17.972,1.0,191.691,1.0,341.473,1.0,6.762,1.0,97.203,1.0,0.30600936121,0.966666666667,2.333,1.0,2.376,1.0,373.453,1.0,1.30648597,0.282670574360183,17.199,18.523,181.304,342.295,5.781,97.536,3.273,2.878,5.2023399999999995
10,200110,US-Ne3,41.17967,-96.43965,CRO,Continental,1.45163,0.589912,1.02575,0.360215,29.1607,0.998656,33.3057,1.0,11.852,1.0,147.891,1.0,299.676,0.998656,6.07,1.0,97.056,0.997312,0.40780259499,0.948924731183,1.506,1.0,3.065,1.0,371.583,1.0,1.65389196451613,0.522746969457118,11.101,12.325,138.552,301.257,4.562,97.365,1.551,3.801,2.47738
11,200111,US-Ne3,41.17967,-96.43965,CRO,Continental,1.00972,0.078128,0.696401,0.0,14.6105,0.994444,15.5857,1.0,8.753,1.0,92.457,1.0,296.203,1.0,3.516,1.0,97.576,1.0,0.297392326904,0.890277777778,1.673,1.0,3.511,1.0,366.514,1.0,1.37008298709677,0.427303977555749,8.409,9.888,92.983,296.073,2.964,97.489,2.253,3.605,1.706121
12,200112,US-Ne3,41.17967,-96.43965,CRO,Continental,-0.0605697,0.170425,0.789753,0.740591,13.3576,0.997312,7.34804,1.0,-0.495,1.0,79.978,1.0,249.497,1.0,1.404,1.0,97.538,0.998656,0.283885946019,0.879032258065,0.106,1.0,3.449,1.0,364.412,1.0,1.00817423266667,0.43307570446576,-0.478,0.683,78.908,249.47,1.516,97.413,0.488,3.665,0.7291833000000001
