Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199501,US-PFa,45.9459,-90.2723,MF,Continental,,,-3.63451e-270,0.977151,,0.0,,0.0,-9.419,1,53.127,1.0,235.998,0,0.532,1,95.751,0.837366,0.530736067117,0.897849462366,0.081,1.0,3.482,0.994624,,,,,-8.348,-7.55,48.294,235.998,0.544,95.775,0.649,3.188,
2,199502,US-PFa,45.9459,-90.2723,MF,Continental,,,-3.9994000000000004e-270,0.991071,,0.0,,0.0,-10.307,1,91.119,1.0,219.658,0,0.863,1,95.796,0.995536,0.480723302645,0.964285714286,0.125,1.0,3.344,1.0,,,,,-9.217,-8.258,92.525,219.658,0.748,95.812,0.873,3.524,
3,199503,US-PFa,45.9459,-90.2723,MF,Continental,,,-3.92859e-270,0.979839,,0.0,,0.0,-1.419,1,127.386,1.0,252.958,0,1.835,1,96.185,0.794355,0.423580565177,0.950268817204,1.056,1.0,2.959,1.0,,,,,-1.671,-0.181,124.944,252.958,1.327,96.222,1.014,2.958,
4,199504,US-PFa,45.9459,-90.2723,MF,Continental,,,-3.9705400000000005e-270,0.970833,,0.0,,0.0,0.903,1,170.581,1.0,262.811,0,2.605,1,95.683,0.0,0.471367385041,0.944444444444,1.842,1.0,3.216,0.995833,,,,,1.371,2.756,165.777,262.811,2.128,95.683,1.99,2.998,
5,199505,US-PFa,45.9459,-90.2723,MF,Continental,,,-4.01731e-270,0.974462,,0.0,,0.0,10.717,1,205.519,1.0,303.361,0,6.507,1,95.669,0.959677,0.624390560585,0.989247311828,2.589,1.0,4.28,1.0,,,,,10.332,11.523,199.249,303.361,4.32,95.733,2.151,3.033,
6,199506,US-PFa,45.9459,-90.2723,MF,Continental,,,-3.98837e-270,0.941667,,0.0,,0.0,18.717,1,246.415,1.0,350.363,0,8.77,1,95.901,0.875,0.500832905138,0.991666666667,1.27,1.0,3.522,1.0,,,,,18.523,19.696,227.616,350.363,6.648,95.932,2.02,2.189,
7,199507,US-PFa,45.9459,-90.2723,MF,Continental,,,-4.02712e-270,0.966398,,0.0,,0.0,18.544,1,221.2,1.0,359.926,0,6.08,1,95.599,0.922043,0.505339836706,0.978494623656,4.662,1.0,3.527,1.0,,,,,19.488,20.586,214.148,359.926,6.583,95.619,2.204,2.896,
8,199508,US-PFa,45.9459,-90.2723,MF,Continental,,,-4.02975e-270,0.982527,,0.0,,0.0,19.45,1,178.552,1.0,366.605,0,4.962,1,95.916,0.978495,0.531977795918,0.974462365591,7.12,1.0,3.676,1.0,,,,,20.825,21.765,182.232,366.605,5.889,95.916,3.591,2.639,
9,199509,US-PFa,45.9459,-90.2723,MF,Continental,,,-4.03352e-270,0.993056,,0.0,,0.0,11.654,1,156.943,1.0,310.845,0,4.204,1,96.079,1.0,0.758084601449,0.998611111111,2.16,1.0,5.128,1.0,,,,,12.702,13.814,150.329,310.845,3.945,96.095,1.967,2.91,
10,199510,US-PFa,45.9459,-90.2723,MF,Continental,,,-4.01002e-270,0.987903,,0.0,,0.0,6.254,1,80.194,1.0,302.058,0,2.649,1,95.362,0.998656,0.523853560652,0.971774193548,2.377,1.0,3.63,1.0,,,,,6.893,7.659,76.068,302.058,1.985,95.396,3.296,3.528,
