Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201201,US-Tw2,38.1047,-121.6433,CRO,Temperate,-0.344219,0.768429,3.08757,0.0,59.4334,0.0,179.529,0.0,8.86,0.0,109.788,0.0,308.072,0.0,4.654,0.0,102.291,0.0,,,2.816,0,3.018,0.0,,,0.225561439354839,0.134021779522547,8.86,11.368,109.788,308.072,4.654,102.291,2.816,3.018,2.743351
2,201202,US-Tw2,38.1047,-121.6433,CRO,Temperate,-0.206341,0.898118,3.09163,0.0,57.9266,0.0,174.656,0.0,10.209,0.0,152.519,0.0,311.747,0.0,5.464,0.0,101.979,0.0,,,0.463,0,3.109,0.0,,,0.807419493225806,0.326573710660795,10.209,12.4,152.519,311.747,5.464,101.979,0.463,3.109,2.8852889999999998
3,201203,US-Tw2,38.1047,-121.6433,CRO,Temperate,-0.155211,0.919954,3.08757,0.0,54.0552,0.0,163.283,0.0,10.648,0.0,157.324,0.0,330.27,0.0,4.425,0.0,101.769,0.0,,,4.328,0,3.517,0.0,,,0.276607616666667,0.184647471653227,10.648,12.301,157.324,330.27,4.425,101.769,4.328,3.517,2.932359
4,201204,US-Tw2,38.1047,-121.6433,CRO,Temperate,0.197111,1.16971,3.08954,0.0,53.2031,0.0,160.566,0.0,13.998,0.0,264.855,0.0,331.384,0.0,6.18,0.0,101.715,0.0,,,2.527,0,3.197,0.0,,,0.1000000016,0.112126065881721,13.998,15.894,264.855,331.384,6.18,101.715,2.527,3.197,3.286651
5,201205,US-Tw2,38.1047,-121.6433,CRO,Temperate,0.647947,1.31018,3.00639,0.321237,48.522,0.328629,151.74,0.328629,17.831,0.328629,335.943,0.329301,332.174,0.328629,11.631,0.328629,101.499,0.322581,,,0.085,0,3.834,0.322581,,,0.334090491724138,0.153021815388139,17.709,20.088,329.955,330.716,11.55,101.5,0.085,3.276,3.654337
6,201206,US-Tw2,38.1047,-121.6433,CRO,Temperate,2.00154,1.88852,2.00924,0.96875,64.7891,0.995139,134.909,0.999306,20.431,1.0,359.886,1.0,349.098,1.0,14.613,1.0,101.27,1.0,0.400190573286,0.999305555556,0.033,0,5.888,0.999306,365.853,1.0,0.329074296129032,0.159905685215982,20.118,22.229,347.803,343.689,14.066,101.279,0.033,3.424,4.0107800000000005
7,201207,US-Tw2,38.1047,-121.6433,CRO,Temperate,10.3115,9.74315,-2.2026,0.959005,132.411,0.995968,69.7843,0.997984,21.218,1.0,352.262,1.0,350.232,1.0,13.457,1.0,101.29,1.0,0.356407258065,1.0,0.0,0,3.69,1.0,348.536,1.0,0.442864417333333,0.199245359661296,21.367,23.886,346.732,350.23,13.878,101.335,0.0,2.722,8.1089
8,201208,US-Tw2,38.1047,-121.6433,CRO,Temperate,14.8101,14.0246,-3.59389,0.972446,166.625,1.0,13.1229,1.0,21.466,1.0,311.136,1.0,343.853,1.0,13.761,1.0,101.173,1.0,0.375301747312,1.0,0.011,0,2.628,1.0,391.521,1.0,0.431209450967742,0.18116170257586,21.593,24.388,310.8,352.777,13.807,101.234,0.011,2.604,11.21621
9,201209,US-Tw2,38.1047,-121.6433,CRO,Temperate,7.71226,7.17343,0.489032,0.974306,95.8289,0.997222,39.7774,0.999306,19.794,1.0,253.482,1.0,340.801,0.9875,12.342,1.0,101.437,1.0,0.309717361111,1.0,0.006,0,2.109,1.0,400.849,1.0,0.523986644333333,0.19938903000758,19.399,22.573,255.143,344.515,11.168,101.482,0.006,2.453,8.201292
10,201210,US-Tw2,38.1047,-121.6433,CRO,Temperate,1.91586,1.93899,2.69496,0.932124,41.0055,1.0,47.9809,1.0,16.955,1.0,175.488,1.0,346.704,0.936156,8.426,1.0,101.643,1.0,0.286627016129,1.0,0.873,0,2.089,1.0,420.937,1.0,1.35399471516129,0.395171859438906,16.455,18.866,174.066,341.194,8.05,101.629,0.873,2.696,4.61082
