Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,US-Twt,38.1087204,-121.6531,CRO,Temperate,-0.161074,0.0,1.75313,0.0,37.2667,0.0,52.1994,0.0,8.296,0.0,109.637,0.0,281.508,0,3.499,0.0,102.201,0.0,,,0.373,0.0,2.901,0.0,,,0.555883982580645,0.190617318379081,8.296,11.039,109.637,281.508,3.499,102.201,0.373,2.901,1.5920560000000001
2,200902,US-Twt,38.1087204,-121.6531,CRO,Temperate,-0.119736,0.0,1.75317,0.0,37.2007,0.0,52.2786,0.0,9.214,0.0,114.091,0.0,306.275,0,2.85,0.0,101.583,0.0,,,4.158,0.0,3.824,0.0,,,1.18434157419355,0.328081253589697,9.214,10.944,114.091,306.275,2.85,101.583,4.158,3.824,1.6334339999999998
3,200903,US-Twt,38.1087204,-121.6531,CRO,Temperate,-0.0465837,0.0,1.75211,0.0,37.1494,0.0,52.3411,0.0,10.91,0.0,204.132,0.0,294.605,0,4.303,0.0,101.714,0.0,,,1.476,0.0,3.633,0.0,,,0.683272770666667,0.216223560301296,10.91,12.845,204.132,294.605,4.303,101.714,1.476,3.633,1.7055263
4,200904,US-Twt,38.1087204,-121.6531,CRO,Temperate,0.56749,0.410609,1.52526,0.886806,66.4756,0.90625,57.4619,0.90625,14.286,0.91875,254.785,0.919444,297.92,0,7.436,0.91875,101.54,0.0,0.268241409465,0.897916666667,0.737,0.913889,4.113,0.909722,410.859,0.915972,0.350162266774194,0.159982027135394,13.672,15.868,274.362,297.92,7.155,101.54,0.554,3.418,2.09275
5,200905,US-Twt,38.1087204,-121.6531,CRO,Temperate,1.49727,1.08798,1.30121,0.96371,74.5226,0.997984,68.404,0.999328,18.885,1.0,306.426,1.0,330.675,0,10.453,1.0,101.258,0.370968,0.309861722222,0.952284946237,0.568,1.0,4.551,0.966398,394.932,0.999328,0.907148777142857,0.281866263593445,18.35,20.558,296.721,330.675,9.585,101.281,0.592,3.153,2.79848
6,200906,US-Twt,38.1087204,-121.6531,CRO,Temperate,4.50278,3.89877,-2.46286,0.993056,192.544,0.997917,-3.91207,0.998611,19.952,1.0,329.529,1.0,336.261,0,10.383,1.0,100.928,1.0,0.33826968599,0.998611111111,0.317,1.0,5.059,0.998611,372.12,1.0,1.52324686774194,0.400835302303471,19.702,21.856,326.744,336.261,11.113,100.968,0.056,2.906,2.0399199999999995
7,200907,US-Twt,38.1087204,-121.6531,CRO,Temperate,12.0139,10.7005,-7.8621,0.985215,243.133,0.99664,-56.5922,0.999328,21.237,1.0,332.203,1.0,333.061,0,11.941,1.0,101.083,0.942876,0.377440950337,0.948252688172,0.0,0.997984,4.423,0.948925,333.859,1.0,1.57561934666667,0.431166739141258,21.431,24.05,341.773,333.061,12.685,101.169,0.003,2.786,4.1518
8,200908,US-Twt,38.1087204,-121.6531,CRO,Temperate,11.1154,10.3758,-6.18796,0.959677,222.85,0.995296,-53.8919,0.99664,21.432,1.0,288.512,1.0,337.044,0,11.85,1.0,101.129,0.74664,0.313209060091,0.96438172043,0.042,1.0,3.803,0.964382,350.616,1.0,1.49776085806452,0.419101979764116,21.271,23.988,301.26,337.044,12.228,101.191,0.004,2.791,4.927439999999999
9,200909,US-Twt,38.1087204,-121.6531,CRO,Temperate,6.48412,7.76512,-2.7186,0.943056,172.99,0.990972,-48.3746,0.992361,21.64,1.0,235.704,1.0,335.29,0,12.372,1.0,101.101,0.979167,0.248297683863,0.977083333333,0.053,0.995833,2.997,0.977083,385.425,1.0,1.27342218,0.358131044882682,20.879,23.69,246.305,335.29,11.595,101.154,0.117,2.792,3.76552
10,200910,US-Twt,38.1087204,-121.6531,CRO,Temperate,1.93302,2.0178,1.48228,0.946909,75.2609,0.990591,2.1467,0.990591,15.459,1.0,170.857,1.0,312.38,0,6.217,1.0,101.286,1.0,0.238012847222,0.956989247312,2.319,1.0,2.779,0.973118,392.998,0.998656,1.32436062580645,0.421117728875002,14.975,17.238,168.72,312.38,6.055,101.318,1.735,3.386,3.4153000000000002
11,200911,US-Twt,38.1087204,-121.6531,CRO,Temperate,0.503464,1.58483,2.16657,0.636111,38.3814,0.785417,17.6618,0.967361,10.335,1.0,122.433,0.99375,291.07,0,3.718,1.0,101.693,1.0,0.161410416667,0.99375,0.21,1.0,2.105,0.994444,382.149,0.913194,1.51622910645161,0.396906917818622,10.901,13.235,120.029,291.07,4.573,101.714,0.386,3.039,2.6700340000000002
12,200912,US-Twt,38.1087204,-121.6531,CRO,Temperate,0.161598,1.32351,2.01433,0.094086,11.9514,0.863575,3.23786,0.895833,7.118,0.931452,78.589,0.950941,292.463,0,1.433,0.931452,101.709,0.730511,0.14647644423,0.656586021505,1.871,0.775538,2.077,0.727823,417.209,0.93078,1.49754089666667,0.378365841971045,7.403,9.202,80.853,292.463,2.428,101.688,1.506,2.743,2.1759280000000003
13,201001,US-Twt,38.1087204,-121.6531,CRO,Temperate,-1.05181,0.0,2.11598,0.0913978,10.0879,0.910618,3.49919,0.948253,7.129,1.0,57.479,1.0,310.526,0,1.002,1.0,101.414,0.948253,0.21225916348,0.995295698925,3.265,1.0,2.257,0.995296,403.82,0.99328,0.578154680645161,0.155833090218262,9.005,10.661,76.451,310.526,2.096,101.352,4.807,3.399,1.06417
14,201002,US-Twt,38.1087204,-121.6531,CRO,Temperate,-0.254061,0.0453893,4.2657,0.779762,32.5273,0.987351,7.37744,0.99256,10.173,1.0,107.856,1.0,315.071,0,1.957,1.0,101.419,1.0,0.199124255952,1.0,1.711,1.0,2.301,1.0,402.389,0.99628,1.08229037677419,0.355581739756018,9.915,11.668,112.924,315.071,2.093,101.429,2.503,2.871,4.011639
