Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200701,US-UMd,45.5625,-84.6975,DBF,Continental,6.67768,3.74318,-4.28306,0.0,,0.0,,0.0,-3.433,0.0,60.788,0.0,244.343,0.0,1.012,0.0,98.636,0.0,,,1.34,0,6.119,0.0,,,0.30527892516129,0.245105450650569,-3.433,-3.189,60.788,244.343,1.012,98.636,1.34,6.119,2.3946199999999997
2,200702,US-UMd,45.5625,-84.6975,DBF,Continental,5.95779,5.54228,-4.27365,0.0,,0.0,,0.0,-8.072,0.0,118.397,0.0,218.594,0.0,0.669,0.0,98.606,0.0,,,1.363,0,6.718,0.0,,,2.53074371387097,0.413842329699768,-8.072,-7.766,118.397,218.594,0.669,98.606,1.363,6.718,1.6841400000000002
3,200703,US-UMd,45.5625,-84.6975,DBF,Continental,7.14496,7.04726,-4.27853,0.0,,0.0,,0.0,-0.808,0.0,178.873,0.0,260.487,0.0,1.525,0.0,99.031,0.0,,,2.263,0,5.664,0.0,,,0.535902975333333,0.258719749093648,-0.808,-0.377,178.873,260.487,1.525,99.031,2.263,5.664,2.8664300000000003
4,200704,US-UMd,45.5625,-84.6975,DBF,Continental,7.81471,7.70492,-4.27857,0.0,,0.0,,0.0,3.13,0.0,207.469,0.0,277.116,0.0,2.401,0.0,98.518,0.0,,,2.328,0,5.518,0.0,,,0.482849632580645,0.297536997746032,3.13,3.948,207.469,277.116,2.401,98.518,2.328,5.518,3.5361399999999996
5,200705,US-UMd,45.5625,-84.6975,DBF,Continental,9.72889,9.86981,-4.42982,0.207661,,0.230511,,0.0,11.4,0.209677,289.569,0.211694,319.447,0.0,5.436,0.209677,99.134,0.0,,,0.745,0,4.294,0.224462,,,0.282019938214286,0.25962392646462,10.722,11.41,294.228,319.447,5.073,99.134,0.745,4.762,5.2990699999999995
6,200706,US-UMd,45.5625,-84.6975,DBF,Continental,13.3664,11.8307,-5.66909,0.768056,,0.952083,,0.0,19.46,0.973611,303.946,0.975694,348.997,0.0,8.972,0.973611,98.632,0.0,0.43909777404,0.645833333333,0.939,0,2.997,0.704167,375.576,0.952083,0.494696920967742,0.253624779930939,16.532,17.097,321.338,348.997,6.784,98.632,0.939,4.077,7.697310000000001
7,200707,US-UMd,45.5625,-84.6975,DBF,Continental,11.4075,11.0313,-5.23883,0.933468,,1.0,,0.539651,19.74,0.985215,282.183,0.987231,351.299,0.0,7.961,0.985215,98.493,0.334005,0.430081928152,0.992607526882,1.398,0,2.179,0.992608,368.361,1.0,0.640836187666667,0.250121859387434,18.335,19.023,291.986,351.299,5.758,98.622,1.398,3.715,6.1686700000000005
8,200708,US-UMd,45.5625,-84.6975,DBF,Continental,6.34099,6.87778,-2.28042,0.983199,,0.999328,,0.998656,20.114,1.0,245.865,1.0,351.356,0.0,7.781,1.0,98.313,1.0,0.497053893133,0.985215053763,0.61,0,2.442,0.985215,369.475,0.999328,2.57323132354839,0.412363753984848,19.854,20.577,250.838,351.356,6.658,98.717,0.61,3.976,4.06057
9,200709,US-UMd,45.5625,-84.6975,DBF,Continental,8.05364,7.88304,-3.28708,0.994444,,0.999306,,0.999306,16.564,1.0,169.852,1.0,336.849,0.0,5.855,1.0,98.458,1.0,0.571184076326,0.985416666667,1.277,0,2.874,0.985417,373.731,1.0,5.43310810666667,0.632834001992762,16.866,17.54,184.617,336.849,5.733,98.873,1.277,5.484,4.76656
10,200710,US-UMd,45.5625,-84.6975,DBF,Continental,3.06811,3.22818,0.454783,0.981855,,1.0,,1.0,12.23,1.0,99.724,1.0,324.257,0.0,3.589,1.0,98.175,0.999328,0.580266541388,0.990591397849,2.272,0,2.764,0.990591,384.668,1.0,5.45357487419355,0.646889261611285,12.793,13.237,108.587,324.257,3.52,98.611,2.272,5.953,3.522893
