Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199901,US-WCr,45.8059,-90.0799,DBF,Continental,-0.291958,0.0,0.67394,0.0,3.92972,0.0,-5.53115,0.0,-10.809,1.0,50.646,1.0,243.263,0.377688,0.603,0.380376,95.249,0.987903,,,1.712,1.0,3.182,0.989919,376.871,1.0,,,-11.047,-10.007,52.354,245.185,0.696,95.278,1.399,2.846,0.381982
2,199902,US-WCr,45.8059,-90.0799,DBF,Continental,-0.0759701,0.02635,0.716665,0.744792,4.90281,0.791667,21.0509,0.792411,-4.192,1.0,87.244,1.0,256.182,0.793899,1.004,0.794643,94.98,0.38244,,,1.521,1.0,3.153,0.960565,377.788,1.0,,,-4.552,-3.015,90.883,260.408,1.082,95.028,1.285,3.071,0.6406949
3,199903,US-WCr,45.8059,-90.0799,DBF,Continental,-0.0936654,0.139278,0.94467,0.96371,7.76589,0.99328,62.0735,0.99328,-0.756,1.0,164.87,1.0,258.815,0.999328,2.421,0.999328,95.472,0.728495,0.61366396983,0.670698924731,0.542,1.0,3.044,0.997984,376.529,1.0,,,-2.082,-0.019,160.867,255.044,1.65,95.531,0.584,2.82,0.8510046
4,199904,US-WCr,45.8059,-90.0799,DBF,Continental,0.223779,1.3683,1.7696,0.95625,17.4074,0.992361,76.7997,0.992361,7.451,1.0,176.035,1.0,295.393,0.998611,5.136,1.0,95.185,0.827083,0.570944830137,0.650694444444,1.419,1.0,2.943,0.975,378.769,1.0,,,5.605,7.203,189.077,293.077,2.397,95.281,1.927,2.427,1.993379
5,199905,US-WCr,45.8059,-90.0799,DBF,Continental,2.51218,6.06108,0.533366,0.894489,60.7504,0.923387,49.5574,0.930108,14.142,1.0,214.651,1.0,323.049,0.948925,6.07,1.0,94.945,0.663978,0.606939179342,0.551747311828,4.674,1.0,3.163,0.938172,382.609,1.0,,,13.331,14.436,212.2,331.156,3.994,94.999,5.084,3.021,3.045546
6,199906,US-WCr,45.8059,-90.0799,DBF,Continental,6.71531,7.21482,-4.95128,0.348611,95.6154,0.427083,22.2108,0.431944,17.493,1.0,241.17,1.0,357.824,0.498611,4.128,0.584028,95.244,0.136111,,,3.026,1.0,2.721,0.661111,374.286,1.0,,,16.772,17.736,231.551,352.687,4.203,95.251,2.728,2.424,1.76403
7,199907,US-WCr,45.8059,-90.0799,DBF,Continental,8.27032,10.2309,-5.14606,0.469086,100.333,0.499328,-0.25085,0.499328,21.039,1.0,225.514,0.946909,365.026,0.502016,6.043,0.815188,95.085,0.0967742,,,5.01,1.0,2.809,0.909274,369.3,0.994624,,,21.472,22.639,258.001,369.116,6.081,95.083,3.351,2.434,3.1242599999999996
8,199908,US-WCr,45.8059,-90.0799,DBF,Continental,5.41295,11.0752,-2.05385,0.62164,100.172,0.729839,14.3143,0.731855,17.657,1.0,177.1,0.979839,357.476,0.744624,3.823,1.0,95.34,0.419355,,,2.16,1.0,2.368,0.883737,364.59,0.994624,,,17.685,18.84,199.193,353.071,3.836,95.341,2.345,2.159,3.3591
9,199909,US-WCr,45.8059,-90.0799,DBF,Continental,4.01818,4.65518,-1.11127,0.852083,59.6921,0.863194,21.1035,0.860417,13.069,1.0,151.393,0.98125,326.464,0.860417,3.165,1.0,95.118,0.716667,0.576994016669,0.744444444444,1.652,1.0,2.749,1.0,367.643,1.0,,,13.535,14.638,158.869,327.757,3.562,95.132,1.427,2.676,2.90691
10,199910,US-WCr,45.8059,-90.0799,DBF,Continental,0.183792,0.167649,1.60836,0.976478,15.4409,0.985215,25.1288,0.985887,6.56,1.0,100.086,1.0,293.039,0.989919,3.057,1.0,95.307,0.850806,0.646789866138,0.780241935484,1.071,1.0,3.098,0.818548,372.927,0.998656,,,6.08,7.121,107.876,294.481,2.257,95.365,1.095,3.045,1.792152
