Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200701,US-Whs,31.7438,-110.0522,OSH,Arid,-0.43451,0.0,0.43479,0.0,9.50918,0.0,93.3201,0.0,5.903,0.0,142.73,0.0,269.348,0.0,5.521,0.0,86.287,0.0,,,1.388,0.0,3.034,0.0,,,0.099999999483871,0.0848498356669175,5.903,8.262,142.73,269.348,5.521,86.287,1.388,3.034,0.00028000000000000247
2,200702,US-Whs,31.7438,-110.0522,OSH,Arid,-0.435552,0.0,0.435832,0.0,9.50695,0.0,93.5688,0.0,9.517,0.0,201.698,0.0,274.277,0.0,8.5,0.0,86.325,0.0,,,0.267,0.0,3.095,0.0,,,0.300000011935484,0.123468957796885,9.517,12.233,201.698,274.277,8.5,86.325,0.267,3.095,0.00028000000000000247
3,200703,US-Whs,31.7438,-110.0522,OSH,Arid,-0.43481,0.0,0.435119,0.0,10.0548,0.0,97.3559,0.0,14.272,0.0,264.208,0.0,285.484,0.0,13.672,0.0,86.324,0.0,,,0.607,0.0,3.024,0.0,,,0.201873072333333,0.108444669951178,14.272,17.052,264.208,285.484,13.672,86.324,0.607,3.024,0.0003090000000000037
4,200704,US-Whs,31.7438,-110.0522,OSH,Arid,-0.434937,0.0,0.435227,0.0,9.90502,0.0,96.8406,0.0,17.111,0.0,315.592,0.0,300.38,0.0,15.692,0.0,86.075,0.0,,,0.168,0.0,3.638,0.0,,,0.100000000903226,0.0947900291058882,17.111,19.63,315.592,300.38,15.692,86.075,0.168,3.638,0.00028999999999995696
5,200705,US-Whs,31.7438,-110.0522,OSH,Arid,-0.434509,0.0,0.43479,0.0,10.0119,0.0,98.2538,0.0,21.887,0.0,343.506,0.0,324.256,0.0,21.082,0.0,86.118,0.0,,,0.502,0.0,3.078,0.0,,,0.192631723571429,0.0848873095524692,21.887,24.22,343.506,324.256,21.082,86.118,0.502,3.078,0.0002810000000000312
6,200706,US-Whs,31.7438,-110.0522,OSH,Arid,-0.432311,0.0,0.432447,0.0527778,11.4643,0.052778,109.633,0.053472,26.066,0.0541667,341.028,0.0555556,347.816,0.0,28.631,0.0541667,86.221,0.0486111,,,0.513,0.0486111,2.96,0.0486111,,,0.2,0.0878843191880964,26.06,28.282,340.418,347.816,28.692,86.221,0.513,2.995,0.000136000000000025
7,200707,US-Whs,31.7438,-110.0522,OSH,Arid,0.0671138,0.343135,0.681949,0.840726,42.0637,0.849462,88.9846,0.850806,25.622,0.851478,291.647,0.850806,380.605,0.0,20.281,0.851478,86.318,0.834677,0.262581218415,0.83064516129,3.413,0.835349,2.212,0.834677,383.203,0.851478,0.199999999,0.101724306877262,26.193,27.824,289.686,380.605,22.503,86.338,2.095,2.261,0.7490628
8,200708,US-Whs,31.7438,-110.0522,OSH,Arid,1.98373,2.02756,-0.343533,0.994624,68.2762,0.997984,56.677,0.998656,24.779,1.0,262.746,0.983871,381.178,0.0,15.322,1.0,86.288,1.0,0.222344758065,1.0,1.618,1.0,1.811,1.0,380.497,0.999328,0.199999999677419,0.103734263398644,24.427,26.045,257.327,381.178,15.665,86.337,2.594,1.96,1.6401970000000001
9,200709,US-Whs,31.7438,-110.0522,OSH,Arid,0.570301,0.478049,0.145754,0.992361,29.6738,0.997917,72.3235,0.999306,23.291,1.0,263.081,1.0,362.453,0.0,17.338,1.0,86.272,1.0,0.266520318121,0.997916666667,0.859,1.0,2.213,0.997917,367.683,1.0,0.199999999333333,0.104309126856518,22.72,24.786,240.87,362.453,15.368,86.341,1.125,2.409,0.7160549999999999
10,200710,US-Whs,31.7438,-110.0522,OSH,Arid,-0.00848624,0.0524497,0.0822243,0.992608,9.10275,1.0,63.6443,1.0,18.687,1.0,237.25,1.0,312.341,0.0,16.521,1.0,86.295,1.0,0.294194037146,0.997311827957,0.033,1.0,2.7,0.997312,370.199,1.0,0.200000000322581,0.109858922644371,18.815,21.497,219.668,312.341,15.873,86.345,0.211,3.039,0.07373806
11,200711,US-Whs,31.7438,-110.0522,OSH,Arid,-0.0313765,0.0,0.0534617,1.0,7.84293,0.999306,33.8716,0.999306,14.856,1.0,162.435,1.0,307.028,0.0,12.487,1.0,86.334,1.0,0.244201388889,1.0,0.411,1.0,2.191,1.0,370.665,0.999306,0.495551806451613,0.176082657582216,15.054,17.419,160.04,307.028,12.254,86.392,0.859,2.356,0.0220852
12,200712,US-Whs,31.7438,-110.0522,OSH,Arid,0.0058528,0.0,0.058372,0.993952,13.7939,0.999328,29.838,1.0,6.598,1.0,155.036,0.987231,276.282,0.0,6.008,1.0,86.341,0.999328,0.268403225806,1.0,0.348,1.0,2.499,1.0,375.009,0.999328,0.472843981666667,0.156557873844077,6.945,9.125,129.219,276.282,5.518,86.355,1.324,2.944,0.0642248
13,200801,US-Whs,31.7438,-110.0522,OSH,Arid,-0.0185707,0.0,0.018439,0.997984,4.82784,1.0,32.5419,1.0,7.359,0.991263,158.19,0.991935,280.416,0.0,6.578,0.991263,86.333,0.983871,0.27637077573,0.986559139785,0.033,1.0,2.533,0.986559,376.325,0.991263,0.0999999998709677,0.0891961994251382,7.829,9.93,146.508,280.416,6.44,86.367,0.927,2.996,-0.00013169999999999848
14,200802,US-Whs,31.7438,-110.0522,OSH,Arid,-0.132876,0.0,0.142397,0.992816,10.4443,0.999282,50.8186,1.0,9.893,1.0,213.112,1.0,277.59,0.0,9.417,1.0,86.212,0.996408,0.292862068966,1.0,0.201,1.0,2.759,1.0,377.708,0.999282,0.344080014193548,0.127226259570648,10.022,12.919,200.311,277.59,9.156,86.239,0.504,3.193,0.009521000000000002
