Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,US-Wi5,46.653083,-91.085806,ENF,Continental,1.18814,0.846055,-1.18214,0.0,,0.0,,0.0,-14.069,0.0,57.021,0.652554,202.483,0,0.248,0.0,97.747,0.0,,,0.873,0.0,1.981,0.0,,,0.100000001032258,0.297552533306146,-14.069,-13.115,57.209,202.483,0.248,97.747,0.873,1.981,0.006000000000000005
2,200402,US-Wi5,46.653083,-91.085806,ENF,Continental,0.828309,1.1535,-0.826403,0.0,,0.0,,0.0,-6.403,0.0,97.583,0.597701,234.203,0,0.889,0.0,97.773,0.0,,,0.943,0.0,1.954,0.0,,,1.1152272316129,0.32995944847825,-6.403,-4.91,97.792,234.203,0.889,97.773,0.943,1.954,0.0019059999999999633
3,200403,US-Wi5,46.653083,-91.085806,ENF,Continental,0.827159,1.44897,-0.825195,0.0,,0.0,,0.0,-1.44,0.0,140.555,0.532258,255.698,0,1.343,0.0,97.507,0.0,,,1.231,0.658602,2.193,0.0,,,0.798992693333333,0.236829523820514,-1.44,0.314,140.831,255.698,1.343,97.507,1.568,2.193,0.0019639999999999658
4,200404,US-Wi5,46.653083,-91.085806,ENF,Continental,0.787683,1.75976,-0.718199,0.456944,,0.472917,,0.477778,4.051,0.481944,208.476,0.4625,274.305,0,3.147,0.481944,97.419,0.385417,,,3.31,1.0,2.003,0.379167,,,0.820739592333333,0.239151999655823,4.475,6.148,208.641,274.305,3.187,97.402,1.807,1.885,0.06948399999999999
5,200405,US-Wi5,46.653083,-91.085806,ENF,Continental,1.74339,1.56397,-0.439627,0.889785,,0.946237,,0.950941,8.613,0.892473,218.21,0.617608,311.251,0,4.068,0.892473,97.253,0.711022,0.316732686925,0.613575268817,3.361,1.0,2.302,0.699597,381.691,0.887097,1.60692616551724,0.279827939532511,9.728,10.944,232.897,311.251,4.167,97.206,3.876,2.158,1.303763
6,200406,US-Wi5,46.653083,-91.085806,ENF,Continental,5.22059,4.61479,-2.54403,0.993056,,0.997222,,0.998611,14.426,0.955556,259.016,1.0,339.222,0,6.645,0.955556,97.33,0.745139,0.408652148381,0.965972222222,1.283,1.0,2.191,0.745139,363.754,0.955556,0.756285489032258,0.151035404216858,14.767,15.863,253.414,339.222,6.269,97.323,1.683,2.188,2.67656
7,200407,US-Wi5,46.653083,-91.085806,ENF,Continental,7.66933,8.68576,-4.73538,0.982527,,0.999328,,0.999328,18.456,1.0,260.954,1.0,357.264,0,6.78,1.0,97.369,0.913978,0.296712838424,0.838037634409,0.906,1.0,1.691,0.90457,367.253,1.0,0.817783628333333,0.226260286329431,17.857,19.12,245.377,357.264,6.777,97.351,1.808,1.605,2.9339500000000003
8,200408,US-Wi5,46.653083,-91.085806,ENF,Continental,8.16048,7.90845,-4.09258,0.978495,,0.989919,,0.991263,15.174,1.0,196.237,1.0,338.666,0,4.383,1.0,97.396,1.0,0.338060757503,0.911290322581,3.09,1.0,1.813,0.997312,371.365,1.0,1.04173186774194,0.261128583138656,15.335,16.531,200.631,338.666,5.196,97.394,2.118,1.832,4.0679
9,200409,US-Wi5,46.653083,-91.085806,ENF,Continental,5.92416,5.81888,-1.59958,0.984028,,1.0,,0.999306,16.1,1.0,164.765,1.0,346.634,0,4.704,1.0,97.507,1.0,0.367311974157,0.952083333333,2.373,1.0,2.212,0.997222,368.141,1.0,3.15424921333333,0.452712096603767,16.28,17.449,158.516,346.634,5.628,97.49,2.512,2.369,4.324579999999999
10,200410,US-Wi5,46.653083,-91.085806,ENF,Continental,1.88959,1.30945,-0.271293,0.864919,,0.87164,,0.86828,6.965,0.938844,88.278,0.997312,303.687,0,3.512,0.938844,97.166,0.55578,0.447778063525,0.514112903226,2.597,0.995968,2.27,0.545027,365.298,0.938844,5.5308353,0.625560489323653,7.364,8.346,91.079,303.687,2.433,97.198,2.44,2.221,1.618297
11,200411,US-Wi5,46.653083,-91.085806,ENF,Continental,0.648906,0.66875,-0.29638,0.997222,,1.0,,1.0,1.403,1.0,68.275,1.0,254.883,0,2.768,1.0,97.657,0.8,0.376768176283,0.7375,0.747,1.0,2.268,0.779167,364.783,1.0,5.55114101290323,0.594969068383564,0.971,1.828,66.799,254.883,1.523,97.719,0.645,2.113,0.352526
12,200412,US-Wi5,46.653083,-91.085806,ENF,Continental,0.676692,0.407249,-0.521952,0.411962,,0.422715,,0.423387,-8.365,0.425403,34.594,1.0,227.282,0,0.453,0.425403,97.384,0.214382,,,1.261,1.0,2.309,0.215054,,,4.61629106333333,0.488669668622783,-8.765,-7.96,41.24,227.282,0.373,97.401,1.67,2.303,0.15474
