Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200101,AU-Tum,-35.6566,148.1517,EBF,Temperate,20.8729,13.982,-2.06583,0.0,54.805,0.0,37.1393,0.0,17.641,0.0,290.015,0.0,330.286,0.0,9.435,0.0,87.188,0.0,,,1.181,0.0,2.409,0.0,,,4.85339110967742,0.340126758326087,17.641,19.248,290.015,330.286,9.435,87.188,1.181,2.409,18.807070000000003
2,200102,AU-Tum,-35.6566,148.1517,EBF,Temperate,19.5002,13.3472,-1.23079,0.223214,64.2272,0.227679,37.9813,0.227679,16.832,0.229167,267.128,0.229167,326.211,0.0,7.862,0.229167,87.23,0.227679,0.42401790527,0.502976190476,2.798,0.247024,2.485,0.532738,,,4.34180309677419,0.320961650762464,16.775,18.154,263.817,326.211,7.775,87.207,1.739,2.217,18.26941
3,200103,AU-Tum,-35.6566,148.1517,EBF,Temperate,12.8033,10.0317,-1.0375,0.932796,84.5119,0.936828,37.1437,0.936828,10.366,0.948925,216.153,0.950269,303.4,0.0,3.936,0.948925,87.242,0.93414,0.553627965616,0.809139784946,2.032,0.93414,3.072,0.977151,326.45,0.938172,4.92885282666667,0.31175623460432,12.088,13.468,212.396,303.4,4.968,87.248,2.838,2.651,11.7658
4,200104,AU-Tum,-35.6566,148.1517,EBF,Temperate,9.99839,7.274,-0.406887,0.991667,54.8785,0.995833,21.1634,0.995833,8.557,1.0,159.399,1.0,287.965,0.0,4.282,1.0,87.529,1.0,0.418994905956,0.9375,2.007,1.0,2.817,1.0,322.76,0.995833,5.42066327741935,0.327203228617687,9.576,11.188,159.138,287.965,4.21,87.559,1.51,2.216,9.591503000000001
5,200105,AU-Tum,-35.6566,148.1517,EBF,Temperate,7.38357,6.57286,-0.142258,0.939516,34.7157,0.946237,17.8227,0.946237,3.676,1.0,120.059,1.0,282.015,0.0,1.961,1.0,87.178,1.0,0.416276604555,0.791666666667,0.632,1.0,2.738,1.0,324.482,0.990591,4.94285637857143,0.379997881619559,5.828,7.198,108.727,282.015,2.752,87.286,0.407,2.128,7.241312
6,200106,AU-Tum,-35.6566,148.1517,EBF,Temperate,4.8476,5.03654,-0.234454,0.993056,25.0747,0.993056,10.8236,0.993056,2.121,1.0,88.931,1.0,274.387,0.0,1.346,1.0,87.551,1.0,0.57662068668,0.977777777778,5.28,1.0,3.098,1.0,325.569,0.993056,4.67158633225806,0.410158347752424,4.02,5.36,82.382,274.387,2.073,87.621,3.083,2.546,4.6131459999999995
7,200107,AU-Tum,-35.6566,148.1517,EBF,Temperate,6.59048,4.18117,-1.9469,0.818548,29.4751,0.823925,12.8276,0.823925,1.236,0.884409,91.928,0.884409,279.248,0.0,1.024,0.884409,87.294,0.870968,0.594494126043,0.575268817204,2.003,0.870968,2.741,0.592742,327.437,0.823925,6.590888,0.390262957123297,3.469,4.757,80.998,279.248,1.954,87.41,2.901,2.315,4.64358
8,200108,AU-Tum,-35.6566,148.1517,EBF,Temperate,5.58237,4.67917,-4.09982,0.915323,28.6107,0.928763,23.281,0.932796,0.321,0.973118,110.577,0.973118,272.354,0.0,1.219,0.973118,86.827,0.961022,0.732092175236,0.662634408602,4.032,0.998656,3.726,0.78629,321.794,0.920699,6.61446082580645,0.396129735808794,3.56,4.721,112.48,272.354,2.357,86.94,3.372,3.679,1.4825499999999998
9,200109,AU-Tum,-35.6566,148.1517,EBF,Temperate,9.06198,5.59792,-1.84953,0.856944,47.6647,0.883333,42.695,0.886111,5.654,0.984722,170.005,0.984722,284.217,0.0,2.163,0.984722,87.235,0.969444,,,3.367,1.0,2.791,0.525,322.484,0.883333,5.68139306,0.39364010292473,7.585,8.975,176.152,284.217,3.285,87.276,2.03,2.571,7.2124500000000005
10,200110,AU-Tum,-35.6566,148.1517,EBF,Temperate,8.15403,8.26503,-1.81754,0.846774,65.3428,0.873656,50.1083,0.873656,4.517,0.948925,191.387,0.948925,286.987,0.0,1.979,0.948925,86.659,0.93414,0.73061478762,0.674731182796,5.634,0.93414,3.432,0.729839,322.731,0.88172,3.00826807741935,0.358791731983753,7.703,8.732,214.696,286.987,3.568,86.742,3.693,3.582,6.33649
11,200111,AU-Tum,-35.6566,148.1517,EBF,Temperate,11.8971,8.40559,-1.24423,0.943056,84.5714,0.9625,79.5533,0.963889,8.694,0.990278,267.089,0.990278,295.723,0.0,3.38,0.990278,86.866,0.979167,0.667302459707,0.8375,2.353,0.998611,3.23,0.844444,323.176,0.968056,4.11091139032258,0.354115035685169,10.553,11.704,268.723,295.723,5.091,86.926,2.188,2.963,10.65287
12,200112,AU-Tum,-35.6566,148.1517,EBF,Temperate,12.1279,11.1591,-1.73219,0.884409,97.2193,0.893817,86.6173,0.893817,11.437,1.0,299.689,1.0,299.454,0.0,2.228,0.994624,86.514,1.0,0.626779249012,0.759408602151,0.671,1.0,3.127,0.770161,322.272,0.900538,3.85016016333333,0.341389671672794,13.14,14.267,308.145,299.454,7.42,86.552,0.571,2.994,10.395710000000001
13,200201,AU-Tum,-35.6566,148.1517,EBF,Temperate,12.827,8.89122,-3.90773,0.725806,100.806,0.764785,85.349,0.760753,14.581,0.798387,300.644,0.798387,310.021,0.0,4.996,0.797043,86.842,0.767473,0.590088575439,0.599462365591,1.549,0.767473,3.036,0.764785,335.162,0.770161,5.31988129354839,0.36629377323954,14.599,16.1,300.758,310.021,7.241,86.853,2.604,2.735,8.919270000000001
14,200202,AU-Tum,-35.6566,148.1517,EBF,Temperate,16.2846,10.4895,1.12954,0.837798,77.729,0.919643,56.2255,0.919643,13.799,0.943452,224.483,0.956845,325.697,0.0,3.624,0.943452,87.008,0.953869,0.548372646409,0.89880952381,5.107,1.0,3.126,1.0,338.143,0.936012,4.08110354516129,0.288616489003725,13.076,14.036,206.733,325.697,4.126,87.03,7.931,2.559,17.41414
15,200203,AU-Tum,-35.6566,148.1517,EBF,Temperate,12.0665,10.5613,1.96178,0.923387,52.9117,0.961022,33.5734,0.961022,14.289,1.0,243.034,1.0,304.324,0.0,6.558,1.0,87.297,1.0,0.45854880935,0.806451612903,1.155,1.0,2.738,1.0,335.36,0.977151,4.38905249666667,0.279928481823655,12.971,14.626,224.775,304.324,5.682,87.295,1.026,2.101,14.028279999999999
16,200204,AU-Tum,-35.6566,148.1517,EBF,Temperate,9.51153,9.30862,-0.472797,0.956944,35.7986,0.993056,21.4453,0.993056,12.026,1.0,167.526,1.0,300.03,0.0,3.99,1.0,87.618,1.0,0.418211459355,0.923611111111,0.68,1.0,2.645,1.0,335.288,0.994444,5.08494135806452,0.295259869807844,10.642,12.072,152.134,300.03,3.733,87.615,2.37,2.003,9.038733
17,200205,AU-Tum,-35.6566,148.1517,EBF,Temperate,5.43234,6.4625,-0.236156,0.979839,28.6118,0.991935,13.9478,0.991935,6.68,1.0,105.915,1.0,280.392,0.0,2.642,1.0,87.372,1.0,0.517139509791,0.897849462366,3.265,1.0,2.729,1.0,329.641,0.995968,4.64812845,0.353232358413133,6.338,7.698,105.704,280.392,2.954,87.429,1.234,2.22,5.196184
18,200206,AU-Tum,-35.6566,148.1517,EBF,Temperate,4.63737,3.70061,-0.669251,0.869444,26.2413,0.872222,8.07078,0.872222,4.038,0.873611,81.218,0.873611,276.179,0.0,1.888,0.873611,87.212,0.869444,0.712468025368,0.833333333333,5.972,0.869444,3.622,0.890278,335.029,0.873611,4.14593714516129,0.355225784853827,4.118,5.109,81.831,276.179,2.219,87.258,2.561,3.476,3.9681189999999997
19,200207,AU-Tum,-35.6566,148.1517,EBF,Temperate,5.04447,4.68983,-1.82046,0.928763,22.3423,0.94086,12.992,0.94086,2.856,0.950269,103.996,0.950269,260.215,0.0,1.889,0.950269,87.28,0.939516,0.541100097678,0.912634408602,4.71,0.965054,2.949,0.939516,336.587,0.942204,5.53405676,0.350629034440675,2.511,4.059,99.579,260.215,2.198,87.347,1.292,2.746,3.22401
20,200208,AU-Tum,-35.6566,148.1517,EBF,Temperate,4.59656,6.94219,0.688014,0.88172,23.7008,0.888441,27.72,0.888441,3.212,0.926075,142.806,0.927419,253.651,0.0,2.241,0.926075,87.367,0.907258,0.526429012346,0.825268817204,1.935,0.93414,2.735,0.907258,335.307,0.899194,5.74569368064516,0.354317773781186,3.48,5.183,144.705,253.651,2.717,87.453,1.296,2.701,5.284574
21,200209,AU-Tum,-35.6566,148.1517,EBF,Temperate,6.18421,4.50187,-4.64145,0.866667,43.0677,0.948611,37.0707,0.947222,5.408,0.984722,182.651,0.984722,265.169,0.0,3.098,0.984722,86.975,0.969444,0.72450096722,0.938888888889,5.44,0.998611,3.565,0.969444,337.411,0.968056,4.64560483666667,0.360679604796937,6.506,7.851,194.329,265.169,3.915,87.019,2.434,3.748,1.5427600000000004
22,200210,AU-Tum,-35.6566,148.1517,EBF,Temperate,8.12798,6.00204,-2.7363,0.825269,51.1695,0.961022,70.9171,0.961022,7.296,1.0,246.506,1.0,274.369,0.0,4.674,1.0,86.906,1.0,0.65371084619,0.994623655914,0.606,1.0,3.317,1.0,324.862,0.96371,5.83342173548387,0.348092140874205,9.253,10.6,261.808,274.369,5.469,86.955,1.168,3.233,5.391680000000001
23,200211,AU-Tum,-35.6566,148.1517,EBF,Temperate,3.71323,6.28073,-2.77941,0.633333,62.9536,0.698611,87.1281,0.690278,13.115,1.0,289.196,1.0,301.033,0.0,8.13,1.0,87.295,1.0,0.622767827734,0.518055555556,0.753,1.0,3.019,0.998611,331.618,0.726389,4.47324203548387,0.334067253440538,14.227,15.621,298.528,301.033,8.137,87.274,1.371,2.844,0.9338199999999999
