Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201001,AU-Wom,-37.4222,144.0944,EBF,Temperate,9.3143,11.2207,-5.05829,0.225134,145.243,0.322581,80.2675,0.323253,16.866,0.394489,318.744,0.0,325.606,0.0,9.194,0.394489,92.894,0.369624,,,1.103,0.0,3.232,0.34207,,,5.95806255806452,0.442534755602735,16.739,18.747,318.744,325.606,9.101,92.833,1.103,3.045,4.256009999999999
2,201002,AU-Wom,-37.4222,144.0944,EBF,Temperate,8.15687,8.70302,-3.84444,0.91369,98.9167,0.974702,67.1567,0.973958,17.933,1.0,266.136,0.930804,338.873,0.929315,7.623,1.0,93.237,0.999256,0.774434077829,0.706845238095,2.355,0.0,3.667,0.858631,385.4,0.981399,4.8525168516129,0.398279845737691,17.67,19.401,265.438,342.607,7.721,93.124,2.355,3.148,4.312429999999999
3,201003,AU-Wom,-37.4222,144.0944,EBF,Temperate,7.63652,7.80517,-3.20873,0.705645,83.6863,0.892473,40.72,0.892473,15.554,0.895833,206.039,0.898522,329.541,0.895833,5.877,0.895833,93.313,0.870296,0.605867342702,0.585349462366,4.354,0.0490591,2.968,0.766801,379.016,0.892473,4.93326351,0.368418860945178,14.966,16.611,198.215,335.268,5.131,93.397,4.354,2.622,4.42779
4,201004,AU-Wom,-37.4222,144.0944,EBF,Temperate,5.91854,5.89859,-1.037,0.964583,67.6706,0.989583,6.16393,0.991667,12.696,1.0,129.013,1.0,331.972,1.0,3.125,1.0,93.127,1.0,0.592132478155,0.551388888889,2.28,1.0,3.011,0.899306,381.428,0.991667,4.91764900322581,0.371795788808685,12.778,14.079,126.695,332.314,3.519,93.282,2.373,2.963,4.88154
5,201005,AU-Wom,-37.4222,144.0944,EBF,Temperate,4.74494,4.27,-1.04052,0.669355,46.344,0.832661,-7.25873,0.831989,9.242,0.857527,105.726,0.862231,317.787,0.857527,1.755,0.857527,93.071,0.641129,,,2.072,0.825941,2.774,0.475134,379.462,0.832661,5.63073965357143,0.430348274430389,9.056,10.336,92.8,315.323,1.706,93.218,2.368,2.601,3.70442
6,201006,AU-Wom,-37.4222,144.0944,EBF,Temperate,4.20376,3.2358,-1.9097,0.283333,31.9809,0.298611,-3.96321,0.298611,6.239,0.305556,65.358,0.304861,313.699,0.302083,0.857,0.299306,93.508,0.274306,,,2.841,0.276389,2.961,0.214583,378.366,0.298611,5.35528185806452,0.428870762129723,6.485,7.607,67.55,309.874,0.926,93.565,2.775,2.986,2.29406
7,201007,AU-Wom,-37.4222,144.0944,EBF,Temperate,3.37976,3.99521,-1.36736,0.808468,33.6975,0.950269,-6.75283,0.950269,5.873,0.950941,71.577,0.952285,312.089,0.950941,0.647,0.950941,93.461,0.945565,,,3.66,0.945565,2.674,0.601478,383.842,0.950269,5.24833609,0.413169563330662,6.02,7.347,77.432,305.44,0.801,93.61,2.977,2.575,2.0124000000000004
8,201008,AU-Wom,-37.4222,144.0944,EBF,Temperate,3.88287,3.98003,-2.01758,0.945565,47.5189,0.981855,-10.9927,0.981855,5.043,1.0,86.091,1.0,313.166,1.0,0.659,1.0,92.631,1.0,,,6.335,1.0,3.796,0.53293,379.937,0.981855,4.92381632903226,0.420879863826434,6.001,6.951,93.36,306.474,1.096,92.888,5.028,3.979,1.86529
9,201009,AU-Wom,-37.4222,144.0944,EBF,Temperate,5.72439,6.01278,-3.48792,0.989583,58.8618,0.996528,32.9413,0.996528,6.537,1.0,135.703,1.0,315.05,1.0,1.017,1.0,92.993,1.0,,,3.973,1.0,3.212,0.78125,378.983,0.996528,4.66863738333333,0.397064927000427,7.709,8.876,145.394,310.885,1.836,93.202,3.065,3.359,2.2364699999999997
10,201010,AU-Wom,-37.4222,144.0944,EBF,Temperate,7.30748,6.81164,-2.83457,0.855511,94.0272,0.916667,57.1047,0.915995,10.292,0.927419,218.67,0.926747,312.002,0.927419,3.006,0.927419,93.133,0.920699,,,5.656,0.920699,3.202,0.74328,380.09,0.922043,4.10278262258065,0.401549843067864,10.579,11.951,210.129,317.826,3.145,93.271,6.785,3.076,4.472910000000001
11,201011,AU-Wom,-37.4222,144.0944,EBF,Temperate,9.37726,8.125,-3.51647,0.475694,107.493,0.499306,90.6202,0.5,12.816,0.516667,243.08,0.518056,329.879,0.516667,4.164,0.516667,93.078,0.513194,,,8.042,0.513194,3.191,0.425,381.771,0.5,3.01083596129032,0.343184701894073,12.762,14.154,236.435,330.529,4.072,93.142,6.555,3.034,5.86079
12,201012,AU-Wom,-37.4222,144.0944,EBF,Temperate,8.64257,8.98428,-3.37013,0.943548,115.467,0.999328,59.5252,0.999328,14.107,1.0,259.936,1.0,329.782,1.0,5.137,1.0,92.386,1.0,0.683060716466,0.692876344086,1.974,1.0,3.206,0.90457,379.865,1.0,3.39328313666667,0.358138992895487,13.78,15.232,272.822,327.092,4.521,92.593,3.693,3.274,5.27244
13,201101,AU-Wom,-37.4222,144.0944,EBF,Temperate,8.87125,6.93441,-3.39276,0.918011,114.797,0.985215,59.0981,0.985215,17.285,1.0,260.249,1.0,343.768,1.0,7.216,1.0,92.485,0.926075,0.698049829105,0.650537634409,7.446,0.926075,3.476,0.747312,377.396,0.986559,4.97120056129032,0.37061481132095,16.487,17.958,282.51,340.285,5.994,92.683,9.12,2.877,5.47849
14,201102,AU-Wom,-37.4222,144.0944,EBF,Temperate,6.75293,6.63847,-3.16112,0.839286,109.787,0.993304,53.4901,0.993304,16.057,1.0,237.621,1.0,347.392,1.0,4.184,1.0,92.822,1.0,0.720724645709,0.666666666667,4.893,1.0,3.366,0.821429,373.701,0.997024,4.44732518387097,0.386562245170142,15.602,17.028,238.747,346.709,4.547,93.03,5.153,2.832,3.59181
15,201103,AU-Wom,-37.4222,144.0944,EBF,Temperate,6.8902,7.79733,-3.47486,0.873656,86.3454,0.997312,33.4583,0.997312,13.189,1.0,191.302,1.0,326.615,1.0,2.927,1.0,92.871,0.987903,0.713793182886,0.690860215054,1.168,0.987903,3.463,0.810484,363.135,0.999328,4.72810416,0.37354226658481,13.267,14.681,193.619,332.293,3.609,93.116,2.696,2.988,3.41534
