Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200101,CA-NS5,55.86306,-98.485,ENF,Continental,2.71368,1.65225,-2.22714,0.0,,0.0,,0.0,-15.096,0.0,22.389,0.0,212.864,0,0.792,0.0,98.15,0,,,0.423,0.0,1.53,0.0,,,0.16428573,0.23679631130888,-15.096,-14.319,22.389,212.864,0.792,98.15,0.423,1.53,0.4865400000000002
2,200102,CA-NS5,55.86306,-98.485,ENF,Continental,2.38221,3.3577,-2.21504,0.0,,0.0,,0.0,-21.148,0.0,58.166,0.0,179.03,0,0.777,0.0,98.641,0,,,0.205,0.0,1.398,0.0,,,0.594000769354839,0.216851327948384,-21.148,-20.309,58.166,179.03,0.777,98.641,0.205,1.398,0.16717000000000004
3,200103,CA-NS5,55.86306,-98.485,ENF,Continental,3.20901,4.82481,-2.20933,0.0,,0.0,,0.0,-9.251,0.0,99.025,0.0,229.615,0,1.237,0.0,98.429,0,,,0.525,0.0,1.5,0.0,,,0.229749572666667,0.0476356181398744,-9.251,-7.784,99.025,229.615,1.237,98.429,0.525,1.5,0.9996800000000001
4,200104,CA-NS5,55.86306,-98.485,ENF,Continental,4.35368,7.05958,-2.21724,0.0,,0.0,,0.0,-0.215,0.0,180.749,0.0,248.697,0,3.011,0.0,98.305,0,,,0.322,0.0,1.555,0.0,,,1.3259686,0.0031342308431061,-0.215,1.861,180.749,248.697,3.011,98.305,0.322,1.555,2.13644
5,200105,CA-NS5,55.86306,-98.485,ENF,Continental,5.58398,7.02427,-2.22714,0.0,,0.0,,0.0,7.87,0.0,194.973,0.0,291.43,0,4.84,0.0,97.925,0,,,1.437,0.0,1.866,0.0,,,0.16626985,0.153549843954841,7.87,9.038,194.973,291.43,4.84,97.925,1.437,1.866,3.3568400000000005
6,200106,CA-NS5,55.86306,-98.485,ENF,Continental,6.30208,7.33682,-2.21724,0.0,,0.0,,0.0,12.144,0.0,223.862,0.0,308.317,0,6.536,0.0,98.217,0,,,1.041,0.0,1.57,0.0,,,0.217544211612903,0.127165193207866,12.144,13.109,223.862,308.317,6.536,98.217,1.041,1.57,4.08484
7,200107,CA-NS5,55.86306,-98.485,ENF,Continental,7.11941,6.57569,-2.21759,0.0,,0.0,,0.0,16.693,0.0107527,207.728,0.0127688,340.988,0,7.034,0.0107527,97.98,0,,,1.159,0.0,1.745,0.0,,,0.832553924,0.118756710913965,16.677,17.644,207.743,340.988,7.022,97.98,1.159,1.745,4.901820000000001
8,200108,CA-NS5,55.86306,-98.485,ENF,Continental,5.43401,5.21723,-1.03468,0.726478,,0.770833,,0.771505,15.24,0.907258,185.702,0.90793,333.011,0,5.874,0.907258,97.911,0,0.333954650673,0.572580645161,1.257,0.0,1.874,0.579301,388.742,0.772177,1.27079342580645,0.247926628813527,14.781,15.898,163.049,333.011,5.879,97.911,1.257,1.654,4.39933
9,200109,CA-NS5,55.86306,-98.485,ENF,Continental,2.34494,2.18374,0.368021,0.418056,,0.419444,,0.420833,9.887,0.421528,109.12,0.423611,305.967,0,3.956,0.421528,98.3,0,,,0.636,0.0,1.763,0.395139,401.54,0.420139,2.08000691,0.302463421975329,9.415,10.475,110.884,305.967,3.88,98.3,0.636,1.656,2.712961
10,200110,CA-NS5,55.86306,-98.485,ENF,Continental,0.592022,0.963196,0.317113,0.985215,,0.995968,,0.999328,-0.039,1.0,57.615,1.0,274.071,0,1.092,1.0,97.721,0,0.363815800912,0.873655913978,0.535,0.0,1.883,0.902554,382.294,0.995968,3.39847809032258,0.432541252506178,0.29,1.051,53.81,274.071,1.802,97.721,0.535,1.728,0.909135
