Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200101,CA-SF2,54.25392,-105.8775,ENF,Continental,2.65877,1.66828,-1.13312,0.0,118.168,0.0,57.1117,0.0,-9.331,0.0,34.869,0.0,235.65,0.0,0.344,0.0,95.395,0.0,,,0.149,0.0,1.863,0.0,,,0.185084368709677,0.240827050285912,-9.331,-8.511,34.869,235.65,0.344,95.395,0.149,1.863,1.5256500000000002
2,200102,CA-SF2,54.25392,-105.8775,ENF,Continental,1.8095,3.23348,-1.1354,0.0,122.72,0.0,59.9361,0.0,-18.004,0.0,75.745,0.0,202.541,0.0,0.216,0.0,95.77,0.0,,,0.218,0.0,1.796,0.0,,,0.640597851612903,0.220700099551347,-18.004,-16.723,75.745,202.541,0.216,95.77,0.218,1.796,0.6741000000000001
3,200103,CA-SF2,54.25392,-105.8775,ENF,Continental,3.21995,5.44429,-1.12,0.0,120.311,0.0,57.7934,0.0,-6.391,0.0,142.952,0.0,231.452,0.0,1.102,0.0,95.513,0.0,,,0.342,0.0,1.929,0.0,,,0.475147154333333,0.190542058568783,-6.391,-4.243,142.952,231.452,1.102,95.513,0.342,1.929,2.0999499999999998
4,200104,CA-SF2,54.25392,-105.8775,ENF,Continental,4.87283,6.98944,-1.12931,0.0,117.158,0.0,56.6904,0.0,1.358,0.0,197.364,0.0,257.303,0.0,3.554,0.0,95.389,0.0,,,0.684,0.0,1.863,0.0,,,1.25236884967742,0.251459692143974,1.358,3.455,197.364,257.303,3.554,95.389,0.684,1.863,3.74352
5,200105,CA-SF2,54.25392,-105.8775,ENF,Continental,7.00275,8.10837,-1.13312,0.0,111.169,0.0,53.7288,0.0,9.819,0.0,237.774,0.0,288.924,0.0,6.731,0.0,95.202,0.0,,,0.387,0.0,2.382,0.0,,,0.107023420357143,0.19041786082438,9.819,11.267,237.774,288.924,6.731,95.202,0.387,2.382,5.86963
6,200106,CA-SF2,54.25392,-105.8775,ENF,Continental,7.90526,8.04379,-1.12931,0.0,108.196,0.0,52.3541,0.0,13.058,0.0,232.771,0.0,311.42,0.0,6.133,0.0,95.477,0.0,,,1.876,0.0,1.623,0.0,,,0.0932314860645161,0.1372756129944,13.058,14.095,232.771,311.42,6.133,95.477,1.876,1.623,6.77595
7,200107,CA-SF2,54.25392,-105.8775,ENF,Continental,8.35748,9.32357,1.10646,0.875672,96.9581,0.883737,43.2989,0.883065,17.601,0.885081,273.019,0.886425,331.738,0.0,7.564,0.885081,95.324,0.0,0.338024791334,0.834005376344,2.604,0.877016,1.744,0.88172,,,0.406013474666667,0.181656326011312,17.378,18.461,237.511,331.738,7.939,95.324,1.821,1.937,9.463940000000001
8,200108,CA-SF2,54.25392,-105.8775,ENF,Continental,8.17441,7.92686,0.91341,0.971774,92.9983,0.997312,21.3502,0.999328,16.128,1.0,244.309,1.0,323.228,0.0,7.535,1.0,95.425,0.0,0.298578001573,0.991935483871,0.571,1.0,1.539,1.0,,,1.03385900225806,0.226100426792653,17.58,19.058,221.077,323.228,9.347,95.425,0.463,1.916,9.08782
9,200109,CA-SF2,54.25392,-105.8775,ENF,Continental,5.98353,5.62538,1.17747,0.552083,37.2267,0.996528,25.8165,1.0,9.987,1.0,162.206,1.0,299.111,0.0,4.436,1.0,95.531,0.0,0.295017050827,0.986805555556,0.563,1.0,1.534,0.999306,,,2.77665361,0.363368397877618,11.273,12.486,148.751,299.111,5.219,95.531,0.829,1.84,7.161
10,200110,CA-SF2,54.25392,-105.8775,ENF,Continental,1.85824,3.16928,2.2177,0.0,7.88268,1.0,16.1754,1.0,-0.161,1.0,88.027,1.0,258.028,0.0,2.1,1.0,95.148,0.0,0.311368676366,0.973790322581,0.248,1.0,1.799,1.0,,,3.09502749354839,0.458504794248684,0.358,1.387,83.365,258.028,2.23,95.148,0.326,1.95,4.075939999999999
11,200111,CA-SF2,54.25392,-105.8775,ENF,Continental,-0.840082,1.46236,3.78211,0.0,2.93778,0.979167,1.32784,0.979167,-4.387,0.979167,34.962,0.979861,253.168,0.0,0.726,0.979167,95.517,0.0,0.280850585416,0.94375,0.027,0.970139,1.604,0.968056,,,2.33864007741935,0.400857337388155,-4.511,-3.551,38.01,253.168,0.612,95.517,0.198,1.88,2.9420279999999996
12,200112,CA-SF2,54.25392,-105.8775,ENF,Continental,0.20972,1.06348,0.914403,0.0,2.83734,0.0,5.65951,0.0,-13.876,0.0,23.78,0.0,224.605,0.0,0.105,0.0,95.222,0.0,,,0.303,0.0,1.825,0.0,,,1.05234659,0.300552859419104,-13.876,-12.597,23.78,224.605,0.105,95.222,0.303,1.825,1.124123
13,200201,CA-SF2,54.25392,-105.8775,ENF,Continental,1.10373,0.342712,-1.10513,0.0,3.10797,0.0,6.22279,0.0,-17.967,0.0,36.406,0.0,211.107,0.0,0.237,0.0,95.237,0.0,,,0.194,0.0,1.663,0.0,,,0.210670538387097,0.241532915375966,-17.967,-17.052,36.406,211.107,0.237,95.237,0.194,1.663,-0.0013999999999998458
14,200202,CA-SF2,54.25392,-105.8775,ENF,Continental,1.08453,0.639034,-1.08593,0.0,10.5357,0.0,40.961,0.0,-10.762,0.0,75.045,0.0,225.849,0.0,0.509,0.0,95.553,0.0,,,0.206,0.0,1.993,0.0,,,0.755618615483871,0.239468957807009,-10.762,-9.318,75.045,225.849,0.509,95.553,0.206,1.993,-0.0014000000000000679
15,200203,CA-SF2,54.25392,-105.8775,ENF,Continental,1.08082,1.04017,-1.08237,0.0,11.1083,0.0,44.4493,0.0,-15.699,0.0,137.992,0.0,204.259,0.0,0.392,0.0,95.862,0.0,,,0.313,0.0,1.827,0.0,,,0.478854378333333,0.208834725215607,-15.699,-14.082,137.992,204.259,0.392,95.862,0.313,1.827,-0.0015500000000001624
16,200204,CA-SF2,54.25392,-105.8775,ENF,Continental,1.5963,1.79031,-1.60188,0.620833,15.3369,0.683333,61.5814,0.684028,-3.237,0.6875,195.774,0.688889,244.975,0.0,2.322,0.6875,95.51,0.0,0.421926699531,0.603472222222,0.203,0.68125,2.004,0.68125,,,1.3051398,0.264640010995422,-3.693,-1.981,197.488,244.975,2.02,95.51,0.787,2.042,-0.005579999999999918
17,200205,CA-SF2,54.25392,-105.8775,ENF,Continental,3.59799,4.96326,-3.59326,0.969086,29.9299,0.997312,83.2008,0.997312,5.954,1.0,283.97,1.0,256.949,0.0,6.795,1.0,95.568,0.0,0.436235708668,0.922043010753,0.0,1.0,2.274,1.0,,,0.206987563214286,0.166402833962209,5.293,6.989,272.655,256.949,6.387,95.568,0.339,2.091,0.004729999999999901
18,200206,CA-SF2,54.25392,-105.8775,ENF,Continental,6.31312,6.35534,-1.78178,0.992361,68.9922,0.998611,48.2996,0.998611,15.591,1.0,248.886,1.0,319.871,0.0,8.958,1.0,95.274,0.0,0.338031405778,0.961111111111,0.01,1.0,1.612,0.998611,,,0.113930981645161,0.191191545212642,15.643,16.908,250.819,319.871,9.136,95.274,1.382,1.725,4.53134
19,200207,CA-SF2,54.25392,-105.8775,ENF,Continental,10.5777,9.33856,-0.697891,0.965726,101.952,0.998656,33.1427,1.0,17.186,1.0,263.285,1.0,329.309,0.0,7.881,1.0,95.38,0.0,0.342121507674,0.98252688172,1.035,1.0,1.606,1.0,,,0.383567714666667,0.177588764880111,18.327,19.419,253.985,329.309,10.055,95.38,0.961,2.028,9.879809
20,200208,CA-SF2,54.25392,-105.8775,ENF,Continental,10.2069,8.65513,1.31406,0.967742,77.6554,0.999328,25.426,0.998656,13.978,1.0,201.039,1.0,326.835,0.0,5.043,1.0,95.51,0.0,0.273957104661,0.963037634409,1.648,1.0,1.209,0.997984,,,0.83503919483871,0.19406185176705,14.299,15.577,175.828,326.835,5.535,95.51,1.715,1.722,11.520959999999999
21,200209,CA-SF2,54.25392,-105.8775,ENF,Continental,2.02748,3.02109,-0.409108,0.528472,33.7403,0.911111,0.62424,0.917361,7.758,0.918056,129.586,0.91875,290.855,0.722222,2.997,0.918056,95.04,0.608333,0.356628279587,0.865972222222,1.5,0.908333,1.871,0.885417,,,1.80619274666667,0.324583861147782,8.57,9.704,130.094,293.916,3.951,95.211,1.054,2.061,1.6183720000000001
22,200210,CA-SF2,54.25392,-105.8775,ENF,Continental,0.216963,0.252876,0.0537695,0.0,9.25112,0.99664,9.91118,0.998656,-3.299,1.0,74.536,1.0,256.082,1.0,1.229,1.0,95.571,1.0,0.311333254277,0.970430107527,0.335,1.0,1.932,1.0,383.835,0.920699,2.99873551612903,0.452923920750132,-3.303,-2.352,77.877,251.295,1.194,95.798,0.402,1.75,0.2707325
23,200211,CA-SF2,54.25392,-105.8775,ENF,Continental,-0.101887,0.132841,0.249681,0.0,3.28936,0.999306,1.47629,0.999306,-8.14,1.0,38.905,1.0,244.571,1.0,0.712,1.0,94.958,1.0,0.321042929293,0.994444444444,0.463,1.0,2.088,1.0,387.259,1.0,2.43454002903226,0.443045013242119,-8.061,-7.053,35.576,244.752,0.402,95.338,0.226,1.946,0.14779399999999998
24,200212,CA-SF2,54.25392,-105.8775,ENF,Continental,0.214416,0.0833803,-0.112324,0.0,1.88509,0.998656,-1.04519,0.998656,-10.406,1.0,24.355,1.0,239.755,1.0,0.321,1.0,94.698,1.0,0.297239426761,0.925403225806,0.0,1.0,1.988,1.0,386.158,0.997984,1.5872648,0.334302917994473,-9.926,-9.142,20.751,241.965,0.115,95.086,0.379,1.975,0.102092
25,200301,CA-SF2,54.25392,-105.8775,ENF,Continental,0.419124,0.28431,-0.338005,0.0,1.61679,0.995968,2.67239,0.997984,-18.773,1.0,42.739,1.0,193.008,1.0,0.559,1.0,95.296,1.0,0.339907591384,0.939516129032,0.361,1.0,2.191,1.0,390.989,0.998656,0.20601852,0.38422219316875,-18.804,-17.663,38.505,200.615,0.28,95.927,0.13,1.962,0.081119
26,200302,CA-SF2,54.25392,-105.8775,ENF,Continental,0.289788,0.473932,-0.230746,0.0,2.19147,1.0,22.4155,1.0,-18.46,1.0,72.583,0.988839,201.08,1.0,0.447,1.0,95.262,1.0,0.297046130952,1.0,0.0,1.0,1.96,0.999256,389.724,1.0,0.615037028387097,0.220535944222129,-19.61,-18.47,67.217,204.892,0.072,95.655,0.278,1.656,0.05904199999999998
27,200303,CA-SF2,54.25392,-105.8775,ENF,Continental,1.17425,0.832428,-0.895689,0.0,6.11454,0.99328,45.6818,0.997984,-10.806,1.0,130.414,0.997312,214.795,1.0,1.316,1.0,95.052,1.0,0.347667797918,0.990591397849,0.884,1.0,2.313,0.998656,389.117,1.0,0.748523838,0.221606375104105,-11.586,-9.77,132.608,219.855,0.827,95.211,0.426,1.898,0.27856100000000006
28,200304,CA-SF2,54.25392,-105.8775,ENF,Continental,2.31412,1.94778,-1.46394,0.644444,17.7411,0.997222,70.2925,0.997222,2.229,1.0,189.322,1.0,258.648,1.0,3.776,1.0,95.394,1.0,0.407058652673,0.978472222222,0.227,1.0,2.618,1.0,391.046,0.999306,1.3051398,0.334343915250984,1.161,2.899,184.264,264.84,2.914,95.543,0.369,2.158,0.8501799999999999
29,200305,CA-SF2,54.25392,-105.8775,ENF,Continental,4.01421,3.74718,-1.6343,0.925403,35.4468,0.97043,83.0719,0.97043,10.22,1.0,240.772,1.0,288.804,1.0,7.256,1.0,95.721,1.0,0.438474312282,0.98252688172,0.998,0.999328,2.587,1.0,383.681,0.971102,0.1604183925,0.230361221962379,9.7,11.098,250.517,288.151,6.025,95.403,0.931,2.06,2.37991
30,200306,CA-SF2,54.25392,-105.8775,ENF,Continental,8.06047,7.81221,-2.29537,0.907639,69.2949,0.925,46.8977,0.929861,14.076,1.0,220.626,1.0,325.341,1.0,6.557,1.0,97.05,1.0,0.381300925926,0.991666666667,0.61,1.0,2.115,1.0,364.548,0.925,0.195031767419355,0.199385620509744,14.297,15.272,229.366,320.048,6.981,95.203,1.381,1.942,5.7651
31,200307,CA-SF2,54.25392,-105.8775,ENF,Continental,8.94531,8.63005,-1.637,0.989247,76.9235,1.0,53.2309,1.0,16.512,1.0,239.065,1.0,332.773,1.0,7.556,1.0,97.324,1.0,0.364086021505,1.0,0.681,1.0,2.1,0.999328,361.035,1.0,0.655911496666667,0.198707503582596,17.282,18.421,238.066,330.689,8.254,95.445,0.936,1.841,7.308309999999999
32,200308,CA-SF2,54.25392,-105.8775,ENF,Continental,7.28908,6.63301,0.000495378,0.986559,63.2221,0.99328,31.8434,0.994624,16.933,1.0,202.685,1.0,327.862,1.0,7.735,1.0,97.539,1.0,0.322533602151,1.0,1.906,1.0,1.988,1.0,364.463,0.993952,1.26190152322581,0.254805012337848,18.292,19.577,206.956,331.646,9.643,95.632,0.931,1.96,7.289575378
33,200309,CA-SF2,54.25392,-105.8775,ENF,Continental,3.85321,3.53728,-0.0854488,0.584028,23.5623,0.708333,34.3396,0.721528,8.431,1.0,121.887,1.0,306.061,1.0,3.5,1.0,96.26,1.0,0.373975635814,0.979861111111,0.97,1.0,2.061,1.0,368.838,0.711111,2.70217038333333,0.401311654276781,8.864,10.082,122.651,305.226,3.895,95.384,0.794,2.088,3.7677612
34,200310,CA-SF2,54.25392,-105.8775,ENF,Continental,2.15917,2.15125,0.943007,0.0,10.0506,0.989247,19.4728,0.995968,3.41,1.0,83.434,1.0,278.564,1.0,2.772,1.0,95.12,1.0,0.349628575655,0.983198924731,0.735,1.0,2.178,1.0,369.162,0.989247,2.85757074193548,0.433019301416407,3.369,4.472,81.495,280.882,1.861,95.278,0.548,1.967,3.102177
35,200311,CA-SF2,54.25392,-105.8775,ENF,Continental,-1.77952,1.32625,2.20519,0.0,3.05956,0.970833,4.6027,1.0,-10.972,1.0,45.411,1.0,221.998,1.0,0.679,1.0,94.922,1.0,0.291854166667,1.0,0.017,1.0,1.881,0.991667,366.9,1.0,2.1663089,0.404043313150025,-10.409,-9.479,48.331,219.411,0.42,95.127,0.156,1.979,0.42567
36,200312,CA-SF2,54.25392,-105.8775,ENF,Continental,1.29127,0.974654,-0.944351,0.0,1.78593,0.987231,-2.1841,1.0,-13.114,1.0,31.696,1.0,234.795,1.0,0.423,1.0,94.965,1.0,0.232558516916,0.995295698925,0.006,1.0,1.68,1.0,367.005,1.0,1.20447540633333,0.344452028239056,-11.177,-10.361,25.471,227.925,0.334,95.191,0.117,1.873,0.34691899999999987
37,200401,CA-SF2,54.25392,-105.8775,ENF,Continental,1.02034,0.650017,-1.03588,0.0,2.78006,0.995968,8.72392,0.99664,-21.717,1.0,30.327,0.975806,218.654,1.0,0.234,1.0,95.758,1.0,0.329268820598,0.756720430108,0.0,1.0,1.936,1.0,362.526,0.997312,0.20601852,0.271086329824986,-23.642,-22.78,30.447,204.663,0.006,95.846,0.518,1.742,-0.015539999999999887
38,200402,CA-SF2,54.25392,-105.8775,ENF,Continental,0.494124,0.980503,-0.449615,0.0,3.42802,0.999282,19.218,1.0,-11.685,1.0,63.066,0.969828,237.505,1.0,0.565,1.0,95.292,1.0,0.313023225211,0.936781609195,0.341,1.0,1.945,1.0,366.273,1.0,0.498868865806452,0.220636565740595,-11.871,-10.671,67.339,230.838,0.317,95.471,0.539,1.823,0.04450900000000002
39,200403,CA-SF2,54.25392,-105.8775,ENF,Continental,0.692058,1.4296,-0.614116,0.0,7.82501,1.0,44.4854,1.0,-6.97,1.0,132.2,1.0,229.957,1.0,1.562,1.0,95.264,1.0,0.409918761658,0.948252688172,1.181,1.0,2.459,1.0,364.004,1.0,0.411465688,0.194242124528972,-7.176,-5.691,138.896,236.198,1.134,95.428,0.674,2.183,0.07794199999999996
40,200404,CA-SF2,54.25392,-105.8775,ENF,Continental,1.15394,1.63704,-0.683791,0.715278,16.3253,1.0,72.6564,1.0,1.429,1.0,200.964,1.0,241.23,1.0,3.447,1.0,95.467,1.0,0.428327432901,0.901388888889,0.747,1.0,2.423,1.0,363.724,1.0,1.3051398,0.281691639824999,0.291,2.092,202.482,252.255,2.987,95.635,0.529,2.02,0.47014899999999993
41,200405,CA-SF2,54.25392,-105.8775,ENF,Continental,2.51236,2.82694,-1.39605,0.988575,30.3385,1.0,84.2474,1.0,5.277,1.0,222.326,1.0,269.983,1.0,4.478,1.0,95.201,1.0,0.446064941498,0.872983870968,0.576,1.0,2.544,0.999328,373.114,1.0,0.100000001034483,0.268537570825601,4.467,5.662,229.871,272.443,4.029,95.362,1.026,1.9,1.1163100000000001
42,200406,CA-SF2,54.25392,-105.8775,ENF,Continental,6.1257,6.19542,-2.15566,0.979861,65.9112,0.997222,56.4585,1.0,11.796,1.0,228.304,1.0,307.466,1.0,6.076,1.0,95.453,1.0,0.414258162714,0.758333333333,0.21,1.0,2.241,1.0,365.93,0.997222,0.323077547096774,0.195322162956496,11.277,12.285,222.883,308.238,6.066,95.614,1.778,1.932,3.97004
43,200407,CA-SF2,54.25392,-105.8775,ENF,Continental,9.16465,9.12868,-1.24723,0.940188,81.713,0.997312,39.9369,0.997312,15.291,1.0,215.163,1.0,333.509,1.0,5.851,1.0,95.25,1.0,0.336458251803,0.832661290323,1.394,1.0,1.78,1.0,366.926,0.995296,0.699061117,0.167673536182987,15.725,16.752,210.263,333.477,5.803,95.411,1.857,1.646,7.91742
44,200408,CA-SF2,54.25392,-105.8775,ENF,Continental,8.70489,8.97632,0.350289,0.962366,69.6224,0.99664,35.1641,1.0,12.162,1.0,186.22,1.0,320.108,1.0,3.817,1.0,95.534,1.0,0.335901456292,0.849462365591,1.768,1.0,1.78,1.0,358.551,1.0,0.769533463225806,0.215284291438242,11.826,13.03,179.827,315.128,4.522,95.662,1.304,1.723,9.055179
