Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,14.3504,0.0,48.2538,0.0,-0.922,1.0,63.277,0.0,265.271,0,0.722,1.0,98.86,0.0,,,2.08,0.0,2.398,1.0,,,0.122177293870968,0.0641795003316053,-0.468,0.335,63.277,265.271,1.147,98.86,2.08,2.271,
2,200202,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,16.3432,0.0,54.3892,0.0,-1.413,1.0,106.568,0.0,255.151,0,0.921,1.0,99.051,0.0,,,2.678,0.0,2.324,1.0,,,0.772706383225806,0.287603973951547,-1.104,0.146,106.568,255.151,1.183,99.051,2.678,2.394,
3,200203,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,16.2512,0.0,55.076,0.0,0.745,1.0,157.252,0.0,266.256,0,1.573,1.0,99.285,0.0,,,2.601,0.0,2.264,1.0,,,0.337324236,0.171334573580996,0.783,2.163,157.252,266.256,1.755,99.285,2.601,2.289,
4,200204,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,16.2409,0.0,54.5832,0.0,7.518,1.0,207.823,0.0,299.877,0,2.964,1.0,99.295,0.0,,,4.928,0.0,1.918,1.0,,,0.173512053225806,0.0976156316686097,7.646,8.746,207.823,299.877,2.598,99.295,4.928,1.991,
5,200205,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,17.8687,0.0,60.084,0.0,10.716,1.0,257.9,0.0,308.592,0,4.224,1.0,99.178,0.0,,,4.551,0.0,2.532,1.0,,,0.2365065975,0.0602287096715388,11.172,12.38,257.9,308.592,3.835,99.178,4.551,2.007,
6,200206,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,24.24,0.316667,73.4925,0.314583,19.637,1.0,275.322,0.0,359.76,0,7.352,1.0,99.092,0.0,,,2.979,0.0,1.88,0.933333,,,0.342101027741936,0.171855900784134,19.578,20.813,275.322,359.76,6.572,99.092,2.979,1.477,
7,200207,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,46.55,0.302419,68.5566,0.302419,22.929,1.0,307.704,0.0,367.179,0,8.864,1.0,99.188,0.0,,,2.284,0.0,1.748,1.0,360.879,0.296371,0.467997117,0.216814571680005,23.053,24.347,307.704,367.179,9.532,99.188,2.284,1.425,
8,200208,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,21.6994,0.0,77.6845,0.0,21.241,1.0,244.694,0.0,360.376,0,6.517,1.0,99.406,0.0,,,2.169,0.0,1.597,1.0,378.334,0.0,0.913071871935484,0.248559174100882,21.111,22.34,244.694,360.376,6.857,99.406,2.169,1.449,
9,200209,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,28.4521,0.639583,57.2918,0.639583,18.556,1.0,191.527,0.0,345.742,0,5.296,1.0,99.274,0.0,0.175783941536,0.615972222222,2.623,0.0,1.66,1.0,383.831,0.624306,1.73405312666667,0.37293068242363,18.655,19.958,191.527,345.742,5.659,99.274,2.623,1.528,
10,200210,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,29.7044,0.0,26.8854,0.0,8.925,1.0,115.748,0.0,303.842,0,2.287,1.0,99.387,0.0,,,1.894,0.0,1.866,1.0,379.399,0.0,2.10180187096774,0.428251193614485,9.053,9.915,115.748,303.842,2.727,99.387,1.894,1.725,
11,200211,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,7.3502,0.305556,0.449549,0.303472,3.966,1.0,62.298,0.0,286.83,0,1.734,1.0,98.849,0.0,,,3.335,0.0,3.007,0.998611,381.862,0.111111,2.28841535806452,0.47689218735508,3.391,3.949,62.298,286.83,1.628,98.849,3.335,2.24,
12,200212,CA-TP1,42.66093611,-80.55951944,ENF,Continental,,,,,8.21104,0.0,0.361578,0.0,-1.738,1.0,52.531,0.000672043,261.359,0,0.859,1.0,99.063,0.00134409,,,1.599,0.0,2.962,1.0,375.484,0.0,1.62617734333333,0.356444868179938,-1.853,-1.038,52.531,261.359,0.952,99.064,1.599,2.208,
13,200301,CA-TP1,42.66093611,-80.55951944,ENF,Continental,-0.221363,0.0,0.306125,0.84543,9.50907,0.846774,-3.14992,0.846102,-7.087,0.933468,73.647,0.935484,237.965,0,0.765,0.933468,99.211,1.0,0.200133152174,0.611559139785,1.089,0.0,3.022,0.920027,373.207,0.846774,0.120515359032258,0.119151296015658,-6.628,-5.799,70.467,237.965,0.727,99.032,1.089,2.261,0.08476199999999998
14,200302,CA-TP1,42.66093611,-80.55951944,ENF,Continental,-0.449023,0.0,0.838732,0.232143,6.35065,0.241815,-0.0625711,0.241815,-6.427,1.0,117.81,1.0,232.997,0,0.763,1.0,99.028,1.0,,,2.082,0.0,2.622,1.0,381.263,0.241815,0.77987437483871,0.260605650064703,-6.332,-4.986,112.474,232.997,0.856,99.068,2.082,2.1,0.389709
15,200303,CA-TP1,42.66093611,-80.55951944,ENF,Continental,-0.308843,0.0,0.512218,0.586694,27.4056,0.580645,13.1622,0.580645,0.023,1.0,167.625,1.0,262.408,0,1.608,1.0,99.012,1.0,,,2.42,0.0,2.216,1.0,346.476,0.579973,0.380318794666667,0.231375713810842,0.117,1.769,170.169,262.408,1.49,98.969,2.42,1.831,0.20337499999999997
16,200304,CA-TP1,42.66093611,-80.55951944,ENF,Continental,0.271162,0.132779,0.662953,0.226389,47.6899,0.227778,33.5429,0.223611,5.846,1.0,217.623,1.0,287.643,0,3.829,1.0,99.28,1.0,,,2.238,0.0,2.327,0.966667,338.002,0.227778,0.265235036129032,0.21354073898954,5.632,7.131,216.145,287.643,2.903,99.198,2.238,2.059,0.934115
17,200305,CA-TP1,42.66093611,-80.55951944,ENF,Continental,0.370309,0.134206,0.885173,0.0,45.9212,0.0,42.3816,0.0,12.209,1.0,220.835,1.0,325.817,0,3.834,1.0,98.426,1.0,,,5.403,0.0,2.012,1.0,379.577,0.0,0.1,0.0958516941539444,12.393,13.505,226.763,325.817,3.603,98.952,5.403,1.886,1.255482
18,200306,CA-TP1,42.66093611,-80.55951944,ENF,Continental,0.468241,0.128171,1.07155,0.0,40.4244,0.0,67.8185,0.0,17.53,1.0,271.109,1.0,347.923,0,5.81,1.0,98.864,1.0,,,2.973,0.0,1.877,1.0,437.894,0.0,0.196359858709677,0.0735187215753631,18.037,19.235,274.174,347.923,6.204,98.957,2.973,1.677,1.5397910000000001
19,200307,CA-TP1,42.66093611,-80.55951944,ENF,Continental,1.19293,0.902466,0.886619,0.584005,42.7337,0.614247,66.7183,0.613575,20.397,1.0,257.245,1.0,362.714,0,5.716,1.0,99.224,1.0,,,3.653,0.0,1.726,1.0,423.419,0.614247,0.532067434,0.208573967652251,20.649,21.874,263.194,362.714,6.803,98.99,3.653,1.525,2.079549
20,200308,CA-TP1,42.66093611,-80.55951944,ENF,Continental,2.68611,2.33517,-0.454926,0.62836,49.5695,0.636425,51.8518,0.638441,20.877,1.0,237.271,1.0,360.313,0,4.741,1.0,99.274,1.0,,,3.807,0.0,1.236,1.0,434.052,0.637097,1.04977429806452,0.323105831803858,20.549,21.815,242.363,360.313,5.45,99.244,3.807,1.168,2.2311840000000003
21,200309,CA-TP1,42.66093611,-80.55951944,ENF,Continental,1.483,2.51331,-0.327479,0.747222,21.0045,0.765972,51.1942,0.764583,16.253,1.0,188.991,1.0,334.857,0,4.388,1.0,99.51,1.0,,,3.831,0.0,1.511,1.0,437.092,0.761111,1.6590215,0.43055112887596,16.288,17.379,175.797,334.857,4.546,99.307,3.831,1.669,1.155521
22,200310,CA-TP1,42.66093611,-80.55951944,ENF,Continental,0.54079,0.531483,0.653731,0.641129,12.7265,0.647849,13.561,0.651882,8.964,1.0,121.695,1.0,301.253,0,2.883,1.0,99.004,1.0,,,3.241,0.0,1.933,1.0,430.778,0.65121,2.00889247419355,0.410883023437257,9.04,10.018,119.23,301.253,2.521,98.978,3.241,1.809,1.194521
23,200311,CA-TP1,42.66093611,-80.55951944,ENF,Continental,0.763417,0.0810203,0.846384,0.0194444,6.87713,0.028472,6.11098,0.027778,6.117,1.0,62.728,1.0,295.573,0,1.731,1.0,99.053,1.0,,,4.112,0.0,2.588,1.0,436.6,0.0361111,2.07656351935484,0.415376377932303,5.453,6.147,62.359,295.573,1.54,99.133,4.112,2.072,1.609801
24,200312,CA-TP1,42.66093611,-80.55951944,ENF,Continental,0.715296,0.0739727,0.236719,0.0,3.31221,0.0,-0.869473,0.0,0.009,1.0,57.177,1.0,266.348,0,1.32,1.0,99.032,1.0,,,2.329,0.0,2.654,0.999328,410.682,0.0,1.84672717666667,0.340187240279175,0.072,0.759,54.798,266.348,1.225,99.127,2.329,2.072,0.9520150000000001
25,200401,CA-TP1,42.66093611,-80.55951944,ENF,Continental,-0.393162,0.0,0.58847,0.0,2.25186,0.0,-3.63197,0.0,-8.146,1.0,76.025,1.0,241.669,0,0.654,1.0,98.993,1.0,,,2.592,0.0,2.982,1.0,390.759,0.0,0.148345829677419,0.107450118425528,-7.439,-6.648,64.842,241.669,0.721,99.088,2.592,2.346,0.19530800000000004
