Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,CN-Cha,42.4025,128.0958,MF,Continental,0.359001,0.357381,0.0636431,0.618952,,1.0,,1.0,-13.92,1,93.997,1.0,182.482,1.0,0.999,1,92.93,1.0,0.499189821237,1.0,0.0,1.0,2.659,0.998656,,,0.461658011935484,,-14.388,-12.483,87.642,187.762,1.325,92.849,0.309,2.555,0.4226441
2,200302,CN-Cha,42.4025,128.0958,MF,Continental,0.386284,0.85415,0.00796818,0.901786,,0.999256,,1.0,-7.688,1,137.338,1.0,199.68,1.0,1.838,1,93.006,0.995536,0.458173762918,0.998511904762,0.025,0.995536,2.604,0.999256,,,0.612163403548387,0.181018544999365,-8.806,-6.306,130.509,205.706,1.889,93.011,0.266,2.141,0.39425218
3,200303,CN-Cha,42.4025,128.0958,MF,Continental,0.576636,1.23668,0.254199,0.948925,,1.0,,1.0,-2.786,1,178.255,1.0,221.97,1.0,2.892,1,93.068,0.9375,0.410301471917,0.999327956989,0.372,0.9375,2.443,0.9375,,,0.496373479,0.145021652858759,-3.58,-0.814,187.953,217.061,3.108,93.078,0.319,2.168,0.830835
4,200304,CN-Cha,42.4025,128.0958,MF,Continental,1.79052,1.67308,-0.0496932,0.964583,,0.988194,,0.991667,6.869,1,181.515,1.0,274.005,1.0,6.044,1,92.582,1.0,0.567855941607,0.950694444444,2.583,1.0,3.014,0.983333,,,0.46373656516129,0.138072367907586,6.41,8.245,196.228,268.071,5.791,92.647,1.334,2.559,1.7408267999999998
5,200305,CN-Cha,42.4025,128.0958,MF,Continental,6.24002,5.43017,-1.21533,0.984543,,0.999328,,0.999328,13.843,1,213.881,1.0,306.474,1.0,9.348,1,92.631,1.0,0.445817210305,0.997983870968,0.623,1.0,2.556,0.997984,,,0.474429430714286,,13.098,14.871,228.969,304.451,7.917,92.746,0.591,2.12,5.0246900000000005
6,200306,CN-Cha,42.4025,128.0958,MF,Continental,11.2329,10.1033,-3.77952,0.979167,,0.999306,,1.0,17.085,1,217.163,1.0,341.979,1.0,6.865,1,92.138,1.0,0.347831500774,0.99375,3.183,1.0,2.059,0.999306,,,0.500492576774194,0.145757373861941,17.32,18.557,215.122,342.9,6.935,92.226,2.296,1.945,7.453380000000001
7,200307,CN-Cha,42.4025,128.0958,MF,Continental,11.8036,10.0593,-2.32121,0.992608,,0.998656,,0.999328,18.476,1,181.742,1.0,372.048,1.0,4.954,1,92.318,1.0,0.293429442212,0.987231182796,5.897,1.0,1.665,0.993952,,,0.672076503666667,0.181288648918272,18.234,19.284,168.699,366.846,4.753,92.402,4.103,1.849,9.482389999999999
8,200308,CN-Cha,42.4025,128.0958,MF,Continental,11.5252,10.0313,-1.95383,0.991263,,0.994624,,0.998656,18.006,1,216.18,1.0,339.448,1.0,6.326,1,92.489,1.0,0.370006087031,0.989247311828,1.145,0.935484,2.26,0.997984,,,2.81918028903226,0.367358163257873,18.364,19.978,207.451,342.667,6.843,92.56,1.223,1.975,9.57137
9,200309,CN-Cha,42.4025,128.0958,MF,Continental,5.91754,5.75277,-0.576318,0.767361,,0.831944,,0.853472,13.537,1,174.321,1.0,310.275,1.0,5.83,1,92.932,1.0,0.374585419559,0.51875,0.957,0.984028,2.179,1.0,,,4.63238689333333,0.602783824008953,14.004,15.618,169.266,316.781,5.835,92.987,0.977,1.882,5.341222
10,200310,CN-Cha,42.4025,128.0958,MF,Continental,1.35966,1.11271,0.293693,0.998656,,0.998656,,0.998656,5.289,1,118.75,1.0,271.917,1.0,3.956,1,92.937,1.0,0.528429457598,0.98252688172,0.887,1.0,2.901,0.995968,,,3.97276011935484,0.542490791406105,4.986,6.545,116.066,271.292,3.457,92.927,0.895,2.786,1.653353
11,200311,CN-Cha,42.4025,128.0958,MF,Continental,0.375621,0.547872,0.0169637,0.921528,,0.990972,,0.995139,-2.811,1,93.088,0.997222,240.73,1.0,2.386,1,93.362,1.0,0.417374505944,0.896527777778,0.58,1.0,2.485,0.831944,,,4.66924049032258,0.512161672540293,-1.672,-0.295,81.406,240.345,2.685,93.334,0.62,2.415,0.3925847
12,200312,CN-Cha,42.4025,128.0958,MF,Continental,0.594326,0.585392,-0.103991,0.804435,,0.998656,,1.0,-9.833,1,89.234,1.0,197.915,1.0,1.322,1,93.046,1.0,0.566507542623,0.997311827957,0.029,1.0,2.882,1.0,,,2.69278908666667,0.392281646410633,-9.841,-8.245,78.9,198.159,1.721,92.957,0.221,2.997,0.490335
13,200401,CN-Cha,42.4025,128.0958,MF,Continental,0.402317,0.683675,-0.36332,0.358871,,0.657258,,0.660618,-13.023,1,99.235,1.0,180.035,1.0,1.193,1,92.975,1.0,,,0.084,0.327285,2.718,1.0,,,0.481425520645161,,-13.27,-11.34,95.682,183.698,1.528,92.884,0.107,2.547,0.038997000000000004
14,200402,CN-Cha,42.4025,128.0958,MF,Continental,0.250926,0.752111,-0.0871059,0.737787,,0.971264,,0.971264,-7.921,1,116.577,1.0,211.601,1.0,1.651,1,92.454,1.0,0.694465990098,0.889367816092,0.028,1.0,3.432,0.993534,,,0.561646992903226,0.186453174789036,-7.835,-6.157,116.715,213.824,2.104,92.377,1.034,3.346,0.16382009999999997
