Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,CN-Ha2,37.6086,101.3269,WET,Continental,0.361185,0.323432,0.0185465,0.767473,,0.99664,,0.99664,-13.699,1,135.96,1.0,151.511,1.0,1.749,1,67.621,0,0.239773965858,0.865591397849,0.013,1.0,1.971,0.978495,,,0.100000000064516,0.0815612453997982,-13.4,-9.835,128.003,161.3,1.321,67.621,0.117,1.667,0.3797315
2,200302,CN-Ha2,37.6086,101.3269,WET,Continental,0.338116,0.526797,0.010067,0.786458,,0.945685,,0.94494,-9.9,1,157.608,1.0,188.571,1.0,2.036,1,67.303,0,0.243509837535,0.637648809524,0.054,1.0,1.908,0.879464,,,0.457922830967742,0.220771760589747,-9.333,-6.258,162.442,191.133,1.745,67.303,0.204,1.548,0.348183
3,200303,CN-Ha2,37.6086,101.3269,WET,Continental,0.289773,0.454153,0.156614,0.902554,,0.96707,,0.961022,-5.731,1,199.835,1.0,223.702,0.995968,2.366,1,67.417,0,0.237629213717,0.790322580645,0.626,1.0,1.801,0.860887,,,0.219573246666667,0.11921130321385,-5.611,-3.133,204.852,225.29,2.126,67.417,0.638,1.743,0.446387
4,200304,CN-Ha2,37.6086,101.3269,WET,Continental,0.257052,0.363914,0.536404,0.986806,,0.996528,,0.997222,0.119,1,236.842,1.0,245.489,1.0,3.271,1,67.671,0,0.27319563365,0.979861111111,1.213,1.0,2.076,0.994444,,,0.100000000580645,,-1.243,1.03,238.621,245.944,2.26,67.671,2.58,1.903,0.7934559999999999
5,200305,CN-Ha2,37.6086,101.3269,WET,Continental,1.04704,1.35233,0.199549,0.993952,,0.997312,,0.99664,3.149,1,236.545,1.0,269.102,1.0,3.206,1,67.819,0,0.256231331116,0.954301075269,1.7,1.0,1.865,0.899866,,,0.0999999993928571,0.0603878118428,3.237,5.136,249.187,270.28,2.767,67.819,3.359,1.669,1.246589
6,200306,CN-Ha2,37.6086,101.3269,WET,Continental,4.17046,3.78772,-1.2677,0.975694,,0.993056,,0.99375,6.858,1,272.136,1.0,283.703,0.999306,3.837,1,67.943,0,0.261565780797,0.758333333333,2.383,1.0,1.914,0.917361,,,0.122957134516129,0.0868337706123651,7.31,8.883,264.262,275.559,4.029,67.943,2.59,1.472,2.9027600000000002
7,200307,CN-Ha2,37.6086,101.3269,WET,Continental,6.01617,6.51778,-1.74109,0.99328,,0.99664,,0.997984,8.205,1,216.261,1.0,308.601,0.997984,2.845,1,67.948,0,0.208627445515,0.782930107527,3.003,1.0,1.45,0.853495,,,0.291333700333333,0.140683830409802,9.394,10.973,229.892,301.824,3.364,67.948,5.084,1.321,4.27508
8,200308,CN-Ha2,37.6086,101.3269,WET,Continental,6.53323,6.66517,-1.40494,0.990591,,0.998656,,1.0,8.998,1,211.954,1.0,316.316,1.0,2.657,1,68.114,0,0.216277773555,0.963037634409,4.784,1.0,1.442,1.0,,,0.514461077741936,0.191446666518595,9.188,10.77,201.44,321.349,2.944,68.114,2.76,1.327,5.12829
9,200309,CN-Ha2,37.6086,101.3269,WET,Continental,3.64243,3.57217,-0.458627,0.995139,,1.0,,1.0,5.163,1,204.288,1.0,285.437,1.0,2.717,1,68.237,0,0.213535618624,0.981944444444,3.147,1.0,1.518,0.997222,,,1.174199823,0.340281463086925,5.12,7.117,188.874,290.375,2.497,68.237,2.328,1.426,3.183803
10,200310,CN-Ha2,37.6086,101.3269,WET,Continental,1.13946,1.08504,0.35358,0.995296,,1.0,,0.998656,-0.185,1,167.013,1.0,241.024,1.0,2.419,1,68.276,0,0.212134269093,0.991935483871,0.539,1.0,1.606,0.997312,,,2.43286034516129,0.503069219919127,-1.428,0.977,152.309,254.552,1.71,68.276,1.077,1.409,1.49304
