Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,CN-Qia,26.7414,115.0581,ENF,Temperate,2.33345,2.23533,-1.35513,0.924731,,1.0,,1.0,6.236,1,87.898,1,294.388,1,2.335,1,101.24,1.0,0.203250123331,0.957661290323,1.858,1.0,1.423,1.0,,,1.84431830645161,0.209897781573217,6.3,8.149,108.929,294.556,3.018,101.221,1.843,1.461,0.9783200000000001
2,200302,CN-Qia,26.7414,115.0581,ENF,Temperate,2.95999,2.9448,-1.64838,0.875,,0.991071,,0.985863,10.516,1,88.552,1,329.994,1,2.831,1,100.809,1.0,0.272243912582,0.813244047619,1.811,1.0,1.831,0.999256,,,3.91159687741935,0.325845472036176,10.401,11.576,89.912,339.754,2.835,100.812,2.847,1.643,1.31161
3,200303,CN-Qia,26.7414,115.0581,ENF,Temperate,3.52798,3.12675,-1.47145,0.979839,,0.995968,,0.992608,12.105,1,98.788,1,338.796,1,3.062,1,100.665,1.0,0.2993940063,0.83938172043,3.545,1.0,1.947,1.0,,,2.45309592333333,0.292501807939595,12.561,13.758,113.93,345.385,3.753,100.64,2.863,1.689,2.05653
4,200304,CN-Qia,26.7414,115.0581,ENF,Temperate,5.63303,4.90911,-2.03139,0.969444,,0.992361,,0.991667,19.25,1,141.653,1,373.801,1,5.368,1,100.087,0.938194,0.276334702479,0.85,4.593,1.0,2.075,1.0,,,1.85197708387097,0.253230197935251,19.43,20.698,149.617,377.873,5.617,100.06,6.56,1.724,3.6016399999999997
5,200305,CN-Qia,26.7414,115.0581,ENF,Temperate,7.72068,6.4213,-3.40443,0.989919,,1.0,,0.987903,22.902,1,150.961,1,399.767,1,5.961,1,99.69,0.340726,0.246422914141,0.938844086022,6.526,1.0,1.774,1.0,,,1.69745778928571,0.219790098038744,22.712,23.959,156.533,395.046,6.745,99.67,6.412,1.563,4.31625
6,200306,CN-Qia,26.7414,115.0581,ENF,Temperate,8.08117,8.56783,-2.17211,0.947917,,0.997222,,0.998611,26.214,1,184.094,1,412.984,1,9.625,1,99.307,1.0,0.286547768062,0.941666666667,1.853,1.0,2.047,0.998611,,,1.28961152580645,0.242864886080148,25.351,26.464,155.109,408.907,8.842,99.297,5.762,1.811,5.90906
7,200307,CN-Qia,26.7414,115.0581,ENF,Temperate,5.28862,5.34325,-0.847462,0.972446,,0.998656,,1.0,31.787,1,254.277,1,420.805,1,23.22,1,99.377,1.0,0.327393986845,0.999327956989,0.126,1.0,2.601,0.999328,,,2.84709069666667,0.325726674812062,31.262,32.657,241.477,422.217,21.757,99.393,0.099,2.112,4.441158
8,200308,CN-Qia,26.7414,115.0581,ENF,Temperate,6.26218,6.12617,-0.978261,0.985215,,0.999328,,0.997312,28.871,1,202.11,1,427.369,1,12.86,1,99.326,1.0,0.239412717658,0.97311827957,4.626,1.0,1.718,0.998656,,,4.22977177096774,0.35467061232852,28.627,29.685,172.994,426.387,12.285,99.308,4.437,1.332,5.283919
9,200309,CN-Qia,26.7414,115.0581,ENF,Temperate,6.477,5.56895,-1.84209,0.881944,,0.941667,,0.944444,25.397,1,188.797,1,397.92,1,9.826,1,99.863,1.0,0.206620436226,0.825,1.41,1.0,1.534,0.998611,,,5.57287001333333,0.468086706275787,25.558,27.07,167.624,399.612,10.404,99.834,2.27,1.307,4.6349100000000005
10,200310,CN-Qia,26.7414,115.0581,ENF,Temperate,3.81191,4.13581,-1.41073,0.934812,,1.0,,0.999328,19.359,1,144.452,1,349.48,1,8.78,1,100.541,1.0,0.221576565031,0.997983870968,0.458,1.0,1.64,0.99664,,,5.97765839354839,0.455379232796877,19.643,21.51,152.636,354.451,10.161,100.533,0.351,1.606,2.40118
