Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200601,CZ-wet,49.02465,14.77035,WET,Continental,0.960353,0.790736,0.820174,0.0,,0.0,,0.0,-6.044,0.0,47.447,0.0,274.786,0.0,0.063,0.0,97.304,0.0,,,1.257,0.0,1.309,0.0,,,0.28821307,0.0120027992411048,-6.044,-4.934,47.447,274.786,0.063,97.304,1.257,1.309,1.780527
2,200602,CZ-wet,49.02465,14.77035,WET,Continental,1.32109,1.11143,0.838102,0.0,,0.0,,0.0,-3.003,0.0,75.717,0.0,282.889,0.0,0.272,0.0,96.241,0.0,,,1.257,0.0,1.366,0.0,,,1.36369176354839,0.421683123520293,-3.003,-1.704,75.717,282.889,0.272,96.241,1.257,1.366,2.159192
3,200603,CZ-wet,49.02465,14.77035,WET,Continental,1.78408,1.47802,0.825562,0.0,,0.0,,0.0,0.305,0.0,119.781,0.0,295.352,0.0,0.675,0.0,95.948,0.0,,,1.787,0.0,1.474,0.0,,,0.533282362333333,0.245389820799547,0.305,1.47,119.781,295.352,0.675,95.948,1.787,1.474,2.609642
4,200604,CZ-wet,49.02465,14.77035,WET,Continental,2.8721,1.91634,0.824259,0.0729167,,0.078472,,0.078472,7.937,0.0784722,169.5,0.0736111,315.193,0.0729167,2.344,0.0784722,96.311,0.0,,,1.668,0.0,1.253,0.0777778,,,0.29568229,0.213356639011691,8.012,9.381,169.996,316.132,2.373,96.311,1.668,1.202,3.696359
5,200605,CZ-wet,49.02465,14.77035,WET,Continental,8.14337,7.37287,-2.95952,0.932124,,0.990591,,1.0,12.434,1.0,215.183,1.0,323.782,1.0,4.411,1.0,96.601,0.0,0.207173633066,0.975806451613,2.544,0.0,1.399,0.999328,376.148,0.962366,0.36755672,0.0332617792372869,12.568,13.767,216.512,329.075,4.289,96.601,2.544,1.571,5.183850000000001
6,200606,CZ-wet,49.02465,14.77035,WET,Continental,11.6151,10.9108,-5.27961,0.934722,,0.963194,,1.0,16.567,1.0,238.305,0.998611,353.042,1.0,5.696,1.0,96.953,0.0,0.173850627265,0.974305555556,2.595,0.0,1.117,0.993056,370.623,0.961111,0.251657203548387,0.0523102712483745,16.556,17.732,231.851,349.62,5.428,96.953,2.595,1.097,6.33549
7,200607,CZ-wet,49.02465,14.77035,WET,Continental,8.51647,8.75435,-0.643888,0.402554,,0.484543,,0.50336,20.526,1.0,267.442,0.506048,361.926,0.50336,7.262,1.0,97.005,0.0,,,2.354,0.0,0.988,0.489919,387.276,0.436156,0.565967397333333,0.18680537624336,20.605,21.866,252.714,359.842,7.649,97.005,2.354,0.95,7.8725819999999995
8,200608,CZ-wet,49.02465,14.77035,WET,Continental,5.18976,4.73827,-0.0748788,0.946909,,0.993952,,0.991935,14.96,1.0,156.11,1.0,353.816,1.0,3.107,1.0,96.13,0.0,0.1987114359,0.800403225806,2.98,0.0,1.392,1.0,375.123,0.985887,1.68580482580645,0.547126613839971,15.032,16.089,165.162,346.673,3.807,96.13,2.98,1.6,5.1148812
9,200609,CZ-wet,49.02465,14.77035,WET,Continental,4.33924,4.65175,0.169883,0.934028,,0.946528,,1.0,14.985,1.0,179.176,1.0,334.758,1.0,4.27,1.0,96.767,0.0,0.19017629652,0.976388888889,0.447,0.0,1.46,1.0,374.124,0.936806,1.93106517666667,0.510779637893259,15.637,17.101,161.035,336.582,4.561,96.767,0.447,1.519,4.509123000000001
10,200610,CZ-wet,49.02465,14.77035,WET,Continental,2.36063,2.40812,1.40359,0.924731,,0.984543,,0.999328,9.129,1.0,99.2,1.0,320.015,1.0,1.82,1.0,96.65,0.0,0.138707603935,0.956989247312,0.638,0.0,1.039,1.0,386.333,0.914651,1.77922101290323,0.3509814507576,10.549,12.237,100.728,319.688,2.098,96.65,0.638,1.243,3.76422
11,200611,CZ-wet,49.02465,14.77035,WET,Continental,0.421602,0.437542,1.67999,0.975694,,0.983333,,0.999306,5.613,1.0,40.279,1.0,314.263,1.0,0.921,1.0,96.74,0.0,0.215590982921,0.93125,0.926,0.0,1.778,1.0,385.592,0.984722,1.79908015806452,0.43632654458957,4.553,5.477,46.024,310.279,0.523,96.74,0.926,1.737,2.101592
12,200612,CZ-wet,49.02465,14.77035,WET,Continental,0.20292,0.183295,0.969235,0.981855,,0.982527,,0.997312,1.534,1.0,35.224,0.998656,295.63,1.0,0.472,1.0,97.426,0.0,0.157191528424,0.880376344086,0.526,0.0,1.259,1.0,400.79,0.981183,2.31808228666667,0.475940711345061,1.461,2.717,35.479,296.049,0.348,97.426,0.526,1.19,1.172155
13,200701,CZ-wet,49.02465,14.77035,WET,Continental,0.0749956,0.0926959,0.584733,0.951613,,0.993952,,0.998656,3.295,1.0,37.642,1.0,298.759,0.997312,1.373,1.0,96.561,0.0,0.273553039027,0.888440860215,0.871,1.0,2.467,0.998656,398.265,0.993952,0.245212552580645,0.220303166461279,2.738,3.458,34.071,308.192,0.756,96.561,1.712,2.487,0.6597286
14,200702,CZ-wet,49.02465,14.77035,WET,Continental,0.223417,0.211381,0.554481,0.973958,,0.983631,,0.998512,3.029,1.0,70.794,1.0,292.254,1.0,0.983,1.0,96.133,0.0,0.21230293474,0.897321428571,0.771,1.0,1.975,1.0,400.19,0.97619,1.71564373741935,0.487777360582671,2.698,3.838,74.461,304.166,0.56,96.133,1.242,1.68,0.777898
15,200703,CZ-wet,49.02465,14.77035,WET,Continental,0.305279,0.41408,0.648805,0.954301,,0.989919,,0.995296,4.419,1.0,123.699,0.998656,289.503,1.0,1.902,1.0,96.44,0.0,0.208353439472,0.778225806452,1.239,1.0,1.975,1.0,396.178,0.959677,0.222685609,0.369933014405641,4.808,6.181,122.665,301.918,1.608,96.44,1.271,1.623,0.9540839999999999
16,200704,CZ-wet,49.02465,14.77035,WET,Continental,1.62676,1.42985,0.20555,0.884722,,0.965972,,0.972917,9.772,1.0,241.714,1.0,287.224,1.0,5.597,1.0,96.961,0.0,0.181666502824,0.6625,0.03,1.0,1.652,1.0,395.073,0.931944,0.126105838193548,0.321093406904948,10.529,12.302,225.844,303.98,5.034,96.961,0.074,1.255,1.83231
17,200705,CZ-wet,49.02465,14.77035,WET,Continental,8.41681,7.48307,-2.76625,0.963038,,0.985215,,0.99664,13.776,0.979839,231.574,0.981183,333.907,0.979839,4.9,0.979839,96.154,0.0,0.201854675517,0.951612903226,2.448,1.0,1.608,1.0,385.244,0.987231,0.590895520714286,0.201819403447794,14.067,15.206,220.837,335.494,4.833,96.154,2.03,1.505,5.6505600000000005
18,200706,CZ-wet,49.02465,14.77035,WET,Continental,11.2792,11.0667,-4.19311,0.95,,0.954861,,0.996528,17.855,1.0,254.745,0.9875,353.078,1.0,6.357,1.0,96.319,0.0,0.17688569545,0.964583333333,1.48,1.0,1.27,1.0,388.435,0.972917,0.775188273548387,0.225352702505632,17.669,18.776,228.655,354.182,5.5,96.319,2.481,1.214,7.0860899999999996
19,200707,CZ-wet,49.02465,14.77035,WET,Continental,9.77912,10.2292,-2.56686,0.950941,,0.958333,,0.965054,18.205,1.0,235.872,0.997312,355.446,1.0,7.389,1.0,96.407,0.0,0.206341536065,0.681451612903,2.482,1.0,1.495,1.0,382.577,0.964382,1.62370484666667,0.326245079397986,18.411,19.513,229.686,354.54,7.493,96.407,1.649,1.598,7.212260000000001
20,200708,CZ-wet,49.02465,14.77035,WET,Continental,7.89649,7.07707,-1.01748,0.924059,,0.944892,,0.956989,16.883,1.0,207.31,1.0,353.838,1.0,5.012,1.0,96.493,0.0,0.140513860682,0.684139784946,1.723,1.0,0.981,1.0,388.394,0.953629,2.71529350967742,0.52153387253079,17.628,18.856,190.605,353.127,6.046,96.493,1.431,1.009,6.87901
21,200709,CZ-wet,49.02465,14.77035,WET,Continental,3.65752,4.00748,-0.357309,0.961806,,0.984028,,1.0,11.085,0.986111,130.786,0.985417,330.222,0.986111,2.222,0.986111,96.723,0.0,0.188355510591,0.967361111111,4.495,0.977778,1.472,1.0,384.113,0.988194,2.48715190333333,0.557994001457145,11.314,12.661,124.45,331.387,2.32,96.723,3.703,1.61,3.300211
22,200710,CZ-wet,49.02465,14.77035,WET,Continental,1.48218,1.37135,0.463682,0.895161,,0.982527,,0.998656,6.992,1.0,83.223,1.0,318.647,1.0,1.08,1.0,97.164,0.0,0.164444271955,0.83938172043,1.161,1.0,1.275,1.0,402.289,0.975134,2.04705165483871,0.557484399569327,7.111,8.296,83.782,321.424,1.089,97.164,1.267,1.121,1.945862
23,200711,CZ-wet,49.02465,14.77035,WET,Continental,0.208251,0.153901,0.693901,0.946528,,0.997222,,1.0,1.328,1.0,35.282,1.0,298.57,1.0,0.397,1.0,96.524,0.0,0.215549289285,0.888888888889,1.48,1.0,1.939,1.0,397.698,1.0,2.83597941290323,0.618349829115916,0.631,1.448,41.363,303.332,0.148,96.524,2.035,1.849,0.902152
24,200712,CZ-wet,49.02465,14.77035,WET,Continental,0.074337,0.110765,0.413603,1.0,,0.998656,,1.0,-0.927,1.0,27.141,1.0,290.538,0.999328,0.42,1.0,97.133,0.0,0.174446339872,0.88373655914,0.94,0.96707,1.662,1.0,405.579,1.0,3.01514229,0.58023795284376,-1.167,-0.181,32.96,293.17,0.184,97.133,0.897,1.368,0.48794
25,200801,CZ-wet,49.02465,14.77035,WET,Continental,0.0991177,0.0783568,0.360304,0.991935,,0.999328,,0.999328,1.124,1.0,38.614,1.0,294.247,1.0,0.631,1.0,96.89,0.0,0.209540482493,0.872311827957,0.694,1.0,2.02,1.0,389.405,1.0,0.365399701612903,0.212436242285792,0.688,1.529,38.732,299.554,0.313,96.89,1.055,1.743,0.45942170000000004
26,200802,CZ-wet,49.02465,14.77035,WET,Continental,0.191871,0.180045,0.373065,0.926724,,0.998563,,1.0,1.422,1.0,90.98,1.0,273.921,1.0,1.522,1.0,97.455,0.0,0.177287399745,0.832614942529,0.362,1.0,1.583,1.0,394.232,0.992816,1.31033857419355,0.430337030478812,1.928,3.444,86.253,287.157,0.995,97.455,0.25,1.489,0.564936
27,200803,CZ-wet,49.02465,14.77035,WET,Continental,0.146998,0.384194,0.704357,0.997312,,0.998656,,1.0,3.116,1.0,121.859,1.0,281.813,1.0,1.732,1.0,95.524,0.108199,0.239748170867,0.894489247312,1.048,1.0,2.194,0.999328,389.791,0.997984,0.426242311666667,0.271192147981917,2.903,4.139,124.588,296.129,1.201,95.532,1.833,1.948,0.851355
28,200804,CZ-wet,49.02465,14.77035,WET,Continental,1.05122,1.05073,0.78786,0.943056,,0.973611,,1.0,7.633,1.0,169.742,1.0,306.09,1.0,2.655,1.0,95.96,0.992361,0.183020894927,0.934027777778,0.854,1.0,1.636,1.0,390.521,0.965278,0.129466587,0.212969517838318,7.944,9.127,169.963,318.096,2.46,95.96,1.898,1.334,1.83908
29,200805,CZ-wet,49.02465,14.77035,WET,Continental,7.08765,7.09492,-2.53192,0.968414,,0.967742,,0.999328,13.116,1.0,224.31,0.985215,328.994,1.0,4.59,1.0,96.52,0.925403,0.169065913684,0.903225806452,2.256,1.0,1.344,1.0,381.492,0.969758,0.445825063103448,0.199296328202706,13.543,14.834,216.701,334.442,4.5,96.55,2.127,1.128,4.5557300000000005
30,200806,CZ-wet,49.02465,14.77035,WET,Continental,9.91817,10.4936,-4.08452,0.959028,,0.983333,,1.0,17.232,1.0,232.325,1.0,355.485,1.0,4.889,1.0,96.532,0.995833,0.144891256753,0.970833333333,3.46,1.0,1.011,1.0,380.691,0.975694,0.551265929354839,0.215811438578673,17.003,18.052,216.413,354.557,4.616,96.566,3.075,1.003,5.83365
31,200807,CZ-wet,49.02465,14.77035,WET,Continental,7.67981,7.87136,-1.41734,0.981855,,0.961022,,0.999328,17.492,1.0,208.461,1.0,359.644,1.0,5.111,1.0,96.541,0.997984,0.176312731587,0.974462365591,2.302,1.0,1.252,1.0,377.549,0.99328,1.43241870066667,0.334488262615688,17.788,18.84,213.105,356.315,5.835,96.553,2.357,1.355,6.2624699999999995
32,200808,CZ-wet,49.02465,14.77035,WET,Continental,5.00698,5.55773,0.0205724,0.951613,,0.989247,,0.998656,17.161,1.0,197.582,1.0,354.346,1.0,5.308,1.0,96.479,0.961694,0.1705309722,0.922043010753,1.788,1.0,1.21,1.0,374.695,0.961022,2.66089125806452,0.561636514937698,17.768,19.03,196.43,353.938,6.167,96.508,1.468,1.203,5.0275524
33,200809,CZ-wet,49.02465,14.77035,WET,Continental,2.94216,3.12621,0.435092,0.938194,,0.977778,,0.996528,11.595,1.0,124.688,0.99375,336.323,1.0,2.884,1.0,96.747,0.95,0.145521582398,0.909027777778,1.5,1.0,1.128,1.0,365.306,0.957639,2.33787862,0.680455271201665,11.967,13.118,127.077,336.908,3.195,96.752,1.634,1.178,3.377252
34,200810,CZ-wet,49.02465,14.77035,WET,Continental,1.20675,1.40186,1.1979,0.983871,,0.987231,,0.997984,7.819,1.0,89.926,0.995968,317.681,1.0,1.396,1.0,96.716,0.922715,0.13298679096,0.905241935484,0.548,1.0,1.059,1.0,379.158,0.979839,1.90694369032258,0.523584868521075,8.608,10.163,89.205,319.938,1.465,96.74,0.994,1.107,2.40465
35,200811,CZ-wet,49.02465,14.77035,WET,Continental,0.181024,0.275706,1.04429,0.986806,,0.988194,,0.997917,4.059,1.0,42.44,1.0,307.083,1.0,0.578,1.0,96.331,0.957639,0.192597339755,0.878472222222,2.108,1.0,1.627,1.0,380.879,0.988194,2.68326771935484,0.586725527973486,4.003,5.123,48.742,308.557,0.563,96.357,1.163,1.564,1.225314
36,200812,CZ-wet,49.02465,14.77035,WET,Continental,0.057106,0.109622,0.594501,0.997984,,0.995296,,0.999328,0.572,1.0,29.873,1.0,288.801,1.0,0.494,1.0,96.674,0.991935,0.224271282087,0.923387096774,0.732,1.0,1.937,1.0,379.424,0.994624,1.83147494666667,0.515889253187869,-0.307,0.313,30.382,298.501,0.109,96.679,1.213,1.693,0.6516069999999999
37,200901,CZ-wet,49.02465,14.77035,WET,Continental,0.20445,0.273395,0.0366365,0.99328,9.87773,1.0,8.5593,0.999328,-4.077,1.0,35.153,1.0,276.434,1.0,0.285,1.0,96.482,1.0,0.152106633746,0.876344086022,0.285,1.0,1.302,1.0,391.538,1.0,0.182158517741935,0.194129382864572,-4.218,-2.884,44.551,281.452,0.123,96.408,0.777,1.112,0.24108649999999998
38,200902,CZ-wet,49.02465,14.77035,WET,Continental,0.183874,0.322051,0.0827117,0.995536,16.7473,1.0,-3.61674,0.99628,-1.034,1.0,55.61,1.0,290.924,1.0,0.331,1.0,96.092,0.970982,0.214209693893,0.857142857143,1.98,1.0,1.962,1.0,389.247,1.0,0.984024846774194,0.360944714617102,-1.486,-0.585,59.697,299.128,0.193,96.036,2.014,1.909,0.26658570000000004
39,200903,CZ-wet,49.02465,14.77035,WET,Continental,0.286029,0.460022,0.677543,0.983871,40.3427,0.989919,1.81883,0.987231,3.604,1.0,87.952,0.987903,301.369,1.0,1.04,1.0,96.15,0.844758,0.240704682752,0.763440860215,2.276,1.0,2.222,1.0,378.703,0.991263,0.560246702666667,0.228495724246588,2.391,3.361,113.088,308.888,0.683,96.116,2.312,1.9,0.963572
40,200904,CZ-wet,49.02465,14.77035,WET,Continental,2.03129,1.69148,0.80863,0.909722,67.6924,0.964583,77.4478,1.0,11.213,1.0,224.278,0.979167,305.75,1.0,4.941,1.0,96.337,0.983333,0.202433845036,0.959027777778,0.513,1.0,1.69,1.0,375.841,0.921528,0.310386453225806,0.195929175367966,11.829,13.512,217.517,317.419,4.642,96.426,0.604,1.348,2.8399199999999998
41,200905,CZ-wet,49.02465,14.77035,WET,Continental,6.86206,6.90835,-2.26804,0.962366,99.647,0.956989,41.9941,0.982527,13.019,1.0,210.555,0.998656,333.61,1.0,3.961,1.0,96.773,0.900538,0.189513872927,0.863575268817,2.404,0.987231,1.445,1.0,372.379,0.966398,0.161880693571429,0.189746248825226,13.576,14.666,202.466,338.021,4.352,96.829,2.194,1.34,4.5940199999999995
42,200906,CZ-wet,49.02465,14.77035,WET,Continental,8.2549,8.14399,-3.34062,0.977778,98.4694,0.984028,26.5186,0.999306,14.824,1.0,206.543,1.0,346.945,1.0,3.408,1.0,96.383,1.0,0.202480653817,0.96875,5.247,1.0,1.586,1.0,369.789,0.982639,0.321213421935484,0.235883602556729,14.96,15.869,200.986,348.885,3.813,96.426,4.632,1.378,4.91428
