Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,DE-Kli,50.89306,13.52238,CRO,Continental,10.4557,2.45033,-8.86502,0.0,51.7377,0.0,21.2698,0.0,-2.919,0.0,27.649,0.0,266.999,0.0,0.789,0.0,95.532,0.0,,,2.841,0.0,3.662,0.0,,,0.100000000967742,0.049220045561098,-2.919,-2.271,27.649,266.999,0.789,95.532,2.841,3.662,1.5906800000000008
2,200402,DE-Kli,50.89306,13.52238,CRO,Continental,11.0099,4.69077,-8.80814,0.0,51.6981,0.0,21.3741,0.0,0.756,0.0,55.711,0.0,278.192,0.0,1.401,0.0,96.168,0.0,,,1.941,0.0,4.533,0.0,,,1.73501587419355,0.535521242128113,0.756,1.444,55.711,278.192,1.401,96.168,1.941,4.533,2.20176
3,200403,DE-Kli,50.89306,13.52238,CRO,Continental,11.4133,9.27239,-8.86502,0.0,,0.0,,0.0,2.599,0.0,119.52,0.0,274.479,0.0,2.034,0.0,96.516,0.0,,,1.451,0.0,3.915,0.0,,,0.919843754333333,0.5479203551792,2.599,3.694,119.52,274.479,2.034,96.516,1.451,3.915,2.54828
4,200404,DE-Kli,50.89306,13.52238,CRO,Continental,10.7373,12.4908,-6.91176,0.0,66.3896,0.0,23.6138,0.0,7.852,0.985417,169.017,0.986806,288.295,0.985417,3.458,0.985417,95.939,0.0,,,0.663,0.980556,2.937,0.0,,,0.161408173666667,0.523661487935553,8.002,9.169,179.395,295.238,3.567,95.939,1.324,2.937,3.8255399999999993
5,200405,DE-Kli,50.89306,13.52238,CRO,Continental,11.5141,11.8791,-6.656,0.799059,68.2248,0.84207,17.4812,0.840726,9.495,1.0,167.113,1.0,318.702,1.0,2.725,1.0,95.909,0.0,0.259223811363,0.512768817204,4.406,0.998656,2.67,0.538978,373.68,0.844758,0.107240917241379,0.0886903970929457,10.453,11.38,196.871,311.501,3.791,95.909,2.179,3.08,4.858099999999999
6,200406,DE-Kli,50.89306,13.52238,CRO,Continental,12.4293,12.3885,-6.1987,0.791667,101.503,0.995139,13.5138,0.995833,13.611,0.697917,218.738,0.704861,334.009,0.697917,3.996,0.697917,96.193,0.0,0.276756646854,0.86875,2.463,0.665278,2.425,0.867361,375.326,0.997917,0.392431422580645,0.15844132175273,13.842,14.754,219.162,329.245,4.628,96.193,3.028,3.182,6.2306
7,200407,DE-Kli,50.89306,13.52238,CRO,Continental,5.48025,5.09673,-0.0737859,0.961694,72.5324,0.997312,43.2556,0.997312,15.42,1.0,215.797,1.0,340.723,1.0,5.01,1.0,96.181,0.0,0.289811101548,0.936155913978,3.152,1.0,2.405,0.94086,372.164,0.997312,0.912682037666667,0.35597903963338,15.524,16.469,221.649,339.014,5.171,96.181,3.351,3.065,5.4064641
8,200408,DE-Kli,50.89306,13.52238,CRO,Continental,1.81066,1.01649,3.68256,0.860887,56.2522,0.971774,42.675,0.972446,17.421,1.0,197.438,1.0,332.182,1.0,7.309,1.0,95.965,0.0,,,0.01,1.0,3.426,0.53293,372.662,0.971774,2.14311103548387,0.621265511008262,17.053,18.15,192.669,343.14,6.758,95.965,2.334,3.159,5.49322
9,200409,DE-Kli,50.89306,13.52238,CRO,Continental,1.92965,1.77162,1.09381,0.958333,30.9977,1.0,11.694,0.998611,12.781,0.859028,147.513,0.861111,306.961,0.859028,4.989,0.859028,96.439,0.0,0.26581501182,0.999305555556,2.074,0.848611,3.714,0.999306,369.973,1.0,2.94056457666667,0.688695842782238,12.267,13.492,142.233,312.26,4.463,96.439,1.489,3.511,3.02346
10,200410,DE-Kli,50.89306,13.52238,CRO,Continental,3.5454,3.69324,-0.827771,0.952957,18.1157,0.978495,-19.1428,1.0,9.064,0.99328,85.503,0.993952,296.221,0.99328,2.679,0.99328,95.995,0.0,0.260693665264,0.998655913978,1.071,0.983871,3.525,0.998656,377.998,0.979839,1.38401472903226,0.433021168345994,8.538,9.82,86.012,298.367,2.446,95.995,1.872,3.139,2.7176289999999996
