Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200701,FI-Lom,67.99724,24.20918,WET,Continental,-0.0515951,0.00320555,0.335049,0.926747,-0.630094,0.995968,-4.57458,0.995296,-13.751,1,1.062,1.0,240.95,1.0,0.274,1,94.746,1.0,,,0.716,1.0,1.793,0.999328,400.53,1,0.50628585,,-13.812,,1.061,243.307,0.31,94.808,1.478,2.293,0.2834539
2,200702,FI-Lom,67.99724,24.20918,WET,Continental,-0.0394778,0.0240692,0.16769,0.917411,-0.339834,0.965774,-3.13568,0.969494,-16.807,1,9.621,1.0,227.854,1.0,0.294,1,97.055,1.0,,,0.382,1.0,1.733,0.99628,403.22,1,0.664732914193548,0.237367385728334,-17.828,-17.519,11.313,231.462,0.248,97.138,0.932,2.131,0.1282122
3,200703,FI-Lom,67.99724,24.20918,WET,Continental,0.0278891,0.0993753,0.0182106,0.790995,5.7827,0.953629,-23.4733,0.950941,-2.232,1,69.254,0.995968,259.85,1.0,1.499,1,96.462,1.0,,,0.597,1.0,2.407,0.995968,393.056,1,0.55739397,,-3.014,-1.956,61.193,261.03,1.12,96.513,1.013,2.298,0.0460997
4,200704,FI-Lom,67.99724,24.20918,WET,Continental,0.137705,0.187277,0.203045,0.777083,24.2689,0.888889,-22.913,0.893056,-0.461,1,155.135,0.985417,255.722,1.0,2.186,1,96.302,1.0,,,0.515,1.0,2.982,0.986111,388.071,1,0.53363603,,-1.015,-0.053,133.365,255.055,1.971,96.324,1.004,2.839,0.34075
5,200705,FI-Lom,67.99724,24.20918,WET,Continental,0.22846,0.340816,0.573254,0.929435,36.2773,0.99328,26.2857,0.992608,3.891,1,172.007,1.0,293.123,1.0,2.586,1,96.425,0.997312,,,2.613,1.0,2.214,1.0,388.105,1,0.1,0.337783081995645,3.908,4.257,164.191,289.534,2.631,96.374,2.062,2.317,0.801714
6,200706,FI-Lom,67.99724,24.20918,WET,Continental,3.37853,3.61718,-1.16743,0.9875,57.1683,0.997917,43.2581,0.997222,10.731,1,221.257,1.0,313.917,1.0,5.359,1,97.029,0.994444,,,1.703,1.0,1.983,1.0,385.138,1,0.100000000967742,0.279714648393456,11.061,11.064,225.176,302.197,5.277,96.937,1.421,1.843,2.2111
7,200707,FI-Lom,67.99724,24.20918,WET,Continental,6.02003,6.1961,-2.59616,0.954301,45.6906,0.99328,30.9064,0.99328,12.917,1,169.979,1.0,342.428,1.0,3.553,1,96.646,1.0,,,2.824,1.0,1.714,1.0,391.658,1,0.100000000066667,0.0850976418597844,13.479,13.612,163.485,333.793,4.097,96.535,2.571,1.961,3.4238700000000004
8,200708,FI-Lom,67.99724,24.20918,WET,Continental,3.78042,4.26145,-1.00952,0.928763,30.3534,0.992608,17.4515,0.991935,11.755,1,133.302,1.0,330.625,1.0,3.131,1,96.744,0.995968,,,2.088,1.0,2.027,0.989919,389.383,1,0.425551897741935,0.166333208398728,11.984,12.591,131.311,323.801,2.936,96.69,2.309,1.941,2.7709
9,200709,FI-Lom,67.99724,24.20918,WET,Continental,0.6211,0.654052,0.75274,0.955556,7.13653,0.997222,5.90465,0.997917,5.003,1,71.561,1.0,302.279,1.0,1.461,1,96.42,1.0,,,2.631,1.0,2.264,1.0,383.668,1,1.317280632,0.278359957785658,4.377,5.049,60.361,299.535,1.228,96.403,1.741,2.267,1.37384
10,200710,FI-Lom,67.99724,24.20918,WET,Continental,0.0530745,0.0797993,0.795015,0.981855,2.78648,0.993952,-1.89933,0.993952,2.904,1,28.162,0.994624,295.002,1.0,0.916,1,96.911,1.0,,,1.661,1.0,2.903,1.0,392.093,1,2.03850061935484,0.376096979171451,2.151,2.526,19.67,300.989,0.708,96.955,1.633,2.65,0.8480895
