Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,FR-Gri,48.84422,1.95191,CRO,Temperate,13.8949,1.35018,-11.6241,0.0,93.2148,0.0,13.1364,0.0,4.323,0.0,26.094,0.0,316.098,0.0,0.82,0.0,99.467,0.0,,,2.965,0.0,3.756,0.0,,,0.49874382483871,0.181194087336487,4.323,4.878,26.094,316.098,0.82,99.467,2.965,3.756,2.2707999999999995
2,200402,FR-Gri,48.84422,1.95191,CRO,Temperate,14.0205,3.68401,-11.6349,0.0,111.57,0.0,15.6952,0.0,4.768,0.0,73.876,0.725575,293.591,0.724138,2.01,0.0,100.393,0.0,,,0.43,0.0,3.268,0.0,,,0.797961910322581,0.285239914844672,4.768,6.035,76.123,299.323,2.01,100.393,0.43,3.268,2.3856
3,200403,FR-Gri,48.84422,1.95191,CRO,Temperate,6.70929,6.07289,-4.03996,0.0,43.6396,0.0,-3.75542,0.0,6.046,0.0,126.648,1.0,298.215,1.0,2.392,0.0,100.398,0.0,,,1.191,0.0,3.116,0.0,,,0.715631725333333,0.345667424185634,6.046,7.492,129.495,302.038,2.392,100.398,1.191,3.116,2.6693300000000004
4,200404,FR-Gri,48.84422,1.95191,CRO,Temperate,8.7117,8.43928,-5.1331,0.0,65.6167,0.0,1.16293,0.0,10.112,0.0,180.361,1.0,318.493,1.0,3.699,0.0,99.594,0.0,,,1.957,0.0,2.978,0.0,,,0.484365196666667,0.288581355247513,10.112,11.345,175.808,321.396,3.699,99.594,1.957,2.978,3.5786000000000007
5,200405,FR-Gri,48.84422,1.95191,CRO,Temperate,11.5106,10.8303,-7.48037,0.583333,94.5565,0.68078,8.09318,0.68078,11.619,0.542339,234.566,1.0,323.019,1.0,4.54,0.542339,99.992,0.594758,,,1.655,0.203629,2.345,0.331317,,,0.673699374482759,0.324055781589444,12.8,14.166,235.18,326.154,5.063,99.904,1.298,2.57,4.03023
6,200406,FR-Gri,48.84422,1.95191,CRO,Temperate,7.20089,6.85974,-2.75085,0.974306,87.8174,1.0,40.345,1.0,16.807,1.0,257.949,0.999306,346.649,1.0,6.603,1.0,100.419,0.999306,0.252642742507,0.853472222222,0.833,0.999306,1.929,0.999306,368.252,1.0,1.11914526645161,0.382349208295183,16.811,17.988,242.653,348.169,6.823,100.197,0.93,2.749,4.45004
7,200407,FR-Gri,48.84422,1.95191,CRO,Temperate,0.297835,0.91388,1.80171,0.604839,27.281,0.658602,57.0607,0.666667,18.038,1.0,208.977,0.997984,360.352,1.0,7.556,1.0,100.22,0.99664,,,2.213,0.997984,2.044,0.99664,361.15,0.667339,1.63264254666667,0.539547220414444,17.867,19.153,233.563,355.262,7.327,100.012,1.289,2.619,2.099545
8,200408,FR-Gri,48.84422,1.95191,CRO,Temperate,1.05134,1.66706,2.63133,0.942876,58.5734,0.997312,24.4726,0.998656,19.014,0.995968,187.463,0.998656,367.015,1.0,7.306,0.995968,99.788,0.971774,0.228379012343,0.852822580645,2.742,0.998656,2.893,0.971102,358.914,0.999328,1.96774118387097,0.55299558680972,18.888,20.045,186.368,366.409,6.675,99.594,3.727,2.823,3.68267
9,200409,FR-Gri,48.84422,1.95191,CRO,Temperate,1.18637,1.20498,2.07489,0.979861,34.3911,0.991667,26.2139,0.999306,16.71,1.0,160.24,1.0,346.3,1.0,6.559,1.0,100.539,1.0,0.21746439734,0.913194444444,0.647,1.0,2.855,1.0,355.27,0.990972,1.70324199666667,0.445549338932124,16.376,17.801,152.056,348.282,6.004,100.335,0.353,2.959,3.26126
10,200410,FR-Gri,48.84422,1.95191,CRO,Temperate,3.53509,4.22589,-1.22072,0.548387,22.9905,0.551747,-3.51918,0.55914,12.144,1.0,85.745,1.0,331.365,1.0,2.837,1.0,99.504,0.976478,,,2.4,1.0,3.11,0.932124,362.858,0.536962,1.12137461290323,0.323900914605254,12.185,13.472,89.135,329.559,3.007,99.31,1.976,3.486,2.31437
