Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200801,GL-NuF,64.13083,-51.38611,WET,Arctic,0.378598,0.153924,0.234348,0.0,,0.0,,0.0,-12.105,1.0,4.666,0.0,175.306,0,0.681,1.0,96.512,0,,,1.01,1.0,1.738,0.0,,,0.0,,-12.607,-12.679,4.666,175.306,1.203,96.512,1.202,1.738,0.612946
2,200802,GL-NuF,64.13083,-51.38611,WET,Arctic,0.335826,0.608509,0.234348,0.0,,0.0,,0.0,-13.495,1.0,26.838,0.0,183.42,0,0.67,1.0,96.29,0,,,1.672,0.872126,1.676,0.0,,,0.144337913548387,0.179906298391083,-11.372,-10.913,26.838,183.42,1.12,96.29,1.506,1.676,0.570174
3,200803,GL-NuF,64.13083,-51.38611,WET,Arctic,0.523811,1.23794,0.234348,0.0,,0.0,,0.0,-7.885,0.821909,79.342,0.0,217.529,0,0.972,0.821909,97.139,0,,,1.402,0.337366,1.753,0.0,,,0.01,,-6.37,-5.592,79.342,217.529,1.194,97.139,2.095,1.753,0.758159
4,200804,GL-NuF,64.13083,-51.38611,WET,Arctic,0.812699,1.89815,0.234348,0.0,,0.0,,0.0,0.545,0.0,160.539,0.0,245.546,0,1.965,0.0,98.069,0,,,0.647,1.0,1.445,0.0,,,0.0,,0.545,1.173,160.539,245.546,1.965,98.069,1.328,1.445,1.047047
5,200805,GL-NuF,64.13083,-51.38611,WET,Arctic,0.931746,2.34209,0.233169,0.0,,0.0,,0.0,4.233,0.0,221.178,0.0,274.56,0,1.896,0.0,97.928,0,,,1.839,1.0,1.379,0.0,,,0.0,0.343641138884511,4.233,4.684,221.178,274.56,1.896,97.928,2.205,1.379,1.164915
6,200806,GL-NuF,64.13083,-51.38611,WET,Arctic,1.77053,2.66314,-0.504614,0.336806,,0.39375,,0.39375,7.591,0.0,258.009,0.175,309.443,0,2.351,0.0,98.401,0,,,0.75,1.0,1.642,0.381944,386.384,0.39375,0.1,0.523233403571776,7.591,7.832,247.828,309.443,2.351,98.401,1.312,1.402,1.2659159999999998
7,200807,GL-NuF,64.13083,-51.38611,WET,Arctic,2.5722,3.19006,-1.25203,0.979839,,0.993952,,0.993952,9.612,0.0,233.128,1.0,312.6,0,3.099,0.0,97.78,0,0.190709261567,0.764112903226,1.487,1.0,1.651,0.803763,383.696,0.993952,0.100000000666667,,9.612,10.011,225.452,312.6,3.099,97.78,2.02,1.402,1.32017
8,200808,GL-NuF,64.13083,-51.38611,WET,Arctic,1.53902,1.67362,-0.245967,0.978495,,0.991935,,0.997312,7.64,0.969758,148.526,1.0,314.935,0,2.468,0.969758,97.477,0,0.201432110022,0.908602150538,2.397,1.0,1.715,0.912634,379.19,0.990591,0.131095126129032,0.0145529805384268,7.556,8.024,142.426,314.935,2.06,97.477,4.082,1.486,1.293053
9,200809,GL-NuF,64.13083,-51.38611,WET,Arctic,0.413429,0.527042,0.320111,0.932639,,0.965972,,0.972222,4.085,1.0,66.148,1.0,288.218,0,1.831,1.0,96.947,0,,,5.768,0.998611,1.902,0.506944,379.693,0.963194,1.00148769933333,0.288864794260205,3.935,4.442,70.864,288.218,1.75,96.947,5.186,1.922,0.73354
10,200810,GL-NuF,64.13083,-51.38611,WET,Arctic,0.0496178,0.0575816,0.213039,0.985215,,0.984543,,0.988575,-0.099,1.0,21.475,0.992608,249.489,0,2.033,1.0,96.966,0,0.249541755714,0.623655913978,6.642,0.99328,2.633,0.675403,382.416,0.989919,1.48219667419355,0.332161042510613,-0.664,-0.182,35.609,249.489,1.842,96.966,6.266,2.3,0.2626568
11,200811,GL-NuF,64.13083,-51.38611,WET,Arctic,0.0735829,0.0,0.170602,0.0527778,,0.052778,,0.052778,-1.859,1.0,6.336,0.996528,258.437,0,1.094,1.0,97.06,0,,,9.52,1.0,2.46,0.0,383.765,0.0527778,1.02160812,0.320831580413943,-1.918,-1.838,6.045,258.437,1.285,97.06,8.394,2.46,0.2441849
12,200812,GL-NuF,64.13083,-51.38611,WET,Arctic,-0.0215844,0.0,0.211678,0.0,,0.0,,0.0,-8.058,1.0,2.038,0.999328,204.588,0,1.032,1.0,96.311,0,,,4.157,0.377688,2.307,0.0,383.711,0.0,0.579746931333333,0.241428137368544,-8.027,-8.183,1.578,204.588,1.363,96.311,2.792,2.307,0.1900936
13,200901,GL-NuF,64.13083,-51.38611,WET,Arctic,-0.120602,0.0,0.292893,0.0,,0.0,,0.0,-5.492,1.0,4.31,1.0,209.255,0,1.579,1.0,95.584,0,,,1.452,1.0,1.664,0.0,384.228,0.0,0.0,,-6.007,-5.757,4.915,209.255,1.675,95.584,0.928,1.664,0.17229100000000003
14,200902,GL-NuF,64.13083,-51.38611,WET,Arctic,-0.0718476,0.0,0.232607,0.0,,0.0,,0.0,-6.238,1.0,17.772,0.993304,208.713,0,1.485,1.0,96.988,0,,,1.304,1.0,1.798,0.0,391.441,0.0,0.18684227,0.387115382846997,-5.856,-5.295,26.986,208.713,2.02,96.988,0.886,1.798,0.1607594
15,200903,GL-NuF,64.13083,-51.38611,WET,Arctic,-0.185467,0.0,0.266518,0.0,,0.0,,0.0,-11.977,1.0,72.589,0.994624,180.651,0,0.726,1.0,97.317,0,,,2.129,1.0,1.636,0.0,392.613,0.0,0.0,0.274451563569863,-9.54,-8.367,97.379,180.651,1.317,97.317,1.135,1.636,0.08105099999999998
16,200904,GL-NuF,64.13083,-51.38611,WET,Arctic,-0.0560494,0.0,0.254093,0.0,,0.0,,0.0,-3.399,1.0,159.863,0.975,246.97,0,1.059,1.0,96.994,0,,,3.667,1.0,1.604,0.0,392.281,0.0,0.0,,-1.222,-0.672,156.44,246.97,1.474,96.994,2.318,1.604,0.19804360000000001
17,200905,GL-NuF,64.13083,-51.38611,WET,Arctic,0.0425427,0.258312,0.19413,0.623656,,0.712366,,0.71707,0.297,1.0,240.557,0.988575,257.942,0,1.998,1.0,97.084,0,0.124206892578,0.511424731183,1.758,1.0,1.868,0.518817,391.164,0.706989,0.0,0.372755401216116,1.711,2.113,226.211,257.942,2.163,97.084,1.511,1.858,0.2366727
18,200906,GL-NuF,64.13083,-51.38611,WET,Arctic,0.560519,0.609542,0.308962,0.958333,,0.990972,,0.991667,6.252,1.0,203.303,0.998611,313.659,0,2.515,1.0,98.082,0,0.18766263409,0.868055555556,4.283,1.0,1.891,0.86875,387.636,0.990972,0.1,0.208795412355553,6.352,6.521,176.537,313.659,1.948,98.082,4.145,1.808,0.869481
19,200907,GL-NuF,64.13083,-51.38611,WET,Arctic,2.32438,2.32954,-1.06649,0.971102,,0.997984,,1.0,10.199,1.0,263.577,1.0,316.248,0,4.267,1.0,98.159,0,0.185882417975,0.995295698925,0.032,1.0,1.77,0.995968,383.589,0.997984,0.11827382,0.555613420630111,9.326,9.68,240.617,316.248,2.655,98.159,0.368,1.341,1.2578900000000002
20,200908,GL-NuF,64.13083,-51.38611,WET,Arctic,1.96542,2.03104,-0.447203,0.987231,,0.999328,,1.0,8.736,1.0,181.467,1.0,310.737,0,2.977,1.0,97.46,0,0.158692017939,0.971774193548,0.145,1.0,1.449,0.97379,379.423,0.999328,0.279772528387097,,8.459,9.068,167.913,310.737,2.663,97.46,1.276,1.203,1.518217
21,200909,GL-NuF,64.13083,-51.38611,WET,Arctic,0.501573,0.470868,0.278238,0.990278,,1.0,,1.0,3.511,1.0,80.705,1.0,283.122,0,2.211,1.0,96.801,0,0.196126737579,0.992361111111,6.747,1.0,1.778,0.99375,379.208,1.0,0.329400076666667,0.169715378544931,3.523,3.956,72.487,283.122,1.887,96.801,5.316,1.875,0.779811
22,200910,GL-NuF,64.13083,-51.38611,WET,Arctic,0.0249188,0.0679295,0.218738,0.965054,,0.972446,,0.983871,-0.664,1.0,24.701,1.0,238.764,0,1.842,1.0,97.449,0,0.1957306541,0.721774193548,1.9,0.997312,2.158,0.722446,382.593,0.979167,1.2154178316129,0.306467129477594,-0.777,-0.048,39.421,238.764,2.24,97.449,1.765,1.68,0.24365679999999998
23,200911,GL-NuF,64.13083,-51.38611,WET,Arctic,-0.142704,0.0,0.247637,0.138889,,0.153472,,0.227778,-8.07,1.0,7.204,0.997917,185.883,0,0.881,1.0,96.73,0,,,1.177,1.0,1.578,0.0,383.352,0.153472,1.41441167903226,0.322003997340803,-7.916,-7.541,10.198,185.883,1.706,96.73,1.276,1.578,0.104933
24,200912,GL-NuF,64.13083,-51.38611,WET,Arctic,-0.0434635,0.0,0.225128,0.0,,0.0,,0.0,-2.903,1.0,1.787,1.0,197.807,0,2.174,1.0,97.439,0,,,3.306,1.0,2.654,0.0,383.292,0.0,0.307918771666667,0.270483622178373,-4.942,-4.742,2.313,197.807,2.657,97.439,1.118,2.654,0.1816645
25,201001,GL-NuF,64.13083,-51.38611,WET,Arctic,0.305901,0.0,0.254671,0.0,,0.0,,0.0,-3.773,1.0,4.592,0.999328,217.284,0,1.505,1.0,96.707,0,,,2.121,0.965054,1.974,0.0,383.302,0.0,0.0,,-4.116,-3.658,4.156,217.284,2.193,96.707,1.91,1.974,0.560572
26,201002,GL-NuF,64.13083,-51.38611,WET,Arctic,0.203151,0.0,0.416493,0.0,,0.0,,0.0,-1.604,1.0,17.625,1.0,223.198,0,1.91,1.0,97.825,0,,,1.425,1.0,1.384,0.0,393.917,0.0,0.1258326,0.120141968993776,-1.636,-1.17,27.446,223.198,2.471,97.825,0.854,1.384,0.619644
27,201003,GL-NuF,64.13083,-51.38611,WET,Arctic,0.102393,0.0,0.439803,0.0,,0.0,,0.0,-4.454,1.0,71.117,1.0,234.007,0,1.461,1.0,97.372,0,,,1.842,1.0,1.602,0.0,394.569,0.0,0.0,,-3.046,-2.322,76.031,234.007,1.855,97.372,0.73,1.602,0.542196
28,201004,GL-NuF,64.13083,-51.38611,WET,Arctic,0.298516,0.0,0.362537,0.0854167,,0.091667,,0.090278,-0.104,1.0,170.181,1.0,249.807,0,1.684,1.0,97.855,0,,,1.13,1.0,1.522,0.0,394.13,0.0916667,0.0,,0.99,1.551,158.772,249.807,1.762,97.855,1.608,1.522,0.661053
29,201005,GL-NuF,64.13083,-51.38611,WET,Arctic,0.504643,0.425044,0.24516,0.97043,,0.987231,,0.989247,6.892,1.0,204.047,1.0,290.953,0,3.807,1.0,98.093,0,0.198133191556,0.721774193548,3.055,1.0,1.755,0.735887,392.756,0.987231,0.0,0.725882618198836,6.171,6.581,196.293,290.953,2.548,98.093,2.922,1.813,0.749803
30,201006,GL-NuF,64.13083,-51.38611,WET,Arctic,3.0062,2.91199,-1.12504,0.972222,,0.998611,,0.997917,8.566,1.0,211.762,0.978472,316.033,0,3.401,1.0,97.724,0,0.195140444705,0.902777777778,1.884,0.972222,1.739,0.909722,386.917,0.998611,0.1,0.28387189407072,7.998,8.206,200.368,316.033,2.469,97.724,2.898,1.352,1.8811600000000002
31,201007,GL-NuF,64.13083,-51.38611,WET,Arctic,3.67444,3.55167,-1.11446,0.709677,,0.840726,,1.0,10.141,0.992608,211.179,1.0,337.777,0,3.235,0.992608,97.5,0,0.190026359776,0.985887096774,0.619,1.0,1.761,0.987903,386.929,0.852823,0.138078084,0.0619921757448091,9.668,9.904,185.008,337.777,2.376,97.5,1.762,1.296,2.5599800000000004
32,201008,GL-NuF,64.13083,-51.38611,WET,Arctic,2.41437,2.35377,0.181308,0.971102,,0.989247,,1.0,11.272,1.0,139.856,1.0,339.435,0,3.027,1.0,97.777,0,0.194426485489,0.983198924731,7.929,1.0,1.741,0.994624,384.932,0.989247,0.541410518709677,0.20732784834297,10.051,10.516,124.114,339.435,2.17,97.777,5.842,1.527,2.595678
