Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200801,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.00439506,0.0,0.0758283,0.0,,0.0,,0.0,-19.579,0.0,0.0,1.0,169.558,0,0.428,0.0,96.078,0,,,0.206,1.0,3.205,0.0,,,0.0,,-19.579,,0.0,169.558,0.428,96.078,0.654,3.205,0.08022336000000001
2,200802,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.105989,0.00186534,0.0565667,0.0,,0.0,,0.0,-15.098,0.0,3.483,0.907328,196.462,0,0.571,0.0,95.479,0,,,0.883,1.0,4.656,0.0,,,0.0,0.185441020191286,-15.098,,2.625,196.462,0.571,95.479,2.499,4.656,0.1625557
3,200803,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.0335419,0.0312833,0.0536401,0.0,,0.0,,0.0,-19.826,0.0,62.236,0.881048,149.05,0,0.647,0.0,96.85,0,,,0.21,1.0,2.745,0.0,,,0.0,,-19.826,-19.398,53.911,149.05,0.647,96.85,0.263,2.745,0.08718200000000001
4,200804,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.0650797,0.0813597,0.000510699,0.636806,,0.836806,,0.8375,-15.63,0.922917,173.443,0.897917,164.288,0,0.622,0.922917,97.832,0,0.116597861572,0.653472222222,0.237,1.0,2.811,0.668056,395.691,0.840972,0.0,,-14.587,-14.065,160.625,164.288,0.845,97.832,0.116,2.355,0.06559039900000001
5,200805,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.21285,0.0598747,0.0426034,0.586694,,0.988575,,0.988575,-6.466,1.0,269.07,0.80914,220.741,0,0.938,1.0,97.836,0,0.100585824929,0.962365591398,0.213,1.0,1.814,0.986559,396.777,1.0,0.0,,-4.629,-4.57,256.976,220.741,1.338,97.836,0.332,1.979,0.2554534
6,200806,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.471327,0.283986,0.513616,0.634028,,1.0,,1.0,3.628,1.0,281.923,0.910417,261.952,0,1.927,0.963194,97.528,0,0.103222606777,0.994444444444,0.09,1.0,1.459,0.995833,388.275,1.0,0.0,,4.553,4.595,305.162,261.952,2.343,97.528,0.06,1.878,0.9849429999999999
7,200807,GL-ZaF,74.48143,-20.55452,WET,Arctic,3.34547,3.32721,-1.45278,0.776882,,0.991263,,0.991263,7.467,0.990591,261.926,0.867608,272.602,0,3.262,0.990591,97.122,0,0.168683520177,0.972446236559,0.255,1.0,2.191,0.976478,382.638,0.99664,0.0,,5.589,5.632,265.104,272.602,2.363,97.122,0.437,2.234,1.8926900000000002
8,200808,GL-ZaF,74.48143,-20.55452,WET,Arctic,2.9529,2.82814,-1.05634,0.796371,,0.985215,,0.985887,5.214,0.999328,146.474,0.835349,267.868,0,2.135,0.999328,96.701,0,0.196636810066,0.942204301075,1.584,0.991935,2.573,0.946909,371.467,0.987231,0.10596071,,3.818,4.037,156.905,267.868,1.72,96.701,1.321,2.511,1.89656
9,200809,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.598379,0.0225874,0.744636,0.111111,,0.128472,,0.128472,-0.969,1.0,62.462,0.825694,253.77,0,1.118,1.0,96.29,0,,,1.553,1.0,2.517,0.0,368.796,0.128472,0.18494184,0.153966192986472,-0.682,-0.216,59.321,253.77,1.337,96.29,2.131,2.517,1.3430149999999998
10,200810,GL-ZaF,74.48143,-20.55452,WET,Arctic,-0.359589,0.00921955,1.05187,0.0,,0.0,,0.0,-11.036,0.97043,16.528,0.885753,172.737,0,1.065,0.97043,96.159,0,,,0.084,1.0,3.914,0.0,369.12,0.0,0.42464957,0.2518784990739,-13.203,-13.013,14.384,172.737,1.1,96.159,0.116,3.914,0.6922810000000001
11,200811,GL-ZaF,74.48143,-20.55452,WET,Arctic,-0.723807,0.000151534,1.0628,0.0,,0.0,,0.0,-17.997,0.0131944,0.122,1.0,167.629,0,0.667,0.0131944,96.633,0,,,0.163,1.0,3.426,0.0,368.548,0.0,0.41444153,0.29643263672837,-18.007,,0.066,167.629,0.657,96.633,0.136,3.426,0.338993
12,200812,GL-ZaF,74.48143,-20.55452,WET,Arctic,-0.383307,0.0,0.763808,0.0,,0.0,,0.0,-16.566,0.0,0.0,1.0,181.851,0,0.676,0.0,95.878,0,,,1.165,1.0,4.06,0.0,367.914,0.0,0.28870913,0.182072885620297,-16.566,,0.0,181.851,0.676,95.878,0.873,4.06,0.38050100000000003
13,200901,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.0893567,0.0,0.766508,0.0,,0.0,,0.0,-16.549,0.0,0.0,1.0,184.298,0,0.618,0.0,95.872,0,,,0.442,1.0,3.697,0.0,367.951,0.0,0.0,,-16.549,,0.0,184.298,0.618,95.872,0.707,3.697,0.8558646999999999
14,200902,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.514364,0.285726,-0.0589839,0.0,,0.0,,0.0,-24.506,0.0,6.335,0.925595,140.771,0,0.302,0.0,97.042,0,,,0.064,1.0,2.812,0.0,378.079,0.0,0.0,,-24.506,,5.886,140.771,0.302,97.042,0.234,2.812,0.45538010000000007
15,200903,GL-ZaF,74.48143,-20.55452,WET,Arctic,1.28239,1.78616,-0.745257,0.0,,0.0,,0.0,-22.048,0.0,65.351,0.920699,140.417,0,0.459,0.0,96.923,0,,,0.013,1.0,3.136,0.0,387.144,0.0,0.0,,-22.048,-21.474,54.495,140.417,0.459,96.923,0.178,3.136,0.537133
16,200904,GL-ZaF,74.48143,-20.55452,WET,Arctic,1.57364,3.42656,-0.744653,0.0,,0.0,,0.0,-15.712,0.0,169.208,0.886806,175.403,0,0.645,0.0,97.25,0,,,0.0,1.0,2.41,0.0,387.154,0.0,0.0,,-15.712,-15.282,154.528,175.403,0.645,97.25,0.165,2.41,0.8289869999999999
17,200905,GL-ZaF,74.48143,-20.55452,WET,Arctic,2.5908,4.59852,-1.20873,0.0,25.6326,0.0,42.7051,0.0,-1.624,0.59207,253.382,0.823925,251.093,0,0.877,0.59207,96.623,0,,,0.255,1.0,2.11,0.0,387.002,0.0,0.0,,-0.093,-0.04,241.519,251.093,1.356,96.623,0.488,2.11,1.3820700000000001
18,200906,GL-ZaF,74.48143,-20.55452,WET,Arctic,2.65274,4.8644,-1.14271,0.0,19.5892,0.0,45.1628,0.0,1.13,1.0,261.311,0.849306,263.014,0,0.959,1.0,97.392,0,,,0.087,1.0,1.489,0.0,387.047,0.0,0.0,,2.727,2.752,287.901,263.014,1.658,97.392,0.164,1.489,1.5100300000000002
19,200907,GL-ZaF,74.48143,-20.55452,WET,Arctic,3.31554,4.51042,-1.66886,0.110887,24.2168,0.120296,49.456,0.120296,7.488,1.0,233.63,0.939516,283.524,0,3.252,1.0,97.569,0,,,0.826,1.0,2.672,0.0107527,386.672,0.120296,0.0,,5.706,5.74,229.834,283.524,2.19,97.569,0.619,2.67,1.64668
20,200908,GL-ZaF,74.48143,-20.55452,WET,Arctic,1.67148,1.89483,-0.257764,0.790995,19.6859,0.972446,35.9088,0.972446,3.815,1.0,145.361,0.961022,277.264,0,1.664,1.0,97.067,0,0.147589848116,0.829301075269,1.01,1.0,2.212,0.877016,387.77,0.972446,0.10596071,,3.383,3.543,132.912,277.264,1.76,97.067,0.5,2.161,1.413716
21,200909,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.202428,0.169945,0.475674,0.888194,7.33355,0.988889,-5.4892,0.989583,-3.056,1.0,87.436,0.967361,227.243,0,1.344,1.0,95.861,0,0.172515032139,0.969444444444,0.993,1.0,3.146,0.969444,391.593,0.995833,0.18494184,0.221432032056284,-2.769,-2.061,73.353,227.243,1.705,95.861,0.843,2.801,0.678102
22,200910,GL-ZaF,74.48143,-20.55452,WET,Arctic,-0.0517163,0.00537835,0.135161,0.531586,0.9562,0.561828,-37.0188,0.561828,-13.2,0.768145,18.571,0.968414,196.243,0,0.732,0.768145,97.057,0,,,0.439,1.0,3.591,0.33871,393.316,0.561828,0.42464957,0.305906436430665,-11.832,-11.501,15.208,196.243,0.892,97.057,0.255,3.153,0.08344470000000001
23,200911,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.00931532,0.0,0.0227527,0.0,-0.00533483,0.0,-29.0012,0.0,-18.291,0.0,0.167,1.0,166.152,0,0.527,0.0,96.405,0,,,0.4,1.0,3.304,0.0,392.404,0.0,0.41444153,0.257501967350036,-18.291,,0.095,166.152,0.527,96.405,0.384,3.304,0.03206802
24,200912,GL-ZaF,74.48143,-20.55452,WET,Arctic,0.00935053,0.0,0.0260018,0.0,-0.00771986,0.0,-37.5588,0.0,-14.789,0.0,0.0,1.0,182.446,0,0.83,0.0,97.559,0,,,0.987,1.0,3.988,0.0,392.452,0.0,0.28870913,0.210219984740018,-14.789,,0.0,182.446,0.83,97.559,0.509,3.988,0.03535233
