Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,IT-CA1,42.38041,12.02656,DBF,Temperate,5.53652,3.90643,-2.53376,0.0,78.8959,0.0,52.4105,0.0,6.632,0.0,65.237,0.0,312.905,0.0,2.073,0.0,99.009,0.0,,,1.918,0.0,2.013,0.0,,,1.13678128709677,0.347687769252445,6.632,8.079,65.237,312.905,2.073,99.009,1.918,2.013,3.0027600000000003
2,201102,IT-CA1,42.38041,12.02656,DBF,Temperate,5.6071,5.83991,-2.54201,0.0,,0.0,,0.0,7.022,0.0,118.302,0.0,298.142,0.0,3.076,0.0,98.835,0.0,,,1.164,0.0,2.409,0.0,,,1.01299807516129,0.302276197008246,7.022,8.871,118.302,298.142,3.076,98.835,1.164,2.409,3.06509
3,201103,IT-CA1,42.38041,12.02656,DBF,Temperate,6.03014,7.05819,-2.54332,0.0,,0.0,,0.0,9.555,0.0,161.496,0.0,319.316,0.0,3.517,0.0,99.204,0.0,,,3.828,0.0,2.58,0.0,,,1.41320111333333,0.33623802345715,9.555,11.058,161.496,319.316,3.517,99.204,3.828,2.58,3.4868200000000003
4,201104,IT-CA1,42.38041,12.02656,DBF,Temperate,6.89703,8.79049,-2.53962,0.0,66.8976,0.0,45.0529,0.0,14.584,0.0,228.113,0.0,335.042,0.0,6.725,0.0,98.876,0.0,,,1.205,0.0,1.898,0.0,,,1.17758785483871,0.346250665048684,14.584,16.313,228.113,335.042,6.725,98.876,1.205,1.898,4.35741
5,201105,IT-CA1,42.38041,12.02656,DBF,Temperate,7.50571,10.0619,-2.53228,0.00201613,73.5049,0.008737,48.6712,0.011425,18.012,0.0134409,290.457,0.0,345.877,0.0,9.068,0.0127688,98.99,0.0,,,1.177,0.0,2.097,0.0120968,,,1.09897621071429,0.353478058166147,18.031,19.706,290.457,345.877,9.078,98.99,1.177,2.11,4.97343
6,201106,IT-CA1,42.38041,12.02656,DBF,Temperate,9.5837,10.2481,-4.56531,0.710417,120.583,0.966667,28.1965,0.965972,20.962,0.809722,299.186,0.790972,370.788,0.0,8.754,0.809722,98.863,0.0,0.256727204818,0.711805555556,1.682,0.783333,1.749,0.938194,397.014,0.809722,1.27835267741935,0.38010121399515,21.403,22.851,294.02,370.788,9.834,98.863,2.515,1.715,5.01839
7,201107,IT-CA1,42.38041,12.02656,DBF,Temperate,10.9476,12.1848,-5.88552,0.771505,135.579,0.83871,16.3687,0.835349,21.994,0.83871,284.719,0.84207,373.055,0.557796,8.853,0.83871,98.568,0.0,0.298245777869,0.692876344086,4.53,0.376344,1.496,0.768817,400.913,0.83871,1.76636359666667,0.444393279070609,22.274,23.658,284.825,372.624,10.403,98.568,2.408,1.988,5.06208
8,201108,IT-CA1,42.38041,12.02656,DBF,Temperate,5.9447,5.2193,-1.91873,0.711022,83.7928,0.955645,60.6848,0.96707,24.661,0.997984,283.436,0.888441,377.832,0.885753,15.316,0.997984,98.87,0.0,0.278868757086,0.512768817204,0.155,0.952285,1.641,0.527554,393.191,0.997984,1.34041029677419,0.365425642957273,24.609,26.397,272.01,380.658,15.3,98.87,0.213,1.494,4.02597
9,201109,IT-CA1,42.38041,12.02656,DBF,Temperate,2.4372,2.75138,-0.243176,0.739583,49.3605,0.902083,53.9856,0.896528,22.09,0.90625,214.759,0.911806,367.166,0.909028,11.003,0.90625,98.984,0.0,0.295048979583,0.648611111111,4.008,1.0,1.909,0.690278,391.347,0.905556,1.1894787,0.309610825227221,21.837,23.62,204.413,367.462,10.549,98.984,0.584,1.695,2.1940239999999998
10,201110,IT-CA1,42.38041,12.02656,DBF,Temperate,3.33343,3.12734,-0.791263,0.961694,55.2174,0.997312,7.90419,0.998656,15.284,0.998656,154.441,1.0,329.757,1.0,6.276,0.998656,99.29,0.602151,0.35240879099,0.665994623656,1.277,1.0,2.357,0.698253,393.862,0.998656,1.21215640967742,0.379254935534762,15.219,17.007,139.995,332.176,6.452,99.225,1.43,2.171,2.542167
11,201111,IT-CA1,42.38041,12.02656,DBF,Temperate,1.98483,1.93326,-0.0969215,0.967361,36.9602,0.999306,-7.68781,0.998611,11.165,1.0,106.721,1.0,309.893,1.0,3.854,1.0,99.491,0.566667,0.342045457431,0.943055555556,0.762,1.0,2.26,0.940278,401.135,1.0,1.08382255322581,0.343010489081311,10.294,12.233,88.295,314.22,3.106,99.426,1.115,1.896,1.8879085
12,201112,IT-CA1,42.38041,12.02656,DBF,Temperate,1.14455,1.22648,0.295037,0.97379,,0.99664,,0.997312,8.988,1.0,72.101,1.0,308.143,1.0,2.848,1.0,99.112,0.263441,0.308169004276,0.891801075269,0.854,0.969758,2.665,0.918683,408.585,1.0,0.765048186,0.278638763488536,8.151,9.574,67.13,303.373,2.48,99.092,1.781,2.484,1.439587
13,201201,IT-CA1,42.38041,12.02656,DBF,Temperate,0.859413,0.717166,0.349596,0.907258,,0.927419,,0.926075,6.71,0.934812,87.025,0.938844,292.273,0.934812,3.172,0.934812,99.342,0.766801,0.244285717527,0.66061827957,0.72,1.0,2.319,0.714382,403.147,0.926747,1.01623313451613,0.328248692882735,5.991,7.774,82.991,292.607,2.712,99.233,0.481,1.924,1.209009
14,201202,IT-CA1,42.38041,12.02656,DBF,Temperate,0.689305,0.856247,0.693095,0.948276,,0.981322,,0.979885,3.871,0.987069,128.607,0.989943,280.577,0.987787,2.809,0.987069,98.953,0.79023,0.447997646913,0.879310344828,2.479,0.852011,3.589,0.900144,405.581,0.985632,1.26699252903226,0.420650606495789,3.796,5.567,117.929,286.733,2.631,98.854,2.491,2.902,1.3824
15,201203,IT-CA1,42.38041,12.02656,DBF,Temperate,2.37362,2.50672,-0.228744,0.968414,,0.986559,,0.991263,11.705,0.998656,204.881,0.998656,305.124,0.998656,6.285,0.998656,99.619,0.850806,0.317512883083,0.924731182796,0.099,0.999328,2.683,0.911962,396.567,0.997984,1.23005817666667,0.442006817988421,11.867,14.134,201.355,313.462,5.81,99.521,0.397,2.131,2.144876
16,201204,IT-CA1,42.38041,12.02656,DBF,Temperate,4.16511,4.10181,-1.01085,0.913889,,0.961111,,0.963889,12.885,0.967361,205.137,0.972222,332.409,0.967361,4.204,0.967361,98.234,0.935417,0.340719062139,0.799305555556,1.92,1.0,2.437,0.870833,400.102,0.965972,1.13695183,0.415303131038843,13.119,14.592,213.835,332.905,4.829,98.123,2.802,2.455,3.1542600000000003
17,201205,IT-CA1,42.38041,12.02656,DBF,Temperate,10.7391,12.0113,-6.60086,0.934812,110.314,0.990591,26.7682,0.993952,15.793,1.0,270.507,1.0,340.534,1.0,5.93,1.0,98.9,0.995296,0.344377787354,0.907258064516,1.905,1.0,2.099,0.941532,403.353,1.0,0.860556292758621,0.256880454181614,16.914,18.511,277.192,342.301,7.592,98.817,2.301,2.225,4.138240000000001
18,201206,IT-CA1,42.38041,12.02656,DBF,Temperate,6.53283,6.7236,-3.07697,0.810417,71.1082,0.983333,87.6275,0.989583,22.503,0.99375,311.458,0.994444,371.765,0.99375,13.917,0.99375,98.896,0.984722,0.352246091098,0.914583333333,0.132,0.970139,1.934,0.933333,387.486,0.993056,1.36435313870968,0.371334359426198,23.152,24.793,317.019,372.509,14.353,98.847,0.408,1.955,3.4558599999999995
19,201207,IT-CA1,42.38041,12.02656,DBF,Temperate,2.902,2.66662,-0.735759,0.910618,39.592,0.989919,111.373,0.991263,25.246,0.997312,305.482,0.997312,383.467,0.997312,17.366,0.997312,98.794,0.992608,0.390708946778,0.921370967742,0.077,1.0,2.016,0.940188,372.334,0.995968,1.53296619,0.426754719925886,24.904,26.521,303.925,378.223,15.86,98.778,1.362,2.045,2.1662410000000003
20,201208,IT-CA1,42.38041,12.02656,DBF,Temperate,2.45497,2.1525,-0.135022,0.870296,36.7171,0.984543,102.349,0.983199,26.292,1.0,282.263,1.0,385.979,1.0,19.052,1.0,98.939,0.266129,0.364132889647,0.876344086022,0.045,1.0,1.837,0.918683,371.611,0.99664,1.32059973548387,0.410599958309839,25.848,27.636,271.899,384.896,17.909,98.938,0.441,1.755,2.3199479999999997
