Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201301,IT-Isp,45.81264,8.63358,DBF,Continental,0.367463,1.69445,2.35447,0.834677,6.50227,0.999328,9.02841,0.999328,4.472,1,59.652,1.0,290.591,1,3.016,1,98.298,0.998656,,,0.471,0.998656,1.109,0.994624,417.9,1.0,0.284099874516129,0.170561017880328,5.282,6.413,63.014,294.427,4.393,98.134,1.324,1.474,2.721933
2,201302,IT-Isp,45.81264,8.63358,DBF,Continental,0.727907,1.10118,1.55816,0.866815,13.865,0.997024,25.4609,0.997024,3.399,1,99.253,0.987351,278.093,1,3.438,1,98.191,1.0,,,0.374,1.0,1.527,0.994048,413.235,1.0,1.09510865193548,0.365455993015453,3.109,4.761,105.031,284.007,4.126,97.923,2.297,1.423,2.286067
3,201303,IT-Isp,45.81264,8.63358,DBF,Continental,0.896498,0.81341,1.36092,0.907258,20.3616,0.989247,43.932,0.987903,6.623,1,115.593,0.999328,305.426,1,3.474,1,97.785,1.0,0.225861759972,0.545698924731,2.178,1.0,1.512,1.0,402.941,1.0,0.500456398,0.24153434195988,6.782,8.034,133.064,306.489,4.372,97.659,4.089,1.184,2.257418
4,201304,IT-Isp,45.81264,8.63358,DBF,Continental,1.8462,1.56909,1.37724,0.889583,34.6368,0.993056,64.1814,0.995833,12.274,1,156.44,1.0,338.086,1,5.189,1,98.513,1.0,0.302165526868,0.563194444444,8.863,1.0,1.572,1.0,402.382,1.0,0.275186924193548,0.19886670171265,12.549,13.642,175.02,338.182,5.692,98.436,7.689,1.056,3.22344
5,201305,IT-Isp,45.81264,8.63358,DBF,Continental,8.84439,9.58516,-2.2853,0.942876,90.5295,0.998656,45.8848,0.998656,14.406,1,210.143,1.0,341.758,1,6.691,1,98.119,1.0,0.3296982424,0.551075268817,8.325,1.0,1.883,1.0,398.146,1.0,0.30000001,0.175327328965788,14.298,15.23,203.937,344.814,6.239,98.221,8.463,1.446,6.559090000000001
6,201306,IT-Isp,45.81264,8.63358,DBF,Continental,13.2541,13.7933,-4.68094,0.938889,142.471,0.985417,42.7272,0.985417,20.654,1,284.197,1.0,360.645,1,11.795,1,98.622,1.0,0.306192422569,0.625,2.505,1.0,1.694,0.999306,398.575,1.0,0.45976453,0.213441902723645,19.508,20.559,258.402,360.852,9.541,98.839,3.56,1.386,8.57316
7,201307,IT-Isp,45.81264,8.63358,DBF,Continental,14.4345,12.4831,-5.17406,0.905914,169.159,0.997312,20.6362,0.995296,23.889,1,282.518,1.0,383.827,1,13.369,1,98.838,1.0,0.293959747216,0.652553763441,2.854,1.0,1.503,0.998656,391.699,1.0,0.951647247666667,0.287639775863776,23.161,24.315,261.072,377.038,11.123,99.109,6.016,0.859,9.26044
8,201308,IT-Isp,45.81264,8.63358,DBF,Continental,11.3068,11.0507,-2.96806,0.922715,149.421,0.997312,11.7621,0.994624,22.682,1,247.373,1.0,375.421,1,12.478,1,98.718,1.0,0.272883884751,0.626344086022,3.052,1.0,1.464,0.995968,391.305,1.0,2.00217413870968,0.492300660404075,22.227,23.427,229.967,370.624,10.881,98.987,4.907,1.033,8.338740000000001
9,201309,IT-Isp,45.81264,8.63358,DBF,Continental,9.16309,8.41516,-1.71035,0.910417,91.0441,0.997917,15.5133,0.999306,18.895,1,177.361,1.0,358.217,1,8.438,1,98.573,1.0,0.219100002408,0.673611111111,5.298,1.0,1.108,1.0,395.398,1.0,2.08849450333333,0.506448766783691,18.651,19.971,168.582,355.995,8.735,98.765,4.118,1.098,7.45274
10,201310,IT-Isp,45.81264,8.63358,DBF,Continental,3.11927,3.88782,1.25871,0.966398,21.5035,0.999328,-1.29301,0.999328,13.563,1,67.17,1.0,360.073,1,3.386,1,98.983,1.0,0.187057427817,0.633064516129,8.2,1.0,1.069,0.999328,401.706,1.0,2.51506117741935,0.506727620563655,14.416,15.457,88.134,354.642,4.442,98.889,6.532,0.953,4.37798
