Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199901,IT-SRo,43.72786,10.28444,ENF,Temperate,2.53245,2.61392,0.80753,0.630376,12.1409,0.679435,-33.6785,0.679435,7.469,0.629032,66.239,0.63172,287.623,0.0,2.11,0.0,101.595,0.177419,,,2.52,0.610887,1.869,0.451613,411.473,0.679435,,,7.156,8.394,70.525,287.623,2.11,101.555,1.892,1.772,3.3399799999999997
2,199902,IT-SRo,43.72786,10.28444,ENF,Temperate,3.57304,3.46833,-0.145943,0.99628,23.7242,1.0,-4.57841,1.0,6.542,1.0,92.194,0.995536,271.808,0.0,2.867,0.0,101.322,0.429315,,,1.679,1.0,2.268,0.429315,408.431,1.0,,,6.793,8.415,117.92,271.808,2.867,101.202,1.19,2.213,3.4270970000000003
3,199903,IT-SRo,43.72786,10.28444,ENF,Temperate,4.19,3.887,-0.818739,0.902554,56.8938,0.915995,32.7648,0.915995,10.296,1.0,165.932,0.969758,297.15,0.0,3.036,0.0,101.292,0.515457,0.480615465667,0.514784946237,1.768,1.0,2.39,0.515457,401.192,0.915995,,,10.875,12.392,166.06,297.15,3.036,101.152,2.487,2.006,3.3712610000000005
4,199904,IT-SRo,43.72786,10.28444,ENF,Temperate,7.0643,5.37548,-2.86996,1.0,71.4676,1.0,60.5168,1.0,13.15,1.0,205.155,0.997222,316.276,0.0,3.544,0.0,101.402,0.990278,0.332567062472,1.0,3.153,1.0,1.837,1.0,398.173,1.0,,,13.839,15.222,207.114,316.276,3.544,101.187,2.873,1.827,4.19434
5,199905,IT-SRo,43.72786,10.28444,ENF,Temperate,7.67595,7.07871,-2.54386,1.0,92.376,1.0,82.6997,1.0,18.245,1.0,259.547,1.0,341.079,0.0,4.698,0.0,101.483,1.0,0.340628555287,0.805779569892,0.574,1.0,1.78,1.0,398.364,1.0,,,18.742,20.041,260.886,341.079,4.698,101.416,1.622,1.444,5.13209
6,199906,IT-SRo,43.72786,10.28444,ENF,Temperate,7.14588,6.06834,-2.67132,1.0,117.96,0.584028,125.555,0.584028,21.316,1.0,329.548,0.997222,346.879,0.0,5.925,0.0,101.408,0.999306,0.367329239783,0.999305555556,2.373,1.0,1.892,0.899306,394.861,1.0,,,21.091,22.272,282.569,346.879,5.925,101.443,2.432,1.413,4.47456
7,199907,IT-SRo,43.72786,10.28444,ENF,Temperate,6.63754,5.57738,-2.47985,0.827957,63.0033,0.634409,137.07,0.634409,24.25,1.0,319.968,1.0,359.811,0.0,6.811,0.0,101.231,0.355511,,,0.116,1.0,1.57,0.125672,394.974,0.846102,,,22.951,24.149,275.039,359.811,6.811,101.29,2.278,1.573,4.1576900000000006
8,199908,IT-SRo,43.72786,10.28444,ENF,Temperate,4.81597,3.74297,-1.40558,0.998656,99.2515,1.0,128.736,1.0,24.622,1.0,244.02,0.997984,366.728,0.0,5.847,0.0,101.071,1.0,0.421602107668,1.0,0.4,1.0,2.079,1.0,397.451,1.0,,,23.207,24.423,239.901,366.728,5.847,101.212,1.951,1.353,3.41039
9,199909,IT-SRo,43.72786,10.28444,ENF,Temperate,4.27819,3.97169,-0.578954,0.999306,84.8251,1.0,110.322,1.0,21.566,1.0,203.268,1.0,349.059,0.0,5.002,0.0,101.258,1.0,0.327650564438,1.0,6.767,1.0,1.851,1.0,395.147,1.0,,,20.513,21.823,180.677,349.059,5.002,101.323,2.847,1.571,3.6992360000000004
10,199910,IT-SRo,43.72786,10.28444,ENF,Temperate,5.15711,4.32546,-0.269462,0.889113,75.712,1.0,39.7165,1.0,17.059,0.605511,126.93,0.607527,331.291,0.0,3.291,0.0,101.635,0.59207,0.315324095114,1.0,3.373,0.591398,1.871,1.0,396.965,1.0,,,16.078,17.221,114.831,331.291,3.291,101.602,2.73,1.569,4.887648
