Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199601,NL-Loo,52.16658,5.74356,ENF,Temperate,2.20837,1.96102,0.10033,0.0,15.305,0.69086,-14.3123,0.99664,-0.221,0.0,34.061,0.0,293.395,0.0,0.51,0.0,101.14,0.0,0.591116374723,0.997983870968,0.517,0.0,2.662,0.0,,,,,-0.221,0.533,34.061,293.395,0.51,101.14,0.517,2.662,2.3087
2,199602,NL-Loo,52.16658,5.74356,ENF,Temperate,2.21816,2.69628,0.135893,0.0,23.1925,0.486351,-8.18163,0.998563,0.113,0.0,50.296,0.0,305.134,0.0,0.518,0.0,100.821,0.0,0.538337001712,0.999281609195,2.046,0.0,2.622,0.0,,,,,0.113,1.057,50.296,305.134,0.518,100.821,2.046,2.622,2.354053
3,199603,NL-Loo,52.16658,5.74356,ENF,Temperate,2.67746,4.8281,0.10033,0.0,18.1651,0.596102,20.5405,0.775538,2.866,0.0,107.778,0.0,304.711,0.0,1.248,0.0,101.389,0.0,0.479369444444,0.75873655914,0.724,0.0,2.117,0.0,,,,,2.866,4.072,107.778,304.711,1.248,101.389,0.724,2.117,2.77779
4,199604,NL-Loo,52.16658,5.74356,ENF,Temperate,3.70319,7.07156,0.117519,0.0,39.3414,0.86875,62.2513,0.94375,8.978,0.0,185.686,0.0,321.333,0.0,4.263,0.0,101.356,0.0,0.392938390866,0.925694444444,0.316,0.0,1.857,0.0,,,,,8.978,10.456,185.686,321.333,4.263,101.356,0.316,1.857,3.8207090000000004
5,199605,NL-Loo,52.16658,5.74356,ENF,Temperate,3.98517,7.17891,0.136834,0.0,60.4663,0.834005,42.3668,0.997312,10.796,0.0,177.341,0.0,344.943,0.0,3.439,0.0,100.934,0.0,0.50627287806,0.999327956989,1.798,0.0,2.279,0.0,,,,,10.796,11.763,177.341,344.943,3.439,100.934,1.798,2.279,4.1220040000000004
6,199606,NL-Loo,52.16658,5.74356,ENF,Temperate,4.8213,8.07438,0.117519,0.0,69.6519,0.894444,99.586,0.996528,15.337,0.0,223.822,0.0,357.064,0.0,5.7,0.0,101.584,0.0,0.447228379929,0.994444444444,0.91,0.0,1.889,0.0,,,,,15.337,16.342,223.822,357.064,5.7,101.584,0.91,1.889,4.938819
7,199607,NL-Loo,52.16658,5.74356,ENF,Temperate,5.53944,7.52912,-0.547667,0.322581,66.9397,0.78293,57.0985,0.890457,15.938,0.326613,200.205,0.327285,361.12,0.0,4.723,0.326613,101.422,0.321909,0.494722878933,0.695564516129,1.895,0.321909,2.248,0.304435,,,,,15.932,16.98,211.148,361.12,4.972,101.281,1.836,2.124,4.991773
8,199608,NL-Loo,52.16658,5.74356,ENF,Temperate,7.24293,5.2058,-1.93579,0.0530914,61.5015,1.0,36.6071,0.999328,17.173,1.0,158.371,1.0,366.047,0.0,4.574,1.0,101.448,1.0,,,3.522,1.0,2.452,0.968414,342.428,0.33871,,,16.928,18.079,171.553,366.047,4.917,101.02,3.737,1.938,5.30714
9,199609,NL-Loo,52.16658,5.74356,ENF,Temperate,5.66533,5.23574,-1.02127,0.556944,58.6995,0.922222,12.7298,0.920833,11.891,1.0,123.85,1.0,344.879,0.0,2.135,1.0,101.71,1.0,,,2.361,1.0,2.331,0.379861,351.241,0.586111,,,12.008,13.123,117.325,344.879,2.748,101.254,1.613,2.227,4.64406
10,199610,NL-Loo,52.16658,5.74356,ENF,Temperate,3.81752,4.0188,1.00424,0.495968,20.8332,0.862231,-23.1607,0.959005,10.227,1.0,71.392,1.0,338.381,0.0,1.418,1.0,101.584,1.0,,,2.851,1.0,2.337,0.361559,367.603,0.543683,,,10.264,11.346,69.918,338.381,1.728,101.177,2.381,2.276,4.82176
11,199611,NL-Loo,52.16658,5.74356,ENF,Temperate,1.43158,1.22903,1.16043,0.329167,60.4989,0.608333,-100.74,0.995139,5.133,1.0,27.16,1.0,328.441,0.0,0.438,1.0,100.863,1.0,,,4.639,1.0,2.751,0.584722,362.093,0.36875,,,5.244,5.726,24.947,328.441,0.503,100.448,3.582,2.794,2.59201
12,199612,NL-Loo,52.16658,5.74356,ENF,Temperate,0.436319,0.610684,0.919225,0.991263,19.2674,1.0,-28.0907,1.0,0.167,1.0,21.493,1.0,300.094,0.0,0.504,1.0,101.529,1.0,0.431582145373,0.539650537634,1.725,1.0,2.597,0.816532,377.951,0.997312,,,-0.292,-0.03,21.901,300.094,0.322,101.112,1.581,2.159,1.355544
13,199701,NL-Loo,52.16658,5.74356,ENF,Temperate,0.619422,0.622015,0.340905,0.990591,11.4201,0.99664,-13.5041,0.997984,-1.64,1.0,28.449,1.0,298.593,0.0,0.525,1.0,102.384,1.0,0.274125602241,0.629032258065,0.301,1.0,2.011,0.785618,396.541,0.997984,,,-1.779,-0.868,29.743,298.593,0.242,101.959,0.344,1.71,0.960327
14,199702,NL-Loo,52.16658,5.74356,ENF,Temperate,1.7,1.63442,0.276552,1.0,26.836,1.0,-47.8938,1.0,5.741,1.0,44.467,1.0,325.965,0.0,1.175,1.0,101.607,1.0,0.774876552652,0.922619047619,3.671,1.0,3.794,1.0,368.1,1.0,,,5.563,6.286,50.777,325.965,1.091,101.215,3.609,3.574,1.9765519999999999
15,199703,NL-Loo,52.16658,5.74356,ENF,Temperate,3.82785,3.9078,-0.996242,0.956989,36.278,0.998656,9.35524,1.0,7.435,1.0,89.589,1.0,329.149,0.0,1.529,1.0,102.339,1.0,,,1.3,1.0,2.596,0.751344,375.7,0.97043,,,7.381,8.53,99.508,329.149,1.422,101.859,1.287,2.278,2.831608
16,199704,NL-Loo,52.16658,5.74356,ENF,Temperate,5.53497,5.93747,-2.29431,0.751389,41.1602,0.995139,45.1875,1.0,7.268,1.0,148.753,1.0,317.634,0.0,2.849,1.0,102.073,1.0,,,1.402,1.0,2.692,0.857639,379.356,0.775,,,7.279,8.652,166.163,317.634,2.538,101.607,1.357,2.24,3.2406600000000005
17,199705,NL-Loo,52.16658,5.74356,ENF,Temperate,7.54591,8.18776,-2.46135,0.984543,70.9358,0.997984,59.0878,0.997312,12.288,1.0,193.918,1.0,344.276,0.0,3.586,1.0,101.5,1.0,0.475024919633,0.751344086022,2.756,1.0,2.546,0.885753,375.73,0.997984,,,12.437,13.491,203.081,344.276,3.6,101.066,2.392,2.098,5.08456
18,199706,NL-Loo,52.16658,5.74356,ENF,Temperate,8.3704,8.19932,-2.17484,0.975,78.9449,0.995139,60.7427,0.994444,15.498,1.0,206.524,1.0,358.905,0.0,4.922,1.0,101.007,1.0,0.478388962786,0.740972222222,3.241,1.0,2.667,0.878472,375.028,0.995139,,,15.417,16.265,207.674,358.905,4.993,100.583,3.934,2.224,6.19556
19,199707,NL-Loo,52.16658,5.74356,ENF,Temperate,7.66164,7.13094,-2.45651,0.999328,78.6086,1.0,54.8704,1.0,16.978,1.0,189.256,1.0,368.53,0.0,3.514,0.984543,101.761,1.0,0.402311513072,0.834677419355,2.347,1.0,2.283,1.0,367.735,1.0,,,16.687,17.661,197.301,368.53,3.905,101.312,2.683,1.837,5.2051300000000005
20,199708,NL-Loo,52.16658,5.74356,ENF,Temperate,7.32687,7.45895,-1.57494,0.955645,67.9829,1.0,52.1709,1.0,20.347,1.0,191.322,1.0,378.998,0.0,6.686,1.0,101.629,1.0,0.369128234098,0.838709677419,2.096,1.0,2.334,0.994624,380.186,1.0,,,19.855,21.075,184.335,378.998,6.835,101.192,1.108,1.747,5.751930000000001
21,199709,NL-Loo,52.16658,5.74356,ENF,Temperate,6.9867,7.14541,-1.82337,0.984028,51.9829,0.998611,27.7127,0.999306,13.92,1.0,144.016,1.0,345.547,0.0,3.055,1.0,102.157,1.0,0.353637565564,0.839583333333,1.554,1.0,2.341,1.0,383.364,1.0,,,13.766,15.116,133.122,345.547,3.617,101.731,0.958,1.822,5.16333
22,199710,NL-Loo,52.16658,5.74356,ENF,Temperate,3.46072,3.35963,0.424102,0.984543,28.3946,1.0,-16.7095,0.999328,9.331,1.0,69.772,1.0,331.716,0.0,1.562,1.0,101.716,1.0,0.417884436853,0.863575268817,2.887,1.0,2.605,0.99664,406.288,1.0,,,9.019,10.093,67.737,331.716,1.741,101.304,2.279,2.379,3.8848219999999998
23,199711,NL-Loo,52.16658,5.74356,ENF,Temperate,1.35815,1.66008,1.04598,0.804861,28.0332,1.0,-32.8851,1.0,5.866,1.0,29.011,1.0,327.825,0.0,0.616,1.0,100.73,1.0,0.487430380985,0.511805555556,1.12,1.0,2.689,0.899306,423.194,0.810417,,,5.87,6.54,32.448,327.825,0.68,100.364,1.26,2.431,2.40413
24,199712,NL-Loo,52.16658,5.74356,ENF,Temperate,0.844159,0.960085,1.07049,0.810484,25.5284,0.991935,-40.9496,1.0,4.252,1.0,17.7,1.0,328.328,0.0,0.547,1.0,101.19,1.0,0.654436738826,0.653225806452,2.692,1.0,3.227,0.999328,417.115,0.834677,,,4.197,4.48,16.402,328.328,0.47,100.794,2.47,2.988,1.9146489999999998
25,199801,NL-Loo,52.16658,5.74356,ENF,Temperate,1.06238,1.64366,0.773822,0.703629,38.3699,0.706989,-111.318,0.707661,4.873,0.707661,27.027,0.715054,316.84,0.0,0.793,0.707661,101.5,1.0,,,3.054,1.0,3.206,0.535618,416.686,0.707661,,,4.052,4.671,25.483,316.84,0.77,101.103,2.293,3.191,1.8362020000000001
26,199802,NL-Loo,52.16658,5.74356,ENF,Temperate,2.60113,2.46066,-0.395322,0.0,22.3093,0.0,-52.9339,0.092262,5.719,0.09375,58.832,0.0959821,318.668,0.0,1.245,0.09375,102.357,1.0,,,0.741,1.0,2.65,0.0825893,389.215,0.0,,,5.735,6.728,59.942,318.668,1.217,101.953,0.689,2.614,2.2058079999999998
27,199803,NL-Loo,52.16658,5.74356,ENF,Temperate,3.31674,2.98667,-0.515945,0.883737,15.364,0.881048,-3.36882,0.987231,6.77,1.0,77.914,1.0,331.515,0.0,1.398,1.0,102.084,1.0,0.480499963405,0.51814516129,4.629,1.0,2.966,0.790995,374.448,0.88172,,,6.706,7.67,84.344,331.515,1.505,101.642,3.416,2.808,2.800795
28,199804,NL-Loo,52.16658,5.74356,ENF,Temperate,5.25787,6.08748,-1.17688,0.28125,25.0066,0.289583,22.5345,0.289583,8.747,1.0,117.13,1.0,338.327,0.0,1.571,1.0,100.307,1.0,,,2.973,1.0,2.192,0.0,375.79,0.289583,,,8.71,9.616,127.869,338.327,1.706,99.895,3.553,2.192,4.08099
29,199805,NL-Loo,52.16658,5.74356,ENF,Temperate,7.19084,7.34508,-2.00323,0.994624,55.2829,1.0,57.0461,1.0,14.369,1.0,194.257,1.0,352.936,0.0,4.826,1.0,101.632,1.0,0.473467130465,0.847446236559,1.784,1.0,2.642,0.977151,377.167,1.0,,,14.55,15.7,206.406,352.936,5.206,101.179,1.415,2.088,5.187609999999999
30,199806,NL-Loo,52.16658,5.74356,ENF,Temperate,8.30879,8.14665,-1.81998,0.99375,51.6403,0.999306,32.4546,1.0,15.196,1.0,171.966,1.0,366.491,0.0,2.57,1.0,101.427,1.0,0.509521596189,0.885416666667,4.916,1.0,2.682,1.0,359.171,1.0,,,15.494,16.207,181.635,366.491,3.692,100.99,4.035,2.379,6.48881
31,199807,NL-Loo,52.16658,5.74356,ENF,Temperate,7.95899,8.6323,-3.06541,0.986559,49.0209,1.0,25.552,1.0,15.641,0.948925,167.204,0.948925,366.777,0.0,2.847,0.948925,101.248,1.0,0.496532324567,0.82123655914,1.991,0.947581,2.747,1.0,363.859,1.0,,,15.575,16.326,171.949,366.777,3.91,100.81,2.226,2.529,4.89358
32,199808,NL-Loo,52.16658,5.74356,ENF,Temperate,8.64288,8.67,-3.03769,0.942204,65.2492,1.0,36.2573,1.0,15.988,0.826613,180.959,0.827957,361.842,0.0,3.81,0.826613,101.787,1.0,0.432404143717,0.864247311828,2.161,0.81922,2.516,1.0,359.956,1.0,,,16.108,17.268,175.024,361.842,4.684,101.302,2.667,2.024,5.60519
33,199809,NL-Loo,52.16658,5.74356,ENF,Temperate,4.99963,4.51251,-0.176126,0.997222,37.2473,1.0,-7.36593,1.0,14.361,1.0,97.173,1.0,363.531,0.0,1.158,1.0,100.943,1.0,0.448303645819,0.818055555556,6.534,1.0,2.625,1.0,391.626,1.0,,,14.195,15.1,98.514,363.531,2.11,100.549,4.633,2.377,4.823504
34,199810,NL-Loo,52.16658,5.74356,ENF,Temperate,2.87698,2.40193,0.975107,0.104839,11.8058,0.15793,-21.226,0.151882,9.067,1.0,43.446,1.0,344.822,0.0,0.608,1.0,101.026,1.0,,,6.033,1.0,3.378,0.999328,417.047,0.157258,,,9.161,9.752,48.005,344.822,1.061,100.641,5.793,3.286,3.852087
35,199811,NL-Loo,52.16658,5.74356,ENF,Temperate,1.26044,1.34971,0.4759,0.972222,18.2192,0.994444,-18.9209,0.995833,2.929,0.855556,38.348,0.856944,312.406,0.0,0.243,0.855556,101.733,1.0,0.329248648931,0.709722222222,4.134,1.0,2.295,1.0,430.528,0.995833,,,3.062,3.82,32.286,312.406,0.318,101.303,3.204,2.115,1.73634
36,199812,NL-Loo,52.16658,5.74356,ENF,Temperate,0.912569,0.91661,0.981911,0.977823,28.2267,0.99328,-47.777,0.999328,3.729,0.90121,21.774,0.902554,318.422,0.206989,0.363,0.90121,101.806,1.0,0.571096018222,0.883064516129,2.805,0.982527,3.003,1.0,424.03,1.0,,,3.83,4.197,17.914,322.403,0.495,101.412,2.35,2.832,1.89448
37,199901,NL-Loo,52.16658,5.74356,ENF,Temperate,1.29352,1.23138,0.852268,0.487903,38.7622,0.488575,-64.7497,0.489919,4.566,1.0,29.893,1.0,310.079,1.0,0.574,1.0,101.261,1.0,,,3.129,1.0,2.922,1.0,416.564,0.489919,,,4.673,5.22,23.635,325.522,0.645,100.868,2.636,3.061,2.145788
