Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,RU-Che,68.61304,161.34143,WET,Arctic,2.08584,0.0745633,-2.12138,0.0,,0.0,,0.0,-38.162,0.0,1.067,0.0,159.165,0.0,0.067,0.0,102.009,0.0,,,0.112,0.0,1.928,0.0,,,0.0,,-38.162,,1.067,159.165,0.067,102.009,0.112,1.928,-0.03553999999999968
2,200202,RU-Che,68.61304,161.34143,WET,Arctic,2.08317,0.905623,-2.12814,0.0,,0.0,,0.0,-41.535,0.0,17.492,0.0,155.86,0.0,0.079,0.0,101.756,0.0,,,0.151,0.0,1.751,0.0,,,0.197867976129032,0.0112477569630668,-41.535,-40.8,17.492,155.86,0.079,101.756,0.151,1.751,-0.044970000000000176
3,200203,RU-Che,68.61304,161.34143,WET,Arctic,2.46308,2.48844,-2.11808,0.0,,0.0,,0.0,-14.213,0.0,70.046,0.0,217.515,0.0,0.712,0.0,101.214,0.0,,,0.134,0.0,3.475,0.0,,,0.0,,-14.213,-13.254,70.046,217.515,0.712,101.214,0.134,3.475,0.3450000000000002
4,200204,RU-Che,68.61304,161.34143,WET,Arctic,2.70935,4.31375,-2.12235,0.0,,0.0,,0.0,-9.777,0.0,170.25,0.0,223.778,0.0,1.06,0.0,101.704,0.0,,,0.19,0.0,2.945,0.0,,,0.0,,-9.777,-8.756,170.25,223.778,1.06,101.704,0.19,2.945,0.5870000000000002
5,200205,RU-Che,68.61304,161.34143,WET,Arctic,3.44752,5.79519,-2.12138,0.0,,0.0,,0.0,1.026,0.0,260.007,0.0,255.341,0.0,2.938,0.0,100.95,0.0,,,0.123,0.0,3.153,0.0,,,0.0,,1.026,1.548,260.007,255.341,2.938,100.95,0.123,3.153,1.32614
6,200206,RU-Che,68.61304,161.34143,WET,Arctic,4.47473,6.36964,-2.12235,0.0,,0.0,,0.0,11.23,0.0,270.718,0.0,301.502,0.0,6.062,0.0,100.892,0.0,,,0.197,0.0,2.963,0.0,,,0.0,,11.23,11.23,270.718,301.502,6.062,100.892,0.197,2.963,2.35238
7,200207,RU-Che,68.61304,161.34143,WET,Arctic,4.46129,5.07202,-2.0787,0.91129,,0.914651,,0.914651,12.686,0.914651,197.221,0.914651,335.036,0.914651,5.514,0.913978,100.643,0.913978,0.24822172619,0.903225806452,0.774,0.913978,2.99,0.0,357.424,0.914651,0.25277779,,12.757,12.887,192.711,327.318,5.617,100.661,0.653,2.99,2.38259
8,200208,RU-Che,68.61304,161.34143,WET,Arctic,3.30659,3.27514,-0.971366,0.879032,,0.980511,,0.979839,11.984,1.0,158.965,1.0,327.871,1.0,5.319,1.0,101.291,1.0,0.277147974308,0.708333333333,0.49,1.0,3.488,0.0,355.393,0.977823,0.300102202903226,0.142767036623953,11.641,12.36,158.534,317.263,5.293,101.344,0.433,3.488,2.335224
9,200209,RU-Che,68.61304,161.34143,WET,Arctic,0.313626,0.213675,0.795899,0.9875,,1.0,,0.998611,3.27,1.0,69.66,1.0,302.434,1.0,1.412,1.0,100.637,1.0,0.219233010411,0.894444444444,0.457,1.0,3.007,0.0,357.987,1.0,0.732327376666667,0.195885818791819,2.268,2.976,64.459,292.367,1.612,100.637,0.502,3.007,1.109525
10,200210,RU-Che,68.61304,161.34143,WET,Arctic,-0.0577145,0.0223059,0.356734,0.707661,,0.96707,,0.929435,-8.768,1.0,30.716,1.0,252.758,0.991263,0.522,1.0,102.295,1.0,,,0.0,1.0,2.74,0.0,360.713,0.848118,1.59638064516129,0.362899571985178,-9.388,-8.91,19.943,252.577,0.331,102.268,0.234,2.74,0.2990195
