Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,US-AR2,36.6358,-99.5975,GRA,Temperate,-0.158275,0.437248,1.19056,0.0,55.6272,0.0,14.4984,0.0,1.074,0.0,125.507,0.0,261.036,0.0,2.174,0.0,94.446,0.0,,,0.101,0.0,4.046,0.0,,,0.297548141290323,0.199959507102807,1.074,3.531,125.507,261.036,2.174,94.446,0.101,4.046,1.0322850000000001
2,200902,US-AR2,36.6358,-99.5975,GRA,Temperate,0.213517,0.50874,1.19271,0.0,55.2112,0.0,14.0762,0.0,6.153,0.0,170.795,0.0,274.196,0.0,4.104,0.0,94.307,0.0,,,0.371,0.0,4.383,0.0,,,0.352321721612903,0.210906627210575,6.153,8.476,170.795,274.196,4.104,94.307,0.371,4.383,1.406227
3,200903,US-AR2,36.6358,-99.5975,GRA,Temperate,0.577804,0.546036,1.20217,0.0,51.7239,0.0,13.1845,0.0,10.614,0.0,195.763,0.0,304.908,0.0,6.989,0.0,93.973,0.0,,,1.327,0.0,4.99,0.0,,,0.300234141333333,0.229893322790404,10.614,12.617,195.763,304.908,6.989,93.973,1.327,4.99,1.779974
4,200904,US-AR2,36.6358,-99.5975,GRA,Temperate,0.772546,0.600848,1.20924,0.05,57.4856,0.051389,14.0505,0.051389,13.286,0.0520833,239.2,0.0534722,323.389,0.0520833,5.379,0.0520833,93.804,0.0472222,,,3.558,0.0472222,5.176,0.0465278,,,0.298407258709677,0.200964811098458,13.268,15.216,238.563,323.557,5.38,93.805,3.704,5.134,1.981786
5,200905,US-AR2,36.6358,-99.5975,GRA,Temperate,1.45297,0.943059,0.187115,0.988575,44.7086,0.999328,34.5296,0.999328,18.101,1.0,246.664,1.0,358.577,1.0,7.81,1.0,94.119,1.0,0.272372042513,0.979166666667,1.342,1.0,4.25,1.0,386.778,1.0,0.300000011071429,0.208132572360107,18.741,20.407,269.35,354.808,9.025,94.068,0.579,4.01,1.640085
6,200906,US-AR2,36.6358,-99.5975,GRA,Temperate,3.04176,3.23538,-0.730631,0.994444,56.5879,1.0,31.6749,0.999306,25.477,1.0,281.382,0.994444,392.68,1.0,14.636,1.0,93.746,1.0,0.292783411173,0.9875,1.523,1.0,4.21,0.999306,379.814,1.0,0.328328118709677,0.202141003483479,25.839,27.272,282.744,395.452,16.135,93.71,1.792,4.024,2.311129
7,200907,US-AR2,36.6358,-99.5975,GRA,Temperate,1.87225,1.51849,0.0891034,0.981183,39.2916,0.998656,57.6414,1.0,27.265,1.0,289.198,0.99328,405.009,1.0,18.842,1.0,94.057,1.0,0.294577617835,0.984543010753,0.629,1.0,3.826,1.0,377.449,0.852151,0.432859680333333,0.196742146925982,27.042,28.447,281.625,402.333,18.717,94.047,1.206,3.556,1.9613534
8,200908,US-AR2,36.6358,-99.5975,GRA,Temperate,1.77231,1.72194,0.644516,0.360887,26.3871,0.413978,59.0586,0.658602,25.948,0.709005,273.351,0.711022,396.369,0.709005,14.924,0.709005,94.147,0.688172,0.383120431347,0.569892473118,0.626,0.688172,4.305,0.577285,374.129,0.0840054,0.903945216451613,0.255222710308507,26.049,27.602,266.192,400.731,15.648,94.132,0.548,3.955,2.416826
9,200909,US-AR2,36.6358,-99.5975,GRA,Temperate,2.56027,2.53742,-0.452771,0.9875,35.5423,0.993056,38.4769,0.993056,19.99,1.0,192.118,1.0,371.072,1.0,7.432,1.0,94.334,1.0,0.289713152236,0.802777777778,0.977,1.0,3.36,0.853472,377.994,0.993056,1.021586529,0.253572818793488,19.824,21.438,188.555,370.601,7.456,94.282,1.579,3.536,2.1074990000000002
10,200910,US-AR2,36.6358,-99.5975,GRA,Temperate,0.932149,0.50105,0.198106,0.987903,25.2396,0.99328,25.6474,0.99328,10.847,1.0,125.482,1.0,327.903,1.0,3.624,1.0,94.007,1.0,0.36210141756,0.797043010753,2.168,1.0,4.316,0.850806,386.526,0.99328,0.73842513516129,0.2255310872261,11.263,12.657,133.02,325.918,3.291,93.959,3.683,4.453,1.130255
