Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,US-ARc,35.54649,-98.04,GRA,Temperate,0.222979,0.0,0.892687,0.0,21.5341,0.0,50.9896,0.0,2.726,0.0,104.632,0.609543,279.57,0,0.404,0.0,96.985,0.0,,,3.617,0.0,3.784,0.0,,,0.239189897741935,0.162430205653525,2.726,4.087,104.823,279.57,0.404,96.985,3.617,3.784,1.115666
2,200502,US-ARc,35.54649,-98.04,GRA,Temperate,0.415795,0.0,0.879315,0.0,22.3906,0.0,54.1206,0.0,5.797,0.0,141.794,0.573661,289.512,0,1.208,0.0,96.785,0.0,,,2.711,0.0,3.591,0.0,,,0.765301034193548,0.303976849066169,5.797,7.681,142.083,289.512,1.208,96.785,2.711,3.591,1.29511
3,200503,US-ARc,35.54649,-98.04,GRA,Temperate,0.706441,0.391107,0.929837,0.835349,25.2356,0.874328,47.802,0.876344,9.343,0.877688,201.094,0.897849,285.765,0,4.694,0.877688,96.079,0.761425,0.452854399651,0.613575268817,1.016,0.761425,4.708,0.733871,387.892,0.876344,0.300000011,0.210001342462757,9.141,11.223,211.828,285.765,3.452,96.152,0.911,4.417,1.636278
4,200504,US-ARc,35.54649,-98.04,GRA,Temperate,3.37167,3.06052,-0.375496,0.988889,49.3802,0.99375,58.1802,0.995833,14.675,1.0,269.203,1.0,309.535,0,6.448,1.0,96.233,1.0,0.462711493985,0.76875,0.363,1.0,5.385,0.924306,365.94,0.995833,0.30000001,0.19957075106121,15.084,16.979,271.101,309.535,6.414,96.193,0.759,5.199,2.996174
5,200505,US-ARc,35.54649,-98.04,GRA,Temperate,6.66866,7.02579,-1.71322,0.968414,79.8676,0.995968,26.4863,0.997984,19.209,1.0,233.751,1.0,361.495,0,6.537,1.0,96.299,1.0,0.388853740704,0.703629032258,2.729,1.0,4.047,0.922043,372.368,0.994624,0.284770920714286,0.166766219553141,19.566,21.079,261.518,361.495,7.502,96.248,2.655,3.961,4.95544
6,200506,US-ARc,35.54649,-98.04,GRA,Temperate,9.34736,9.41022,-3.37941,0.979861,131.654,0.999306,20.698,0.999306,24.663,1.0,302.949,1.0,389.843,0,9.965,1.0,96.095,1.0,0.393086587529,0.778472222222,5.48,1.0,4.318,0.931944,371.501,0.999306,0.361578607096774,0.199531215074757,25.053,26.499,300.67,389.843,11.601,96.063,2.416,4.177,5.96795
7,200507,US-ARc,35.54649,-98.04,GRA,Temperate,10.2669,10.9657,-3.47006,0.97043,137.69,0.999328,20.5241,1.0,25.955,1.0,307.276,1.0,393.47,0,12.126,1.0,96.482,1.0,0.366840518471,0.661962365591,2.361,1.0,3.449,0.888441,368.23,1.0,0.744552272333333,0.303439696752576,25.908,27.495,297.467,393.47,12.761,96.417,1.79,3.341,6.7968399999999995
8,200508,US-ARc,35.54649,-98.04,GRA,Temperate,5.9427,6.43697,-0.196889,0.985215,100.422,0.995968,26.1584,0.997984,25.46,1.0,242.536,0.99664,402.422,0,9.953,1.0,96.39,1.0,0.328633423828,0.665322580645,5.126,1.0,2.972,0.914651,378.936,0.998656,1.36639356451613,0.463718199283852,24.975,26.368,243.571,402.422,9.539,96.354,4.337,2.683,5.745811000000001
9,200509,US-ARc,35.54649,-98.04,GRA,Temperate,5.4118,5.1026,-0.435782,0.96875,88.6856,0.998611,28.0487,0.999306,23.474,1.0,229.884,0.978472,375.115,0,9.862,1.0,96.545,1.0,0.400157227041,0.671527777778,1.357,1.0,3.39,0.93125,368.714,0.997917,1.82364945333333,0.56877488829083,23.167,24.972,224.78,375.115,9.969,96.51,4.725,3.496,4.976018000000001
10,200510,US-ARc,35.54649,-98.04,GRA,Temperate,1.79073,1.84566,1.16737,0.980511,39.7662,0.997312,35.3621,0.999328,15.837,1.0,173.355,1.0,326.611,0,5.777,1.0,96.665,1.0,0.424172018248,0.641129032258,1.106,1.0,3.56,0.938172,357.037,0.999328,1.94831989354839,0.554998592691498,15.047,16.878,167.279,326.611,4.806,96.653,1.411,3.743,2.9581
11,200511,US-ARc,35.54649,-98.04,GRA,Temperate,0.122099,0.389599,1.44444,0.961806,9.57752,0.997222,32.4188,0.998611,10.649,1.0,151.28,1.0,282.021,0,6.113,1.0,96.473,0.99375,0.474378322274,0.655555555556,0.107,1.0,4.403,0.961806,346.27,0.998611,1.50413406451613,0.474007437931024,10.441,12.234,140.56,282.021,4.755,96.518,0.021,4.642,1.566539
