Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,US-CRT,41.628495,-83.347086,CRO,Continental,-0.165316,0.0,0.733584,0.896505,9.58888,0.948925,-1.09696,0.981183,-5.489,1,73.164,1.0,275.206,1.0,1.012,1.0,99.832,0.360215,,,0.401,1.0,3.064,0.360215,394.142,0.948925,0.100155173709677,0.0677437223013433,-4.991,-4.19,73.102,291.484,1.139,99.88,1.025,3.054,0.568268
2,201102,US-CRT,41.628495,-83.347086,CRO,Continental,-0.0798633,0.0,0.355058,0.873512,17.0625,0.951637,-18.1706,0.953869,-2.972,1,112.408,0.995536,284.284,1.0,1.455,1.0,99.86,0.310268,,,1.778,1.0,3.93,0.310268,391.585,0.942708,0.436309213548387,0.246158080389273,-2.975,-1.975,115.131,295.321,1.33,99.885,3.037,4.041,0.2751947
3,201103,US-CRT,41.628495,-83.347086,CRO,Continental,-0.226296,0.0,1.08778,0.985215,50.0802,0.997312,30.5839,0.994624,2.154,1,147.739,1.0,302.535,1.0,1.974,1.0,100.085,0.684812,0.23441416868,0.643817204301,1.942,1.0,3.752,0.684812,396.257,0.99664,0.124457475333333,0.152956187422867,2.428,3.766,154.64,311.145,2.06,100.186,2.208,3.174,0.8614839999999999
4,201104,US-CRT,41.628495,-83.347086,CRO,Continental,-0.0452228,0.0,0.848888,0.979861,72.497,0.997222,20.7997,0.997222,8.829,1,145.075,1.0,340.106,1.0,3.112,1.0,99.283,0.520139,,,4.403,1.0,4.304,0.520139,392.97,0.995833,0.105032305290323,0.138603020178688,8.984,10.048,161.074,350.686,3.171,99.376,5.465,3.815,0.8036652
5,201105,US-CRT,41.628495,-83.347086,CRO,Continental,0.000381291,0.0,1.98837,0.901882,98.3771,0.990591,27.7785,0.99664,15.786,1,190.649,1.0,378.299,1.0,4.417,1.0,99.471,0.703629,0.232397641264,0.665994623656,4.58,1.0,3.212,0.703629,393.657,0.956317,0.1,0.0534497433580095,15.602,16.764,194.787,382.096,4.193,99.609,4.074,2.727,1.988751291
6,201106,US-CRT,41.628495,-83.347086,CRO,Continental,0.3982,0.475954,1.7781,0.979861,72.7889,0.994444,91.3384,0.998611,22.068,1,260.272,1.0,403.85,1.0,9.929,1.0,99.468,0.747222,0.249758396209,0.747222222222,0.389,1.0,3.195,0.747222,386.974,0.995139,0.169806238709677,0.11256627761216,21.249,22.608,261.533,390.252,8.234,99.641,1.577,2.61,2.1763
7,201107,US-CRT,41.628495,-83.347086,CRO,Continental,8.69563,9.04302,-3.69504,0.971102,145.434,0.99664,31.5749,0.997984,25.869,1,265.655,1.0,427.643,1.0,10.616,1.0,99.519,0.764113,0.236262431765,0.764112903226,3.482,1.0,2.203,0.764113,385.907,0.990591,0.294462663,0.156707546511183,26.203,27.677,269.092,417.212,13.153,99.677,0.854,1.99,5.000589999999999
8,201108,US-CRT,41.628495,-83.347086,CRO,Continental,15.2256,14.8683,-6.92843,0.980511,155.829,0.993952,6.39974,0.999328,21.853,1,233.937,1.0,403.986,1.0,5.812,1.0,99.361,0.790995,0.223412642143,0.790994623656,1.958,1.0,1.695,0.790995,389.794,0.990591,0.498704555483871,0.236226904060267,22.312,23.902,224.432,392.909,8.814,99.537,1.887,2.08,8.297170000000001
9,201109,US-CRT,41.628495,-83.347086,CRO,Continental,5.24688,5.50337,-0.208494,0.986806,90.6644,0.997917,13.1094,0.995139,17.359,1,146.397,1.0,385.368,1.0,3.481,1.0,99.602,0.846528,0.288995337363,0.846527777778,5.664,1.0,2.111,0.846528,392.747,0.997222,0.458274507333333,0.213242924276604,16.998,18.251,136.061,378.397,4.578,99.808,3.638,2.647,5.038386
10,201110,US-CRT,41.628495,-83.347086,CRO,Continental,-0.113063,0.0462961,1.85003,0.931452,58.072,0.989919,20.3116,0.99664,11.548,1,114.719,1.0,348.719,1.0,3.941,1.0,99.628,0.713038,0.273651758045,0.622983870968,2.737,1.0,2.538,0.713038,396.151,0.989247,0.833559674193548,0.373204312760967,11.443,12.911,112.388,344.143,3.508,99.803,2.717,2.893,1.7369670000000001
11,201111,US-CRT,41.628495,-83.347086,CRO,Continental,0.0657907,0.217916,1.04017,0.976389,60.4644,0.988194,-10.8037,0.997222,8.039,1,76.826,1.0,329.773,1.0,3.207,1.0,99.746,0.721528,0.29133011245,0.646527777778,4.369,1.0,4.094,0.721528,391.516,0.986806,2.28102159032258,0.710660607692025,7.636,8.675,73.288,331.63,2.729,99.904,4.074,3.845,1.1059607
12,201112,US-CRT,41.628495,-83.347086,CRO,Continental,0.130617,0.0270887,0.714377,0.993952,40.2855,0.998656,-9.68444,0.999328,2.136,1,51.315,1.0,307.638,1.0,1.473,1.0,100.095,0.684812,0.254294693792,0.609543010753,2.54,1.0,3.28,0.684812,398.172,0.997312,2.07533513333333,0.563715617420526,1.879,2.918,51.528,315.652,1.506,100.228,2.568,3.02,0.844994
13,201201,US-CRT,41.628495,-83.347086,CRO,Continental,0.116719,0.00293592,0.597855,0.984543,38.8106,0.988575,-9.71647,1.0,-0.376,1,64.189,1.0,294.252,1.0,1.523,1.0,99.556,0.714382,0.304550552896,0.686827956989,1.639,1.0,4.13,0.714382,397.348,0.989247,0.100000000064516,0.119889636348151,-0.105,1.108,64.781,306.181,1.499,99.697,1.855,3.759,0.714574
14,201202,US-CRT,41.628495,-83.347086,CRO,Continental,0.13869,0.357913,0.448146,0.984914,51.5452,0.993534,5.23498,0.999282,0.587,1,103.293,1.0,295.891,1.0,1.549,1.0,99.922,0.674569,0.257297407274,0.614224137931,1.323,1.0,3.48,0.674569,398.338,0.991379,0.388346384193548,0.236394402268205,0.516,1.854,111.763,301.839,1.631,100.118,0.913,3.066,0.586836
15,201203,US-CRT,41.628495,-83.347086,CRO,Continental,0.531895,0.114789,0.95352,0.988575,93.8727,0.995968,4.52003,0.99664,9.9,1,153.076,1.0,340.432,1.0,3.685,1.0,100.19,0.678763,0.268847161437,0.569892473118,3.474,1.0,3.674,0.679435,397.673,0.995296,0.363709915666667,0.288173788685141,9.892,11.113,157.838,347.669,3.076,99.965,2.544,3.358,1.4854150000000002
16,201204,US-CRT,41.628495,-83.347086,CRO,Continental,-0.743694,0.0,1.32289,0.988194,68.2055,0.999306,62.879,1.0,9.877,1,216.416,1.0,333.509,1.0,5.58,1.0,100.091,0.721528,0.280813796621,0.672916666667,1.16,1.0,3.719,0.721528,393.702,0.995833,0.324297127,0.279478979250692,9.838,11.423,214.222,329.454,4.864,99.836,1.503,3.193,0.5791959999999999
17,201205,US-CRT,41.628495,-83.347086,CRO,Continental,-0.74742,0.0,2.68105,0.936828,73.7173,0.989919,89.4579,0.995968,18.701,1,260.126,1.0,382.897,1.0,9.986,1.0,100.036,0.733199,0.253204664912,0.733198924731,1.925,1.0,3.072,0.733199,392.28,0.968414,0.100000000068966,0.141889089156298,19.009,20.554,261.278,376.222,9.176,99.797,1.078,2.474,1.93363
18,201206,US-CRT,41.628495,-83.347086,CRO,Continental,2.64917,2.54804,0.330883,0.9625,109.602,0.994444,65.0997,0.996528,22.52,1,293.891,1.0,401.178,1.0,13.067,1.0,99.917,0.84375,0.287129498209,0.84375,1.863,1.0,2.801,0.84375,380.817,0.990278,0.242170533870968,0.184206612665157,22.18,23.712,269.461,386.172,11.904,99.672,1.084,2.771,2.980053
