Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,20.707,0.0,16.5583,0.0,-9.621,0.0,97.043,0.0,198.868,0.0,1.581,0.0,68.591,0.0,,,2.193,0.0,4.638,0.0,,,0.277597532580645,0.227811847418936,-9.621,-7.332,97.043,198.868,1.581,68.591,2.193,4.638,
2,200402,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,26.9492,0.0,20.7196,0.0,-9.052,0.0,131.884,0.0,210.183,0.0,1.694,0.0,68.432,0.0,,,3.635,0.0,3.927,0.0,,,0.419414246129032,0.222072494006737,-9.052,-6.953,131.884,210.183,1.694,68.432,3.635,3.927,
3,200403,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,30.1386,0.0,24.1003,0.0,-3.103,0.0,205.466,0.0,221.186,0.0,2.509,0.0,68.992,0.0,,,2.969,0.0,5.259,0.0,,,0.29093389,0.209434871704007,-3.103,-0.652,205.466,221.186,2.509,68.992,2.969,5.259,
4,200404,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,44.3045,0.0,34.7628,0.0,-0.812,0.0,217.245,0.0,246.59,0.0,2.604,0.0,68.745,0.0,,,6.464,0.0,5.061,0.0,,,0.264201306666667,0.261509333356082,-0.812,0.864,217.245,246.59,2.604,68.745,6.464,5.061,
5,200405,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,44.4808,0.0,34.4811,0.0,4.045,0.0,283.216,0.0,250.837,0.0,4.578,0.0,68.784,0.0,,,2.302,0.0,5.705,0.0,,,0.265138868965517,0.284679111182789,4.045,5.581,283.216,250.837,4.578,68.784,2.302,5.705,
6,200406,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,41.6511,0.0,32.6808,0.0,7.364,0.0,278.249,0.0,266.764,0.0,5.576,0.0,69.235,0.0,,,3.886,0.0,4.236,0.0,,,0.243514843870968,0.17166947697184,7.364,9.03,278.249,266.764,5.576,69.235,3.886,4.236,
7,200407,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,38.6612,0.0,30.1264,0.0,9.689,0.0,263.294,0.0,282.91,0.0,6.058,0.0,69.533,0.0,,,4.985,0.0,3.478,0.0,,,0.242910197333333,0.171384318561733,9.689,11.447,263.294,282.91,6.058,69.533,4.985,3.478,
8,200408,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,34.2452,0.0,27.3841,0.0,8.01,0.0,236.246,0.0,270.897,0.0,5.401,0.0,69.536,0.0,,,3.884,0.0,3.629,0.0,,,0.382179887419355,0.178251290860532,8.01,9.937,236.246,270.897,5.401,69.536,3.884,3.629,
9,200409,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,30.417,0.0,23.8662,0.0,5.113,0.0,186.115,0.0,268.735,0.0,4.212,0.0,69.243,0.0,,,7.676,0.0,4.593,0.0,,,0.864919639666667,0.244118158302894,5.113,6.915,186.115,268.735,4.212,69.243,7.676,4.593,
10,200410,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,33.1517,0.390457,22.1447,0.390457,-0.165,0.754032,132.398,0.0,250.924,0.0,2.348,0.754032,68.824,0.0,,,4.537,0.0,5.224,0.75336,,,1.09636874516129,0.300978506389348,0.304,1.927,132.398,250.924,2.559,68.824,4.537,5.131,
11,200411,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,29.5989,0.627083,1.13187,0.626389,-5.007,1.0,95.338,0.0,226.332,0.0,2.032,1.0,68.973,0.0,0.819733943285,0.684722222222,3.434,0.0,4.494,1.0,,,1.13898255483871,0.307392714941075,-5.75,-3.917,95.338,226.332,1.726,68.973,3.434,3.846,
12,200412,US-GLE,41.36653,-106.2399,ENF,Continental,,,,,20.9162,0.516129,7.7572,0.516801,-8.247,1.0,85.156,0.000672043,208.241,0.0,1.282,1.0,68.8,0.0,1.22101110524,0.519489247312,2.481,0.0,7.228,1.0,,,0.719104769666667,0.246191453626123,-9.003,-7.028,85.156,208.241,1.491,68.8,2.481,4.975,
13,200501,US-GLE,41.36653,-106.2399,ENF,Continental,-1.09036,0.0,1.4458,0.0,22.555,0.982527,4.05522,0.982527,-6.541,1.0,95.892,0.633737,218.828,0.0,1.398,1.0,68.711,0.0,1.0080519747,0.954301075269,3.629,0.0,5.796,1.0,,,0.279196338064516,0.308771861341322,-7.287,-5.236,96.304,218.828,1.556,68.711,3.629,4.715,0.35544
