Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199101,US-Ha1,42.5378,-72.1715,DBF,Continental,0.542703,0.385199,0.700704,0.0,,0.0,,0.0,-1.672,0.0,65.599,0.583333,226.313,0,2.348,0.0,98.528,0.0,,,2.254,0.0,2.103,0.0,,,,,-1.672,-0.488,65.599,226.313,2.348,98.528,2.254,2.103,1.243407
2,199102,US-Ha1,42.5378,-72.1715,DBF,Continental,0.568622,0.625821,0.700826,0.0,,0.0,,0.0,-1.146,0.0,107.61,0.517857,215.642,0,2.522,0.0,98.534,0.0,,,1.464,0.0,1.77,0.0,,,,,-1.146,0.235,107.61,215.642,2.522,98.534,1.464,1.77,1.269448
3,199103,US-Ha1,42.5378,-72.1715,DBF,Continental,0.814198,0.806733,0.698848,0.0,,0.0,,0.0,3.71,0.0,139.567,0.475806,247.108,0,2.996,0.0,98.529,0.0,,,2.358,0.0,1.881,0.0,,,,,3.71,5.249,139.567,247.108,2.996,98.529,2.358,1.881,1.5130460000000001
4,199104,US-Ha1,42.5378,-72.1715,DBF,Continental,1.07825,0.959733,0.700103,0.0,,0.0,,0.0,9.161,0.0,166.468,0.406944,275.607,0,3.154,0.0,98.533,0.0,,,4.477,0.0,1.72,0.0,,,,,9.161,10.541,166.468,275.607,3.154,98.533,4.477,1.72,1.778353
5,199105,US-Ha1,42.5378,-72.1715,DBF,Continental,1.18254,0.955303,0.700704,0.0,,0.0,,0.0,11.399,0.0,165.538,0.356183,289.036,0,3.135,0.0,98.53,0.0,,,8.115,0.0,1.866,0.0,,,,,11.399,12.509,165.538,289.036,3.135,98.53,8.115,1.866,1.883244
6,199106,US-Ha1,42.5378,-72.1715,DBF,Continental,1.35825,1.11255,0.700103,0.0,,0.0,,0.0,15.238,0.0,193.024,0.333333,307.968,0,4.196,0.0,98.53,0.0,,,6.273,0.0,1.809,0.0,,,,,15.238,16.184,193.024,307.968,4.196,98.53,6.273,1.809,2.058353
7,199107,US-Ha1,42.5378,-72.1715,DBF,Continental,1.44383,1.14093,0.700756,0.0,,0.0,,0.0,17.195,0.0,198.051,0.333333,318.009,0,4.961,0.0,98.525,0.0,,,4.537,0.0,1.666,0.0,,,,,17.195,18.127,198.051,318.009,4.961,98.525,4.537,1.666,2.144586
8,199108,US-Ha1,42.5378,-72.1715,DBF,Continental,1.37251,1.16284,0.729666,0.0,,0.0,,0.0,16.254,0.0,202.435,0.391129,296.275,0,5.586,0.0,98.532,0.0,,,0.861,0.0,2.016,0.0,,,,,16.254,17.543,202.435,296.275,5.586,98.532,0.861,2.016,2.102176
9,199109,US-Ha1,42.5378,-72.1715,DBF,Continental,1.22872,0.965943,0.750126,0.0,,0.0,,0.0,13.518,0.0,167.603,0.441667,275.501,0,4.866,0.0,98.542,0.0,,,1.822,0.0,1.911,0.0,,,,,13.518,15.132,167.603,275.501,4.866,98.542,1.822,1.911,1.9788459999999999
10,199110,US-Ha1,42.5378,-72.1715,DBF,Continental,0.962286,0.712367,0.766493,0.233871,,0.0,,0.241935,7.697,0.245968,117.028,0.560484,249.207,0,3.107,0.244624,98.55,0.0,,,1.882,0.129032,2.101,0.107527,,,,,8.033,9.822,115.672,249.207,3.174,98.55,1.74,1.729,1.7287789999999998
11,199111,US-Ha1,42.5378,-72.1715,DBF,Continental,0.432705,0.645608,1.47818,0.959722,,0.0,,0.972222,4.158,0.981944,68.749,0.976389,238.241,0,1.772,0.976389,98.548,0.0,0.486394080155,0.766666666667,4.303,1.0,2.313,0.838889,,,,,3.774,5.37,77.883,238.241,2.681,98.548,1.795,1.546,1.910885
12,199112,US-Ha1,42.5378,-72.1715,DBF,Continental,0.076765,0.23476,1.21626,0.895161,,0.0,,0.908602,0.091,0.930108,57.46,0.930108,238.513,0,1.422,0.927419,98.529,0.0,0.54747582755,0.608870967742,3.061,1.0,2.526,0.681452,,,,,-0.015,0.977,51.496,238.513,2.321,98.529,3.405,2.156,1.2930249999999999
13,199201,US-Ha1,42.5378,-72.1715,DBF,Continental,0.0890908,0.0528112,0.929036,0.833333,,0.0,,0.860215,-1.689,0.869624,68.725,0.864247,235.919,0,1.297,0.862903,98.529,0.0,0.64754594043,0.536290322581,1.655,1.0,2.539,0.645161,,,,,-0.209,0.941,61.331,235.919,2.345,98.529,2.294,1.866,1.0181267999999999
14,199202,US-Ha1,42.5378,-72.1715,DBF,Continental,-0.0545354,0.135772,0.821307,0.935345,,0.0,,0.945402,-2.13,0.95977,89.055,0.949713,228.966,0,1.162,0.949713,98.52,0.0,0.614122944284,0.754310344828,1.993,1.0,2.745,0.813218,,,,,0.487,1.764,100.865,228.966,2.53,98.52,2.367,1.821,0.7667716
15,199203,US-Ha1,42.5378,-72.1715,DBF,Continental,0.495709,0.170535,1.16897,0.770161,,0.0,,0.818548,0.442,0.826613,134.605,0.822581,225.565,0,1.643,0.822581,98.526,0.0,0.644225041835,0.534946236559,3.558,1.0,2.413,0.620968,,,,,0.99,2.241,155.176,225.565,2.547,98.526,2.634,1.708,1.664679
16,199204,US-Ha1,42.5378,-72.1715,DBF,Continental,0.625962,0.717979,0.753473,0.809722,,0.329167,,0.888889,4.806,0.902778,170.962,0.897222,278.99,0,3.097,0.897222,98.53,0.0,0.597845119334,0.563888888889,2.68,1.0,2.479,0.675,,,,,9.399,10.763,162.529,278.99,3.097,98.53,5.729,2.08,1.379435
17,199205,US-Ha1,42.5378,-72.1715,DBF,Continental,3.09484,2.53628,0.392978,0.81586,,0.814516,,0.83871,11.396,0.84543,204.903,0.84543,282.242,0,4.549,0.842742,98.536,0.0,0.474288872067,0.590053763441,1.984,1.0,2.266,0.708333,,,,,10.403,11.383,190.538,282.242,3.044,98.536,6.504,1.769,3.487818
18,199206,US-Ha1,42.5378,-72.1715,DBF,Continental,9.30383,10.1259,-4.78083,0.808333,,0.804167,,0.8375,16.271,0.873611,234.609,0.861111,310.466,0,5.018,0.859722,98.229,0.559722,0.456141664651,0.634722222222,3.55,1.0,2.146,0.695833,,,,,14.676,15.622,182.245,310.466,3.94,98.53,6.762,1.76,4.523
19,199207,US-Ha1,42.5378,-72.1715,DBF,Continental,7.30463,9.35804,-3.15269,0.704301,,0.793011,,0.814516,20.316,0.844086,200.958,0.853495,309.556,0,4.38,0.837366,98.22,0.801075,,,3.89,1.0,1.959,0.547043,,,,,17.398,18.361,210.006,309.556,5.932,98.53,2.361,2.136,4.15194
20,199208,US-Ha1,42.5378,-72.1715,DBF,Continental,7.44513,8.42456,-3.19955,0.853495,,0.879032,,0.884409,20.231,0.900538,197.094,0.888441,297.733,0,4.076,0.888441,98.527,0.84543,0.366709410126,0.754032258065,4.932,1.0,2.027,0.806452,,,,,15.404,16.652,189.968,297.733,4.771,98.534,3.279,2.117,4.24558
21,199209,US-Ha1,42.5378,-72.1715,DBF,Continental,6.02236,6.09187,-2.39001,0.920833,,0.955556,,0.977778,16.72,0.968056,154.683,0.961111,266.606,0,2.72,0.961111,98.71,0.977778,0.426337885964,0.940277777778,2.293,1.0,2.153,0.968056,,,,,11.442,13.018,161.951,266.606,3.844,98.541,1.378,2.146,3.6323499999999997
22,199210,US-Ha1,42.5378,-72.1715,DBF,Continental,1.59545,1.57028,1.25494,0.939516,,0.966398,,0.971774,9.16,0.987903,116.398,0.96371,239.063,0,2.661,0.978495,98.4,0.977151,0.440220567811,0.875,2.245,1.0,2.216,0.926075,,,,,7.162,9.038,116.452,239.063,3.219,98.547,1.518,1.947,2.85039
23,199211,US-Ha1,42.5378,-72.1715,DBF,Continental,0.213726,0.180121,1.82786,0.8375,,0.841667,,0.851389,5.171,0.852778,64.273,0.848611,237.631,0,1.272,0.848611,98.627,0.695833,0.460537225551,0.569444444444,4.46,1.0,2.098,0.651389,,,,,5.392,7.348,79.535,237.631,2.985,98.55,0.815,1.702,2.041586
24,199212,US-Ha1,42.5378,-72.1715,DBF,Continental,-0.553785,0.040812,2.45815,0.903226,,0.913978,,0.920699,-0.426,0.930108,51.721,0.922043,244.322,0,1.008,0.920699,98.518,0.810484,0.52948733022,0.529569892473,2.845,1.0,2.25,0.649194,,,,,1.175,2.581,49.024,244.322,2.306,98.537,2.772,1.986,1.9043649999999999
25,199301,US-Ha1,42.5378,-72.1715,DBF,Continental,-0.878616,0.0445574,2.95545,0.880376,,0.895161,,0.905914,-3.215,0.908602,69.597,0.901882,217.592,0,1.244,0.900538,98.891,0.716398,0.601250214097,0.622311827957,2.139,1.0,2.316,0.725806,,,,,-2.088,-0.859,69.423,217.592,2.37,98.53,1.376,1.895,2.076834
26,199302,US-Ha1,42.5378,-72.1715,DBF,Continental,-0.734454,0.0992218,3.13149,0.860119,,0.86756,,0.90625,-3.952,0.891369,103.976,0.880952,240.851,0,1.334,0.880952,98.43,0.5625,0.561354772861,0.702380952381,2.239,1.0,2.716,0.754464,,,,,0.052,0.863,93.984,240.851,2.276,98.529,3.425,2.086,2.397036
27,199303,US-Ha1,42.5378,-72.1715,DBF,Continental,-0.345177,0.177461,1.66494,0.83871,,0.865591,,0.849462,0.711,0.924731,138.829,0.920699,244.108,0,1.891,0.919355,98.731,0.790323,,,5.174,1.0,2.445,0.557796,,,,,2.587,3.558,142.256,244.108,2.5,98.526,4.169,1.935,1.319763
28,199304,US-Ha1,42.5378,-72.1715,DBF,Continental,0.936502,1.16538,0.890734,0.863889,,0.665278,,0.888889,7.466,0.893056,175.595,0.908333,262.54,0,3.818,0.886111,98.981,0.869444,,,3.29,1.0,2.376,0.479167,368.047,0.898611,,,8.434,9.881,172.172,262.54,3.281,98.536,4.728,1.877,1.827236
29,199305,US-Ha1,42.5378,-72.1715,DBF,Continental,5.05167,4.61115,-0.266744,0.829301,,0.814516,,0.846774,12.851,0.861559,209.225,0.840054,288.721,0,3.948,0.850806,99.173,0.797043,0.498110370846,0.561827956989,0.916,1.0,2.183,0.721774,362.577,0.908602,,,10.897,11.869,175.371,288.721,3.246,98.535,6.285,2.101,4.784926
30,199306,US-Ha1,42.5378,-72.1715,DBF,Continental,9.9727,10.4825,-4.96399,0.955556,,0.965278,,0.979167,17.072,0.991667,257.131,0.983333,304.397,0,5.366,0.983333,99.445,0.980556,0.479493375877,0.931944444444,2.863,1.0,2.257,0.955556,357.357,0.970833,,,15.549,16.497,203.229,304.397,4.466,98.533,5.566,1.955,5.00871
31,199307,US-Ha1,42.5378,-72.1715,DBF,Continental,9.97452,10.7161,-5.68969,0.829301,,0.848118,,0.849462,18.949,0.858871,227.205,0.852151,312.403,0,5.968,0.638441,98.679,0.787634,0.39842881685,0.682795698925,5.006,1.0,1.971,0.740591,356.584,0.850806,,,17.235,18.085,199.675,312.403,5.772,98.528,2.275,1.903,4.28483
32,199308,US-Ha1,42.5378,-72.1715,DBF,Continental,9.21019,10.8706,-5.84477,0.501344,,0.362903,,0.778226,17.208,0.481183,217.862,0.836022,296.162,0,4.505,0.0,98.525,0.783602,,,3.458,1.0,2.014,0.248656,356.317,0.853495,,,15.146,16.341,186.062,296.162,4.505,98.534,3.088,1.92,3.365420000000001
33,199309,US-Ha1,42.5378,-72.1715,DBF,Continental,5.42653,7.49361,-2.24886,0.813889,,0.218056,,0.826389,13.688,0.219444,136.231,0.818056,272.75,0,4.41,0.0,98.397,0.701389,,,4.543,1.0,2.078,0.547222,361.413,0.831944,,,12.926,14.561,165.321,272.75,4.41,98.541,1.506,2.041,3.1776699999999996
34,199310,US-Ha1,42.5378,-72.1715,DBF,Continental,1.63295,2.3641,0.80735,0.961022,,0.0,,0.961022,6.509,0.0,122.485,0.965054,246.902,0,3.004,0.0,98.35,0.958333,0.554407773115,0.728494623656,3.265,1.0,2.305,0.788978,362.813,0.961022,,,6.509,7.982,106.38,246.902,3.004,98.555,2.454,1.742,2.4402999999999997
35,199311,US-Ha1,42.5378,-72.1715,DBF,Continental,-0.343698,0.380975,2.39719,0.926389,,0.0,,0.927778,3.008,0.0,72.332,0.918056,269.647,0,2.282,0.0,98.518,0.644444,0.576348124869,0.834722222222,3.9,1.0,2.477,0.854167,367.137,0.926389,,,3.008,3.689,49.606,269.647,2.282,98.539,5.106,1.904,2.0534920000000003
36,199312,US-Ha1,42.5378,-72.1715,DBF,Continental,0.365301,0.0576621,1.27763,0.892473,,0.0,,0.897849,-0.858,0.0,57.776,0.876344,230.822,0,2.327,0.0,98.469,0.670699,0.537604590582,0.711021505376,3.458,1.0,2.589,0.767473,370.649,0.892473,,,-0.858,0.262,54.721,230.822,2.327,98.543,2.507,2.106,1.642931
37,199401,US-Ha1,42.5378,-72.1715,DBF,Continental,0.0433308,9.07033e-05,0.97262,0.916667,,0.0,,0.94086,-1.719,0.0,71.26,0.916667,210.058,0,2.447,0.0,98.507,0.740591,0.653004634115,0.745967741935,4.735,1.0,2.676,0.81586,371.709,0.198925,,,-1.719,-0.348,71.792,210.058,2.447,98.529,1.876,2.023,1.0159508000000002
38,199402,US-Ha1,42.5378,-72.1715,DBF,Continental,-0.179947,0.000822679,1.14824,0.912202,,0.049107,,0.941964,-2.31,0.0491071,100.96,0.912202,221.687,0,2.25,0.0491071,98.514,0.818452,0.594442781291,0.842261904762,1.846,1.0,2.595,0.894345,364.771,0.0401786,,,-2.184,-1.186,95.327,221.687,2.272,98.516,2.762,2.198,0.968293
39,199403,US-Ha1,42.5378,-72.1715,DBF,Continental,0.352392,0.19167,1.41406,0.774194,,0.768817,,0.821237,2.009,0.775538,145.852,0.772849,249.838,0,2.138,0.772849,98.134,0.573925,0.601176379599,0.548387096774,5.071,1.0,2.406,0.634409,363.992,0.797043,,,5.229,6.769,145.196,249.838,2.991,98.533,2.442,1.9,1.7664520000000001
40,199404,US-Ha1,42.5378,-72.1715,DBF,Continental,1.09148,0.953058,1.74395,0.958333,,0.929167,,0.975,7.543,0.956944,179.133,0.952778,252.949,0,3.924,0.952778,98.466,0.923611,0.597005631339,0.838888888889,3.347,1.0,2.564,0.856944,367.467,0.970833,,,6.15,7.354,174.12,252.949,2.865,98.533,6.185,2.143,2.8354299999999997
41,199405,US-Ha1,42.5378,-72.1715,DBF,Continental,3.09658,3.23127,1.46843,0.96371,,0.979839,,0.989247,11.589,0.997312,222.3,0.990591,286.115,0,5.231,0.990591,97.789,0.982527,0.594817314651,0.962365591398,3.458,1.0,2.508,0.967742,366.1,0.991935,,,12.536,13.628,197.335,286.115,3.68,98.539,6.084,1.92,4.56501
42,199406,US-Ha1,42.5378,-72.1715,DBF,Continental,10.1523,10.791,-4.81398,0.9625,,0.972222,,0.976389,18.385,0.983333,232.922,0.979167,304.561,0,5.119,0.979167,97.973,0.981944,0.548134861718,0.890277777778,2.69,1.0,2.408,0.904167,363.551,0.977778,,,16.015,17.185,206.238,304.561,4.72,98.527,3.645,1.904,5.33832
43,199407,US-Ha1,42.5378,-72.1715,DBF,Continental,10.3633,11.0154,-5.8756,0.665323,,0.870968,,0.873656,20.885,0.946237,231.757,0.944892,305.778,0,3.906,0.944892,98.204,0.920699,0.350549900652,0.529569892473,5.632,1.0,1.807,0.629032,359.203,0.944892,,,17.352,18.265,221.228,305.778,5.272,98.523,2.796,1.88,4.4877
44,199408,US-Ha1,42.5378,-72.1715,DBF,Continental,8.68379,9.09191,-4.47858,0.887097,,0.981183,,0.981183,17.826,0.997312,190.182,0.978495,297.798,0,3.012,0.995968,98.366,0.995968,0.3780774838,0.861559139785,4.8,1.0,1.913,0.901882,353.893,0.995968,,,17.371,18.668,211.34,297.798,6.343,98.53,0.827,2.028,4.20521
45,199409,US-Ha1,42.5378,-72.1715,DBF,Continental,5.48029,5.926,-2.1785,0.902778,,0.920833,,0.920833,13.634,0.931944,154.229,0.929167,256.186,0,2.664,0.929167,98.039,0.8875,0.445273303221,0.798611111111,3.26,1.0,2.282,0.875,359.316,0.929167,,,10.723,12.295,169.995,256.186,4.173,98.546,1.535,2.298,3.30179
46,199410,US-Ha1,42.5378,-72.1715,DBF,Continental,1.18787,1.38531,1.13784,0.961022,,0.979839,,0.983871,9.285,0.991935,126.961,0.987903,249.752,0,3.399,0.987903,98.296,0.986559,0.395305503111,0.924731182796,1.29,1.0,2.015,0.981183,368.265,0.986559,,,7.723,9.39,110.072,249.752,3.139,98.553,1.702,1.745,2.32571
47,199411,US-Ha1,42.5378,-72.1715,DBF,Continental,0.467439,0.486931,2.29063,0.975,,0.973611,,0.975,5.491,0.975,82.455,0.975,272.671,0,2.922,0.975,98.176,0.906944,0.632786060472,0.918055555556,2.907,1.0,2.754,0.944444,370.281,0.975,,,5.889,6.993,51.859,272.671,2.494,98.541,4.243,2.158,2.7580690000000003
