Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,US-Ivo,68.4865,-155.7503,WET,Continental,-0.197489,0.0,0.417282,0.950269,1.03665,0.988575,-8.44534,0.952957,-27.109,1.0,2.153,1.0,184.949,1.0,0.337,1.0,96.176,0.992608,,,0.0,1.0,3.515,0.702285,362.476,0.958333,0.0,,-28.179,,1.779,181.322,0.315,95.602,0.089,3.378,0.219793
2,200402,US-Ivo,68.4865,-155.7503,WET,Continental,-0.106467,0.0,0.144954,0.730603,-0.0414581,0.85704,-1.09326,0.72342,-32.863,1.0,18.88,0.994971,184.937,1.0,0.131,1.0,94.99,0.989224,,,0.0,1.0,2.278,0.737069,357.4,0.735632,0.700598762903226,0.364216652586126,-27.81,-26.881,17.017,204.587,0.24,94.375,0.847,3.158,0.03848699999999999
3,200403,US-Ivo,68.4865,-155.7503,WET,Continental,-0.193006,0.0130528,0.414809,0.834005,-0.369391,0.920699,2.08216,0.891129,-25.969,1.0,100.537,0.956989,184.735,1.0,0.276,1.0,95.194,0.99328,0.259269745535,0.532930107527,0.0,1.0,3.08,0.971774,359.829,0.87836,0.0,,-25.298,-23.745,88.94,186.019,0.332,94.781,0.153,2.763,0.22180299999999997
4,200404,US-Ivo,68.4865,-155.7503,WET,Continental,-0.00363588,0.0272483,0.201595,0.909722,2.07704,0.970833,-4.00239,0.96875,-12.854,1.0,208.309,0.990278,207.16,1.0,0.853,1.0,95.055,0.995139,0.182957818834,0.8625,0.0,0.998611,2.336,0.965972,360.906,0.961111,0.0,,-9.084,-7.753,185.429,227.735,0.941,94.995,0.181,2.6,0.19795912
5,200405,US-Ivo,68.4865,-155.7503,WET,Continental,0.025582,0.178261,0.348627,0.932124,44.8906,0.997312,14.9855,0.998656,-0.038,1.0,248.04,0.987231,274.579,1.0,1.327,1.0,95.105,0.993952,0.167419150102,0.969758064516,1.652,1.0,2.537,0.551075,364.634,0.991935,0.0,,0.537,0.89,226.542,269.82,1.573,95.197,0.735,2.608,0.374209
6,200406,US-Ivo,68.4865,-155.7503,WET,Continental,2.22959,2.64336,-0.933628,0.997222,80.6611,1.0,43.1807,0.998611,11.922,1.0,281.502,1.0,292.363,1.0,5.178,1.0,95.322,0.991667,0.260206681037,0.99375,1.04,1.0,2.716,0.214583,363.334,0.999306,0.0,,10.903,11.006,275.866,292.418,3.714,95.491,0.962,2.642,1.2959619999999998
7,200407,US-Ivo,68.4865,-155.7503,WET,Continental,4.21922,4.82035,-1.9633,0.754032,46.7524,0.768817,22.5554,0.777554,13.192,0.777554,185.913,0.789651,320.663,0.789651,3.764,1.0,94.877,0.611559,0.308621754587,0.564516129032,4.345,0.788978,3.242,0.788978,351.888,0.768145,0.0033333333333333,,12.822,12.982,192.082,310.919,4.268,95.029,2.895,2.754,2.2559199999999997
8,200408,US-Ivo,68.4865,-155.7503,WET,Continental,2.68915,2.61882,-0.462734,0.129704,27.7543,0.129704,13.5449,0.129704,10.103,0.133737,144.712,0.133737,305.194,0.133737,0.318,1.0,95.381,0.12164,,,1.354,0.133065,2.941,0.133065,364.543,0.129704,0.381977339677419,0.253211522224321,9.957,10.638,141.579,304.348,2.86,95.396,1.237,2.8,2.2264160000000004
9,200409,US-Ivo,68.4865,-155.7503,WET,Continental,0.358304,0.265682,0.750992,0.959722,12.2369,0.991667,5.27553,0.988889,-2.973,0.993056,84.311,0.994444,265.245,0.99375,0.702,1.0,94.608,0.836806,0.267120224429,0.670833333333,0.703,0.989583,3.628,0.989583,367.796,0.992361,1.24108861866667,0.349475104767239,-3.642,-2.992,83.731,255.581,1.122,94.621,1.711,3.075,1.109296
10,200410,US-Ivo,68.4865,-155.7503,WET,Continental,-0.132241,0.0,0.638544,0.91129,1.63031,0.918683,-16.3232,0.926075,-9.96,1.0,35.949,0.997984,244.422,1.0,0.539,1.0,94.06,0.994624,0.186838508441,0.695564516129,0.0,1.0,3.283,0.946237,373.916,0.905914,1.78813133548387,0.466909748469806,-9.65,-9.321,26.615,249.452,0.449,94.061,0.602,3.357,0.506303
