Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,US-Los,46.0827,-89.9792,WET,Continental,0.990144,0.717313,0.630784,0.0,104.145,0.0,36.7272,0.0,-8.722,1.0,61.784,0.991935,244.178,0.0,1.137,1.0,96.096,0.999328,,,1.044,1.0,2.688,0.477151,376.922,1.0,,,-11.024,-9.976,58.435,244.178,0.246,96.014,0.981,2.769,1.6209280000000001
2,200002,US-Los,46.0827,-89.9792,WET,Continental,1.49131,1.02226,0.629555,0.0,117.732,0.0,39.828,0.0,-3.378,1.0,94.947,0.998563,261.865,0.0,1.565,1.0,95.964,1.0,,,1.625,1.0,2.749,0.689655,378.939,1.0,,0.226039141033712,-5.342,-3.917,93.132,261.865,0.801,95.952,1.277,2.724,2.120865
3,200003,US-Los,46.0827,-89.9792,WET,Continental,2.10376,1.3646,0.630784,0.0,110.852,0.0,39.0922,0.0,2.997,1.0,135.539,1.0,276.896,0.0,3.172,1.0,95.949,0.997984,,,1.215,1.0,2.741,0.550403,379.159,1.0,,0.172226989194635,-0.1,1.855,151.268,276.896,1.536,95.875,1.889,2.673,2.7345439999999996
4,200004,US-Los,46.0827,-89.9792,WET,Continental,2.21868,1.69062,0.63019,0.0,97.103,0.0,33.5705,0.0,4.345,1.0,181.084,1.0,289.551,0.0,4.106,1.0,95.911,1.0,,,2.042,1.0,2.969,1.0,377.518,1.0,,0.120714932113988,2.836,4.297,191.018,289.551,2.394,95.917,2.396,2.609,2.84887
5,200005,US-Los,46.0827,-89.9792,WET,Continental,2.96524,2.04567,0.623103,0.0,74.9457,0.0,25.4273,0.0,13.042,1.0,222.555,1.0,328.748,0.0,5.227,1.0,95.523,0.998656,,,1.65,1.0,2.589,0.995968,377.321,1.0,,0.178571428571429,12.176,13.373,228.845,328.748,4.826,95.466,1.848,2.586,3.588343
6,200006,US-Los,46.0827,-89.9792,WET,Continental,3.26826,2.03446,0.550064,0.0,67.0034,0.0,23.0312,0.0,15.338,1.0,221.412,0.997222,349.633,0.0,4.519,1.0,95.734,1.0,,,4.107,1.0,2.48,1.0,370.427,1.0,,0.175232932685783,15.08,16.145,237.557,349.633,4.92,95.648,4.964,2.68,3.818324
7,200007,US-Los,46.0827,-89.9792,WET,Continental,4.18662,2.11233,0.136771,0.0,78.9759,0.0,23.5963,0.0,18.476,1.0,231.081,1.0,363.44,0.0,4.943,1.0,96.087,1.0,,,4.364,1.0,2.097,0.995296,366.04,1.0,,0.17957851203173,17.89,18.993,232.301,363.44,5.412,95.943,3.196,2.222,4.323391
8,200008,US-Los,46.0827,-89.9792,WET,Continental,3.77604,1.9567,0.510415,0.0,51.2821,0.0,14.3465,0.0,18.258,1.0,212.502,1.0,361.569,0.0,4.578,1.0,96.348,1.0,,,1.505,1.0,2.058,1.0,368.846,1.0,,0.272553843138157,18.496,19.809,213.574,361.569,5.303,95.995,1.926,2.229,4.286455
9,200009,US-Los,46.0827,-89.9792,WET,Continental,2.38708,1.81723,0.948386,0.708333,38.2362,0.740278,13.496,0.74375,12.388,1.0,167.395,0.984722,329.384,0.0,4.304,1.0,96.743,1.0,0.334245961717,0.585416666667,0.284,1.0,2.58,0.993056,377.977,1.0,,0.412732365008934,13.35,14.541,166.479,329.384,5.208,95.852,1.885,2.932,3.3354660000000003
10,200010,US-Los,46.0827,-89.9792,WET,Continental,0.255744,1.99371,1.38406,0.910618,35.7323,0.96371,22.6928,0.963038,8.275,1.0,114.833,1.0,309.839,0.0,3.388,1.0,96.391,1.0,0.292963700898,0.782930107527,0.764,1.0,2.485,0.987231,391.693,1.0,,0.483899068227149,8.559,9.729,111.997,309.839,3.052,96.328,1.085,2.637,1.639804
11,200011,US-Los,46.0827,-89.9792,WET,Continental,-0.0303235,0.747533,0.801433,0.0673611,7.62785,0.059028,3.81441,0.065972,-0.995,1.0,52.794,1.0,290.47,0.0,0.998,1.0,95.645,0.988194,,,1.044,1.0,2.911,0.946528,378.98,1.0,,0.465146127324079,-1.141,-0.271,55.145,290.47,1.039,95.616,1.808,2.915,0.7711095
12,200012,US-Los,46.0827,-89.9792,WET,Continental,0.0110084,0.126962,0.24552,0.534274,2.07747,0.534946,9.92494,0.52957,-13.317,1.0,50.343,0.998656,245.662,0.0,0.363,1.0,96.219,0.991935,,,0.363,1.0,2.462,0.991935,377.879,1.0,,0.403582544386081,-13.316,-12.436,42.44,245.662,0.135,96.289,1.27,2.591,0.2565284
13,200101,US-Los,46.0827,-89.9792,WET,Continental,-0.0152743,0.000602208,0.319892,0.987231,1.65424,1.0,7.52767,1.0,-7.199,1.0,60.362,0.998656,263.295,0.0,0.523,1.0,95.721,1.0,0.294876928825,0.958333333333,1.009,1.0,2.789,0.975134,380.061,1.0,0.286054142258065,0.175925864005624,-7.091,-5.988,57.856,263.295,0.422,95.772,1.267,2.76,0.3046177
14,200102,US-Los,46.0827,-89.9792,WET,Continental,-0.0722859,4.85738e-06,0.353401,0.986607,2.40136,1.0,18.8999,0.994792,-11.287,1.0,101.198,1.0,241.142,0.0,0.511,1.0,96.099,1.0,0.30450641083,0.922619047619,0.818,1.0,2.865,0.947173,379.879,0.995536,0.733523366451613,0.244825704818209,-11.07,-10.044,95.683,241.142,0.343,96.092,1.377,2.858,0.2811151
15,200103,US-Los,46.0827,-89.9792,WET,Continental,-0.0604785,0.0189253,0.408602,0.991263,12.3344,1.0,30.5138,1.0,-3.638,1.0,163.059,1.0,259.148,0.0,0.703,1.0,95.843,1.0,0.277350140296,0.979838709677,0.596,1.0,2.697,1.0,379.651,1.0,0.491758965,0.182024405853236,-4.254,-2.274,153.565,259.148,1.21,95.864,0.909,2.533,0.34812350000000003
16,200104,US-Los,46.0827,-89.9792,WET,Continental,0.143408,0.854261,0.995465,0.975694,47.1132,0.999306,43.9544,0.999306,5.933,1.0,177.247,1.0,306.277,0.0,1.961,1.0,95.84,0.997917,0.37880107271,0.902083333333,3.818,1.0,3.149,1.0,386.886,1.0,0.439656376774194,0.167711559708004,5.483,7.004,177.131,306.277,2.843,95.727,4.479,3.003,1.138873
17,200105,US-Los,46.0827,-89.9792,WET,Continental,2.61284,2.58783,0.0102094,0.978495,63.4653,0.989247,46.486,0.988575,12.374,1.0,209.724,1.0,332.706,0.0,3.896,1.0,95.682,0.977823,0.323391567382,0.805779569892,2.836,1.0,2.693,1.0,385.784,1.0,0.59458876,0.121171713020109,11.459,12.66,214.917,332.706,4.073,95.637,3.653,2.515,2.6230493999999998
18,200106,US-Los,46.0827,-89.9792,WET,Continental,6.44381,6.57444,-2.03998,0.820139,88.3401,0.835417,34.4227,0.831944,16.819,1.0,227.622,1.0,356.768,0.0,4.591,1.0,95.942,0.894444,0.306152049753,0.995833333333,2.778,1.0,2.746,1.0,376.162,1.0,0.525314388064516,0.163883245004206,16.49,17.625,242.154,356.768,5.719,95.83,2.665,2.493,4.40383
19,200107,US-Los,46.0827,-89.9792,WET,Continental,7.42149,8.71181,-1.78802,0.581989,104.621,0.574597,32.6737,0.574597,19.053,1.0,242.352,1.0,366.505,0.0,6.843,1.0,96.072,0.860887,0.263194737515,0.90188172043,2.74,1.0,2.229,0.982527,377.406,1.0,0.591261369666667,0.15004805073201,19.817,21.064,258.817,366.505,7.988,95.949,1.351,2.077,5.633470000000001
20,200108,US-Los,46.0827,-89.9792,WET,Continental,6.37741,5.81882,-0.942661,0.96707,89.8025,1.0,23.5144,1.0,18.834,1.0,219.385,1.0,365.397,0.0,6.503,1.0,96.094,0.997312,0.26614258311,0.989919354839,1.663,1.0,2.32,1.0,384.328,1.0,1.71259644193548,0.320878687189686,19.944,21.246,221.597,365.397,7.276,95.934,1.504,2.185,5.434749
21,200109,US-Los,46.0827,-89.9792,WET,Continental,3.34152,3.58404,0.432626,0.94375,46.398,0.997917,32.3,0.997222,12.345,1.0,155.334,1.0,335.808,0.0,3.437,1.0,96.32,0.997917,0.262262204802,0.972222222222,2.085,1.0,2.284,0.997917,382.375,1.0,2.80667371666667,0.479010162504822,13.079,14.292,152.151,335.808,3.625,96.153,1.869,2.255,3.774146
22,200110,US-Los,46.0827,-89.9792,WET,Continental,0.29726,0.345102,1.16591,0.987231,26.5048,0.99664,24.1014,0.99664,5.879,1.0,104.72,1.0,304.795,0.0,2.444,1.0,95.685,0.999328,0.311978208501,0.930779569892,2.649,1.0,2.914,0.990591,380.493,1.0,5.23088081612903,0.57525314538564,6.336,7.54,103.498,304.795,2.374,95.603,1.996,3.131,1.46317
23,200111,US-Los,46.0827,-89.9792,WET,Continental,0.0826241,0.0702929,0.851633,0.99375,16.3162,1.0,9.74645,1.0,4.404,1.0,60.149,1.0,302.979,0.0,1.872,1.0,95.903,1.0,0.343093391887,0.9,1.902,1.0,2.834,0.999306,381.261,1.0,5.68621901290323,0.542513081240985,4.311,5.283,62.813,302.979,1.535,95.893,1.945,2.997,0.9342571
24,200112,US-Los,46.0827,-89.9792,WET,Continental,-0.00212502,0.0271864,0.433561,0.97043,5.05344,0.981183,2.98437,0.985215,-4.313,1.0,44.209,1.0,268.432,0.0,0.633,1.0,95.582,0.989919,0.348819977035,0.816532258065,1.271,1.0,3.075,0.985215,381.252,0.981183,2.02089428,0.408426043140225,-4.874,-3.911,45.213,268.432,0.475,95.53,1.365,3.073,0.43143598
25,200201,US-Los,46.0827,-89.9792,WET,Continental,-0.0150055,0.0134035,0.258647,0.998656,5.32118,1.0,14.6102,1.0,-5.933,1.0,57.297,1.0,260.786,0.0,0.819,1.0,95.488,0.999328,0.293024865591,1.0,0.371,1.0,2.61,1.0,380.393,1.0,0.23782304483871,0.146348135896945,-6.955,-5.786,59.454,260.786,0.451,95.498,0.622,2.641,0.2436415
26,200202,US-Los,46.0827,-89.9792,WET,Continental,-0.0165001,0.0347066,0.219339,0.945685,9.21021,0.978423,26.6773,0.979911,-4.748,1.0,95.369,1.0,260.205,0.0,1.075,1.0,95.634,1.0,0.367888020833,0.702380952381,1.65,1.0,3.377,0.982143,380.426,1.0,0.809208914516129,0.249394795125072,-5.584,-4.513,90.906,260.205,0.723,95.763,2.004,3.318,0.20283890000000002
27,200203,US-Los,46.0827,-89.9792,WET,Continental,-0.0480361,0.00473993,0.274599,0.983199,9.05349,0.991935,35.3977,0.991263,-7.281,1.0,151.671,0.969086,244.958,0.0,0.561,1.0,95.964,0.958333,0.2998125,0.967741935484,2.847,1.0,2.966,0.979839,380.2,1.0,0.559020729333333,0.232424991879869,-7.382,-5.75,155.386,244.958,0.954,95.975,2.336,2.869,0.22656289999999998
28,200204,US-Los,46.0827,-89.9792,WET,Continental,0.092883,0.00925772,0.728793,0.969444,32.4433,1.0,49.0221,1.0,3.585,1.0,196.521,1.0,296.708,0.0,0.888,1.0,95.951,0.999306,0.349525518049,0.923611111111,7.526,1.0,2.984,0.976389,380.998,1.0,0.45049528516129,,3.252,4.738,185.056,296.708,2.239,95.862,3.925,2.791,0.8216760000000001
29,200205,US-Los,46.0827,-89.9792,WET,Continental,0.540425,0.834258,0.968606,0.994624,50.792,0.999328,67.4119,0.997984,8.754,1.0,254.534,1.0,305.566,0.0,3.317,1.0,95.983,1.0,0.376581362007,0.996639784946,5.403,1.0,3.219,0.995968,380.766,1.0,0.2941832525,0.127804746157331,7.914,9.119,244.165,305.566,3.962,95.888,2.629,2.741,1.509031
30,200206,US-Los,46.0827,-89.9792,WET,Continental,6.15631,5.95103,-1.77375,0.972917,84.2071,0.997222,31.2572,0.996528,17.401,1.0,243.333,1.0,363.139,0.0,4.24,1.0,95.934,0.984722,0.310354344315,0.991666666667,2.479,1.0,2.661,0.997222,380.344,1.0,0.523405782903226,0.139298795034701,17.436,18.473,239.621,363.139,5.974,95.775,4.441,2.48,4.382560000000001
31,200207,US-Los,46.0827,-89.9792,WET,Continental,7.98463,8.64326,-1.97059,0.924059,111.047,0.965054,21.4891,0.965054,20.954,1.0,283.952,0.995968,376.739,0.0,7.345,1.0,96.158,1.0,0.253789021297,0.832661290323,3.51,1.0,2.152,0.954973,382.386,1.0,0.497187201333333,0.150323563702906,21.342,22.529,250.723,376.739,7.746,95.968,2.794,2.067,6.01404
32,200208,US-Los,46.0827,-89.9792,WET,Continental,6.1996,6.63881,-1.38297,0.982527,92.5149,0.997984,21.9472,0.995968,17.989,1.0,249.424,1.0,361.772,0.0,2.932,1.0,96.25,1.0,0.278150243976,0.968413978495,2.497,1.0,2.416,0.995968,382.288,1.0,0.945668467419355,0.209723850520703,18.881,20.135,218.021,361.772,6.236,96.083,2.663,2.282,4.81663
33,200209,US-Los,46.0827,-89.9792,WET,Continental,2.2896,2.33687,0.249383,0.866667,44.2555,0.957639,18.2097,0.961111,14.388,1.0,157.354,0.988889,348.849,0.0,3.685,1.0,95.976,0.868056,0.272463273045,0.782638888889,4.575,1.0,2.343,0.994444,384.029,1.0,3.98268151333333,0.482475129641295,15.563,16.742,152.217,348.849,4.871,95.825,3.559,2.52,2.538983
34,200210,US-Los,46.0827,-89.9792,WET,Continental,0.356905,0.323221,0.179685,0.984543,10.6818,0.993952,36.3039,0.994624,3.038,1.0,97.661,1.0,298.729,0.0,0.765,1.0,96.152,1.0,0.290195630495,0.906586021505,2.669,1.0,2.525,0.982527,380.095,1.0,5.4811391483871,0.626021110159002,2.761,3.687,91.933,298.729,1.591,96.102,2.974,2.515,0.53659
35,200211,US-Los,46.0827,-89.9792,WET,Continental,0.0176699,0.0361176,0.349215,0.993056,6.9012,0.998611,18.3347,0.997917,-2.457,1.0,60.377,1.0,269.983,0.0,0.703,1.0,95.649,0.966667,0.297214457071,0.997222222222,0.354,1.0,2.599,1.0,380.805,1.0,5.11192742580645,0.582216703636145,-2.549,-1.458,68.397,269.983,0.999,95.62,0.707,2.698,0.3668849
36,200212,US-Los,46.0827,-89.9792,WET,Continental,-0.0242533,0.0118304,0.25245,0.987231,2.42442,0.999328,9.24312,0.999328,-5.838,1.0,52.151,1.0,260.759,0.0,0.703,1.0,95.619,0.989919,0.329932857858,0.952284946237,0.512,1.0,2.954,0.986559,378.167,0.990591,3.79224992666667,0.449779198351301,-6.414,-5.317,48.24,260.759,0.407,95.576,0.681,3.119,0.2281967
37,200301,US-Los,46.0827,-89.9792,WET,Continental,-0.0402353,0.000303769,0.151251,0.982527,1.89946,1.0,16.6445,1.0,-12.318,1.0,67.523,1.0,232.923,0.0,0.7,1.0,96.029,1.0,0.335692204301,1.0,0.176,1.0,2.948,0.999328,384.385,1.0,0.486876118709677,,-12.49,-11.491,63.11,232.923,0.3,95.966,0.619,3.038,0.1110157
38,200302,US-Los,46.0827,-89.9792,WET,Continental,-0.0501571,0.00192198,0.148782,0.995536,2.93801,0.998512,29.1486,0.999256,-12.42,1.0,117.376,0.970238,228.5,0.0,0.666,1.0,95.77,1.0,0.308576505735,0.994791666667,0.609,1.0,2.933,1.0,383.705,1.0,0.765047158709677,0.259397590940161,-12.687,-11.215,109.416,228.5,0.406,95.761,0.727,2.855,0.09862489999999999
39,200303,US-Los,46.0827,-89.9792,WET,Continental,-0.0295132,0.00651003,0.31564,0.997312,8.89026,1.0,42.6535,1.0,-3.855,1.0,149.17,0.984543,266.02,0.0,0.643,1.0,95.528,0.971102,0.323215732833,0.965725806452,1.303,1.0,2.87,0.979839,384.457,1.0,0.505873066,0.182487717914713,-4.801,-3.18,145.791,266.02,1.188,95.5,1.784,2.708,0.28612679999999996
40,200304,US-Los,46.0827,-89.9792,WET,Continental,-0.00491138,0.185742,0.694423,0.961806,32.6344,0.990972,69.378,0.995833,3.735,1.0,193.928,1.0,290.016,0.0,1.846,1.0,95.889,0.968056,0.350999733129,0.877083333333,2.562,1.0,3.007,0.952778,384.109,1.0,0.26712372516129,0.0071527729196175,2.795,4.427,192.691,290.016,2.8,95.911,3.695,2.793,0.68951162
41,200305,US-Los,46.0827,-89.9792,WET,Continental,1.44198,0.944029,0.823383,0.901882,55.03,0.97043,52.73,0.971774,10.761,1.0,230.293,1.0,314.237,0.0,3.561,1.0,95.884,0.817204,0.303721102054,0.971774193548,4.698,1.0,2.776,1.0,389.081,1.0,0.279389917142857,0.180710373827856,9.827,11.248,226.143,314.237,4.354,95.853,4.182,2.54,2.265363
42,200306,US-Los,46.0827,-89.9792,WET,Continental,5.03355,5.28618,-1.44541,0.984028,74.9127,1.0,45.5222,1.0,15.794,1.0,240.643,1.0,347.885,0.0,4.985,1.0,95.866,1.0,0.243801994681,0.988888888889,2.309,1.0,2.057,1.0,380.902,1.0,0.554922042903226,0.212787078095411,15.477,16.713,243.366,347.885,5.489,95.736,2.924,2.103,3.58814
43,200307,US-Los,46.0827,-89.9792,WET,Continental,7.50003,7.49368,-2.29313,0.929435,100.634,0.989247,31.7345,0.990591,18.098,1.0,250.526,1.0,362.489,0.0,5.994,1.0,95.942,0.879032,0.267127845685,0.962365591398,2.859,1.0,2.303,0.99328,369.746,1.0,0.806084658333333,0.202549209128752,18.97,20.235,253.557,362.489,7.39,95.774,2.191,2.284,5.206899999999999
44,200308,US-Los,46.0827,-89.9792,WET,Continental,6.27083,6.33539,-1.64594,0.954973,82.9417,0.99328,40.9139,0.993952,18.714,1.0,225.275,1.0,366.568,0.0,5.895,1.0,96.298,1.0,0.252953478233,0.822580645161,0.887,1.0,2.105,1.0,376.601,1.0,1.07406908774194,0.241049616752787,20.055,21.381,226.296,366.568,7.05,96.117,1.345,2.09,4.624890000000001
45,200309,US-Los,46.0827,-89.9792,WET,Continental,3.33092,3.25206,0.250143,0.984028,50.194,0.997917,23.6485,0.999306,13.589,1.0,160.374,1.0,343.069,0.0,2.485,1.0,95.959,0.967361,0.338527804374,0.979166666667,1.658,1.0,2.862,1.0,390.325,1.0,2.36487716333333,0.474762859629468,14.263,15.304,151.197,343.069,5.199,95.809,2.197,2.866,3.581063
46,200310,US-Los,46.0827,-89.9792,WET,Continental,0.270886,0.338909,1.06053,0.96371,16.589,0.971774,36.0079,0.971774,6.233,1.0,108.398,1.0,306.986,0.0,1.254,1.0,95.704,1.0,0.299985480077,0.972446236559,1.446,1.0,2.568,1.0,385.778,1.0,4.79180627741935,0.619469154526238,6.129,7.299,108.035,306.986,2.499,95.628,1.349,2.634,1.331416
47,200311,US-Los,46.0827,-89.9792,WET,Continental,-0.00386069,0.0695735,0.47335,0.603472,5.45007,0.736806,11.3144,0.736111,-1.747,1.0,52.673,1.0,280.572,0.0,0.598,1.0,95.771,1.0,0.322726517237,0.827777777778,1.454,1.0,2.793,0.968056,385.306,1.0,5.49481531612903,0.572155953556466,-1.818,-0.805,55.739,280.572,1.021,95.725,2.156,3.095,0.46948931
48,200312,US-Los,46.0827,-89.9792,WET,Continental,-0.0308728,0.0178125,0.291165,0.785618,4.96875,0.803763,0.925179,0.802419,-5.896,1.0,44.845,0.998656,266.862,0.0,0.5,1.0,95.87,0.766801,0.316991050059,0.974462365591,1.197,1.0,2.803,0.991935,386.78,1.0,3.6984179,0.451623695253653,-4.887,-4.096,48.28,266.862,0.686,95.769,1.208,2.934,0.26029220000000003
49,200401,US-Los,46.0827,-89.9792,WET,Continental,-0.0430961,0.000451819,0.171129,0.993952,1.95398,1.0,24.7848,0.999328,-14.214,1.0,57.771,1.0,235.855,0.0,0.373,1.0,96.158,1.0,0.304149312758,0.988575268817,0.729,1.0,2.585,0.995296,384.79,0.994624,0.140174976129032,0.37850381122353,-14.018,-13.082,58.256,235.855,0.252,96.001,0.99,2.784,0.1280329
50,200402,US-Los,46.0827,-89.9792,WET,Continental,-0.051704,0.000130613,0.175171,0.956178,5.90805,0.99569,17.3756,0.99569,-6.793,1.0,95.942,1.0,257.672,0.0,0.5,1.0,96.197,0.966236,0.2816213859,0.775862068966,1.669,1.0,2.658,1.0,386.988,1.0,0.870124333870968,0.280984145493562,-6.538,-4.998,97.034,257.672,0.894,96.129,1.366,2.673,0.123467
51,200403,US-Los,46.0827,-89.9792,WET,Continental,-0.00107961,0.0,0.30101,0.987903,6.70086,0.999328,31.6924,1.0,-1.642,1.0,117.864,1.0,277.131,0.0,0.783,1.0,95.969,0.936156,0.329034295763,0.895161290323,1.935,1.0,3.125,0.943548,388.03,1.0,0.528313361,0.247385327539737,-1.674,-0.096,138.331,277.131,1.274,95.91,2.04,2.913,0.29993039
52,200404,US-Los,46.0827,-89.9792,WET,Continental,0.0852716,0.00469198,0.617828,0.977778,25.4868,1.0,68.6825,1.0,4.313,1.0,180.867,1.0,290.084,0.0,3.589,1.0,95.917,1.0,0.31837951812,0.955555555556,3.103,1.0,2.811,0.992361,385.537,1.0,0.566845255333333,0.431625041299917,4.015,5.43,202.094,290.084,2.939,95.807,2.612,2.494,0.7030996
53,200405,US-Los,46.0827,-89.9792,WET,Continental,0.9266,0.569732,0.893366,0.976478,23.7325,0.997312,67.6731,0.999328,9.912,1.0,196.163,1.0,321.781,0.0,5.591,1.0,95.767,1.0,0.365796388894,0.920698924731,3.256,1.0,3.133,0.974462,387.309,1.0,0.100000000068966,0.159153280403118,9.42,10.55,219.679,321.781,3.475,95.683,3.665,2.78,1.819966
