Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,US-Me5,44.43719,-121.56676,ENF,Temperate,2.18917,1.1261,-1.33615,0.0,31.2982,0.0,61.8553,0.0,-1.579,1,49.869,1,278.929,0,0.839,1,88.122,1.0,,,3.271,1.0,1.068,1.0,,,,,-0.343,0.824,46.389,278.929,1.921,87.989,3.476,1.461,0.8530199999999999
2,200002,US-Me5,44.43719,-121.56676,ENF,Temperate,1.45755,1.54921,-0.433784,0.0,12.3828,0.0,6.22123,0.0,0.811,1,74.881,1,285.02,0,0.959,1,87.871,1.0,,,2.876,1.0,0.951,1.0,,,,0.263511678079068,1.568,3.298,71.81,285.02,2.249,87.731,2.24,1.105,1.023766
3,200003,US-Me5,44.43719,-121.56676,ENF,Temperate,2.538,2.57384,-1.38275,0.0611559,27.2799,0.054435,63.1523,0.057796,2.376,1,159.935,1,274.373,0,2.578,1,88.217,1.0,,,0.884,1.0,1.213,1.0,,,,0.298376036779053,1.627,3.748,146.188,274.373,3.022,88.134,1.169,1.018,1.1552499999999999
4,200004,US-Me5,44.43719,-121.56676,ENF,Temperate,3.56994,3.36288,-1.96226,0.945139,53.5535,0.953472,82.7953,0.953472,7.271,1,211.082,1,289.252,0,4.343,1,88.074,1.0,0.405206660308,0.829166666667,0.693,1.0,1.435,0.997917,360.242,0.895139,,0.331452815730161,7.321,9.26,202.48,289.252,4.579,88.082,0.906,0.923,1.60768
5,200005,US-Me5,44.43719,-121.56676,ENF,Temperate,4.35089,4.59092,-2.01979,0.950941,64.525,0.999328,98.0449,0.997984,8.701,1,248.526,1,301.53,0,4.665,1,87.933,1.0,0.523695766611,0.752016129032,0.59,1.0,1.719,0.999328,361.322,0.786962,,0.20701250435975,9.29,10.804,226.978,301.53,5.573,87.988,1.124,1.103,2.3310999999999997
6,200006,US-Me5,44.43719,-121.56676,ENF,Temperate,4.93337,5.42049,-1.17927,0.875,82.4599,0.998611,108.409,1.0,14.836,1,298.619,1,306.708,0,10.463,1,88.109,1.0,0.388990079365,0.7,0.347,1.0,1.495,0.999306,357.888,0.884028,,0.2111862564607,14.791,16.532,284.548,306.708,10.187,88.147,0.553,1.051,3.7541
7,200007,US-Me5,44.43719,-121.56676,ENF,Temperate,4.43262,4.86033,-1.11442,0.982527,71.2725,1.0,111.286,1.0,16.887,1,291.997,1,314.318,0,11.029,1,88.113,1.0,0.379253860673,0.999327956989,0.152,1.0,1.253,0.998656,348.592,0.995968,,0.241528660332751,16.592,18.578,288.447,314.318,10.687,88.184,0.094,0.885,3.3182
8,200008,US-Me5,44.43719,-121.56676,ENF,Temperate,3.15831,3.32685,-0.97138,0.976478,45.2218,1.0,120.465,1.0,17.684,1,288.402,1,305.03,0,12.858,1,88.049,1.0,0.408398198925,0.79502688172,0.0,1.0,1.264,0.999328,343.818,0.983199,,0.246032895562832,16.798,19.064,264.068,305.03,11.658,88.152,0.045,0.842,2.1869300000000003
9,200009,US-Me5,44.43719,-121.56676,ENF,Temperate,2.06414,2.32938,-0.734314,0.947917,22.8767,0.997917,88.1959,0.997917,13.197,1,198.744,1,305.103,0,8.007,1,88.059,1.0,0.340172272727,0.717361111111,0.043,1.0,1.171,1.0,344.819,0.959028,,0.258470919817445,12.959,15.161,179.378,305.103,7.582,88.113,0.364,0.909,1.3298260000000002
10,200010,US-Me5,44.43719,-121.56676,ENF,Temperate,1.87378,1.84314,-0.310121,0.978495,26.4184,0.99664,41.6249,0.99664,7.453,1,127.778,1,290.917,0,4.106,1,87.951,1.0,0.312088655345,0.973790322581,0.981,1.0,0.988,0.993952,355.461,0.993952,,0.263039469564444,8.09,10.007,109.849,290.917,4.712,87.987,1.049,0.972,1.563659
11,200011,US-Me5,44.43719,-121.56676,ENF,Temperate,0.839302,1.00659,0.0617102,0.99375,20.2385,1.0,13.6075,0.999306,-0.509,1,67.021,1,268.133,0,1.273,1,88.249,1.0,0.273424128803,0.945833333333,0.993,1.0,0.868,0.952778,364.579,0.676389,,0.258407885468726,0.765,2.63,64.862,268.133,2.455,88.186,1.096,0.974,0.9010122
12,200012,US-Me5,44.43719,-121.56676,ENF,Temperate,0.599618,0.376021,0.209257,0.982527,6.93267,0.47379,4.06086,0.772849,-0.358,1,46.502,1,276.075,0,1.294,1,88.191,1.0,0.300121340313,0.858198924731,1.729,1.0,0.87,0.979839,367.607,0.182124,,0.247279194148597,0.406,2.203,46.311,276.075,2.309,88.233,1.432,1.192,0.808875
13,200101,US-Me5,44.43719,-121.56676,ENF,Temperate,0.449801,0.514629,0.10009,0.985887,11.9508,0.993952,0.525108,0.993952,-0.117,1,50.702,1,269.939,0,1.562,1,88.163,1.0,0.254731888836,0.92876344086,0.684,1.0,0.777,0.989247,363.825,0.993952,0.26299898483871,0.295941213288248,0.065,1.817,57.419,269.939,2.671,88.163,0.759,1.123,0.549891
14,200102,US-Me5,44.43719,-121.56676,ENF,Temperate,0.700643,0.490491,-0.104586,0.986607,18.446,1.0,21.7302,1.0,-0.636,1,87.26,1,259.024,0,1.504,1,87.885,1.0,0.306115187547,0.947172619048,1.321,1.0,0.885,0.980655,370.625,0.997768,1.77964192580645,0.258409073677104,-0.377,1.901,99.723,259.024,2.531,87.885,0.901,0.956,0.5960570000000001
15,200103,US-Me5,44.43719,-121.56676,ENF,Temperate,1.47536,1.33574,-0.579953,0.983199,38.4222,1.0,50.3943,1.0,3.898,1,146.581,1,280.272,0,2.75,1,88.071,1.0,0.392573969493,0.995967741935,0.919,1.0,1.266,0.993952,369.131,0.991935,1.15866275666667,0.270609409848948,2.845,4.958,140.394,280.272,2.905,88.084,1.187,1.055,0.895407
16,200104,US-Me5,44.43719,-121.56676,ENF,Temperate,2.00107,1.92302,-1.13469,0.863194,42.9486,0.888889,82.5781,0.888889,3.726,1,186.758,1,288.022,0,3.005,1,87.864,1.0,0.443338815789,0.633333333333,0.973,1.0,1.417,0.996528,367.142,0.872917,1.11618399516129,0.239970214700604,3.897,5.544,183.084,288.022,3.537,87.921,1.443,1.066,0.8663799999999999
17,200105,US-Me5,44.43719,-121.56676,ENF,Temperate,4.08456,3.98886,-1.4993,0.8125,70.4222,0.997984,117.264,0.997984,12.317,1,276.609,1,289.99,0,9.719,1,88.231,1.0,,,0.394,1.0,1.37,0.999328,364.341,0.835349,0.444008192857143,0.312931228411404,11.538,13.639,270.841,289.99,8.347,88.237,0.584,0.956,2.58526
18,200106,US-Me5,44.43719,-121.56676,ENF,Temperate,5.11053,5.05959,-1.59935,0.988889,73.1473,1.0,107.499,1.0,11.778,1,257.043,1,305.527,0,6.91,1,88.102,1.0,0.410881827726,0.990972222222,0.887,1.0,1.361,1.0,360.9,0.997222,0.972462845483871,0.231062017740131,11.934,13.399,254.018,305.527,7.196,88.144,0.869,0.973,3.5111799999999995
19,200107,US-Me5,44.43719,-121.56676,ENF,Temperate,3.91161,4.04335,-0.305284,0.992608,71.6855,1.0,113.864,1.0,17.272,1,268.953,1,315.156,0,12.151,1,88.082,1.0,0.352289112903,0.98252688172,0.394,1.0,1.112,1.0,356.736,0.999328,1.14705159333333,0.224980038486183,16.421,18.327,280.498,315.156,10.476,88.148,0.294,0.84,3.606326
20,200108,US-Me5,44.43719,-121.56676,ENF,Temperate,2.3324,2.27292,0.174584,0.988575,47.2028,1.0,127.383,1.0,18.99,1,254.804,1,324.705,0,13.825,1,88.095,1.0,0.362985788249,0.997983870968,0.181,1.0,1.138,0.999328,354.938,0.998656,1.48125009677419,0.242557075536951,18.204,20.42,250.831,324.705,11.696,88.141,0.172,0.817,2.5069839999999997
21,200109,US-Me5,44.43719,-121.56676,ENF,Temperate,1.59952,1.54574,-0.152918,0.977083,30.563,1.0,103.519,1.0,15.82,1,197.457,1,303.919,0,11.752,1,88.019,1.0,0.304228989362,0.999305555556,0.257,1.0,0.998,1.0,362.048,0.995139,1.40041496666667,0.263757379679363,14.83,17.274,191.906,303.919,9.771,88.062,0.497,0.781,1.446602
22,200110,US-Me5,44.43719,-121.56676,ENF,Temperate,1.71696,1.63568,-0.303796,0.783602,23.7742,0.844086,53.0746,0.844086,8.772,1,121.863,1,297.445,0,5.584,1,88.17,1.0,0.335994791667,0.645161290323,1.245,1.0,1.117,0.999328,362.301,0.830645,1.47433033870968,0.261239240944752,8.39,10.254,105.163,297.445,4.881,88.179,1.305,1.043,1.413164
