Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,US-ORv,40.0201,-83.0183,WET,Continental,0.108577,0.170036,0.351102,0.976478,,0.977823,,0.977823,-3.209,0.981183,65.812,0.982527,296.53,0.981183,1.373,0.980511,99.371,0.976478,0.319600236186,0.975806451613,1.259,0,1.53,0.975806,378.928,0.977823,0.28974712,0.0876209329269078,-3.197,-1.987,76.064,318.541,2.226,99.075,1.259,1.208,0.45967900000000006
2,201102,US-ORv,40.0201,-83.0183,WET,Continental,0.148011,0.247347,0.968742,0.526786,,0.526786,,0.526786,-1.104,0.526786,97.731,0.739583,314.323,0.526786,2.079,0.526786,99.265,0.392857,,,4.535,0,1.597,0.353423,380.118,0.526786,0.98702204,0.270588001442024,0.405,1.352,102.686,331.833,2.645,99.108,4.535,1.478,1.116753
3,201103,US-ORv,40.0201,-83.0183,WET,Continental,0.260021,1.02296,1.13863,0.501344,,0.501344,,0.501344,5.469,0.526882,132.657,0.735215,346.479,0.526882,3.739,0.526882,99.376,0.387097,,,4.67,0,1.54,0.377016,403.969,0.500672,0.5839377,0.216866967389936,5.357,6.785,142.186,344.529,3.577,99.358,4.67,1.369,1.398651
4,201104,US-ORv,40.0201,-83.0183,WET,Continental,0.813006,1.54695,0.852154,0.974306,,0.975694,,0.976389,12.641,0.979861,144.225,0.982639,378.432,0.98125,5.252,0.979167,98.552,1.0,0.418139227152,0.953472222222,7.719,0,1.98,0.909722,402.37,0.976389,0.38328445,0.192878762894282,12.458,13.629,153.904,381.655,4.937,98.589,7.719,1.55,1.66516
5,201105,US-ORv,40.0201,-83.0183,WET,Continental,5.17987,5.51294,-2.17835,0.968414,,0.99328,,0.99328,17.958,1.0,187.054,1.0,405.956,0.99664,7.803,0.999328,98.707,1.0,0.282275391538,0.998655913978,5.564,0,0.824,0.891129,407.267,0.993952,0.30763298,0.0990434848841929,17.281,18.459,181.659,404.811,5.837,98.828,5.564,0.998,3.00152
6,201106,US-ORv,40.0201,-83.0183,WET,Continental,6.55353,7.40609,-3.43725,0.9375,,0.969444,,0.972222,22.502,0.973611,239.865,0.976389,428.581,0.973611,10.376,0.973611,98.765,0.988889,0.215240144863,0.986111111111,2.167,0,0.573,0.972917,403.408,0.969444,0.60669023,0.159676785871121,22.608,24.119,252.151,413.741,10.543,98.92,2.167,0.984,3.11628
7,201107,US-ORv,40.0201,-83.0183,WET,Continental,5.07604,5.32571,-2.72158,0.905242,,0.993952,,0.99664,26.543,1.0,268.064,1.0,451.802,1.0,13.22,1.0,98.783,1.0,0.168646662663,0.999327956989,1.967,0,0.476,0.947581,401.559,0.993952,1.1263624,0.24730048340975,26.651,28.096,248.564,436.295,14.019,98.951,1.967,0.736,2.35446
8,201108,US-ORv,40.0201,-83.0183,WET,Continental,5.13126,4.49264,-1.65508,0.955645,,0.991263,,0.991935,23.34,0.992608,239.749,0.99328,433.02,0.992608,10.9,0.991935,98.666,1.0,0.194350920842,0.999327956989,2.125,0,0.453,0.998656,404.583,0.991263,1.6232598,0.350140695752423,23.547,25.05,222.388,416.531,11.657,98.777,2.125,0.878,3.4761800000000003
9,201109,US-ORv,40.0201,-83.0183,WET,Continental,3.83068,3.70921,-1.0811,0.936806,,0.961111,,0.972917,18.355,1.0,133.499,1.0,407.072,1.0,6.701,1.0,98.943,1.0,0.220547916667,1.0,4.488,0,0.599,0.986111,397.826,0.961111,1.8352886,0.415836341218027,18.26,19.463,132.517,407.398,6.055,99.042,4.488,1.017,2.74958
10,201110,US-ORv,40.0201,-83.0183,WET,Continental,1.27982,1.35634,0.0769775,0.883065,,0.90793,,0.909946,12.02,0.914651,111.84,0.922043,372.446,0.914651,6.01,0.913978,99.068,0.822581,0.271139166667,0.806451612903,2.752,0,0.988,0.784946,416.262,0.90793,1.8591278,0.429710870777601,12.429,13.92,109.1,371.984,4.934,99.071,2.752,1.168,1.3567974999999999
11,201111,US-ORv,40.0201,-83.0183,WET,Continental,0.349769,0.305233,0.905506,0.979861,,0.988889,,0.996528,9.367,1.0,73.664,1.0,357.342,1.0,4.615,0.999306,99.284,1.0,0.356614583333,1.0,4.255,0,1.712,0.866667,403.854,0.988889,1.7569484,0.396053216589373,9.403,10.508,75.117,359.062,3.937,99.223,4.255,1.507,1.2552750000000001
12,201112,US-ORv,40.0201,-83.0183,WET,Continental,0.289879,0.328331,0.327359,0.991263,,0.993952,,0.99664,3.74,1.0,51.246,1.0,331.087,1.0,2.345,0.997984,99.683,1.0,0.287488575269,1.0,4.242,0,1.421,0.925403,406.449,0.99664,1.4330758,0.35152852977981,3.893,4.908,53.249,345.778,2.545,99.529,4.242,1.187,0.617238
