Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,US-Oho,41.5545,-83.8438,DBF,Continental,0.737807,0.464077,-0.619887,0.999328,6.61853,1.0,21.5224,0.999328,-6.471,1.0,49.805,1.0,256.651,0.0,0.897,1.0,99.185,0.866263,0.594927564759,0.850806451613,0.094,0.998656,2.928,0.866263,372.574,1.0,0.336997291612903,0.201726039374599,-5.694,-5.0,71.113,256.651,1.01,99.082,1.567,2.843,0.11792000000000002
2,200402,US-Oho,41.5545,-83.8438,DBF,Continental,0.426708,0.437195,-0.27304,0.994253,6.65797,0.997845,38.8299,0.997845,-2.055,1.0,82.322,1.0,256.179,0.0,1.474,1.0,99.522,0.938218,0.543037022868,0.938218390805,0.134,0.998563,2.722,0.938218,372.097,0.997845,2.23912842677419,0.360768667911945,-2.632,-1.155,128.798,256.179,1.172,99.451,0.894,2.49,0.15366799999999997
3,200403,US-Oho,41.5545,-83.8438,DBF,Continental,0.310435,0.456812,0.540885,0.995296,16.2767,0.993952,41.5912,0.99664,4.572,1.0,93.436,1.0,300.017,0.0,2.335,1.0,99.265,0.856855,0.59070145963,0.841397849462,0.668,1.0,2.851,0.856855,372.666,0.993952,0.483057243,0.170473016981778,4.652,5.81,134.483,300.017,2.071,99.236,2.47,2.67,0.85132
4,200404,US-Oho,41.5545,-83.8438,DBF,Continental,0.92371,4.34216,0.552202,0.472917,23.233,0.51875,80.3975,0.533333,9.107,0.559028,191.005,0.635417,317.426,0.0388889,4.837,0.555556,98.881,0.346528,,,0.756,0.380556,2.938,0.346528,364.7,0.527778,0.458670038333333,0.161303061980691,10.064,11.323,205.425,317.21,4.525,98.874,1.024,2.757,1.4759120000000001
5,200405,US-Oho,41.5545,-83.8438,DBF,Continental,5.88385,6.29329,-2.05633,0.816532,69.5661,0.840726,66.372,0.842742,16.811,0.851478,212.963,0.852823,355.709,0.851478,5.612,0.851478,98.864,0.708333,0.510473938288,0.692204301075,3.66,0.825269,2.3,0.708333,366.678,0.840726,0.496883795172414,0.257552853558726,16.644,17.814,220.122,354.554,4.65,98.842,5.181,2.274,3.82752
6,200406,US-Oho,41.5545,-83.8438,DBF,Continental,13.8382,13.1666,-8.73335,0.972222,141.057,0.983333,15.6907,0.986806,19.384,1.0,254.487,1.0,358.519,1.0,6.951,1.0,99.006,0.844444,0.369150062224,0.829861111111,2.989,1.0,1.939,0.844444,359.396,0.982639,0.632618944516129,0.175188970195707,19.146,20.356,244.817,354.091,6.409,98.952,3.399,1.879,5.104850000000001
7,200407,US-Oho,41.5545,-83.8438,DBF,Continental,14.3114,13.9939,-9.18314,0.971774,144.792,0.987231,16.4442,0.983199,17.061,0.998656,250.13,0.998656,375.251,0.998656,5.95,0.998656,98.832,0.831317,0.387457867467,0.819892473118,2.155,0.997312,1.894,0.831317,346.99,0.989247,0.834335661,0.2121041621664,21.209,22.368,233.364,370.172,7.175,98.759,3.009,1.816,5.128260000000001
8,200408,US-Oho,41.5545,-83.8438,DBF,Continental,11.0458,10.8466,-6.61089,0.929435,116.624,0.980511,9.54329,0.983871,19.602,1.0,201.983,1.0,368.261,1.0,5.477,1.0,99.057,0.846102,0.30010121502,0.846102150538,2.565,0.999328,1.664,0.846102,354.713,0.983871,2.83277034193548,0.499301507811621,19.433,20.668,194.728,359.889,5.765,98.971,2.73,1.625,4.4349099999999995
9,200409,US-Oho,41.5545,-83.8438,DBF,Continental,8.89725,8.86342,-6.42827,0.967361,92.0201,0.984028,4.50118,0.990278,18.952,1.0,199.237,1.0,343.442,1.0,7.244,1.0,99.436,0.826389,0.289352002558,0.826388888889,1.304,1.0,1.633,0.826389,356.483,0.992361,4.92161591666667,0.656167402960664,18.408,20.128,184.55,341.184,6.111,99.336,0.325,1.794,2.4689799999999993
10,200410,US-Oho,41.5545,-83.8438,DBF,Continental,2.74603,2.86015,-1.28726,0.979167,35.9128,0.992608,13.5044,0.991263,11.565,1.0,118.553,1.0,319.214,1.0,4.0,1.0,98.971,0.875,0.427192743947,0.861559139785,1.467,1.0,2.131,0.875,358.835,0.992608,4.57473769354839,0.649084792198453,11.844,13.105,117.427,316.613,3.788,98.895,1.399,2.229,1.4587700000000001
