Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,US-SRM,31.8214,-110.8661,WSA,Arid,-0.111903,0.162249,0.31379,0.8125,11.1738,0.827285,29.3573,0.827285,10.239,1.0,129.673,0.833333,294.495,0.827957,6.957,1.0,89.045,0.821237,0.316225512821,0.823252688172,0.5,1.0,2.346,0.823253,373.657,0.827285,0.201691466774194,0.115876018920327,10.362,12.559,140.687,295.478,8.242,88.963,0.62,2.026,0.201887
2,200402,US-SRM,31.8214,-110.8661,WSA,Arid,-0.045818,0.137131,0.234112,0.984195,12.9555,1.0,55.4729,1.0,9.134,1.0,187.242,1.0,272.065,1.0,8.221,1.0,88.984,1.0,0.296145527635,0.999281609195,0.359,1.0,2.455,0.999282,376.326,1.0,0.385165044516129,0.156773660698409,9.873,12.15,190.867,278.14,9.439,88.829,0.956,2.382,0.188294
3,200403,US-SRM,31.8214,-110.8661,WSA,Arid,0.0463137,0.251763,0.444978,0.984543,17.7845,0.999328,67.2824,1.0,17.902,1.0,227.681,1.0,314.058,1.0,16.154,1.0,88.953,1.0,0.408986407887,0.989247311828,0.59,1.0,3.081,0.989247,370.302,0.999328,0.319595441333333,0.15129002934555,16.71,19.31,238.164,313.814,14.107,88.925,1.27,2.452,0.4912917
4,200404,US-SRM,31.8214,-110.8661,WSA,Arid,0.789981,0.897431,0.0559881,0.974306,28.909,0.998611,96.9745,1.0,17.106,1.0,283.445,1.0,308.13,1.0,15.065,1.0,88.779,0.804167,0.397634249409,0.999305555556,0.94,1.0,3.039,0.999306,380.617,0.990972,0.285232077666667,0.13894016874984,17.594,19.835,292.561,310.215,15.567,88.742,0.769,2.933,0.8459691
5,200405,US-SRM,31.8214,-110.8661,WSA,Arid,0.797848,0.896082,-0.117344,0.984543,17.3268,1.0,123.555,1.0,23.831,1.0,342.339,1.0,325.598,1.0,26.436,1.0,88.775,1.0,0.390472446237,1.0,0.0,1.0,3.032,1.0,376.897,1.0,0.204878477931034,0.0993099238474312,23.133,25.389,337.858,323.812,24.029,88.778,0.0,2.78,0.680504
6,200406,US-SRM,31.8214,-110.8661,WSA,Arid,0.208175,0.24755,0.499935,0.957639,16.247,1.0,129.632,1.0,27.518,1.0,350.685,1.0,348.348,1.0,32.712,1.0,88.765,1.0,0.366659027778,1.0,0.178,1.0,2.857,1.0,371.73,0.986806,0.264473185483871,0.100833346106608,26.412,28.509,342.91,346.735,29.056,88.83,0.128,2.534,0.70811
7,200407,US-SRM,31.8214,-110.8661,WSA,Arid,0.894548,0.893672,1.18561,0.94086,48.6486,0.998656,89.9899,0.999328,27.056,1.0,281.122,1.0,383.906,1.0,24.029,1.0,88.925,1.0,0.318722940477,0.997983870968,3.13,1.0,2.308,0.997984,376.154,1.0,0.324410544666667,0.127754567128667,27.229,28.896,298.713,379.003,25.25,88.968,1.099,1.941,2.080158
8,200408,US-SRM,31.8214,-110.8661,WSA,Arid,2.77316,2.8224,-0.196794,0.895161,72.3118,0.99664,57.2567,1.0,26.013,1.0,258.307,1.0,380.068,1.0,21.394,1.0,89.002,1.0,0.286108870968,1.0,1.549,1.0,2.163,1.0,373.734,0.974462,0.318963330645161,0.137794481828512,26.776,28.525,276.99,383.302,24.21,89.027,0.941,1.684,2.5763659999999997
9,200409,US-SRM,31.8214,-110.8661,WSA,Arid,0.944821,1.55406,-0.0200241,0.970833,26.33,1.0,76.9836,1.0,24.755,1.0,253.294,1.0,355.557,1.0,22.566,1.0,88.786,1.0,0.353850694444,1.0,0.279,1.0,2.579,1.0,370.882,1.0,0.30000001,0.132978851251902,23.873,25.88,238.24,370.368,19.462,88.835,1.497,2.164,0.9247969
10,200410,US-SRM,31.8214,-110.8661,WSA,Arid,0.571346,0.769683,-0.0181666,0.988575,19.2185,1.0,59.8416,1.0,19.206,1.0,214.806,1.0,321.269,1.0,15.941,1.0,88.761,1.0,0.362810224762,0.978494623656,0.967,1.0,2.597,0.978495,374.573,1.0,0.354895786451613,0.147170895926898,19.133,21.313,202.491,331.819,15.401,88.752,1.212,2.638,0.5531794
