Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,US-Sta,41.3966,-106.8024,OSH,Continental,0.500128,0.432485,-0.43023,0.0,,0.0,,0.0,-3.264,0.0,99.072,0.634409,218.848,0,1.655,0.0,77.602,0.0,,,1.359,0,3.621,0.0,,,0.100000001419355,0.0584077148407058,-3.264,-0.739,99.553,218.848,1.655,77.602,1.359,3.621,0.06989800000000002
2,200502,US-Sta,41.3966,-106.8024,OSH,Continental,0.517161,0.534305,-0.448889,0.0,,0.0,,0.0,-3.784,0.0,142.278,0.585565,202.079,0,2.106,0.0,77.573,0.0,,,1.176,0,3.008,0.0,,,0.200000000322581,0.104708435857692,-3.784,-0.901,142.513,202.079,2.106,77.573,1.176,3.008,0.068272
3,200503,US-Sta,41.3966,-106.8024,OSH,Continental,0.526197,0.643709,-0.441949,0.0,,0.0,,0.0,-1.27,0.0,197.455,0.532258,212.294,0,2.756,0.0,77.309,0.0,,,1.672,0,3.954,0.0,,,0.1000000003,0.0728520962967418,-1.27,1.278,197.8,212.294,2.756,77.309,1.672,3.954,0.08424800000000005
4,200504,US-Sta,41.3966,-106.8024,OSH,Continental,0.569503,0.738494,-0.440072,0.0,,0.0,,0.0,4.435,0.0,247.541,0.473611,234.551,0,4.75,0.0,77.543,0.0,,,2.193,0,3.716,0.0,,,0.105487001935484,0.0405392283506526,4.435,6.938,247.847,234.551,4.75,77.543,2.193,3.716,0.12943099999999996
5,200505,US-Sta,41.3966,-106.8024,OSH,Continental,0.605711,0.813767,-0.43023,0.0,,0.0,,0.0,9.177,0.0,280.869,0.424059,254.78,0,6.624,0.0,77.734,0.0,,,2.086,0,3.354,0.0,,,0.110009743571429,0.0773867339182633,9.177,11.291,281.163,254.78,6.624,77.734,2.086,3.354,0.175481
6,200506,US-Sta,41.3966,-106.8024,OSH,Continental,0.666519,0.846508,-0.440072,0.0,,0.0,,0.0,14.042,0.0,293.211,0.398611,270.591,0,10.476,0.0,77.85,0.0,,,1.978,0,3.526,0.0,,,0.200000001290323,0.093082529898326,14.042,16.123,293.354,270.591,10.476,77.85,1.978,3.526,0.22644699999999995
7,200507,US-Sta,41.3966,-106.8024,OSH,Continental,0.743672,0.851876,-0.448036,0.0,,0.0,,0.0,20.13,0.0,297.417,0.406586,281.475,0,17.486,0.0,78.41,0.0,,,0.853,0,2.852,0.0,,,0.200698463333333,0.110741985054072,20.13,22.625,297.624,281.475,17.486,78.41,0.853,2.852,0.295636
8,200508,US-Sta,41.3966,-106.8024,OSH,Continental,0.723717,0.76339,-0.462192,0.0,,0.0,,0.0,17.291,0.0,249.532,0.451613,278.717,0,12.789,0.0,78.381,0.0,,,0.536,0,2.748,0.0,,,0.270314651290323,0.153251892175715,17.291,19.85,249.797,278.717,12.789,78.381,0.536,2.748,0.26152500000000006
9,200509,US-Sta,41.3966,-106.8024,OSH,Continental,0.709847,0.68245,-0.487895,0.0,,0.0,,0.0,13.746,0.0,214.116,0.506944,264.478,0,10.299,0.0,78.247,0.0,,,0.748,0,3.338,0.0,,,0.376004783666667,0.152177328576434,13.746,16.449,214.379,264.478,10.299,78.247,0.748,3.338,0.22195199999999998
10,200510,US-Sta,41.3966,-106.8024,OSH,Continental,0.640971,0.535545,-0.489392,0.0967742,,0.096774,,0.096774,6.847,0.0967742,142.239,0.563172,251.948,0,4.833,0.0967742,78.013,0.0,,,1.912,0,3.153,0.0,,,0.337876724193548,0.126313995204268,6.516,8.865,142.46,251.948,4.413,78.013,1.912,3.153,0.15157899999999996
11,200511,US-Sta,41.3966,-106.8024,OSH,Continental,0.465524,0.484496,-0.448495,0.967361,,0.977083,,0.977778,0.114,0.978472,109.414,0.980556,221.912,0,3.149,0.978472,77.907,0.949306,0.34103402039,0.932638888889,2.053,0,4.545,0.949306,388.761,0.978472,0.200000001290323,0.123690563086007,-0.209,1.916,104.25,221.912,2.943,77.757,2.053,4.527,0.017029000000000016
12,200512,US-Sta,41.3966,-106.8024,OSH,Continental,0.516795,0.237735,-0.441559,0.656586,,0.663306,,0.66129,-5.641,1.0,89.78,1.0,205.311,0,1.537,1.0,77.678,0.997984,,,1.721,0,4.287,0.997984,390.755,0.667339,0.2,0.110087499172224,-6.343,-3.937,81.604,205.311,1.401,77.508,1.721,4.002,0.07523600000000003
