Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,US-Var,38.4133,-120.9507,GRA,Temperate,1.88921,1.62253,0.309997,0.0,18.8492,0.0,13.8806,0.0,8.495,0.0,74.275,0.0,320.145,0.0,1.783,0.0,100.069,0.0,,,5.95,0.0,1.202,0.0,,,,,8.495,10.059,74.275,320.145,1.783,100.069,5.95,1.202,2.199207
2,200002,US-Var,38.4133,-120.9507,GRA,Temperate,1.96316,1.9583,0.319778,0.0,23.5214,0.0,16.8843,0.0,9.48,0.0,102.019,0.0,330.654,0.0,2.132,0.0,99.59,0.0,,,7.618,0.0,1.663,0.0,,,,0.190319005617192,9.48,10.937,102.019,330.654,2.132,99.59,7.618,1.663,2.282938
3,200003,US-Var,38.4133,-120.9507,GRA,Temperate,2.11517,2.70596,0.309997,0.0,28.6359,0.0,21.0875,0.0,11.106,0.0,213.101,0.0,308.531,0.0,4.82,0.0,99.582,0.0,,,1.2,0.0,1.342,0.0,,,,0.299311189283241,11.106,13.397,213.101,308.531,4.82,99.582,1.2,1.342,2.425167
4,200004,US-Var,38.4133,-120.9507,GRA,Temperate,2.40782,3.03464,0.314724,0.0,28.3331,0.0,20.6082,0.0,14.557,0.0,263.858,0.0,318.853,0.0,6.808,0.0,99.603,0.0,,,1.552,0.0,1.151,0.0,,,,0.34199375188748,14.557,16.901,263.858,318.853,6.808,99.603,1.552,1.151,2.722544
5,200005,US-Var,38.4133,-120.9507,GRA,Temperate,2.68535,3.2534,0.316374,0.0,27.6714,0.0,19.9597,0.0,17.853,0.0,298.412,0.0,332.46,0.0,9.749,0.0,99.332,0.0,,,1.217,0.0,1.112,0.0,,,,0.457541510702684,17.853,20.014,298.412,332.46,9.749,99.332,1.217,1.112,3.0017240000000003
6,200006,US-Var,38.4133,-120.9507,GRA,Temperate,3.13942,3.34262,0.314724,0.0,26.7907,0.0,19.4864,0.0,23.194,0.0,339.188,0.0,346.102,0.0,18.501,0.0,99.154,0.0,,,0.264,0.0,1.055,0.0,,,,0.476154312263051,23.194,25.585,339.188,346.102,18.501,99.154,0.264,1.055,3.454144
7,200007,US-Var,38.4133,-120.9507,GRA,Temperate,3.07957,3.36459,0.317802,0.0,26.5281,0.0,19.2184,0.0,22.473,0.0,344.464,0.0,340.766,0.0,16.183,0.0,99.356,0.0,,,0.0,0.0,0.883,0.0,,,,0.464752301488216,22.473,24.949,344.464,340.766,16.183,99.356,0.0,0.883,3.397372
8,200008,US-Var,38.4133,-120.9507,GRA,Temperate,3.2117,3.04296,0.309997,0.0,26.147,0.0,19.2547,0.0,23.966,0.0,294.233,0.0,351.226,0.0,19.088,0.0,99.261,0.0,,,0.019,0.0,0.832,0.0,,,,0.335102121045648,23.966,26.583,294.233,351.226,19.088,99.261,0.019,0.832,3.521697
9,200009,US-Var,38.4133,-120.9507,GRA,Temperate,2.95411,2.74114,0.314724,0.0,24.9238,0.0,18.1284,0.0,20.973,0.0,236.375,0.0,339.994,0.0,15.732,0.0,99.129,0.0,,,0.308,0.0,0.983,0.0,,,,0.209235885458776,20.973,23.894,236.375,339.994,15.732,99.129,0.308,0.983,3.268834
10,200010,US-Var,38.4133,-120.9507,GRA,Temperate,2.44125,2.34507,0.386589,0.0356183,20.4313,0.074597,13.5693,0.075269,15.328,0.331317,163.625,0.331989,324.911,0.0,7.096,0.331317,99.295,0.0,,,2.784,0.322581,1.12,0.305108,,,,0.196975533667254,15.144,17.643,163.757,324.911,7.476,99.295,1.883,1.126,2.827839
11,200011,US-Var,38.4133,-120.9507,GRA,Temperate,2.9659,2.70488,-0.00886141,0.986111,16.5257,0.997222,11.4385,0.997222,8.519,1.0,109.524,1.0,295.12,0.0,3.028,1.0,100.04,0.8625,0.132452794613,0.995138888889,0.956,1.0,1.187,0.995139,393.686,0.997917,,0.189728206523968,8.694,11.433,126.589,295.12,4.094,99.804,0.522,0.994,2.95703859
12,200012,US-Var,38.4133,-120.9507,GRA,Temperate,5.12772,4.701,-0.991262,0.978495,11.9016,0.997984,6.17353,0.997984,7.847,1.0,89.618,1.0,299.788,0.0,2.043,1.0,100.262,0.965726,0.110699101847,0.711693548387,1.22,1.0,1.155,0.725806,402.484,0.997984,,0.17493223777048,8.552,11.497,96.159,299.788,3.691,100.002,0.827,0.974,4.136458
13,200101,US-Var,38.4133,-120.9507,GRA,Temperate,4.88677,4.49905,-0.917218,0.979839,13.7395,0.998656,2.49107,1.0,7.272,1.0,99.095,1.0,295.571,0.0,2.823,1.0,100.125,1.0,0.144229865547,0.869623655914,0.0,1.0,1.379,0.888441,401.048,0.998656,1.29062053225806,0.374901136976931,6.722,9.183,107.187,295.571,2.697,99.838,3.017,1.402,3.969552
14,200102,US-Var,38.4133,-120.9507,GRA,Temperate,5.25193,4.61369,-1.36572,0.994048,30.2948,0.998512,3.82708,0.999256,8.754,1.0,122.633,1.0,310.438,0.0,3.57,1.0,99.772,1.0,0.190403266026,0.991071428571,2.34,1.0,1.791,0.991071,386.244,0.99628,0.555808695483871,0.191540154505996,7.373,9.295,120.071,310.438,2.432,99.441,4.182,1.699,3.8862099999999997
15,200103,US-Var,38.4133,-120.9507,GRA,Temperate,6.56789,6.09881,-1.94911,0.97379,63.0409,0.997312,10.4375,0.997312,15.152,0.998656,198.474,1.0,314.966,0.0,8.145,0.998656,99.765,0.999328,0.161125503232,0.906586021505,1.45,1.0,1.427,0.889785,393.477,0.99664,0.621503615666667,0.221281767400922,12.401,14.796,209.677,314.966,4.809,99.451,2.11,1.19,4.61878
16,200104,US-Var,38.4133,-120.9507,GRA,Temperate,7.03922,7.12373,-3.01963,0.988194,82.5041,1.0,26.4754,1.0,12.564,1.0,249.721,1.0,309.042,0.0,6.21,1.0,99.784,0.944444,0.156265691489,0.998611111111,1.219,1.0,1.261,0.998611,386.663,0.998611,0.918318763870968,0.255375776924919,11.555,13.706,260.627,309.042,5.079,99.477,2.139,1.163,4.019590000000001
17,200105,US-Var,38.4133,-120.9507,GRA,Temperate,1.9317,2.06684,-0.316256,0.923387,56.9514,0.997312,68.1527,1.0,22.286,1.0,327.945,1.0,331.254,0.0,19.565,1.0,99.442,1.0,0.161864247312,1.0,0.0,1.0,1.326,1.0,378.351,0.993952,1.66054181428571,0.429742915375319,22.221,24.863,336.401,331.254,18.977,99.231,0.0,1.167,1.615444
18,200106,US-Var,38.4133,-120.9507,GRA,Temperate,-0.120701,0.0689368,0.367777,0.890278,7.34601,0.954861,101.657,0.995833,22.982,1.0,335.224,1.0,339.181,0.0,20.81,1.0,99.369,1.0,0.172193429041,0.859722222222,0.085,1.0,1.41,0.884722,375.24,0.945139,2.72599734193548,0.490617132903679,23.392,25.782,346.982,339.181,21.653,99.243,0.0,1.179,0.24707600000000002
19,200107,US-Var,38.4133,-120.9507,GRA,Temperate,0.000117231,0.0380441,0.191182,0.894489,3.27984,0.974462,105.544,0.975806,23.251,1.0,330.472,1.0,353.086,0.0,19.451,1.0,99.276,1.0,0.158983353034,0.521505376344,0.008,1.0,1.197,0.579301,364.539,0.96707,2.90049871,0.49562724234158,24.164,26.589,331.75,353.086,20.23,99.193,0.005,0.994,0.191299231
20,200108,US-Var,38.4133,-120.9507,GRA,Temperate,-0.0260808,0.00147629,0.175702,0.888441,1.92609,0.950269,86.9451,0.952285,23.54,1.0,309.89,1.0,348.149,0.0,20.035,1.0,99.314,1.0,0.152638652146,0.753360215054,0.0,1.0,1.199,0.772177,367.58,0.946909,1.72469000645161,0.333613855246682,24.159,27.029,310.86,348.149,20.03,99.277,0.0,0.873,0.1496212
21,200109,US-Var,38.4133,-120.9507,GRA,Temperate,-0.474294,0.164292,0.781598,0.875694,5.14795,0.957639,57.6041,0.961111,21.329,1.0,246.216,1.0,342.478,0.0,16.208,1.0,99.158,1.0,0.14497566066,0.545833333333,0.305,1.0,1.07,0.597917,369.56,0.946528,1.08658675333333,0.235307463632205,21.975,25.043,251.617,342.478,16.838,99.11,0.204,0.817,0.307304
