Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,US-WPT,41.464639,-82.996157,WET,Continental,-0.0337308,0.108747,0.555584,0.93414,,0.99664,,1.0,-5.141,1,68.578,0.997312,274.71,1.0,0.885,1,99.632,0.752016,0.178647106855,0.740591397849,0.434,0.999328,2.19,0.752016,392.53,0.997984,0.15592661,,-4.111,-3.217,71.697,288.493,1.65,99.547,0.851,2.308,0.5218532
2,201102,US-WPT,41.464639,-82.996157,WET,Continental,0.234203,0.0413016,0.750601,0.911458,,0.985863,,0.982143,-2.287,1,100.987,1.0,285.34,1.0,1.334,1,99.62,0.642857,0.229784418087,0.559523809524,2.023,1.0,2.804,0.642857,392.803,0.978423,0.58992553,0.155296891245861,-1.728,-0.797,104.42,296.144,1.778,99.568,3.214,2.94,0.984804
3,201103,US-WPT,41.464639,-82.996157,WET,Continental,-0.398994,0.0,1.58509,0.952285,,0.997984,,0.993952,2.713,1,137.53,1.0,301.204,1.0,1.8,1,99.862,0.832661,0.255416102519,0.78561827957,2.543,0.999328,3.164,0.832661,399.903,0.968414,0.32176003,0.0487437993508974,3.29,4.674,144.293,309.906,2.346,99.855,2.656,2.496,1.186096
4,201104,US-WPT,41.464639,-82.996157,WET,Continental,-0.264782,0.0,1.51212,0.939583,,0.996528,,0.998611,9.097,1,139.337,1.0,330.944,1.0,3.104,1,98.997,0.469444,,,5.063,1.0,3.309,0.469444,393.881,0.994444,0.1945156,0.0114081351701777,10.387,11.42,149.265,353.009,3.369,99.041,4.901,2.951,1.2473379999999998
5,201105,US-WPT,41.464639,-82.996157,WET,Continental,1.66849,1.36028,0.166113,0.96371,,0.995296,,0.995968,16.125,1,187.491,1.0,375.428,1.0,4.625,1,99.208,0.787634,0.233593406667,0.757392473118,5.334,1.0,2.511,0.787634,390.394,0.993952,0.14977983,,16.061,17.175,181.904,379.86,3.998,99.283,3.768,2.003,1.834603
6,201106,US-WPT,41.464639,-82.996157,WET,Continental,3.64422,4.44555,-0.115988,0.989583,,0.999306,,0.997222,22.014,1,248.853,1.0,398.025,1.0,8.654,1,99.257,0.839583,0.269169283785,0.839583333333,1.253,1.0,2.19,0.839583,381.552,0.997222,0.2470109,0.0051067474026617,21.382,22.789,251.205,386.517,7.484,99.353,1.805,1.882,3.5282319999999996
7,201107,US-WPT,41.464639,-82.996157,WET,Continental,8.22694,7.81594,-1.565,0.99328,,0.999328,,0.999328,26.05,1,257.426,1.0,422.452,1.0,10.154,1,99.323,0.862231,0.226328881149,0.862231182796,4.834,1.0,1.483,0.862231,364.637,0.999328,0.46274516,0.0277494708022462,25.965,27.38,251.292,411.425,11.134,99.387,0.978,1.398,6.661940000000001
8,201108,US-WPT,41.464639,-82.996157,WET,Continental,7.62277,5.80625,-1.57615,0.993952,,0.999328,,1.0,22.933,1,221.796,0.99328,403.481,1.0,7.427,1,99.157,0.872312,0.229087867212,0.872311827957,2.622,1.0,1.464,0.872312,373.198,0.997984,0.92944944,0.0859315052818328,22.59,23.995,217.233,388.108,8.323,99.223,1.878,1.583,6.04662
9,201109,US-WPT,41.464639,-82.996157,WET,Continental,3.07593,3.66699,-0.662067,0.98125,,0.996528,,0.998611,18.236,1,133.744,1.0,386.306,1.0,4.286,1,99.416,0.785417,0.258691155121,0.738888888889,4.157,1.0,1.767,0.785417,385.526,0.995833,1.3343461,0.267226314395073,17.498,18.616,129.595,377.98,4.398,99.495,3.493,1.935,2.413863
10,201110,US-WPT,41.464639,-82.996157,WET,Continental,0.877157,1.819,0.726109,0.976478,,1.0,,0.999328,12.345,1,104.673,1.0,347.33,1.0,3.804,1,99.424,0.780914,0.246349916046,0.775537634409,0.213,1.0,1.997,0.780914,395.03,0.999328,1.822529,0.398338989874123,11.718,13.125,104.448,341.939,3.552,99.505,2.324,2.205,1.603266
