Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,US-Wi7,46.649111,-91.069278,OSH,Continental,0.748347,1.21341,-1.05975,0.0,,0.0,,0.0,-16.286,0.0,57.136,0.977151,230.323,0,0.131,0.0,98.779,0.0,,,0.145,0.943548,2.543,0.0,,,0.146112233548387,0.0946298409084498,-16.286,-15.766,52.972,230.323,0.131,98.779,2.562,2.543,-0.311403
2,200502,US-Wi7,46.649111,-91.069278,OSH,Continental,0.806258,1.70077,-1.11778,0.0,,0.0,,0.0,-10.0,0.0,94.477,0.891369,234.766,0,0.577,0.0,98.329,0.0,,,0.619,0.723958,2.202,0.0,,,0.793455578064516,0.269470069233276,-10.0,-8.999,87.125,234.766,0.577,98.329,1.347,2.202,-0.31152199999999997
3,200503,US-Wi7,46.649111,-91.069278,OSH,Continental,0.939539,2.46774,-0.929313,0.0,,0.0,,0.0,-7.603,0.0,167.249,0.97043,229.668,0,1.348,0.0,97.821,0.0,,,0.937,0.938172,2.01,0.0,,,0.278590254,0.206184504500457,-7.603,-6.298,149.518,229.668,1.348,97.821,0.885,2.01,0.010226000000000068
4,200504,US-Wi7,46.649111,-91.069278,OSH,Continental,0.808758,2.89039,-0.621102,0.0,,0.0,,0.0,2.838,0.0,204.79,1.0,265.261,0,3.286,0.0,98.058,0.0,,,1.46,0.999306,2.088,0.0,,,0.122766366774194,,2.838,3.923,200.308,265.261,3.286,98.058,0.787,2.088,0.18765599999999993
5,200505,US-Wi7,46.649111,-91.069278,OSH,Continental,0.681237,2.91117,-0.540082,0.313172,,0.322581,,0.323925,7.008,0.323925,206.511,1.0,300.878,0,3.319,0.323925,97.949,0.077957,,,2.239,1.0,2.102,0.106183,,,0.100000001071429,0.0386483865845538,6.186,6.887,203.365,300.878,2.745,97.951,2.531,2.061,0.14115500000000003
6,200506,US-Wi7,46.649111,-91.069278,OSH,Continental,4.03993,5.3227,-1.64872,0.977083,,0.996528,,0.995833,17.27,1.0,247.236,1.0,326.288,0,6.513,1.0,97.706,1.0,0.318602147081,0.831944444444,1.43,1.0,2.346,0.954861,397.942,1.0,0.155782143225806,0.0452501850687975,14.576,15.297,242.973,326.288,5.324,97.706,5.518,2.18,2.39121
7,200507,US-Wi7,46.649111,-91.069278,OSH,Continental,6.57202,5.92231,-2.36887,0.993952,,0.999328,,0.998656,19.568,1.0,241.319,1.0,338.936,0,7.386,1.0,98.072,1.0,0.276557944795,0.913306451613,3.984,1.0,2.019,0.976478,381.275,1.0,0.491305814666667,0.187178349061261,19.441,20.281,248.955,338.936,7.979,98.049,1.901,1.805,4.203150000000001
8,200508,US-Wi7,46.649111,-91.069278,OSH,Continental,5.19895,5.14758,-1.43418,0.978495,,0.998656,,0.998656,18.191,1.0,195.171,1.0,344.157,0,6.659,1.0,98.039,1.0,0.258651485852,0.872311827957,2.384,1.0,1.966,0.988575,385.21,1.0,0.694885723548387,0.225003600889744,20.202,20.946,201.82,344.157,7.626,98.022,1.102,1.783,3.76477
9,200509,US-Wi7,46.649111,-91.069278,OSH,Continental,3.58176,3.29898,-0.469764,0.9625,,0.974306,,0.975,15.664,1.0,149.194,1.0,327.936,0,5.934,1.0,98.105,1.0,0.296823337812,0.790972222222,2.843,1.0,2.196,0.963889,386.475,0.997222,2.67583668666667,0.410506644423078,17.074,17.737,149.769,327.936,6.402,98.104,2.265,2.281,3.111996
10,200510,US-Wi7,46.649111,-91.069278,OSH,Continental,1.1816,1.10347,-0.0867283,0.980511,,0.991263,,0.992608,7.515,1.0,86.124,1.0,307.281,0,2.594,1.0,98.278,0.999328,0.243573026006,0.803091397849,7.9,1.0,2.005,0.944892,393.427,0.997984,4.14995353225806,0.527687145299468,7.177,7.728,83.217,307.281,2.081,98.314,5.05,2.089,1.0948717
11,200511,US-Wi7,46.649111,-91.069278,OSH,Continental,0.153176,0.894126,0.119352,0.246528,,0.251389,,0.251389,-1.167,0.25,45.741,0.739583,276.067,0,1.352,0.25,97.597,0.0236111,,,2.967,0.259722,2.647,0.0236111,,,3.27026367741935,0.480914610198106,-1.798,-1.435,48.272,276.067,1.114,97.598,3.123,2.645,0.272528
12,200512,US-Wi7,46.649111,-91.069278,OSH,Continental,0.0492884,0.759134,0.0721276,0.0,,0.0,,0.0,-9.811,0.0,34.557,0.666667,258.914,0,0.22,0.0,97.877,0.0,,,1.654,0.0,2.374,0.0,,,1.72256140333333,0.393904517296586,-9.811,-9.245,34.605,258.914,0.22,97.877,1.654,2.374,0.121416
