Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,7.36578,7.34649,-2.3007,0.0,90.6242,0.0,11.4101,0.0,25.048,0.0,157.811,0.0,419.499,0.0,8.146,0.0,98.495,0.0,,,4.413,0.0,1.396,0.0,,,,,25.048,25.61,157.811,419.499,8.146,98.495,4.413,1.396,5.06508
2,200002,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,7.39776,6.99631,-2.37153,0.0,93.8105,0.0,11.5845,0.0,24.814,0.0,149.507,0.0,419.65,0.0,7.795,0.0,98.643,0.0,,,5.102,0.0,1.507,0.0,,,,,24.814,25.32,149.507,419.65,7.795,98.643,5.102,1.507,5.02623
3,200003,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,7.31704,5.85816,-2.3007,0.0,95.6019,0.0,12.0369,0.0,24.755,0.0,122.84,0.0,423.182,0.0,7.522,0.0,98.554,0.0,,,7.926,0.0,1.502,0.0,,,,,24.755,25.2,122.84,423.182,7.522,98.554,7.926,1.502,5.0163400000000005
4,200004,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,7.364,6.09025,-2.33493,0.0,96.2538,0.0,12.0064,0.0,24.832,0.0,126.071,0.0,424.935,0.0,7.519,0.0,98.638,0.0,,,6.079,0.0,1.125,0.0,,,,,24.832,25.284,126.071,424.935,7.519,98.638,6.079,1.125,5.02907
5,200005,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,7.45858,7.03077,-2.34912,0.0,97.8002,0.0,12.1794,0.0,25.318,0.0,150.932,0.0,421.856,0.0,8.02,0.0,98.66,0.0,,,4.54,0.0,1.519,0.0,,,,0.44290375930627,25.318,25.905,150.932,421.856,8.02,98.66,4.54,1.519,5.10946
6,200006,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,7.49582,7.23209,-2.37777,0.0506944,98.9716,0.045139,11.9798,0.047222,25.324,0.0729167,158.077,0.0423611,415.161,0.0,8.282,0.0520833,98.709,0.0444444,,,3.764,0.0722222,1.847,0.0486111,,,,0.426552896987865,25.238,25.895,157.8,415.161,8.34,98.711,3.986,1.839,5.11805
7,200007,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,7.40723,6.96974,-0.834345,0.865591,103.164,0.86828,21.6914,0.867608,26.079,0.874328,173.377,0.882392,414.275,0.0,8.245,0.864919,98.701,0.745296,0.264615356901,0.725806451613,5.019,1.0,1.773,0.735887,388.683,0.969086,,,24.913,25.564,153.753,414.275,8.224,98.703,3.893,1.688,6.572885
8,200008,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,8.02992,7.46363,-1.01533,0.978495,127.883,0.977823,27.252,0.977823,26.691,0.981855,224.98,0.984543,409.593,0.0,9.782,0.981183,98.66,0.920027,0.2950147927,0.941532258065,2.973,1.0,2.162,0.93078,392.411,0.979167,,,25.934,26.845,200.932,409.593,9.72,98.666,2.524,1.972,7.01459
9,200009,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,8.27285,9.98133,-0.939804,0.988889,123.52,0.985417,25.1867,0.986806,25.91,0.99375,218.261,0.995833,413.155,0.0,7.877,0.990278,98.55,0.944444,0.295957598975,0.985416666667,3.011,1.0,2.167,0.972917,395.65,0.993056,,0.50169084602442,25.615,26.431,191.378,413.155,9.023,98.597,3.748,1.959,7.333046
10,200010,BR-Sa3,-3.01803,-54.97144,EBF,Tropical,9.91293,10.7296,-2.56383,0.879032,124.367,0.857527,22.3709,0.863575,26.484,0.983199,211.764,0.872312,413.017,0.0,8.664,0.88172,98.527,0.837366,0.298586532532,0.831317204301,1.8,1.0,2.254,0.84879,396.462,1.0,,,26.46,27.315,225.619,413.017,10.378,98.566,2.512,2.071,7.3491
