Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,GH-Ank,5.26854,-2.69421,EBF,Tropical,14.5814,9.3738,-1.79194,0.0,59.3564,0.0,30.4573,0.882392,25.735,0.0,153.773,0.88172,394.025,0.0,4.564,0.0,99.313,0.880376,0.209529961668,0.630376344086,1.188,0.954301,2.007,0.676747,,,1.70564998612903,0.348976281436324,25.735,27.209,164.499,394.025,4.564,99.36,2.844,1.898,12.78946
2,201102,GH-Ank,5.26854,-2.69421,EBF,Tropical,15.7213,11.6284,-3.03648,0.69494,75.5394,0.700893,45.2767,0.998512,26.078,0.00744048,187.13,0.892857,404.97,0.0,3.916,0.00744048,99.361,0.863839,0.287524863808,0.706101190476,3.773,0.863839,2.218,0.758185,419.475,0.706845,0.723307149677419,,26.099,27.339,164.13,404.97,3.905,99.39,3.558,2.047,12.684819999999998
3,201103,GH-Ank,5.26854,-2.69421,EBF,Tropical,13.1784,12.2931,-4.75882,0.999328,88.5591,1.0,45.9029,1.0,26.425,0.995296,205.799,1.0,408.245,0.0,5.186,0.995296,99.335,1.0,0.328540357037,0.67002688172,3.594,1.0,2.436,0.754032,406.754,1.0,3.28350262333333,,26.516,27.645,174.016,408.245,4.192,99.376,3.618,2.337,8.41958
4,201104,GH-Ank,5.26854,-2.69421,EBF,Tropical,10.4881,12.0501,-4.40707,0.9625,90.8925,0.997222,31.9566,1.0,26.57,1.0,204.063,1.0,407.994,0.0,5.379,1.0,99.337,0.999306,0.299419753313,0.752083333333,5.617,0.999306,2.287,0.830556,388.625,0.990278,2.82071705483871,0.43444630942961,26.29,27.489,171.493,407.994,3.856,99.392,4.586,2.195,6.081029999999999
5,201105,GH-Ank,5.26854,-2.69421,EBF,Tropical,9.37312,9.07377,-2.1981,1.0,78.3252,1.0,20.0471,1.0,25.623,1.0,168.523,1.0,407.878,0.0,3.248,1.0,99.492,1.0,0.256890162699,0.945564516129,6.284,1.0,2.181,0.983199,368.201,1.0,3.73918945714286,0.469429875572749,25.704,26.645,145.784,407.878,2.923,99.517,5.092,2.119,7.17502
6,201106,GH-Ank,5.26854,-2.69421,EBF,Tropical,8.47352,8.20756,-0.971211,0.535417,59.2119,0.536806,19.138,0.915972,24.818,0.948611,139.164,0.95625,406.925,0.0,2.165,0.948611,99.682,0.885417,0.302322525608,0.517361111111,15.659,0.885417,2.22,0.577083,358.97,0.5375,2.38311568064516,,24.899,25.734,131.96,406.925,2.188,99.685,5.947,2.219,7.502309
7,201107,GH-Ank,5.26854,-2.69421,EBF,Tropical,8.38109,7.65715,-2.09494,0.591398,78.0855,0.59207,20.9362,0.624328,24.037,0.641129,121.203,0.639113,404.816,0.0,1.773,0.641129,99.742,0.596774,,,2.963,0.596774,2.473,0.436828,388.923,0.592742,5.89306826,,24.325,25.157,141.11,404.816,2.5,99.73,4.173,2.5,6.286150000000001
8,201108,GH-Ank,5.26854,-2.69421,EBF,Tropical,8.04205,8.1786,-2.55477,0.429435,53.5881,0.434812,15.5037,0.434812,23.377,0.918683,112.933,0.926747,407.214,0.0,1.315,0.918683,99.776,0.840726,,,3.818,0.840726,2.585,0.254704,414.02,0.435484,4.49335411935484,,24.23,25.075,143.418,407.214,2.487,99.748,3.851,2.705,5.48728
9,201109,GH-Ank,5.26854,-2.69421,EBF,Tropical,8.30228,9.0767,-2.49556,0.561111,79.3355,0.563889,20.0526,0.566667,24.021,0.927083,118.754,0.939583,410.905,0.0,1.425,0.927083,99.735,0.825,,,7.23,0.825,2.129,0.113889,417.161,0.569444,1.71274225066667,,24.371,25.175,146.401,410.905,1.824,99.721,5.865,2.069,5.80672
10,201110,GH-Ank,5.26854,-2.69421,EBF,Tropical,7.94888,8.2096,-2.78699,0.989919,79.701,0.992608,23.8105,0.991263,24.521,0.99664,141.41,0.991935,406.619,0.0,1.742,0.99664,99.499,0.995296,0.281467777095,0.60752688172,6.625,0.995296,1.98,0.674731,414.694,0.992608,1.18840894387097,,24.689,25.59,148.519,406.619,1.894,99.517,8.631,1.93,5.16189
