Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,MY-PSO,2.973,102.3062,EBF,Tropical,6.04578,5.86906,-1.26234,0.998656,94.1816,1.0,39.9467,1.0,24.834,1,175.971,1.0,420.27,1.0,4.931,1,99.804,0,0.290302935144,0.885752688172,4.018,1.0,2.103,0.998656,,,4.72106282903226,,25.442,26.711,192.094,416.977,8.303,99.804,1.549,2.126,4.78344
2,200302,MY-PSO,2.973,102.3062,EBF,Tropical,6.54522,6.50669,-2.14405,0.988839,110.404,1.0,51.6224,1.0,25.395,1,214.219,1.0,419.433,1.0,5.781,1,99.671,0,0.313222748103,0.883928571429,5.546,1.0,2.047,0.999256,,,4.12607349032258,0.537463583365253,26.233,27.675,227.074,418.722,10.214,99.671,0.858,2.009,4.40117
3,200303,MY-PSO,2.973,102.3062,EBF,Tropical,5.95375,6.4003,-2.23192,0.975134,112.75,1.0,68.0482,1.0,26.145,1,237.843,1.0,422.919,1.0,7.292,1,99.624,0,0.296969386661,0.837365591398,5.505,1.0,1.927,0.998656,,,4.59094775,0.508409472108229,27.101,28.62,242.112,422.288,10.966,99.624,1.402,1.658,3.72183
4,200304,MY-PSO,2.973,102.3062,EBF,Tropical,7.51017,7.07512,-3.32779,0.883333,111.428,0.961111,62.6463,0.963194,26.232,1,228.36,1.0,426.558,1.0,6.343,1,99.556,0,,,6.961,1.0,1.79,0.998611,,,5.734922,0.53657512817543,26.641,27.961,230.328,422.883,8.274,99.556,2.949,1.144,4.18238
5,200305,MY-PSO,2.973,102.3062,EBF,Tropical,6.44744,7.81434,-2.9032,0.926075,98.7725,0.986559,41.1797,0.987231,26.693,1,196.945,1.0,423.177,1.0,7.405,1,99.51,0,,,3.129,1.0,1.846,1.0,,,4.38690049642857,0.571582998078753,27.116,28.475,222.59,420.058,8.834,99.51,2.454,1.625,3.5442400000000003
6,200306,MY-PSO,2.973,102.3062,EBF,Tropical,6.66061,6.46738,-3.06274,0.988194,101.046,1.0,49.2336,1.0,26.032,1,207.121,1.0,421.699,1.0,7.109,1,99.542,0,0.267534206595,0.872916666667,3.374,1.0,2.014,0.997917,,,5.6082758483871,,26.685,28.179,230.775,416.999,9.284,99.542,1.896,1.693,3.5978700000000003
7,200307,MY-PSO,2.973,102.3062,EBF,Tropical,7.26176,6.97268,-2.44732,0.997312,99.0077,1.0,39.5111,1.0,25.555,1,188.23,1.0,422.204,1.0,5.769,1,99.618,0,0.255367924787,0.858198924731,4.155,1.0,1.913,1.0,,,5.55731861,0.607953238783348,25.855,27.212,213.145,416.409,7.872,99.618,2.618,1.781,4.814439999999999
8,200308,MY-PSO,2.973,102.3062,EBF,Tropical,6.13348,6.1969,-2.12421,0.93414,93.3989,0.989919,49.3557,0.989919,26.072,1,202.272,1.0,421.645,1.0,7.606,1,99.609,0,0.274009277882,0.604166666667,2.394,1.0,1.967,0.997312,,,5.77703771290323,0.52692389947469,25.848,27.114,222.47,416.922,7.273,99.609,3.999,1.767,4.009269999999999
9,200309,MY-PSO,2.973,102.3062,EBF,Tropical,6.82445,6.8897,-2.29798,0.965972,97.4472,0.999306,48.3269,1.0,25.497,1,196.75,1.0,419.784,1.0,5.862,1,99.667,0,0.287196816235,0.704861111111,4.364,1.0,2.048,0.998611,,,6.15019892666667,0.554064260846134,25.493,26.702,219.41,414.633,6.508,99.667,4.344,1.722,4.52647
10,200310,MY-PSO,2.973,102.3062,EBF,Tropical,7.1074,6.77036,-2.58239,0.978495,101.343,1.0,48.6264,1.0,25.705,1,197.083,1.0,424.827,0.999328,6.644,1,99.646,0,0.275421687672,0.860887096774,4.445,1.0,1.92,0.997312,,,6.15586388064516,0.575461337440927,25.866,27.094,211.402,419.215,7.241,99.646,3.97,1.702,4.52501
11,200311,MY-PSO,2.973,102.3062,EBF,Tropical,5.63462,6.63539,-2.09781,0.983333,105.422,0.999306,45.9238,1.0,24.96,1,192.413,1.0,425.813,1.0,4.412,1,99.635,0,0.263158996426,0.877777777778,16.236,1.0,1.831,0.998611,,,6.08645753225806,,25.075,26.137,190.372,420.811,5.549,99.635,5.503,1.15,3.53681
