Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,AT-Neu,47.11667,11.3175,GRA,Continental,0.354427,0.300779,0.640575,0.883065,1.71981,0.980511,-18.6351,0.984543,-4.161,1.0,41.603,1.0,224.746,0.0,0.957,0.974462,91.067,0.0,,,0.265,1.0,0.552,0.758737,415.274,0.999328,0.146052626129032,0.0513603498096269,-3.268,-0.491,65.026,224.746,2.125,91.067,0.089,0.851,0.9950019999999999
2,200202,AT-Neu,47.11667,11.3175,GRA,Continental,0.117866,0.667346,1.24713,0.71875,2.51226,0.86756,-9.52664,0.880208,1.46,0.973958,79.149,0.755952,263.335,0.0,1.921,0.903274,90.435,0.0,,,1.293,1.0,0.893,0.906994,377.525,0.973958,1.40148241290323,0.498110736892959,1.029,3.21,81.454,263.335,2.167,90.435,0.982,1.033,1.364996
3,200203,AT-Neu,47.11667,11.3175,GRA,Continental,1.51711,1.09732,1.64216,0.858871,12.8527,0.965054,3.06378,0.961022,3.4,1.0,146.403,0.854167,257.236,0.0,3.207,0.987903,90.591,0.0,0.152559479029,0.710349462366,2.895,1.0,1.215,0.942876,377.726,1.0,0.727984493,0.363702564894855,3.462,5.636,152.296,257.236,3.032,90.591,0.964,1.081,3.1592700000000002
4,200204,AT-Neu,47.11667,11.3175,GRA,Continental,7.05242,6.4868,-1.01299,0.990278,29.0011,0.998611,9.94003,0.997222,5.976,0.999306,177.371,1.0,278.065,0.0,3.791,0.999306,90.359,0.0,0.160197227794,0.667361111111,2.227,1.0,1.33,0.786806,385.935,0.997917,0.340600017096774,,4.941,6.466,177.227,278.065,2.711,90.359,1.691,0.933,6.039429999999999
5,200205,AT-Neu,47.11667,11.3175,GRA,Continental,13.9568,13.097,-2.66261,0.984543,51.9079,0.997984,4.10309,0.99664,12.136,1.0,218.925,1.0,309.871,0.0,6.09,1.0,90.64,0.0,0.215946874511,0.822580645161,3.752,1.0,1.343,0.953629,392.768,0.998656,0.08746253825,0.0235913784299462,11.088,12.384,201.056,309.871,3.48,90.64,2.938,0.949,11.29419
6,200206,AT-Neu,47.11667,11.3175,GRA,Continental,10.7593,7.58797,2.8725,0.985417,67.2558,0.994444,11.7776,0.995139,17.176,1.0,242.288,1.0,332.579,0.0,8.501,1.0,91.033,0.0,0.189502878847,0.815277777778,3.344,1.0,1.262,0.95625,402.323,0.998611,0.467836871290323,0.213027730883354,16.521,17.755,227.051,332.579,5.928,91.033,3.466,0.803,13.6318
7,200207,AT-Neu,47.11667,11.3175,GRA,Continental,13.2591,12.005,-0.420406,0.980511,99.4542,0.993952,2.68234,0.987903,17.052,0.995296,219.407,1.0,339.438,0.0,5.335,0.995296,90.893,0.0,0.187322315052,0.66061827957,4.455,1.0,1.018,0.803091,401.412,0.995296,1.47100484333333,,16.633,17.713,211.36,339.438,5.421,90.893,3.381,0.823,12.838694
8,200208,AT-Neu,47.11667,11.3175,GRA,Continental,8.95187,6.06027,3.22883,0.983199,66.1717,1.0,7.45879,0.995296,16.531,1.0,191.007,1.0,340.304,0.0,5.123,1.0,90.852,0.0,0.167813917698,0.755376344086,4.187,1.0,1.073,0.901882,400.754,1.0,3.05650368064516,0.69388101075521,15.261,16.387,164.346,340.304,3.396,90.852,3.777,0.755,12.1807
9,200209,AT-Neu,47.11667,11.3175,GRA,Continental,7.42695,7.10643,0.120494,0.986806,37.4543,0.998611,5.94944,0.998611,10.755,1.0,141.99,1.0,312.347,0.0,3.05,1.0,90.831,0.0,0.149883564595,0.784027777778,3.018,1.0,0.926,0.960417,391.578,0.999306,2.20705319666667,0.578986962552664,10.217,11.565,124.5,312.347,3.121,90.831,2.063,0.865,7.547444
10,200210,AT-Neu,47.11667,11.3175,GRA,Continental,1.91476,1.08735,2.57412,0.967742,17.546,0.995296,0.955233,0.99664,7.642,1.0,99.668,1.0,289.891,0.0,2.749,1.0,90.581,0.0,0.168333597032,0.733870967742,1.282,1.0,0.96,0.928763,390.403,0.997984,3.69513643225806,0.703415655079738,7.017,8.689,99.064,289.891,2.775,90.581,1.298,0.911,4.48888
