Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,AU-Gin,-31.3764,115.7138,WSA,Temperate,5.33434,3.62215,-0.816621,0.0,54.7676,0.0,105.588,0.0,26.253,0.0,328.435,0.0,376.984,0.0,19.077,0.0,100.084,0.0,,,1.025,0.0,3.289,0.0,,,1.0727094483871,0.249815406657579,26.253,28.084,328.435,376.984,19.077,100.084,1.025,3.289,4.517719
2,201102,AU-Gin,-31.3764,115.7138,WSA,Temperate,5.50859,3.39191,-0.828538,0.0,55.4142,0.0,108.559,0.0,27.514,0.0,301.109,0.0,389.234,0.0,19.68,0.0,100.25,0.0,,,0.742,0.0,3.628,0.0,,,0.880776557419355,0.229446190723928,27.514,29.214,301.109,389.234,19.68,100.25,0.742,3.628,4.680052
3,201103,AU-Gin,-31.3764,115.7138,WSA,Temperate,5.23579,3.10988,-0.8191,0.0,57.446,0.0,112.043,0.0,25.469,0.0,270.026,0.0,364.208,0.0,18.505,0.0,100.62,0.0,,,0.128,0.0,3.343,0.0,,,1.07411673333333,0.253851092448536,25.469,27.432,270.026,364.208,18.505,100.62,0.128,3.343,4.41669
4,201104,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.68103,2.50598,-0.821183,0.0,60.1337,0.0,116.979,0.0,21.117,0.0,198.289,0.0,346.619,0.0,12.837,0.0,100.955,0.0,,,1.146,0.0,3.12,0.0,,,1.22760197419355,0.276404925046871,21.117,23.009,198.289,346.619,12.837,100.955,1.146,3.12,3.859847
5,201105,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.19953,1.93061,-0.816621,0.0,62.1538,0.0,119.829,0.0,17.36,0.0,140.606,0.0,340.773,0.0,8.273,0.0,101.332,0.0,,,2.099,0.0,2.801,0.0,,,1.06326817857143,0.243511504573393,17.36,18.838,140.606,340.773,8.273,101.332,2.099,2.801,3.382909
6,201106,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.84747,1.53294,-0.821183,0.0,62.8909,0.0,122.343,0.0,14.512,0.0,106.158,0.0,331.578,0.0,5.008,0.0,101.244,0.0,,,3.802,0.0,3.259,0.0,,,0.946845967741936,0.234915560657265,14.512,15.672,106.158,331.578,5.008,101.244,3.802,3.259,3.026287
7,201107,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.67047,1.54308,-0.827827,0.0,62.9551,0.0,123.248,0.0,13.006,0.0,105.937,0.0,333.384,0.0,3.56,0.0,101.155,0.0,,,4.565,0.0,3.112,0.0,,,0.783960951,0.224852186712336,13.006,14.175,105.937,333.384,3.56,101.155,4.565,3.112,2.842643
8,201108,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.78412,2.11904,-0.8191,0.0,60.2327,0.0,117.479,0.0,13.997,0.0,155.009,0.0,328.632,0.0,4.726,0.0,101.132,0.0,,,2.591,0.0,2.945,0.0,,,0.595093988064516,0.227476498665857,13.997,15.648,155.009,328.632,4.726,101.132,2.591,2.945,2.96502
9,201109,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.83887,2.59358,-0.821183,0.0,60.393,0.0,117.483,0.0,14.425,0.0,198.891,0.0,326.205,0.0,5.368,0.0,101.299,0.0,,,2.686,0.0,3.07,0.0,,,0.601453627333333,0.201415982148114,14.425,16.065,198.891,326.205,5.368,101.299,2.686,3.07,3.017687
10,201110,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.86959,3.14835,-0.642389,0.268817,65.3725,0.268145,96.8891,0.268145,17.361,0.269489,245.386,0.272177,344.838,0.269489,7.502,0.269489,100.757,0.256048,,,3.663,0.256048,2.967,0.256048,384.525,0.268145,0.578298339354839,0.202736579742491,17.773,19.403,248.29,346.088,7.555,100.756,3.56,2.972,3.227201
11,201111,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.40067,4.36904,-0.997492,0.761111,78.779,0.784028,99.6293,0.783333,19.235,0.790278,305.949,0.791667,342.946,0.790278,10.307,0.790278,100.69,0.783333,0.496942356584,0.713888888889,1.152,0.783333,3.603,0.781944,377.342,0.784722,0.599875387741935,0.23200949349355,19.669,21.301,314.567,341.206,10.639,100.694,1.323,3.397,3.4031779999999996
12,201112,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.61424,4.68209,-1.11196,0.976478,77.6172,0.997312,99.8576,0.997984,22.936,1.0,318.105,1.0,362.716,1.0,14.244,1.0,100.198,0.999328,0.477558615346,0.959677419355,0.948,1.0,3.565,0.999328,374.296,0.997312,0.78720427,0.227297892926233,23.79,25.391,317.896,364.162,15.501,100.209,1.838,3.238,3.50228
13,201201,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.05826,3.85241,-1.05607,0.976478,55.6512,0.994624,121.977,0.995968,25.986,1.0,323.039,1.0,378.341,1.0,18.479,1.0,100.282,0.989247,0.54762747037,0.973790322581,0.071,1.0,4.058,0.995968,371.759,0.99664,1.26299798387097,0.28382905706394,26.439,28.077,328.102,379.754,19.305,100.313,0.566,3.636,3.0021899999999997
14,201202,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.14003,3.97038,-0.640347,0.969828,60.6986,0.990661,103.268,0.991379,23.695,1.0,295.901,1.0,369.126,1.0,16.43,1.0,100.45,0.998563,0.486042232935,0.988505747126,1.531,1.0,3.546,0.99569,376.096,0.991379,1.33176433225806,0.278529782036753,25.059,26.939,299.085,373.908,16.452,100.449,0.936,3.34,3.499683
15,201203,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.83246,2.89964,-0.37249,0.966398,33.058,0.99664,105.514,0.997312,22.124,1.0,282.066,1.0,344.583,1.0,18.105,1.0,100.588,0.988575,0.456823724172,0.986559139785,0.013,1.0,3.542,0.999328,372.883,0.998656,1.27089417666667,0.276448520333226,24.092,26.249,272.516,348.738,19.011,100.617,0.0,3.406,2.45997
16,201204,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.10555,2.15517,-0.0510548,0.920833,37.6084,0.998611,61.7239,0.998611,17.961,1.0,182.385,1.0,354.364,1.0,9.144,1.0,101.024,0.998611,0.32750931316,0.986805555556,1.78,1.0,2.758,1.0,378.288,0.998611,1.18951873333333,0.277069546119805,20.176,22.09,177.352,353.43,10.78,101.045,0.633,2.802,2.0544952
17,201205,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.45328,2.03197,0.150236,0.897849,45.2007,0.993952,27.7565,0.993952,13.969,1.0,147.939,1.0,328.643,1.0,5.951,1.0,101.335,0.958333,0.276563874913,0.989247311828,1.11,1.0,2.568,0.997984,383.398,0.995968,1.28539932068966,0.282938797299884,16.457,18.328,140.604,330.228,7.03,101.355,1.605,2.566,2.603516
18,201206,AU-Gin,-31.3764,115.7138,WSA,Temperate,1.7617,2.28958,0.425768,0.330556,50.7814,0.340972,-13.1084,0.341667,13.714,0.343056,95.854,0.34375,339.157,0.343056,4.488,0.343056,101.098,0.263194,,,3.588,0.330556,3.077,0.325694,382.695,0.340972,1.09589889677419,0.273424922581668,14.255,15.509,99.364,337.538,4.972,101.106,4.233,3.187,2.187468
19,201207,AU-Gin,-31.3764,115.7138,WSA,Temperate,1.87951,1.93856,-0.0866409,0.0,50.3969,0.0,25.6223,0.0,12.043,0.0,128.777,0.0,310.38,0.0,4.822,0.0,101.591,0.0,,,1.664,0.0,2.456,0.0,383.682,0.0,1.13743969,0.28548224231176,12.043,13.862,128.777,310.38,4.822,101.591,1.664,2.456,1.7928691
20,201208,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.31666,2.64538,-0.454573,0.696237,54.2581,0.729167,37.0962,0.731183,12.301,0.735215,153.716,0.736559,329.396,0.735215,4.218,0.735215,101.228,0.694892,0.284587803276,0.697580645161,2.101,0.725806,2.516,0.722446,385.578,0.733199,0.906957403870968,0.273380818355929,13.512,15.376,148.517,327.642,4.379,101.227,2.315,2.56,1.8620870000000003
21,201209,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.37064,3.4804,-0.606356,0.850694,74.6309,0.861111,49.9538,0.861806,14.133,0.863889,223.384,0.865278,323.138,0.863889,6.436,0.863889,100.923,0.821528,0.447115982659,0.827777777778,2.027,0.852778,3.38,0.846528,383.312,0.8625,0.929759969333333,0.272497138316471,14.835,16.685,209.43,323.967,6.188,100.928,2.59,3.458,2.764284
22,201210,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.60459,4.02064,-1.18008,0.450269,74.793,0.455645,92.2365,0.454973,17.498,0.459005,279.211,0.459677,332.047,0.459005,9.599,0.459005,100.956,0.450269,,,0.314,0.450941,3.362,0.450941,387.552,0.456317,0.937882147741935,0.28574633955594,18.413,20.364,281.451,331.464,10.466,100.96,0.608,3.337,3.4245099999999997
23,201211,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.53443,4.59989,-1.24323,0.953472,71.8948,0.988194,112.948,0.989583,18.02,0.990972,309.305,0.990972,340.961,0.990972,8.828,0.990972,100.578,0.988194,0.48752950144,0.947916666667,1.585,0.988194,3.714,0.980556,380.427,0.990972,1.00584676032258,0.280613435705904,19.131,20.849,307.028,343.158,9.667,100.574,3.244,3.388,3.2912000000000003
24,201212,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.82364,3.78626,-0.302085,0.981855,65.611,0.998656,125.043,0.998656,22.855,1.0,328.492,1.0,364.019,1.0,14.586,1.0,100.567,1.0,0.462533039807,0.98185483871,0.677,1.0,3.519,0.994624,381.253,0.998656,1.17652637666667,0.283871462378485,24.026,25.89,335.706,363.26,16.268,100.58,1.522,2.985,3.521555
25,201301,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.87285,2.65515,-0.393299,0.971102,37.3904,0.99328,157.398,0.993952,24.264,1.0,340.995,1.0,366.332,1.0,15.567,1.0,100.52,1.0,0.551822616703,0.983198924731,0.426,1.0,4.034,0.997984,375.18,0.99664,1.14834142903226,0.262874205851734,25.345,27.002,338.107,369.484,17.315,100.534,0.652,3.573,2.4795510000000003
26,201302,AU-Gin,-31.3764,115.7138,WSA,Temperate,1.71897,2.0473,0.223236,0.930804,24.0285,0.979167,138.684,0.980655,25.237,1.0,311.428,1.0,366.245,1.0,20.443,1.0,100.48,1.0,0.490806613695,0.986607142857,0.0,1.0,3.717,0.997024,374.934,0.988839,1.15074385483871,0.264593461425983,26.541,28.627,316.36,365.399,21.562,100.509,0.1,3.361,1.942206
27,201303,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.20816,2.60605,0.0555378,0.412634,29.549,0.432124,114.283,0.432124,22.027,0.432124,251.741,0.434812,351.947,0.432124,11.651,0.432124,100.692,0.418011,,,2.258,0.418011,3.103,0.418011,382.344,0.432124,1.26901027333333,0.267910367720044,21.934,23.739,249.556,356.185,11.687,100.69,2.062,2.946,2.2636978
28,201304,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.33325,2.27229,0.139328,0.871528,36.4702,0.996528,52.4996,0.995833,22.519,1.0,169.326,1.0,366.541,1.0,11.817,1.0,100.854,1.0,0.273527702631,0.990972222222,0.42,1.0,2.342,1.0,396.625,0.998611,1.15441788387097,0.26220230471183,22.029,24.093,168.428,369.74,11.654,100.855,0.449,2.166,2.472578
29,201305,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.11705,2.20464,-0.784311,0.906586,47.4273,0.998656,31.8514,0.998656,16.803,1.0,140.215,1.0,337.854,1.0,6.866,1.0,100.954,1.0,0.276020759797,0.977822580645,2.555,1.0,2.596,0.999328,393.814,0.998656,1.04921127928571,0.247648591566805,15.585,17.065,133.331,338.111,5.245,100.963,2.893,2.727,1.332739
30,201306,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.13405,2.17289,-0.602761,0.863889,38.1266,0.989583,30.6067,0.989583,14.572,1.0,133.426,1.0,320.011,1.0,6.164,1.0,101.381,1.0,0.246036259431,0.982638888889,0.927,1.0,2.302,0.998611,389.386,0.989583,0.97219427,0.239426864134181,13.407,14.937,119.797,324.275,4.608,101.392,0.802,2.378,1.5312889999999997
31,201307,AU-Gin,-31.3764,115.7138,WSA,Temperate,1.81405,2.26389,-0.590348,0.75,42.1411,0.993952,25.1888,0.994624,13.512,1.0,127.655,1.0,321.561,1.0,5.761,1.0,101.3,1.0,0.287432599454,0.932795698925,3.31,1.0,2.684,0.997312,394.866,0.994624,0.940315128,0.259046542629299,12.358,13.889,116.176,322.822,4.188,101.297,3.18,2.855,1.2237019999999998
32,201308,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.43164,2.64867,-1.07257,0.90121,56.7575,0.991935,32.2177,0.991263,15.996,1.0,146.896,1.0,344.583,1.0,5.701,1.0,101.069,1.0,0.293118934329,0.954301075269,4.729,1.0,2.819,1.0,397.15,0.991263,0.706303690322581,0.239513516314975,14.265,15.751,132.226,340.003,3.929,101.038,3.831,3.063,1.3590699999999998
33,201309,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.47237,3.0762,-1.32848,0.928472,66.5013,0.994444,51.1299,0.994444,16.373,1.0,189.366,1.0,342.933,1.0,6.275,1.0,100.731,1.0,0.432376049673,0.8875,3.64,1.0,3.583,1.0,392.95,0.995139,0.701657180333333,0.253699008007926,14.587,16.073,175.792,341.581,4.283,100.688,4.514,3.86,1.14389
34,201310,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.20336,3.992,-1.04786,0.933468,66.5254,0.99664,102.755,0.99664,18.395,1.0,286.65,1.0,335.083,1.0,9.046,1.0,101.067,1.0,0.388302479505,0.977822580645,0.594,1.0,3.02,1.0,393.626,0.998656,0.665704854193548,0.233078254920059,17.464,19.498,279.082,332.617,8.258,101.039,0.923,2.846,3.1555
35,201311,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.97635,5.0385,-1.59082,0.984028,67.6126,0.998611,114.63,1.0,22.749,1.0,322.445,1.0,348.806,1.0,14.203,1.0,100.454,0.999306,0.503754797303,0.986805555556,2.033,0.999306,3.794,0.998611,375.502,1.0,0.747967895806452,0.252559302973572,22.42,24.3,330.709,350.375,14.602,100.454,0.249,3.604,3.38553
36,201312,AU-Gin,-31.3764,115.7138,WSA,Temperate,5.223,5.12293,-2.17121,0.00672043,56.902,0.007392,142.61,0.007392,23.898,0.00739247,360.819,0.00806452,348.335,0.00739247,17.827,0.00739247,100.53,0.0,,,0.088,0.0,3.315,0.0,375.653,0.00739247,0.852055886,0.254478846927826,23.877,25.865,360.828,348.262,17.806,100.53,0.088,3.315,3.05179
37,201401,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.32869,3.36598,-1.1019,0.977151,39.3342,0.997312,162.057,0.998656,25.829,1.0,357.877,1.0,362.01,1.0,18.132,1.0,100.404,1.0,0.556289097858,0.984543010753,0.006,1.0,4.139,1.0,368.809,1.0,1.15960529677419,0.268624914407369,25.581,27.478,351.787,361.934,19.276,100.401,0.006,3.648,2.22679
38,201402,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.05811,3.23407,-1.25328,0.984375,32.7368,0.99628,151.043,0.99628,26.664,1.0,337.04,1.0,363.827,1.0,20.244,1.0,100.464,1.0,0.551613731223,0.99255952381,0.0,1.0,4.136,1.0,349.158,0.997024,1.10585792580645,0.254738951250804,26.269,28.169,323.051,364.863,20.979,100.478,0.033,3.726,1.8048300000000002
39,201403,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.3478,2.44338,-0.642695,0.971102,29.3637,0.995968,109.887,0.995968,24.766,1.0,255.225,1.0,364.835,1.0,15.877,1.0,100.858,1.0,0.463009087812,0.987903225806,0.303,1.0,3.538,1.0,352.846,0.998656,1.1720738,0.265398346169465,24.118,26.109,251.889,362.995,16.392,100.868,0.29,3.293,1.7051049999999999
40,201404,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.05041,2.10349,-0.446396,0.9375,26.9198,0.998611,75.3276,0.998611,20.889,1.0,193.899,1.0,348.129,1.0,11.386,1.0,100.885,0.998611,0.311059142035,0.984722222222,1.39,0.998611,2.68,0.998611,374.007,1.0,1.27023443225806,0.274601965019045,20.105,22.116,195.264,345.878,11.003,100.883,0.949,2.382,1.6040139999999998
41,201405,AU-Gin,-31.3764,115.7138,WSA,Temperate,1.6459,2.41459,-0.629552,0.920699,45.5598,0.993952,26.9621,0.993952,17.476,1.0,118.142,1.0,358.077,1.0,5.694,1.0,101.007,1.0,0.287145081661,0.969086021505,3.716,1.0,2.489,1.0,390.999,0.995296,1.11107536785714,0.259341128632573,16.172,17.486,110.498,352.171,4.208,100.99,2.867,2.707,1.0163479999999998
42,201406,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.25325,2.30129,-0.222487,0.947222,45.816,0.980556,16.7683,0.98125,14.367,1.0,122.229,1.0,322.113,1.0,6.323,1.0,101.514,1.0,0.274983612816,0.959722222222,4.413,1.0,2.573,1.0,391.098,0.988889,1.0854511483871,0.25466108474837,13.284,14.833,111.19,323.266,4.729,101.498,2.247,2.733,2.030763
43,201407,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.16118,2.34505,-0.508683,0.985887,46.736,1.0,14.1267,1.0,14.638,1.0,118.813,1.0,337.639,1.0,5.569,1.0,101.276,1.0,0.317828136262,0.931451612903,3.806,1.0,2.716,1.0,394.665,1.0,1.02051297433333,0.250143495345296,13.034,14.311,105.147,332.688,3.865,101.247,2.758,3.033,1.6524969999999999
44,201408,AU-Gin,-31.3764,115.7138,WSA,Temperate,2.91396,2.78775,-0.843971,0.895833,52.4996,0.969758,36.9261,0.968414,16.927,1.0,164.839,1.0,334.528,1.0,7.809,1.0,101.46,0.852151,0.333828605201,0.83064516129,1.677,0.999328,2.746,0.998656,393.194,0.969086,0.719056377741936,0.192759508927928,15.335,17.091,154.206,334.078,5.647,101.459,2.251,2.84,2.0699889999999996
45,201409,AU-Gin,-31.3764,115.7138,WSA,Temperate,3.18158,3.19655,-0.754723,0.761806,54.7875,0.865278,63.8799,0.870139,17.095,1.0,203.329,1.0,339.045,1.0,7.089,1.0,101.004,0.646528,0.347959038927,0.622916666667,2.353,1.0,3.044,1.0,389.018,0.870833,0.749199124,0.243269493402507,15.924,17.62,190.826,338.441,5.804,100.993,2.11,3.037,2.426857
46,201410,AU-Gin,-31.3764,115.7138,WSA,Temperate,4.53304,4.73839,-1.56451,0.928763,69.599,0.986559,92.4244,0.986559,18.755,1.0,268.419,1.0,341.433,1.0,9.117,1.0,100.937,0.905242,0.406454074884,0.884408602151,0.987,1.0,2.997,1.0,386.005,0.989247,0.695892971935484,0.244129247711993,18.2,20.072,279.493,339.678,8.512,100.913,1.864,2.874,2.9685299999999994
47,201411,AU-Gin,-31.3764,115.7138,WSA,Temperate,5.09888,5.04818,-1.92224,0.940972,69.9898,0.979167,116.168,0.979861,19.948,1.0,306.52,1.0,344.265,1.0,10.275,1.0,100.767,0.8875,0.468058544627,0.857638888889,0.627,1.0,3.264,1.0,380.324,0.980556,0.873139141290323,0.250874315018286,19.839,21.732,326.959,341.422,11.015,100.748,0.694,3.032,3.1766400000000004
