Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,AU-Whr,-36.6732,145.0294,EBF,Temperate,6.76611,3.62906,-2.92673,0.0,66.1812,0.0,142.741,0.0,21.703,0.0,297.43,0.0,358.961,0.0,11.636,0.0,98.976,0.0,,,3.338,0.0,2.392,0.0,,,1.49717080322581,0.29584480838015,21.703,23.304,297.43,358.961,11.636,98.976,3.338,2.392,3.8393800000000002
2,201102,AU-Whr,-36.6732,145.0294,EBF,Temperate,6.63733,3.49479,-2.92333,0.0,65.9979,0.0,142.082,0.0,20.774,0.0,252.886,0.0,366.874,0.0,9.177,0.0,99.4,0.0,,,2.744,0.0,2.397,0.0,,,1.22947011290323,0.268512768470873,20.774,22.308,252.886,366.874,9.177,99.4,2.744,2.397,3.7140000000000004
3,201103,AU-Whr,-36.6732,145.0294,EBF,Temperate,6.26165,3.24473,-2.93601,0.0,65.5608,0.0,141.178,0.0,17.871,0.0,213.843,0.0,345.14,0.0,7.322,0.0,99.512,0.0,,,1.183,0.0,2.39,0.0,,,1.15540015333333,0.250777359836818,17.871,19.507,213.843,345.14,7.322,99.512,1.183,2.39,3.3256400000000004
4,201104,AU-Whr,-36.6732,145.0294,EBF,Temperate,5.8384,2.6046,-2.92887,0.0,65.2793,0.0,140.637,0.0,14.67,0.0,163.264,0.0,323.028,0.0,5.635,0.0,100.077,0.0,,,0.561,0.0,1.982,0.0,,,1.08118335483871,0.250675526639801,14.67,16.703,163.264,323.028,5.635,100.077,0.561,1.982,2.90953
5,201105,AU-Whr,-36.6732,145.0294,EBF,Temperate,5.39212,1.6635,-2.92673,0.0,63.3133,0.0,136.556,0.0,11.116,0.0,98.436,0.0,317.455,0.0,3.474,0.0,99.934,0.0,,,0.984,0.0,2.099,0.0,,,1.54464627857143,0.325886276465916,11.116,12.732,98.436,317.455,3.474,99.934,0.984,2.099,2.46539
6,201106,AU-Whr,-36.6732,145.0294,EBF,Temperate,5.28329,1.50869,-2.92887,0.0,62.1595,0.0,133.916,0.0,10.214,0.0,88.33,0.0,305.695,0.0,3.115,0.0,100.032,0.0,,,0.653,0.0,2.482,0.0,,,1.49127056129032,0.330127250150496,10.214,11.902,88.33,305.695,3.115,100.032,0.653,2.482,2.35442
7,201107,AU-Whr,-36.6732,145.0294,EBF,Temperate,5.18775,1.41788,-2.92387,0.0,64.1003,0.0,138.006,0.0,9.469,0.0,82.922,0.0,310.485,0.0,2.861,0.0,99.939,0.0,,,1.356,0.0,2.732,0.0,,,1.26542228,0.343190563783244,9.469,10.817,82.922,310.485,2.861,99.939,1.356,2.732,2.2638800000000003
8,201108,AU-Whr,-36.6732,145.0294,EBF,Temperate,5.4165,2.06138,-2.93601,0.0,65.2879,0.0,140.59,0.0,11.196,0.0,124.905,0.0,309.779,0.0,4.195,0.0,99.866,0.0,,,1.259,0.0,1.942,0.0,,,1.24846019354839,0.34673544892043,11.196,13.019,124.905,309.779,4.195,99.866,1.259,1.942,2.48049
9,201109,AU-Whr,-36.6732,145.0294,EBF,Temperate,5.63667,2.96425,-2.92887,0.0,67.0934,0.0,144.546,0.0,13.024,0.0,189.689,0.0,310.031,0.0,6.35,0.0,99.544,0.0,,,1.53,0.0,2.7,0.0,,,1.39594742333333,0.345904471068813,13.024,14.806,189.689,310.031,6.35,99.544,1.53,2.7,2.7077999999999998
10,201110,AU-Whr,-36.6732,145.0294,EBF,Temperate,5.91332,3.31236,-2.92673,0.0,67.3428,0.0,145.247,0.0,15.223,0.0,222.172,0.0,331.763,0.0,7.151,0.0,99.63,0.0,,,0.781,0.0,2.347,0.0,,,1.20049773225806,0.326260811412187,15.223,17.005,222.172,331.763,7.151,99.63,0.781,2.347,2.9865899999999996
11,201111,AU-Whr,-36.6732,145.0294,EBF,Temperate,6.42855,3.79189,-2.93698,0.0,67.6355,0.0,144.646,0.0,19.097,0.0,281.41,0.0,347.813,0.0,10.505,0.0,99.277,0.0,,,2.001,0.0,2.328,0.0,,,1.15189506129032,0.311244990542652,19.097,20.729,281.41,347.813,10.505,99.277,2.001,2.328,3.4915700000000003
12,201112,AU-Whr,-36.6732,145.0294,EBF,Temperate,4.7902,4.74389,-2.04546,0.963038,67.239,0.984543,143.749,0.983871,19.946,0.985887,337.289,0.97043,339.977,0.985887,12.041,0.985887,99.214,0.982527,0.683650518439,0.960349462366,1.115,0.0,3.161,0.982527,364.222,0.985887,1.25374059333333,0.299223842597505,19.895,21.529,323.818,343.611,12.148,99.26,1.115,2.563,2.7447399999999997
13,201201,AU-Whr,-36.6732,145.0294,EBF,Temperate,4.1278,3.73652,-0.903848,0.97379,58.16,0.994624,137.079,0.995296,22.585,1.0,322.358,0.976478,355.791,1.0,16.121,1.0,99.177,1.0,0.701542661227,0.979838709677,0.855,0.0,3.32,1.0,363.535,1.0,1.1560902483871,0.263352516689762,22.871,24.634,325.988,357.306,17.288,99.198,0.855,2.997,3.2239519999999997
14,201202,AU-Whr,-36.6732,145.0294,EBF,Temperate,4.10027,3.64748,-0.0591897,0.951149,64.0196,0.997126,88.6974,0.997126,21.607,1.0,259.301,0.997845,356.923,1.0,12.503,1.0,99.143,1.0,0.527064721305,0.987787356322,1.526,0.0,2.522,1.0,368.331,1.0,0.970551971935484,0.23893565527295,21.62,23.382,259.788,361.365,13.16,99.168,1.526,2.322,4.0410803
15,201203,AU-Whr,-36.6732,145.0294,EBF,Temperate,4.16465,3.9386,-0.25149,0.985887,70.0541,0.999328,53.3966,0.999328,18.162,1.0,214.582,1.0,340.483,1.0,7.987,1.0,99.482,1.0,0.540249389843,0.972446236559,1.404,0.0,2.601,1.0,370.411,1.0,1.03372773833333,0.227778339521774,17.624,19.2,205.837,341.141,7.775,99.506,1.404,2.516,3.91316
16,201204,AU-Whr,-36.6732,145.0294,EBF,Temperate,3.60151,3.21111,-0.903982,0.978472,41.1459,1.0,37.1944,1.0,15.898,1.0,163.571,1.0,324.29,1.0,7.002,1.0,99.927,1.0,0.344636229314,0.995833333333,0.739,0.0,1.8,1.0,370.651,1.0,1.05558763,0.246804582603386,15.55,17.538,165.923,324.987,6.672,99.895,0.739,1.918,2.697528
17,201205,AU-Whr,-36.6732,145.0294,EBF,Temperate,2.66926,2.66442,-1.32057,0.964382,26.3318,0.997312,15.7934,0.997312,11.468,1.0,109.803,1.0,308.601,1.0,4.157,1.0,100.125,1.0,0.365466903073,0.965725806452,0.904,0.0,1.936,1.0,370.707,1.0,1.19379666896552,0.263652572454912,11.672,13.365,107.684,310.81,4.511,100.048,0.904,2.124,1.34869
18,201206,AU-Whr,-36.6732,145.0294,EBF,Temperate,1.65397,1.868,-0.41765,0.957639,19.8972,0.999306,3.77545,0.999306,9.548,1.0,80.401,1.0,306.234,1.0,2.675,1.0,99.934,1.0,0.403330148459,0.94375,1.288,0.0,2.188,1.0,395.78,1.0,1.2282412,0.271669264434084,9.56,11.051,77.332,307.281,2.715,99.856,1.288,2.361,1.2363199999999999
19,201207,AU-Whr,-36.6732,145.0294,EBF,Temperate,2.41076,2.44665,-0.408058,0.969758,27.0624,0.997312,5.38421,0.997312,9.312,0.997984,86.857,0.998656,311.898,0.997984,2.358,0.997984,100.125,0.994624,0.371026300236,0.957661290323,1.452,0.0,1.979,0.994624,389.94,0.997312,1.011822662,0.284855229099004,9.148,10.639,81.009,311.751,2.4,100.111,1.452,2.255,2.0027019999999998
20,201208,AU-Whr,-36.6732,145.0294,EBF,Temperate,2.94156,2.8556,-1.43024,0.986559,39.5257,0.999328,17.9059,0.999328,9.425,1.0,121.343,1.0,308.266,1.0,3.201,1.0,99.627,1.0,0.500044725685,0.971102150538,1.229,0.0,2.436,1.0,386.543,1.0,0.987800629032258,0.284563352906372,9.785,11.243,119.749,305.997,3.732,99.561,1.229,2.881,1.51132
21,201209,AU-Whr,-36.6732,145.0294,EBF,Temperate,3.48173,3.67439,-1.61858,0.951389,41.2356,0.997222,48.5337,0.997917,12.435,1.0,174.521,0.997917,312.661,1.0,5.745,1.0,99.518,1.0,0.462966201562,0.984722222222,0.925,0.0,2.23,1.0,384.429,1.0,1.09615244666667,0.298736028529246,12.606,14.281,179.764,313.114,6.009,99.464,0.925,2.542,1.8631500000000003
22,201210,AU-Whr,-36.6732,145.0294,EBF,Temperate,4.224,4.09084,-1.98105,0.954973,48.9274,0.998656,83.9694,1.0,14.997,1.0,242.35,0.989919,315.211,1.0,9.047,1.0,99.694,0.999328,0.500516926034,0.997983870968,0.785,0.0,2.449,0.999328,382.725,1.0,1.01656558,0.275843983147002,14.794,16.722,255.82,314.121,8.392,99.666,0.785,2.325,2.2429500000000004
23,201211,AU-Whr,-36.6732,145.0294,EBF,Temperate,4.04264,3.76494,-1.26031,0.98125,47.6053,0.998611,120.136,0.998611,19.081,1.0,286.334,0.990278,337.792,1.0,12.539,1.0,99.395,1.0,0.596952915682,0.995833333333,0.279,0.0,2.849,1.0,384.762,1.0,0.914604592903226,0.271574581634217,19.129,21.016,302.538,334.943,12.623,99.388,0.279,2.333,2.7823299999999995
24,201212,AU-Whr,-36.6732,145.0294,EBF,Temperate,3.92332,3.83782,-1.37259,0.959005,54.4485,0.994624,133.102,0.995968,20.664,1.0,317.94,0.984543,342.813,1.0,14.663,1.0,99.282,1.0,0.659810993121,0.987231182796,0.18,0.0,3.084,1.0,377.041,1.0,0.964580646666667,0.26238595949556,20.971,22.781,335.905,341.501,15.571,99.291,0.18,2.659,2.5507299999999997
25,201301,AU-Whr,-36.6732,145.0294,EBF,Temperate,3.74159,3.74038,-1.17606,0.972446,41.5824,0.995968,153.843,0.99664,22.792,1.0,342.599,0.995296,347.897,1.0,18.93,1.0,98.955,1.0,0.73602927024,0.997983870968,0.031,0.0,3.491,1.0,366.131,1.0,1.0956358516129,0.256097466548118,22.693,24.905,340.263,344.735,18.899,99.0,0.031,2.767,2.56553
26,201302,AU-Whr,-36.6732,145.0294,EBF,Temperate,3.63569,3.04784,-0.669273,0.959821,37.2077,0.99628,121.578,0.99628,23.474,1.0,280.215,0.991071,363.382,1.0,17.271,1.0,99.397,1.0,0.596147622851,0.983630952381,0.936,0.0,2.864,1.0,354.064,1.0,1.00092519064516,0.226348266006586,23.342,25.379,285.398,362.515,16.978,99.427,0.936,2.286,2.966417
27,201303,AU-Whr,-36.6732,145.0294,EBF,Temperate,3.61376,2.82604,0.116297,0.957661,44.4692,0.997984,75.3288,0.997984,21.135,1.0,224.421,1.0,350.24,1.0,14.273,1.0,99.55,1.0,0.495181056293,0.990591397849,0.41,0.0,2.386,1.0,383.56,1.0,0.933985422,0.232289513997553,20.836,22.763,224.608,348.252,14.263,99.536,0.41,2.369,3.730057
28,201304,AU-Whr,-36.6732,145.0294,EBF,Temperate,2.85505,2.81686,-0.990712,0.952083,24.8286,0.998611,48.2256,0.998611,16.488,1.0,160.844,1.0,329.292,1.0,8.607,1.0,99.828,0.998611,0.405983949911,0.991666666667,0.231,0.0,2.028,1.0,378.154,1.0,1.02274539258065,0.235136750169527,16.007,17.978,156.703,330.067,7.674,99.842,0.231,2.046,1.8643379999999998
29,201305,AU-Whr,-36.6732,145.0294,EBF,Temperate,2.04708,1.92919,-0.41863,0.914651,19.864,1.0,21.6205,1.0,12.19,1.0,110.075,1.0,311.819,1.0,4.68,1.0,100.033,1.0,0.344175325666,0.99126344086,0.792,0.0,1.795,1.0,381.391,1.0,1.10883161785714,0.269356972199675,12.249,14.07,108.619,312.997,4.688,100.009,0.792,2.183,1.6284499999999997
30,201306,AU-Whr,-36.6732,145.0294,EBF,Temperate,1.79493,2.10776,-0.186141,0.957639,23.2228,0.996528,14.1458,0.996528,10.2,1.0,93.372,1.0,303.502,1.0,3.115,1.0,99.983,1.0,0.351684130769,0.956944444444,1.751,0.0,1.754,1.0,385.501,1.0,1.15591575806452,0.278897686209906,9.656,11.464,83.384,307.526,2.592,99.985,1.751,1.967,1.6087889999999998
31,201307,AU-Whr,-36.6732,145.0294,EBF,Temperate,1.85563,1.95433,-0.636981,0.924059,22.4924,0.967742,7.52778,0.968414,10.072,0.975134,80.016,0.977823,319.745,0.97379,2.415,0.975134,100.052,0.93414,0.413416962302,0.891801075269,1.792,0.0,2.032,0.935484,385.918,0.97379,0.953687694333333,0.270306879845213,10.02,11.536,83.964,311.678,2.635,99.995,1.792,2.47,1.2186489999999999
32,201308,AU-Whr,-36.6732,145.0294,EBF,Temperate,2.67722,2.56399,-1.0462,0.964382,37.7654,0.999328,16.0763,0.999328,10.579,1.0,116.324,1.0,316.19,1.0,3.243,1.0,99.375,1.0,0.514025103274,0.981182795699,1.52,0.0,2.546,1.0,388.141,1.0,0.866096662258064,0.263143386609505,10.802,12.057,107.695,318.169,3.658,99.297,1.52,3.065,1.6310200000000001
33,201309,AU-Whr,-36.6732,145.0294,EBF,Temperate,3.95374,3.74106,-1.81703,0.970139,43.651,0.999306,50.5048,0.995833,14.239,1.0,176.204,1.0,326.454,1.0,6.157,1.0,99.415,1.0,0.462537051482,0.939583333333,1.816,0.0,2.217,0.999306,380.041,0.999306,0.867846207,0.257498878423828,14.04,15.584,173.608,325.128,6.026,99.288,1.816,2.445,2.13671
34,201310,AU-Whr,-36.6732,145.0294,EBF,Temperate,4.47808,4.02848,-2.01653,0.97043,48.5018,0.998656,89.5363,0.999328,14.706,1.0,245.131,0.990591,315.089,1.0,8.548,1.0,99.468,1.0,0.579409046484,0.987903225806,0.774,0.0,2.827,1.0,384.58,0.999328,0.749889004516129,0.241174739408547,14.464,16.157,244.869,315.218,7.774,99.382,0.774,2.815,2.4615500000000003
35,201311,AU-Whr,-36.6732,145.0294,EBF,Temperate,3.89829,3.81709,-1.52025,0.972222,50.6783,0.997222,113.174,0.995833,16.825,1.0,277.196,0.973611,326.272,1.0,10.345,1.0,99.383,1.0,0.607457664551,0.990972222222,0.784,0.0,2.905,1.0,382.457,0.999306,0.760372713870968,0.237369239841212,16.707,18.586,280.804,330.175,9.436,99.372,0.784,2.693,2.3780399999999995
36,201312,AU-Whr,-36.6732,145.0294,EBF,Temperate,4.26498,3.99369,-0.909847,0.954301,64.4204,0.991935,119.154,0.99328,20.611,1.0,310.209,0.975134,343.709,1.0,15.115,1.0,99.189,0.999328,0.624914742873,0.984543010753,0.739,0.0,3.034,1.0,388.717,1.0,1.11603252366667,0.239018848086771,20.557,22.524,320.575,341.156,15.011,99.178,0.739,2.575,3.3551330000000004
37,201401,AU-Whr,-36.6732,145.0294,EBF,Temperate,4.34962,4.06848,-0.936279,0.958333,49.3166,0.999328,144.981,0.999328,23.703,1.0,332.868,0.984543,358.923,1.0,20.309,1.0,99.241,1.0,0.704657643698,0.993951612903,0.297,0.0,3.323,1.0,374.34,1.0,1.25768666774194,0.279758510781177,23.451,25.448,327.202,356.382,19.832,99.246,0.297,2.795,3.413341
