Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199401,CA-Man,55.87962,-98.48081,ENF,Continental,-0.68642,0.0,0.69886,0.0,,0.0,,0.0,-29.421,0.0,32.979,0.0,150.18,0,0.051,0,99.021,0,,,0.166,0.0,3.122,0.0,,,,,-29.421,-28.82,32.979,150.18,0.051,99.021,0.166,3.122,0.012440000000000007
2,199402,CA-Man,55.87962,-98.48081,ENF,Continental,-0.671455,0.0,0.697149,0.0,,0.0,,0.0,-25.085,0.0,70.837,0.0,160.035,0,0.134,0,98.604,0,,,0.4,0.0,3.188,0.0,,,,,-25.085,-24.246,70.837,160.035,0.134,98.604,0.4,3.188,0.025693999999999995
3,199403,CA-Man,55.87962,-98.48081,ENF,Continental,-0.317543,0.0,0.638668,0.0,,0.0,,0.0,-8.844,0.194892,116.536,0.196909,232.668,0,0.919,0,97.947,0,,,1.01,0.182124,3.415,0.0,,,,,-8.46,-7.023,113.576,232.668,0.919,97.947,0.812,3.415,0.321125
4,199404,CA-Man,55.87962,-98.48081,ENF,Continental,0.0308523,0.0700699,0.438037,0.579861,,0.584028,,0.584722,-3.099,0.586806,224.351,0.594444,225.955,0,2.359,0,98.378,0,,,0.021,0.534028,3.385,0.489583,363.228,0.5875,,,-3.72,-1.699,218.711,225.955,2.359,98.378,0.169,3.327,0.4688893
5,199405,CA-Man,55.87962,-98.48081,ENF,Continental,2.66336,2.00301,-0.805745,0.557796,,0.575941,,0.581989,6.793,0.584005,211.562,0.588038,287.276,0,5.032,0,98.184,0,,,0.886,0.551075,3.582,0.530914,361.69,0.579301,,,7.337,8.714,225.583,287.276,5.032,98.184,0.997,3.581,1.857615
6,199406,CA-Man,55.87962,-98.48081,ENF,Continental,4.45332,4.12075,-1.43906,0.944444,,0.948611,,0.947917,15.312,0.950694,293.157,0.953472,309.902,0,9.118,0,98.047,0,0.377898123467,0.810416666667,1.072,0.925,3.066,0.895139,358.86,0.952083,,,15.303,16.533,276.215,309.902,9.118,98.047,1.265,2.86,3.0142599999999997
7,199407,CA-Man,55.87962,-98.48081,ENF,Continental,5.16558,4.2488,0.670432,0.825269,,0.825941,,0.829301,16.694,0.918011,241.989,0.834677,331.295,0,8.96,0,98.176,0,0.347707308561,0.70564516129,1.735,0.896505,3.357,0.775538,353.25,0.919355,,,17.112,18.209,233.306,331.295,8.96,98.176,1.205,3.221,5.836012
8,199408,CA-Man,55.87962,-98.48081,ENF,Continental,3.12801,4.69825,-0.184197,0.380376,,0.455645,,0.466398,14.374,0.982527,192.498,0.197581,320.076,0,7.576,0,98.291,0,,,0.739,0.96371,3.444,0.425403,350.579,0.985215,,,15.097,16.409,203.239,320.076,7.576,98.291,0.335,3.327,2.943813
9,199409,CA-Man,55.87962,-98.48081,ENF,Continental,3.17845,2.27386,0.622045,0.935417,,0.940278,,0.94375,11.419,0.951389,141.932,0.95625,307.662,0,5.122,0,98.112,0,0.388997030543,0.69375,0.605,0.838194,3.681,0.775,355.764,0.956944,,,11.708,12.958,131.904,307.662,5.122,98.112,0.598,3.533,3.800495
10,199410,CA-Man,55.87962,-98.48081,ENF,Continental,0.58618,0.52372,0.744117,0.988575,,0.989919,,0.991935,2.297,0.993952,63.706,0.995968,288.552,0,1.395,0,97.918,0,0.400986811597,0.865591397849,0.451,0.981855,3.359,0.916667,360.077,0.99664,,,2.63,3.54,55.97,288.552,1.395,97.918,0.563,3.392,1.330297
