Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200101,CA-NS6,55.91667,-98.96444,OSH,Continental,-0.436836,0.254485,0.822191,0.0,,0.0,,0.0,-14.879,0.0,24.621,0.0,212.864,0,0.28,0.0,98.15,0,,,0.371,0.0,2.28,0.0,,,0.11428571,0.145873270769555,-14.879,-14.017,24.621,212.864,0.28,98.15,0.371,2.28,0.385355
2,200102,CA-NS6,55.91667,-98.96444,OSH,Continental,-0.645134,0.553795,0.821619,0.0,,0.0,,0.0,-21.486,0.0,63.972,0.0,179.03,0,0.258,0.0,98.641,0,,,0.18,0.0,2.083,0.0,,,0.215026376451613,0.149395526536823,-21.486,-20.561,63.972,179.03,0.258,98.641,0.18,2.083,0.176485
3,200103,CA-NS6,55.91667,-98.96444,OSH,Continental,-0.15979,0.826204,0.821719,0.0,,0.0,,0.0,-8.499,0.0,108.911,0.0,229.615,0,0.937,0.0,98.429,0,,,0.46,0.0,2.235,0.0,,,0.185966831666667,,-8.499,-6.874,108.911,229.615,0.937,98.429,0.46,2.235,0.661929
4,200104,CA-NS6,55.91667,-98.96444,OSH,Continental,0.342986,1.27345,0.821851,0.0,,0.0,,0.0,1.364,0.0,198.79,0.0,248.697,0,3.56,0.0,98.305,0,,,0.283,0.0,2.317,0.0,,,0.68764514,,1.364,3.637,198.79,248.697,3.56,98.305,0.283,2.317,1.164837
5,200105,CA-NS6,55.91667,-98.96444,OSH,Continental,0.823201,1.35126,0.822191,0.0,,0.0,,0.0,10.189,0.0,214.434,0.0,291.43,0,6.262,0.0,97.925,0,,,1.26,0.0,2.781,0.0,,,0.11916667,0.145250654993552,10.189,11.461,214.434,291.43,6.262,97.925,1.26,2.781,1.645392
6,200106,CA-NS6,55.91667,-98.96444,OSH,Continental,1.08082,1.55252,0.821851,0.0,,0.0,,0.0,14.855,0.0,246.234,0.0,308.317,0,8.768,0.0,98.217,0,,,0.913,0.0,2.34,0.0,,,0.129115799677419,0.0444788792459318,14.855,15.934,246.234,308.317,8.768,98.217,0.913,2.34,1.9026709999999998
7,200107,CA-NS6,55.91667,-98.96444,OSH,Continental,1.35096,1.48032,0.821642,0.0,,0.0,,0.0,19.803,0.0,228.482,0.0,340.988,0,9.486,0.0,97.98,0,,,1.017,0.0,2.6,0.0,,,0.227188301333333,0.0775522354533921,19.803,20.862,228.482,340.988,9.486,97.98,1.017,2.6,2.172602
8,200108,CA-NS6,55.91667,-98.96444,OSH,Continental,1.2387,1.22535,0.821719,0.0,,0.0,,0.0,17.734,0.0,179.324,0.0,333.011,0,7.798,0.0,97.911,0,,,1.102,0.0,2.465,0.0,,,0.532301227096774,0.176875185612413,17.734,18.959,179.324,333.011,7.798,97.911,1.102,2.465,2.060419
9,200109,CA-NS6,55.91667,-98.96444,OSH,Continental,0.912936,0.916473,0.82192,0.00763889,,0.007639,,0.007639,11.786,0.00763889,121.952,0.00833333,305.967,0,4.778,0.00763889,98.3,0,,,0.558,0.0,2.468,0.0,,,1.63116938666667,0.240474857430668,11.876,13.052,121.952,305.967,4.843,98.3,0.558,2.468,1.734856
10,200110,CA-NS6,55.91667,-98.96444,OSH,Continental,0.283681,0.334763,0.566532,0.989247,,0.997984,,0.963038,1.73,1.0,59.653,1.0,274.071,0,1.51,1.0,97.721,0,0.386843656744,0.98185483871,0.304,0.999328,2.579,0.981183,375.731,0.962366,1.97812452580645,0.356059146299916,1.915,2.753,59.182,274.071,1.772,97.721,0.47,2.574,0.8502130000000001
11,200111,CA-NS6,55.91667,-98.96444,OSH,Continental,-0.00584546,0.142074,0.239584,0.824306,,0.929167,,0.909722,-6.415,0.998611,26.012,0.998611,247.589,0,0.508,0.998611,98.491,0,0.297238507699,0.784722222222,0.501,0.995833,2.167,0.825,371.655,0.950694,1.7974721,0.295663668294491,-5.934,-5.348,26.788,247.589,0.687,98.491,0.326,2.264,0.23373854
12,200112,CA-NS6,55.91667,-98.96444,OSH,Continental,-0.0356301,0.00411,0.224756,0.798387,,0.877688,,0.876344,-15.562,1.0,17.41,1.0,220.689,0,0.292,1.0,98.062,0,0.289271848603,0.864247311828,0.295,0.999328,2.155,0.870968,370.257,0.877688,0.737705815666667,0.212233845856869,-14.165,-13.697,14.006,220.689,0.28,98.062,0.433,2.257,0.1891259
13,200201,CA-NS6,55.91667,-98.96444,OSH,Continental,-0.123021,0.0,0.240915,0.767473,,0.918011,,0.922043,-21.333,1.0,33.239,0.962366,181.419,0,0.225,0.999328,98.019,0,0.236342776134,0.813172043011,0.256,0.998656,1.688,0.816532,365.134,0.918011,0.11428571,0.0624110502499536,-21.669,-21.21,29.431,181.419,0.228,98.019,0.091,1.937,0.11789399999999998
14,200202,CA-NS6,55.91667,-98.96444,OSH,Continental,-0.0483599,0.00339309,0.150601,0.90625,,0.997768,,0.997768,-16.504,1.0,68.487,0.997024,201.5,0,0.517,1.0,98.414,0,0.293428571429,1.0,0.336,0.998512,2.244,1.0,362.917,0.997768,0.339901650322581,0.159725604091927,-16.392,-15.467,61.336,201.5,0.397,98.414,0.275,2.13,0.10224110000000002
15,200203,CA-NS6,55.91667,-98.96444,OSH,Continental,-0.00178848,0.0104043,0.17195,0.928763,,1.0,,1.0,-15.67,1.0,135.674,1.0,189.256,0,0.805,1.0,98.623,0,0.339300925225,0.980510752688,0.424,0.998656,2.454,0.978495,360.202,1.0,0.131328414333333,0.162080525556324,-15.253,-13.958,123.827,189.256,0.67,98.623,0.449,2.334,0.17016151999999998
16,200204,CA-NS6,55.91667,-98.96444,OSH,Continental,0.0328237,0.0726854,0.218709,0.956944,,1.0,,1.0,-4.619,1.0,192.361,1.0,234.911,0,1.971,1.0,98.38,0,0.400137029383,0.980555555556,0.486,0.995833,2.849,0.979167,357.461,1.0,0.68764514,0.149101093778378,-3.935,-2.393,183.816,234.911,2.092,98.38,0.964,2.767,0.2515327
17,200205,CA-NS6,55.91667,-98.96444,OSH,Continental,0.51525,0.354106,0.148013,0.967742,,1.0,,1.0,4.519,1.0,264.385,1.0,256.161,0,5.048,1.0,98.37,0,0.405827284946,1.0,0.444,1.0,2.708,1.0,355.041,1.0,0.11916667,0.124283599765136,4.222,5.715,251.879,256.161,4.756,98.37,0.534,2.49,0.6632629999999999
18,200206,CA-NS6,55.91667,-98.96444,OSH,Continental,2.14683,2.20391,-0.625273,0.959722,,0.992361,,0.990278,16.839,0.996528,263.998,0.996528,310.226,0,11.001,0.996528,98.007,0,0.401098763519,0.970138888889,1.063,0.991667,2.379,0.96875,356.474,0.993056,0.12442957,0.0932188629347188,16.439,17.668,272.706,310.226,10.563,98.007,0.766,2.377,1.521557
19,200207,CA-NS6,55.91667,-98.96444,OSH,Continental,4.99373,5.37045,-1.98233,0.936156,,1.0,,0.999328,19.819,1.0,222.844,1.0,344.536,0,10.089,1.0,97.901,0,0.395135065781,0.995295698925,1.01,0.999328,2.296,0.991263,364.19,1.0,0.201562017,0.0312240265603613,19.792,20.684,208.463,344.536,9.992,97.901,1.259,2.48,3.0114
20,200208,CA-NS6,55.91667,-98.96444,OSH,Continental,3.98843,4.08486,-0.79826,0.950941,,0.999328,,0.999328,17.063,1.0,171.174,1.0,338.902,0,6.758,1.0,97.997,0,0.400259654817,0.977150537634,1.839,0.997312,2.362,0.976478,360.245,1.0,0.438729181935484,0.119289499698884,17.155,18.255,165.99,338.902,7.122,97.997,0.861,2.433,3.19017
21,200209,CA-NS6,55.91667,-98.96444,OSH,Continental,1.84849,1.73224,0.537179,0.982639,,0.990278,,0.992361,9.716,1.0,96.615,1.0,305.201,0,2.993,1.0,97.68,0,0.384804968013,0.959722222222,2.227,0.996528,2.243,0.956944,365.632,0.992361,1.28954228366667,0.239228781778042,9.552,10.619,102.657,305.201,3.131,97.68,1.052,2.507,2.385669
22,200210,CA-NS6,55.91667,-98.96444,OSH,Continental,0.195538,0.143702,0.584278,0.990591,,0.99664,,0.99664,-1.819,1.0,69.474,1.0,250.015,0,1.469,1.0,98.404,0,0.383378936252,0.986559139785,0.189,1.0,2.449,0.985887,368.626,0.99664,2.2496584516129,0.374015393990992,-1.864,-0.864,70.914,250.015,1.631,98.404,0.314,2.395,0.779816
23,200211,CA-NS6,55.91667,-98.96444,OSH,Continental,-0.0323114,0.00514608,0.351163,0.966667,,0.977083,,0.977778,-9.646,1.0,33.637,1.0,233.52,0,0.504,1.0,97.971,0,0.384202942128,0.840277777778,0.034,1.0,2.51,0.856944,374.043,0.995139,1.8414025483871,0.359910738436522,-9.321,-8.625,28.101,233.52,0.452,97.971,0.369,2.471,0.3188516
