Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,CA-Qfo,49.6925,-74.34206,ENF,Continental,2.07994,2.64504,-1.61777,0.0,46.039,0.0,70.9795,0.0,-21.447,0.0,46.812,0.0,195.824,0.0,0.327,0.0,96.325,0.0,,,0.612,0.0,2.382,0.0,,,0.133950926774194,0.196808433545638,-21.447,-20.472,46.812,195.824,0.327,96.325,0.612,2.382,0.4621700000000002
2,200302,CA-Qfo,49.6925,-74.34206,ENF,Continental,2.16444,3.46581,-1.64199,0.0,45.9621,0.0,71.4549,0.0,-20.287,0.0,82.033,0.0,197.368,0.0,0.452,0.0,96.513,0.0,,,1.509,0.0,2.558,0.0,,,0.416025437741935,0.2119066899909,-20.287,-19.004,82.033,197.368,0.452,96.513,1.509,2.558,0.5224499999999999
3,200303,CA-Qfo,49.6925,-74.34206,ENF,Continental,2.53253,4.70088,-1.60581,0.0,49.8269,0.0,78.1853,0.0,-11.401,0.0,142.736,0.0,219.669,0.0,1.192,0.0,96.542,0.0,,,1.525,0.0,2.297,0.0,,,0.399738105333333,0.273973034243944,-11.401,-9.56,142.736,219.669,1.192,96.542,1.525,2.297,0.92672
4,200304,CA-Qfo,49.6925,-74.34206,ENF,Continental,2.86952,5.45971,-1.62118,0.0,54.3244,0.0,84.4824,0.0,-4.072,0.0,189.402,0.0,246.426,0.0,1.962,0.0,97.112,0.0,,,1.857,0.0,2.44,0.0,,,0.330645161290323,0.177981204674663,-4.072,-2.609,189.402,246.426,1.962,97.112,1.857,2.44,1.24834
5,200305,CA-Qfo,49.6925,-74.34206,ENF,Continental,3.32253,6.33913,-1.61777,0.0,51.7417,0.0,79.7715,0.0,8.315,0.0,236.416,0.0,288.018,0.0,5.567,0.0,97.148,0.0,,,1.618,0.0,2.03,0.0,,,0.346096291071429,0.186019249693599,8.315,10.217,236.416,288.018,5.567,97.148,1.618,2.03,1.70476
6,200306,CA-Qfo,49.6925,-74.34206,ENF,Continental,3.82155,6.62571,-1.88967,0.0,57.6769,0.0,77.077,0.0,14.718,0.5625,250.104,0.515278,316.198,0.539583,8.463,0.5625,96.624,0.53125,0.436054498381,0.5125,2.391,0.0,2.455,0.536111,,,0.384643153870968,0.215986682483852,14.595,15.827,253.458,318.48,7.898,96.646,2.391,2.3,1.9318799999999998
7,200307,CA-Qfo,49.6925,-74.34206,ENF,Continental,3.28922,5.83217,-1.31393,0.0,52.994,0.0,58.3436,0.272177,15.361,0.764785,181.691,0.768817,347.831,0.762769,4.623,0.764785,96.602,0.12836,0.374816315028,0.536962365591,3.62,0.0,2.251,0.739247,,,0.446154225333333,0.221129785312473,15.084,16.178,179.908,343.026,5.064,96.606,3.62,2.119,1.9752899999999998
8,200308,CA-Qfo,49.6925,-74.34206,ENF,Continental,2.62921,5.15229,-0.626999,0.116935,48.0685,0.145833,41.2301,0.80914,16.078,1.0,158.761,1.0,346.421,1.0,5.363,1.0,96.892,0.842742,0.464578460272,0.939516129032,5.081,0.0,2.53,1.0,,,1.26587195451613,0.247699209934794,15.816,16.943,164.253,345.577,5.211,96.917,5.081,2.377,2.002211
9,200309,CA-Qfo,49.6925,-74.34206,ENF,Continental,2.8926,2.95063,-0.287675,0.867361,38.8221,0.864583,25.168,0.0,12.843,1.0,129.08,1.0,326.131,1.0,4.111,1.0,97.098,0.977778,0.407757622576,0.614583333333,4.2,0.0,2.644,1.0,361.808,0.868056,1.66125201666667,0.29795028018499,12.434,13.525,122.321,330.672,3.809,97.134,4.2,2.564,2.6049249999999997
10,200310,CA-Qfo,49.6925,-74.34206,ENF,Continental,1.11494,0.93423,0.146967,0.99328,22.2963,0.997984,-7.46235,0.300403,2.687,0.999328,62.539,1.0,295.418,1.0,1.558,0.999328,96.506,0.965054,0.422607131822,0.895161290323,3.951,0.0,2.522,1.0,365.003,0.997984,2.09774608387097,0.33113691825412,2.036,2.771,66.454,289.922,1.626,96.528,3.951,2.549,1.2619070000000001
